time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Thompson (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (J. Crowder gains possession)
11:34.0,,,0-0,,Turnover by I. Thomas (bad pass; steal by K. Love)
11:18.0,K. Irving makes 2-pt shot from 2 ft,2,2-0,,
11:07.0,,,2-0,,I. Thomas misses 2-pt shot from 10 ft
11:06.0,Defensive rebound by L. James,,2-0,,
10:58.0,K. Love misses 3-pt shot from 25 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by A. Johnson
10:48.0,,,2-0,,A. Bradley misses 2-pt shot from 22 ft
10:47.0,Defensive rebound by Team,,2-0,,
10:36.0,J. Smith makes 2-pt shot from 3 ft (assist by L. James),2,4-0,,
10:17.0,,,4-0,,A. Bradley misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by J. Smith,,4-0,,
10:00.0,L. James misses 3-pt shot from 25 ft,,4-0,,
9:59.0,,,4-0,,Defensive rebound by J. Crowder
9:50.0,,,4-0,,J. Crowder misses 2-pt shot from 3 ft (block by K. Love)
9:49.0,,,4-0,,Offensive rebound by J. Crowder
9:48.0,,,4-2,2,J. Crowder makes 2-pt shot from 2 ft
9:36.0,Turnover by K. Irving (bad pass),,4-2,,
9:25.0,,,4-2,,I. Thomas misses 2-pt shot from 2 ft
9:24.0,Defensive rebound by K. Love,,4-2,,
9:15.0,K. Love makes 2-pt shot from 11 ft (assist by L. James),2,6-2,,
8:53.0,,,6-2,,Shooting foul by L. James (drawn by A. Horford)
8:53.0,,,6-3,1,A. Horford makes free throw 1 of 2
8:53.0,,,6-4,1,A. Horford makes free throw 2 of 2
8:39.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,8-4,,
8:33.0,,,8-7,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
8:06.0,K. Irving misses 3-pt shot from 25 ft,,8-7,,
8:05.0,Offensive rebound by T. Thompson,,8-7,,
7:59.0,K. Love misses 2-pt shot from 2 ft,,8-7,,
7:58.0,Offensive rebound by T. Thompson,,8-7,,
7:58.0,T. Thompson makes 2-pt shot from 2 ft,2,10-7,,
7:44.0,,,10-7,,A. Horford misses 3-pt shot from 23 ft
7:43.0,Defensive rebound by K. Irving,,10-7,,
7:28.0,K. Love misses 2-pt shot from 15 ft,,10-7,,
7:27.0,Offensive rebound by Team,,10-7,,
7:27.0,,,10-7,,Loose ball foul by A. Johnson (drawn by T. Thompson)
7:27.0,,,10-7,,K. Olynyk enters the game for A. Johnson
7:07.0,K. Love misses 2-pt shot from 5 ft,,10-7,,
7:06.0,Offensive rebound by T. Thompson,,10-7,,
7:05.0,Shooting foul by J. Crowder (drawn by T. Thompson),,10-7,,
7:05.0,T. Thompson makes free throw 1 of 2,1,11-7,,
7:05.0,T. Thompson makes free throw 2 of 2,1,12-7,,
6:54.0,,,12-7,,A. Bradley misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by L. James,,12-7,,
6:34.0,L. James makes 2-pt shot from 2 ft,2,14-7,,
6:25.0,,,14-9,2,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas)
