time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Zeller (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. C. Zeller (K. Lowry gains possession)
11:40.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,2-0,,
11:23.0,,,2-2,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
11:00.0,D. Carroll misses 2-pt shot from 15 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by M. Williams
10:51.0,,,2-5,3,K. Walker makes 3-pt shot from 30 ft
10:25.0,Shooting foul by N. Batum (drawn by D. DeRozan),,2-5,,
10:25.0,D. DeRozan makes free throw 1 of 2,1,3-5,,
10:25.0,D. DeRozan makes free throw 2 of 2,1,4-5,,
10:05.0,,,4-5,,C. Zeller misses 2-pt shot from 18 ft
10:03.0,,,4-5,,Offensive rebound by M. Kidd-Gilchrist
9:58.0,,,4-8,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
9:43.0,D. Carroll misses 2-pt shot from 2 ft,,4-8,,
9:41.0,,,4-8,,Defensive rebound by M. Williams
9:30.0,,,4-10,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
9:10.0,N. Powell misses 3-pt shot from 23 ft,,4-10,,
9:09.0,,,4-10,,Defensive rebound by M. Kidd-Gilchrist
8:54.0,,,4-10,,K. Walker misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by J. Valanciunas,,4-10,,
8:32.0,N. Powell misses 2-pt shot from 1 ft,,4-10,,
8:31.0,Offensive rebound by J. Valanciunas,,4-10,,
8:31.0,J. Valanciunas makes 2-pt shot at rim,2,6-10,,
8:19.0,,,6-10,,Turnover by K. Walker (bad pass)
8:04.0,,,6-10,,Personal foul by C. Zeller (drawn by J. Valanciunas)
8:00.0,J. Valanciunas misses 2-pt shot from 15 ft,,6-10,,
7:58.0,,,6-10,,Defensive rebound by K. Walker
7:49.0,,,6-12,2,C. Zeller makes 2-pt shot from 8 ft (assist by N. Batum)
7:32.0,K. Lowry misses 2-pt shot from 14 ft,,6-12,,
7:31.0,,,6-12,,Defensive rebound by M. Williams
7:16.0,,,6-14,2,N. Batum makes 2-pt shot from 18 ft (assist by C. Zeller)
6:59.0,K. Lowry misses 3-pt shot from 25 ft,,6-14,,
6:58.0,Offensive rebound by Team,,6-14,,
6:52.0,D. DeRozan makes 2-pt shot from 10 ft,2,8-14,,
6:35.0,,,8-14,,N. Batum misses 2-pt shot from 3 ft (block by J. Valanciunas)
6:33.0,Defensive rebound by J. Valanciunas,,8-14,,
6:22.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,10-14,,
6:08.0,,,10-14,,Shooting foul by J. Valanciunas (drawn by K. Walker)
6:08.0,,,10-14,,K. Walker misses free throw 1 of 2
6:08.0,,,10-14,,Offensive rebound by Team
6:08.0,,,10-15,1,K. Walker makes free throw 2 of 2
6:08.0,,,10-14,,F. Kaminsky enters the game for N. Batum
6:08.0,,,10-14,,M. Belinelli enters the game for M. Williams
5:56.0,D. DeRozan misses 2-pt shot from 9 ft (block by M. Kidd-Gilchrist),,10-15,,
5:54.0,,,10-15,,Defensive rebound by F. Kaminsky
5:51.0,,,10-17,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
5:40.0,Turnover by D. DeRozan (lost ball; steal by M. Belinelli),,10-17,,
5:33.0,,,10-17,,Shooting foul by J. Valanciunas (drawn by F. Kaminsky)
5:33.0,,,10-17,,Charlotte full timeout
5:33.0,,,10-18,1,F. Kaminsky makes free throw 1 of 2
5:33.0,,,10-19,1,F. Kaminsky makes free throw 2 of 2
5:33.0,J. Sullinger enters the game for D. Carroll,,10-17,,
5:33.0,P. Siakam enters the game for J. Valanciunas,,10-17,,
5:20.0,K. Lowry misses 2-pt shot from 17 ft,,10-19,,
5:18.0,,,10-19,,Defensive rebound by M. Kidd-Gilchrist
5:13.0,Personal foul by J. Sullinger (drawn by K. Walker),,10-19,,
5:05.0,,,10-19,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
5:04.0,Defensive rebound by N. Powell,,10-19,,
4:51.0,P. Siakam makes 2-pt shot from 17 ft (assist by D. DeRozan),2,12-19,,
4:33.0,,,12-19,,Turnover by C. Zeller (traveling)
4:17.0,N. Powell misses 2-pt shot from 1 ft (block by M. Belinelli),,12-19,,
4:17.0,,,12-19,,Defensive rebound by Team
3:54.0,,,12-19,,C. Zeller misses 2-pt shot from 11 ft (block by J. Sullinger)
3:54.0,,,12-19,,Offensive rebound by Team
3:51.0,,,12-19,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
3:50.0,Defensive rebound by J. Sullinger,,12-19,,
3:32.0,D. DeRozan misses 2-pt shot from 17 ft,,12-19,,
3:31.0,,,12-19,,Defensive rebound by C. Zeller
3:25.0,,,12-19,,Turnover by M. Belinelli (bad pass; steal by P. Siakam)
3:23.0,Shooting foul by M. Belinelli (drawn by K. Lowry),,12-19,,
3:23.0,K. Lowry makes free throw 1 of 2,1,13-19,,
3:23.0,K. Lowry makes free throw 2 of 2,1,14-19,,
3:23.0,,,13-19,,R. Hibbert enters the game for C. Zeller
3:23.0,,,13-19,,R. Sessions enters the game for K. Walker
3:08.0,,,14-21,2,F. Kaminsky makes 2-pt shot from 19 ft (assist by R. Sessions)
2:47.0,Turnover by D. DeRozan (bad pass; steal by F. Kaminsky),,14-21,,
2:30.0,,,14-21,,Turnover by R. Sessions (bad pass; steal by P. Siakam)
