time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,,,0-0,,P. George misses 3-pt shot from 26 ft
12:00.0,Jump ball: M. Turner vs. J. Valanciunas (T. Young gains possession),,,,Jump ball: M. Turner vs. J. Valanciunas (T. Young gains possession)
11:35.0,Defensive rebound by Team,,0-0,,
11:16.0,C. Joseph makes 2-pt shot from 18 ft,2,2-0,,
11:06.0,,,2-0,,M. Turner misses 2-pt shot from 4 ft (block by C. Joseph)
11:05.0,Defensive rebound by J. Valanciunas,,2-0,,
10:52.0,J. Valanciunas makes 2-pt shot from 21 ft,2,4-0,,
10:32.0,,,4-2,2,P. George makes 2-pt shot from 4 ft (assist by J. Teague)
10:14.0,D. Carroll makes 3-pt shot from 26 ft (assist by J. Valanciunas),3,7-2,,
9:59.0,,,7-2,,M. Ellis misses 2-pt shot from 21 ft
9:58.0,Defensive rebound by S. Ibaka,,7-2,,
9:39.0,D. DeRozan misses 2-pt shot from 14 ft (block by M. Ellis),,7-2,,
9:38.0,Offensive rebound by D. DeRozan,,7-2,,
9:34.0,Shooting foul by M. Turner (drawn by S. Ibaka),,7-2,,
9:34.0,S. Ibaka makes free throw 1 of 2,1,8-2,,
9:34.0,S. Ibaka makes free throw 2 of 2,1,9-2,,
9:21.0,,,9-5,3,J. Teague makes 3-pt shot from 24 ft (assist by P. George)
9:10.0,Turnover by J. Valanciunas (offensive foul),,9-5,,
9:10.0,Offensive foul by J. Valanciunas,,9-5,,
8:53.0,,,9-5,,J. Teague misses 2-pt shot from 20 ft
8:52.0,Defensive rebound by S. Ibaka,,9-5,,
8:38.0,S. Ibaka makes 2-pt shot from 5 ft (assist by J. Valanciunas),2,11-5,,
8:22.0,,,11-5,,T. Young misses 2-pt shot from 4 ft
8:21.0,,,11-5,,Offensive rebound by P. George
8:21.0,,,11-5,,P. George misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by J. Valanciunas,,11-5,,
8:14.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,14-5,,
8:09.0,,,14-5,,Indiana full timeout
8:01.0,,,14-5,,P. George misses 2-pt shot from 9 ft
8:01.0,Defensive rebound by J. Valanciunas,,14-5,,
7:46.0,D. DeRozan misses 3-pt shot from 24 ft,,14-5,,
7:45.0,,,14-5,,Defensive rebound by M. Ellis
7:36.0,,,14-7,2,P. George makes 2-pt shot from 2 ft
7:18.0,Turnover by C. Joseph (bad pass; steal by M. Ellis),,14-7,,
7:12.0,,,14-7,,J. Teague misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by C. Joseph,,14-7,,
7:01.0,C. Joseph makes 2-pt shot from 3 ft,2,16-7,,
6:49.0,Personal foul by S. Ibaka (drawn by M. Turner),,16-7,,
6:46.0,,,16-7,,P. George misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by S. Ibaka,,16-7,,
6:34.0,Shooting foul by P. George (drawn by J. Valanciunas),,16-7,,
6:34.0,J. Valanciunas makes free throw 1 of 2,1,17-7,,
6:34.0,J. Valanciunas makes free throw 2 of 2,1,18-7,,
6:18.0,,,18-9,2,T. Young makes 2-pt shot from 5 ft (assist by J. Teague)
6:06.0,S. Ibaka misses 2-pt shot from 20 ft,,18-9,,
6:05.0,,,18-9,,Defensive rebound by P. George
5:49.0,,,18-9,,M. Ellis misses 3-pt shot from 23 ft
5:48.0,,,18-9,,Offensive rebound by T. Young
5:45.0,,,18-9,,Turnover by T. Young (bad pass; steal by D. DeRozan)
5:36.0,Offensive foul by D. DeRozan,,18-9,,
5:36.0,Turnover by D. DeRozan (offensive foul),,18-9,,
5:36.0,Violation by Team (jump ball),,18-9,,
5:36.0,P. Patterson enters the game for J. Valanciunas,,18-9,,
5:24.0,,,18-9,,Shooting foul by C. Joseph (drawn by J. Teague)
5:24.0,,,18-10,1,J. Teague makes free throw 1 of 3
5:24.0,,,18-11,1,J. Teague makes free throw 2 of 3
5:24.0,,,18-12,1,J. Teague makes free throw 3 of 3
5:24.0,,,18-11,,C. Miles enters the game for T. Young
5:00.0,P. Patterson misses 2-pt shot from 3 ft (block by M. Ellis),,18-12,,
4:59.0,,,18-12,,Defensive rebound by C. Miles
4:55.0,,,18-12,,Turnover by P. George (bad pass; steal by D. Carroll)
4:49.0,Turnover by D. Carroll (bad pass),,18-12,,
4:33.0,,,18-12,,M. Turner misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by C. Joseph,,18-12,,
4:23.0,C. Joseph makes 2-pt shot from 19 ft,2,20-12,,
4:11.0,,,20-12,,P. George misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by Team,,20-12,,
4:09.0,,,20-12,,L. Stephenson enters the game for M. Ellis
4:09.0,P. Tucker enters the game for D. Carroll,,20-12,,
3:53.0,S. Ibaka misses 3-pt shot from 25 ft,,20-12,,
3:53.0,,,20-12,,Defensive rebound by Team
3:33.0,,,20-12,,P. George misses 2-pt shot from 11 ft
3:32.0,Defensive rebound by S. Ibaka,,20-12,,
3:21.0,P. Patterson misses 3-pt shot from 24 ft,,20-12,,
3:20.0,,,20-12,,Defensive rebound by C. Miles
3:07.0,,,20-12,,L. Stephenson misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by D. DeRozan,,20-12,,
2:49.0,D. DeRozan misses 2-pt shot from 12 ft,,20-12,,
2:48.0,,,20-12,,Defensive rebound by C. Miles
2:39.0,,,20-12,,M. Turner misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by S. Ibaka,,20-12,,
2:34.0,Toronto full timeout,,20-12,,
2:34.0,,,20-12,,L. Allen enters the game for M. Turner
2:34.0,,,20-12,,A. Brooks enters the game for J. Teague
2:34.0,J. Valanciunas enters the game for S. Ibaka,,20-12,,
2:16.0,J. Valanciunas misses 2-pt shot from 7 ft (block by L. Allen),,20-12,,
2:16.0,Offensive rebound by Team,,20-12,,
2:16.0,Turnover by Team (shot clock),,20-12,,
2:16.0,D. Wright enters the game for C. Joseph,,20-12,,
2:05.0,,,20-12,,C. Miles misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by D. Wright,,20-12,,
1:57.0,Shooting foul by L. Allen (drawn by D. DeRozan),,20-12,,
1:57.0,D. DeRozan misses free throw 1 of 2,,20-12,,
1:57.0,Offensive rebound by Team,,20-12,,
1:57.0,D. DeRozan makes free throw 2 of 2,1,21-12,,
1:39.0,,,21-12,,L. Stephenson misses 2-pt shot from 15 ft
1:38.0,,,21-12,,Offensive rebound by Team
1:24.0,,,21-15,3,A. Brooks makes 3-pt shot from 26 ft
1:04.0,D. Wright makes 3-pt shot from 25 ft,3,24-15,,
0:48.0,,,24-15,,L. Allen misses 2-pt shot from 5 ft
0:47.0,Defensive rebound by J. Valanciunas,,24-15,,
0:39.0,D. DeRozan makes 2-pt shot from 4 ft,2,26-15,,
0:19.0,,,26-18,3,P. George makes 3-pt shot from 24 ft
0:00.0,P. Patterson misses 3-pt shot from 23 ft,,26-18,,
0:00.0,,,26-18,,Defensive rebound by P. George
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,N. Powell misses 2-pt shot from 4 ft,,26-18,,
11:36.0,,,26-18,,Defensive rebound by Team
11:14.0,,,26-18,,M. Turner misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by P. Tucker,,26-18,,
11:03.0,,,26-18,,Personal foul by A. Brooks (drawn by D. Wright)
10:55.0,P. Tucker makes 3-pt shot from 25 ft (assist by D. Wright),3,29-18,,
10:35.0,,,29-18,,L. Stephenson misses 2-pt shot from 5 ft
10:35.0,Defensive rebound by P. Patterson,,29-18,,
10:22.0,J. Valanciunas makes 2-pt shot from 4 ft,2,31-18,,
9:59.0,,,31-18,,Shooting foul by J. Valanciunas (drawn by M. Turner)
9:59.0,,,31-19,1,M. Turner makes free throw 1 of 2
9:59.0,,,31-20,1,M. Turner makes free throw 2 of 2
9:59.0,J. Poeltl enters the game for J. Valanciunas,,31-19,,
9:55.0,,,31-20,,Personal foul by A. Brooks (drawn by D. Wright)
9:55.0,,,31-20,,K. Seraphin enters the game for M. Turner
9:38.0,P. Tucker misses 2-pt shot from 3 ft,,31-20,,
9:37.0,Offensive rebound by P. Patterson,,31-20,,
9:35.0,P. Patterson makes 2-pt shot from 4 ft,2,33-20,,
9:26.0,,,33-20,,L. Stephenson misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by J. Poeltl,,33-20,,
9:19.0,P. Tucker makes 2-pt shot from 20 ft (assist by D. Wright),2,35-20,,
9:09.0,,,35-20,,Indiana full timeout
9:09.0,,,35-20,,Turnover by L. Allen (bad pass; steal by P. Tucker)
9:04.0,Shooting foul by K. Seraphin (drawn by J. Poeltl),,35-20,,
9:04.0,J. Poeltl makes free throw 1 of 2,1,36-20,,
9:04.0,J. Poeltl makes free throw 2 of 2,1,37-20,,
8:42.0,,,37-22,2,K. Seraphin makes 2-pt shot from 5 ft (assist by A. Brooks)
8:26.0,P. Tucker misses 2-pt shot from 3 ft (block by K. Seraphin),,37-22,,
8:25.0,,,37-22,,Defensive rebound by L. Allen
8:11.0,,,37-24,2,K. Seraphin makes 2-pt shot from 11 ft
7:43.0,N. Powell misses 2-pt shot from 14 ft,,37-24,,
7:42.0,Offensive rebound by P. Tucker,,37-24,,
7:31.0,,,37-24,,P. George enters the game for L. Allen
7:31.0,D. DeRozan enters the game for P. Patterson,,37-24,,
7:31.0,S. Ibaka enters the game for P. Tucker,,37-24,,
7:31.0,D. Carroll enters the game for N. Powell,,37-24,,
7:31.0,Jump ball: A. Brooks vs. D. Wright,,,,Jump ball: A. Brooks vs. D. Wright
7:19.0,Shooting foul by L. Stephenson (drawn by D. Carroll),,37-24,,
7:19.0,D. Carroll makes free throw 1 of 2,1,38-24,,
7:19.0,D. Carroll makes free throw 2 of 2,1,39-24,,
7:08.0,,,39-24,,C. Miles misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by J. Poeltl,,39-24,,
6:50.0,S. Ibaka misses 2-pt shot from 6 ft,,39-24,,
6:48.0,Offensive rebound by J. Poeltl,,39-24,,
6:48.0,J. Poeltl makes 2-pt shot from 1 ft,2,41-24,,
6:40.0,,,41-24,,Shooting foul by D. Carroll (drawn by P. George)
6:40.0,,,41-25,1,P. George makes free throw 1 of 2
6:40.0,,,41-26,1,P. George makes free throw 2 of 2
6:40.0,,,41-25,,M. Ellis enters the game for C. Miles
6:40.0,,,41-25,,T. Young enters the game for L. Stephenson
6:40.0,,,41-25,,J. Teague enters the game for A. Brooks
6:16.0,D. Wright makes 2-pt shot from 4 ft,2,43-26,,
6:01.0,,,43-26,,Turnover by P. George (bad pass; steal by D. DeRozan)
5:48.0,J. Poeltl makes 2-pt shot from 3 ft (assist by D. Wright),2,45-26,,
5:44.0,,,45-26,,Indiana full timeout
5:44.0,Official timeout,,45-26,,
5:44.0,,,45-26,,M. Turner enters the game for K. Seraphin
5:36.0,,,45-26,,M. Turner misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by S. Ibaka,,45-26,,
5:19.0,S. Ibaka misses 2-pt shot from 10 ft,,45-26,,
5:18.0,,,45-26,,Defensive rebound by M. Ellis
5:13.0,C. Joseph enters the game for D. Wright,,45-26,,
5:07.0,Personal foul by C. Joseph (drawn by J. Teague),,45-26,,
5:03.0,,,45-26,,J. Teague misses 2-pt shot from 3 ft (block by J. Poeltl)
5:03.0,,,45-26,,Offensive rebound by Team
5:00.0,,,45-28,2,M. Turner makes 2-pt shot from 3 ft (assist by P. George)
4:37.0,Turnover by S. Ibaka (lost ball; steal by P. George),,45-28,,
4:31.0,,,45-30,2,T. Young makes 2-pt shot from 3 ft
4:09.0,D. Carroll misses 3-pt shot from 24 ft,,45-30,,
4:07.0,,,45-30,,Defensive rebound by T. Young
3:43.0,,,45-32,2,J. Teague makes 2-pt shot from 14 ft
3:30.0,Turnover by S. Ibaka (traveling),,45-32,,
