time,LA Lakers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Turner (D. Russell gains possession),,,,Jump ball: T. Mozgov vs. M. Turner (D. Russell gains possession)
11:45.0,D. Russell makes 2-pt shot from 8 ft,2,2-0,,
11:25.0,Personal foul by D. Russell (drawn by J. Teague),,2-0,,
11:14.0,,,2-0,,P. George misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by J. Randle,,2-0,,
10:56.0,N. Young makes 2-pt shot from 21 ft,2,4-0,,
10:33.0,,,4-0,,M. Turner misses 2-pt shot from 15 ft
10:32.0,Defensive rebound by T. Mozgov,,4-0,,
10:16.0,L. Deng misses 2-pt shot from 14 ft,,4-0,,
10:15.0,Offensive rebound by T. Mozgov,,4-0,,
10:08.0,D. Russell misses 2-pt shot from 16 ft,,4-0,,
10:07.0,,,4-0,,Defensive rebound by J. Teague
10:07.0,Personal foul by D. Russell (drawn by J. Teague),,4-0,,
10:07.0,J. Calderon enters the game for D. Russell,,4-0,,
10:00.0,,,4-0,,J. Teague misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by J. Calderon,,4-0,,
9:49.0,Turnover by T. Mozgov (bad pass; steal by J. Teague),,4-0,,
9:40.0,,,4-3,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
9:20.0,J. Randle misses 3-pt shot from 26 ft,,4-3,,
9:20.0,,,4-3,,Defensive rebound by J. Teague
9:07.0,,,4-3,,Shooting foul by N. Young (drawn by M. Turner)
9:07.0,,,4-3,,M. Turner misses free throw 1 of 2
9:07.0,,,4-3,,Offensive rebound by Team
9:07.0,,,4-3,,M. Turner misses free throw 2 of 2
9:07.0,Defensive rebound by L. Deng,,4-3,,
8:53.0,N. Young misses 3-pt shot from 25 ft,,4-3,,
8:52.0,,,4-3,,Defensive rebound by Team
8:52.0,Loose ball foul by T. Mozgov (drawn by M. Turner),,4-3,,
8:38.0,,,4-6,3,T. Young makes 3-pt shot from 27 ft (assist by M. Ellis)
8:23.0,J. Calderon makes 2-pt shot from 20 ft,2,6-6,,
8:06.0,,,6-8,2,T. Young makes 2-pt shot from 2 ft (assist by M. Turner)
7:56.0,Turnover by L. Deng (lost ball; steal by T. Young),,6-8,,
7:34.0,Shooting block foul by J. Randle (drawn by P. George),,6-8,,
7:34.0,,,6-9,1,P. George makes free throw 1 of 2
7:34.0,,,6-10,1,P. George makes free throw 2 of 2
7:17.0,Shooting foul by M. Ellis (drawn by J. Randle),,6-10,,
7:17.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Deng),2,8-10,,
7:17.0,J. Randle makes free throw 1 of 1,1,9-10,,
6:58.0,,,9-10,,Turnover by M. Ellis (lost ball; steal by J. Calderon)
6:53.0,J. Randle misses 2-pt shot at rim (block by T. Young),,9-10,,
6:52.0,Offensive rebound by Team,,9-10,,
6:43.0,L. Deng misses 2-pt shot at rim,,9-10,,
6:42.0,,,9-10,,Defensive rebound by M. Turner
