time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Cousins (A. Tolliver gains possession),,,,Jump ball: S. Adams vs. D. Cousins (A. Tolliver gains possession)
11:43.0,,,0-0,,R. Gay misses 2-pt shot from 11 ft
11:41.0,,,0-0,,Offensive rebound by D. Cousins
11:41.0,,,0-0,,D. Cousins misses 2-pt shot from 1 ft
11:40.0,,,0-0,,Offensive rebound by R. Gay
11:35.0,,,0-0,,D. Collison misses 3-pt shot from 25 ft
11:34.0,,,0-0,,Offensive rebound by D. Cousins
11:33.0,,,0-0,,D. Cousins misses 2-pt shot from 6 ft
11:32.0,Defensive rebound by S. Adams,,0-0,,
11:18.0,S. Adams makes 2-pt shot from 7 ft,2,2-0,,
10:57.0,,,2-3,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Gay)
10:36.0,D. Sabonis misses 3-pt shot from 25 ft,,2-3,,
10:35.0,Offensive rebound by S. Adams,,2-3,,
10:23.0,S. Adams makes 2-pt shot from 11 ft,2,4-3,,
10:06.0,,,4-3,,Turnover by R. Gay (bad pass; steal by A. Roberson)
10:03.0,Turnover by R. Westbrook (bad pass; steal by D. Cousins),,4-3,,
9:51.0,,,4-3,,R. Gay misses 2-pt shot from 6 ft
9:50.0,Defensive rebound by D. Sabonis,,4-3,,
9:44.0,Turnover by S. Adams (lost ball),,4-3,,
9:32.0,,,4-5,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
9:22.0,R. Westbrook makes 2-pt shot from 18 ft,2,6-5,,
9:02.0,,,6-5,,D. Cousins misses 2-pt shot from 19 ft
9:01.0,Defensive rebound by D. Sabonis,,6-5,,
8:49.0,R. Westbrook makes 2-pt shot at rim (assist by S. Adams),2,8-5,,
8:21.0,,,8-5,,R. Gay misses 2-pt shot from 14 ft
8:20.0,,,8-5,,Offensive rebound by D. Cousins
8:20.0,,,8-7,2,D. Cousins makes 2-pt shot at rim
8:15.0,Turnover by R. Westbrook (bad pass; steal by A. Tolliver),,8-7,,
8:01.0,,,8-9,2,D. Cousins makes 2-pt shot from 7 ft
7:44.0,Offensive charge foul by S. Adams,,8-9,,
7:44.0,Turnover by S. Adams (offensive foul),,8-9,,
7:28.0,,,8-9,,Turnover by D. Cousins (bad pass)
7:16.0,D. Sabonis misses 3-pt shot from 25 ft,,8-9,,
7:15.0,,,8-9,,Defensive rebound by D. Cousins
7:06.0,,,8-12,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Cousins)
6:49.0,D. Sabonis misses 2-pt shot from 7 ft,,8-12,,
6:47.0,,,8-12,,Defensive rebound by A. Tolliver
6:36.0,,,8-12,,D. Cousins misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by R. Westbrook,,8-12,,
6:30.0,,,8-12,,Personal foul by G. Temple (drawn by R. Westbrook)
6:26.0,V. Oladipo makes 2-pt shot from 7 ft,2,10-12,,
6:26.0,Shooting foul by A. Tolliver (drawn by V. Oladipo),,10-12,,
6:26.0,V. Oladipo makes free throw 1 of 1,1,11-12,,
6:11.0,,,11-15,3,R. Gay makes 3-pt shot from 26 ft (assist by D. Cousins)
5:47.0,A. Roberson misses 3-pt shot from 25 ft,,11-15,,
5:47.0,,,11-15,,Defensive rebound by A. Tolliver
5:47.0,,,11-15,,Turnover by A. Tolliver (bad pass; steal by S. Adams)
5:43.0,R. Westbrook misses 2-pt shot from 1 ft (block by A. Tolliver),,11-15,,
5:43.0,Offensive rebound by A. Roberson,,11-15,,
5:41.0,Shooting foul by G. Temple (drawn by A. Roberson),,11-15,,
5:41.0,,,11-15,,Sacramento full timeout
5:41.0,A. Roberson makes free throw 1 of 2,1,12-15,,
5:41.0,A. Roberson misses free throw 2 of 2,,12-15,,
5:40.0,Offensive rebound by A. Roberson,,12-15,,
5:30.0,S. Adams misses 2-pt shot from 8 ft,,12-15,,
5:29.0,,,12-15,,Defensive rebound by R. Gay
5:28.0,A. Abrines enters the game for V. Oladipo,,12-15,,
5:28.0,,,12-15,,A. Afflalo enters the game for G. Temple
5:10.0,,,12-17,2,R. Gay makes 2-pt shot from 7 ft (assist by A. Tolliver)
4:53.0,D. Sabonis misses 3-pt shot from 25 ft,,12-17,,
4:53.0,,,12-17,,Defensive rebound by R. Gay
4:47.0,,,12-17,,A. Afflalo misses 2-pt shot from 6 ft
4:46.0,Defensive rebound by S. Adams,,12-17,,
4:38.0,D. Sabonis makes 2-pt shot from 2 ft (assist by R. Westbrook),2,14-17,,
4:30.0,,,14-17,,D. Cousins misses 2-pt shot from 4 ft
4:29.0,,,14-17,,Offensive rebound by D. Cousins
4:28.0,,,14-17,,D. Cousins misses 2-pt shot from 4 ft
4:25.0,Defensive rebound by A. Abrines,,14-17,,
4:22.0,D. Sabonis makes 2-pt shot at rim (assist by R. Westbrook),2,16-17,,
4:01.0,,,16-17,,Turnover by D. Collison (bad pass; steal by R. Westbrook)
4:01.0,,,16-17,,Personal foul by R. Gay (drawn by A. Roberson)
4:01.0,,,16-17,,K. Koufos enters the game for A. Tolliver
4:01.0,E. Kanter enters the game for D. Sabonis,,16-17,,
3:54.0,Offensive foul by A. Abrines,,16-17,,
3:54.0,Turnover by A. Abrines (offensive foul),,16-17,,
3:47.0,Personal foul by A. Abrines (drawn by A. Afflalo),,16-17,,
3:33.0,,,16-17,,Offensive foul by A. Afflalo
3:33.0,,,16-17,,Turnover by A. Afflalo (offensive foul)
3:16.0,A. Roberson misses 2-pt shot from 6 ft,,16-17,,
3:15.0,Offensive rebound by A. Roberson,,16-17,,
3:15.0,A. Roberson misses 2-pt shot from 4 ft,,16-17,,
3:14.0,,,16-17,,Defensive rebound by D. Cousins
