time,Portland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Plumlee (E. Ilyasova gains possession),,,,Jump ball: J. Embiid vs. M. Plumlee (E. Ilyasova gains possession)
11:41.0,,,0-0,,J. Embiid misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by M. Plumlee,,0-0,,
11:27.0,C. McCollum makes 2-pt shot from 15 ft,2,2-0,,
11:06.0,,,2-3,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by J. Embiid)
10:41.0,C. McCollum misses 2-pt shot from 16 ft,,2-3,,
10:39.0,Offensive rebound by Team,,2-3,,
10:35.0,M. Plumlee misses 2-pt shot from 15 ft,,2-3,,
10:34.0,,,2-3,,Defensive rebound by J. Embiid
10:29.0,,,2-3,,Turnover by E. Ilyasova (step out of bounds)
10:16.0,D. Lillard makes 2-pt shot from 19 ft,2,4-3,,
9:59.0,,,4-5,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Embiid)
9:50.0,D. Lillard misses 3-pt shot from 25 ft,,4-5,,
9:48.0,,,4-5,,Defensive rebound by N. Stauskas
9:37.0,,,4-5,,R. Covington misses 3-pt shot from 26 ft
9:35.0,,,4-5,,Offensive rebound by E. Ilyasova
9:25.0,,,4-5,,J. Embiid misses 2-pt shot from 4 ft (block by M. Plumlee)
9:23.0,Defensive rebound by C. McCollum,,4-5,,
9:21.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,6-5,,
8:59.0,,,6-5,,E. Ilyasova misses 2-pt shot from 22 ft
8:57.0,Defensive rebound by M. Plumlee,,6-5,,
8:49.0,C. McCollum misses 3-pt shot from 24 ft,,6-5,,
8:47.0,,,6-5,,Defensive rebound by J. Embiid
8:40.0,,,6-5,,J. Embiid misses 2-pt shot from 16 ft
8:38.0,Defensive rebound by N. Vonleh,,6-5,,
8:23.0,M. Plumlee makes 2-pt shot at rim (assist by E. Turner),2,8-5,,
8:11.0,,,8-5,,Shooting foul by N. Vonleh (drawn by J. Embiid)
8:11.0,,,8-5,,J. Embiid misses free throw 1 of 2
8:11.0,,,8-5,,Offensive rebound by Team
8:11.0,,,8-6,1,J. Embiid makes free throw 2 of 2
7:59.0,D. Lillard makes 2-pt shot from 18 ft (assist by E. Turner),2,10-6,,
7:42.0,,,10-6,,Turnover by T. McConnell (bad pass; steal by N. Vonleh)
7:34.0,D. Lillard makes 3-pt shot from 28 ft (assist by M. Plumlee),3,13-6,,
7:33.0,,,13-6,,Philadelphia full timeout
7:18.0,,,13-8,2,T. McConnell makes 2-pt shot from 16 ft (assist by J. Embiid)
7:00.0,Offensive charge foul by M. Plumlee,,13-8,,
7:00.0,Turnover by M. Plumlee (offensive foul),,13-8,,
6:51.0,,,13-8,,E. Ilyasova misses 2-pt shot from 3 ft (block by M. Plumlee)
6:51.0,,,13-8,,Offensive rebound by Team
6:43.0,,,13-8,,Turnover by T. McConnell (traveling)
6:27.0,E. Turner makes 2-pt shot from 15 ft,2,15-8,,
6:16.0,,,15-8,,R. Covington misses 2-pt shot from 2 ft
6:13.0,,,15-8,,Offensive rebound by J. Embiid
6:13.0,,,15-10,2,J. Embiid makes 2-pt shot from 1 ft
6:00.0,E. Turner misses 3-pt shot from 24 ft,,15-10,,
5:58.0,Offensive rebound by E. Turner,,15-10,,
5:51.0,C. McCollum misses 2-pt shot from 2 ft (block by J. Embiid),,15-10,,
5:51.0,Offensive rebound by Team,,15-10,,
5:51.0,,,15-10,,N. Noel enters the game for J. Embiid
5:51.0,,,15-10,,G. Henderson enters the game for N. Stauskas
5:51.0,A. Crabbe enters the game for C. McCollum,,15-10,,
5:36.0,M. Plumlee misses 2-pt shot from 16 ft,,15-10,,
5:35.0,,,15-10,,Defensive rebound by N. Noel
5:27.0,,,15-12,2,T. McConnell makes 2-pt shot from 16 ft
5:08.0,E. Turner misses 2-pt shot from 14 ft (block by R. Covington),,15-12,,
5:07.0,,,15-12,,Defensive rebound by G. Henderson
4:50.0,,,15-15,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
4:48.0,Portland full timeout,,15-15,,
4:48.0,M. Harkless enters the game for E. Turner,,15-15,,
4:48.0,A. Aminu enters the game for N. Vonleh,,15-15,,
4:48.0,,,15-15,,D. Saric enters the game for E. Ilyasova
4:48.0,,,15-15,,S. Rodriguez enters the game for T. McConnell
4:35.0,Turnover by A. Aminu (bad pass; steal by S. Rodriguez),,15-15,,
4:28.0,,,15-15,,S. Rodriguez misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by A. Aminu,,15-15,,
4:15.0,Shooting foul by R. Covington (drawn by M. Plumlee),,15-15,,
4:15.0,M. Plumlee makes free throw 1 of 2,1,16-15,,
4:15.0,M. Plumlee makes free throw 2 of 2,1,17-15,,
4:07.0,,,17-17,2,R. Covington makes 2-pt shot at rim (assist by N. Noel)
3:51.0,D. Lillard makes 2-pt shot from 1 ft,2,19-17,,
3:34.0,,,19-17,,D. Saric misses 2-pt shot from 5 ft (block by M. Harkless)
3:32.0,Defensive rebound by M. Plumlee,,19-17,,
3:25.0,D. Lillard makes 2-pt shot from 1 ft,2,21-17,,
3:04.0,,,21-17,,N. Noel misses 2-pt shot at rim
3:02.0,Defensive rebound by A. Aminu,,21-17,,
2:56.0,M. Plumlee misses 2-pt shot from 2 ft,,21-17,,
2:56.0,Offensive rebound by M. Harkless,,21-17,,
2:47.0,M. Harkless makes 2-pt shot from 2 ft,2,23-17,,
2:46.0,,,23-17,,G. Henderson misses 2-pt shot from 16 ft
2:43.0,Defensive rebound by A. Aminu,,23-17,,
2:39.0,D. Lillard makes 3-pt shot from 26 ft (assist by A. Aminu),3,26-17,,
2:25.0,,,26-17,,R. Covington misses 3-pt shot from 27 ft
2:24.0,Defensive rebound by Team,,26-17,,
2:24.0,E. Davis enters the game for M. Plumlee,,26-17,,
2:24.0,C. McCollum enters the game for D. Lillard,,26-17,,
2:11.0,M. Harkless misses 3-pt shot from 26 ft,,26-17,,
2:09.0,,,26-17,,Defensive rebound by G. Henderson
2:00.0,,,26-20,3,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric)
1:49.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Crabbe),3,29-20,,
1:33.0,,,29-20,,D. Saric misses 2-pt shot from 10 ft
1:30.0,,,29-20,,Offensive rebound by D. Saric
1:30.0,,,29-20,,D. Saric misses 2-pt shot from 1 ft
1:29.0,,,29-20,,Offensive rebound by R. Covington
1:24.0,,,29-20,,D. Saric misses 3-pt shot from 27 ft
