time,Washington,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. Z. Pachulia (J. Wall gains possession),,,,Jump ball: M. Gortat vs. Z. Pachulia (J. Wall gains possession)
11:37.0,B. Beal misses 2-pt shot from 2 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Z. Pachulia
11:32.0,,,0-3,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
11:15.0,O. Porter misses 2-pt shot from 15 ft,,0-3,,
11:15.0,,,0-3,,Defensive rebound by Z. Pachulia
11:04.0,,,0-6,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
10:51.0,J. Wall misses 2-pt shot from 15 ft,,0-6,,
10:51.0,,,0-6,,Defensive rebound by D. Green
10:44.0,,,0-6,,D. Green misses 2-pt shot from 2 ft (block by O. Porter)
10:43.0,,,0-6,,Offensive rebound by D. Green
10:42.0,,,0-6,,D. Green misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by O. Porter,,0-6,,
10:37.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,2-6,,
10:13.0,,,2-6,,K. Thompson misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by J. Wall,,2-6,,
10:09.0,J. Wall makes 2-pt shot from 2 ft,2,4-6,,
10:09.0,Shooting foul by D. Green (drawn by J. Wall),,4-6,,
10:09.0,J. Wall makes free throw 1 of 1,1,5-6,,
9:56.0,,,5-6,,Z. Pachulia misses 2-pt shot from 7 ft
9:56.0,Defensive rebound by M. Gortat,,5-6,,
9:49.0,O. Porter misses 3-pt shot from 24 ft,,5-6,,
9:49.0,,,5-6,,Defensive rebound by S. Curry
9:39.0,,,5-8,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
9:30.0,Turnover by M. Gortat (lost ball; steal by Z. Pachulia),,5-8,,
9:20.0,,,5-8,,P. McCaw misses 2-pt shot from 6 ft
9:19.0,,,5-8,,Offensive rebound by P. McCaw
9:12.0,,,5-11,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
8:53.0,M. Morris makes 2-pt shot from 17 ft (assist by J. Wall),2,7-11,,
8:46.0,,,7-11,,Turnover by K. Thompson (bad pass; steal by B. Beal)
8:46.0,,,7-11,,Personal foul by K. Thompson (drawn by B. Beal)
8:46.0,B. Beal misses free throw 1 of 2,,7-11,,
8:46.0,Offensive rebound by Team,,7-11,,
8:46.0,B. Beal makes free throw 2 of 2,1,8-11,,
8:27.0,,,8-14,3,S. Curry makes 3-pt shot from 24 ft (assist by P. McCaw)
8:13.0,B. Beal makes 2-pt shot from 3 ft,2,10-14,,
8:07.0,,,10-14,,Turnover by S. Curry (bad pass)
7:54.0,M. Gortat makes 2-pt shot from 18 ft (assist by J. Wall),2,12-14,,
7:43.0,,,12-14,,K. Thompson misses 2-pt shot from 14 ft
7:43.0,Defensive rebound by J. Wall,,12-14,,
7:39.0,Offensive foul by M. Morris,,12-14,,
7:39.0,Turnover by M. Morris (offensive foul),,12-14,,
7:29.0,,,12-14,,Offensive foul by Z. Pachulia
7:29.0,,,12-14,,Turnover by Z. Pachulia (offensive foul)
7:17.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,14-14,,
7:11.0,,,14-16,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
6:57.0,Turnover by J. Wall (bad pass),,14-16,,
6:47.0,,,14-18,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
6:32.0,M. Morris makes 2-pt shot from 9 ft (assist by J. Wall),2,16-18,,
6:23.0,,,16-18,,Golden State full timeout
6:16.0,,,16-18,,S. Curry misses 3-pt shot from 27 ft
6:15.0,Defensive rebound by J. Wall,,16-18,,
6:03.0,O. Porter misses 3-pt shot from 24 ft,,16-18,,
6:02.0,,,16-18,,Defensive rebound by Z. Pachulia
5:53.0,,,16-20,2,Z. Pachulia makes 2-pt shot from 16 ft (assist by S. Curry)
5:33.0,M. Morris misses 2-pt shot from 12 ft,,16-20,,
5:32.0,,,16-20,,Defensive rebound by D. Green
5:26.0,,,16-20,,K. Thompson misses 2-pt shot from 12 ft
5:26.0,Defensive rebound by M. Gortat,,16-20,,
5:18.0,M. Morris misses 3-pt shot from 26 ft,,16-20,,
5:17.0,,,16-20,,Defensive rebound by D. Green
5:04.0,,,16-20,,Turnover by P. McCaw (bad pass)
5:04.0,,,16-20,,S. Livingston enters the game for P. McCaw
5:04.0,,,16-20,,A. Iguodala enters the game for D. Green
4:56.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,18-20,,
4:39.0,,,18-23,3,S. Curry makes 3-pt shot from 27 ft (assist by Z. Pachulia)
4:08.0,B. Beal misses 2-pt shot from 6 ft,,18-23,,
4:08.0,Offensive rebound by M. Gortat,,18-23,,
4:08.0,M. Gortat makes 2-pt shot from 1 ft,2,20-23,,
3:56.0,,,20-23,,A. Iguodala misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by B. Beal,,20-23,,
3:46.0,B. Beal makes 2-pt shot from 3 ft,2,22-23,,
3:31.0,,,22-23,,Z. Pachulia misses 2-pt shot from 3 ft (block by M. Gortat)
3:28.0,,,22-23,,Offensive rebound by S. Livingston
3:28.0,,,22-25,2,S. Livingston makes 2-pt shot from 2 ft
3:19.0,J. Wall makes 2-pt shot from 10 ft,2,24-25,,
3:19.0,Shooting foul by S. Curry (drawn by J. Wall),,24-25,,
3:19.0,J. Wall misses free throw 1 of 1,,24-25,,
3:19.0,,,24-25,,J. McGee enters the game for Z. Pachulia
3:19.0,,,24-25,,D. Green enters the game for K. Thompson
3:19.0,K. Oubre enters the game for O. Porter,,24-25,,
3:19.0,B. Bogdanovic enters the game for M. Morris,,24-25,,
3:18.0,,,24-25,,Defensive rebound by J. McGee
3:04.0,,,24-27,2,J. McGee makes 2-pt shot from 8 ft
2:50.0,M. Gortat misses 2-pt shot from 16 ft,,24-27,,
2:49.0,,,24-27,,Defensive rebound by S. Livingston
2:45.0,Personal foul by B. Bogdanovic (drawn by S. Curry),,24-27,,
2:45.0,Washington full timeout,,24-27,,
2:45.0,B. Jennings enters the game for J. Wall,,24-27,,
2:27.0,,,24-29,2,A. Iguodala makes 2-pt shot from 20 ft
2:03.0,B. Beal makes 3-pt shot from 26 ft,3,27-29,,
1:52.0,,,27-31,2,S. Livingston makes 2-pt shot from 9 ft
1:36.0,B. Beal misses 2-pt shot from 1 ft (block by J. McGee),,27-31,,
1:35.0,,,27-31,,Defensive rebound by D. Green
1:27.0,,,27-33,2,J. McGee makes 2-pt shot from 2 ft
1:09.0,Turnover by B. Jennings (bad pass; steal by J. McGee),,27-33,,
1:04.0,,,27-35,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
0:52.0,K. Oubre misses 3-pt shot from 26 ft,,27-35,,
0:51.0,,,27-35,,Defensive rebound by S. Livingston
0:46.0,,,27-35,,S. Curry misses 2-pt shot from 4 ft (block by K. Oubre)
0:45.0,Defensive rebound by B. Bogdanovic,,27-35,,
0:45.0,,,27-35,,Personal foul by S. Livingston (drawn by K. Oubre)
0:45.0,I. Mahinmi enters the game for M. Gortat,,27-35,,
0:34.0,B. Beal makes 3-pt shot from 27 ft (assist by B. Bogdanovic),3,30-35,,
0:16.0,Personal foul by K. Oubre (drawn by A. Iguodala),,30-35,,
0:16.0,,,30-35,,K. Thompson enters the game for A. Iguodala
0:16.0,,,30-35,,I. Clark enters the game for J. McGee
0:05.0,,,30-35,,Turnover by D. Green (traveling)
0:05.0,,,30-35,,P. McCaw enters the game for K. Thompson
0:05.0,,,30-35,,A. Iguodala enters the game for S. Curry
0:01.0,B. Beal misses 2-pt shot from 12 ft,,30-35,,
0:00.0,Offensive rebound by Team,,30-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-37,2,A. Iguodala makes 2-pt shot from 1 ft (assist by D. West)
11:25.0,K. Oubre misses 2-pt shot from 5 ft,,30-37,,
11:24.0,Offensive rebound by K. Oubre,,30-37,,
11:23.0,K. Oubre misses 2-pt shot from 3 ft (block by D. West),,30-37,,
11:20.0,,,30-37,,Defensive rebound by I. Clark
11:01.0,,,30-37,,K. Thompson misses 2-pt shot from 13 ft
11:00.0,Defensive rebound by B. Bogdanovic,,30-37,,
10:47.0,B. Jennings makes 2-pt shot from 13 ft (assist by I. Mahinmi),2,32-37,,
10:34.0,,,32-40,3,I. Clark makes 3-pt shot from 28 ft (assist by D. West)
10:31.0,Washington full timeout,,32-40,,
10:13.0,Shooting foul by A. Iguodala (drawn by B. Bogdanovic),,32-40,,
10:13.0,B. Bogdanovic makes free throw 1 of 2,1,33-40,,
10:13.0,B. Bogdanovic makes free throw 2 of 2,1,34-40,,
9:59.0,Personal foul by B. Jennings (drawn by I. Clark),,34-40,,
9:48.0,,,34-40,,Turnover by D. West (traveling)
9:38.0,,,34-40,,Personal foul by M. Barnes (drawn by B. Jennings)
9:26.0,T. Satoransky misses 2-pt shot from 6 ft,,34-40,,
9:25.0,,,34-40,,Defensive rebound by D. West
9:07.0,,,34-43,3,A. Iguodala makes 3-pt shot from 23 ft (assist by K. Thompson)
8:51.0,B. Jennings misses 2-pt shot from 7 ft,,34-43,,
8:50.0,,,34-43,,Defensive rebound by M. Barnes
8:31.0,,,34-43,,K. Thompson misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by B. Jennings,,34-43,,
8:15.0,Turnover by B. Bogdanovic (bad pass; steal by A. Iguodala),,34-43,,
8:12.0,,,34-43,,Shooting foul by B. Jennings (drawn by A. Iguodala)
8:12.0,,,34-44,1,A. Iguodala makes free throw 1 of 2
8:12.0,,,34-45,1,A. Iguodala makes free throw 2 of 2
8:12.0,J. Wall enters the game for T. Satoransky,,34-44,,
8:03.0,Shooting foul by I. Clark (drawn by B. Jennings),,34-45,,
8:03.0,B. Jennings makes free throw 1 of 2,1,35-45,,
8:03.0,B. Jennings makes free throw 2 of 2,1,36-45,,
8:03.0,,,35-45,,D. Green enters the game for A. Iguodala
7:45.0,,,36-45,,Turnover by D. West (lost ball; steal by I. Mahinmi)
7:38.0,B. Bogdanovic makes 2-pt shot from 22 ft,2,38-45,,
7:16.0,,,38-45,,I. Clark misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by B. Jennings,,38-45,,
7:04.0,Turnover by I. Mahinmi (bad pass; steal by D. West),,38-45,,
6:51.0,,,38-47,2,D. West makes 2-pt shot from 1 ft (assist by D. Green)
6:35.0,,,38-47,,Personal foul by D. West (drawn by J. Wall)
6:35.0,J. Wall makes free throw 1 of 2,1,39-47,,
6:35.0,J. Wall makes free throw 2 of 2,1,40-47,,
6:35.0,,,39-47,,S. Livingston enters the game for M. Barnes
6:35.0,B. Beal enters the game for B. Jennings,,39-47,,
6:35.0,M. Morris enters the game for K. Oubre,,39-47,,
6:14.0,,,40-49,2,S. Livingston makes 2-pt shot from 10 ft (assist by D. Green)
5:57.0,,,40-49,,Personal foul by I. Clark (drawn by B. Beal)
5:57.0,Official timeout,,40-49,,
5:57.0,B. Beal makes free throw 1 of 2,1,41-49,,
5:57.0,B. Beal misses free throw 2 of 2,,41-49,,
5:57.0,,,40-49,,S. Curry enters the game for K. Thompson
5:57.0,,,40-49,,A. Iguodala enters the game for I. Clark
5:56.0,,,41-49,,Defensive rebound by D. Green
5:41.0,,,41-51,2,S. Livingston makes 2-pt shot from 13 ft (assist by D. Green)
5:27.0,J. Wall makes 2-pt shot from 1 ft,2,43-51,,
5:10.0,,,43-51,,Turnover by D. Green (bad pass; steal by B. Bogdanovic)
5:07.0,Turnover by B. Bogdanovic (bad pass),,43-51,,
5:07.0,O. Porter enters the game for I. Mahinmi,,43-51,,
4:53.0,,,43-51,,Turnover by D. Green (bad pass; steal by B. Beal)
4:44.0,J. Wall misses 2-pt shot from 2 ft,,43-51,,
4:44.0,,,43-51,,Defensive rebound by D. West
4:39.0,,,43-53,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
4:18.0,M. Morris makes 3-pt shot from 27 ft (assist by B. Beal),3,46-53,,
4:15.0,,,46-53,,Golden State full timeout
4:15.0,,,46-53,,M. Barnes enters the game for D. West
4:01.0,,,46-53,,S. Curry misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by J. Wall,,46-53,,
3:55.0,J. Wall misses 2-pt shot from 2 ft (block by A. Iguodala),,46-53,,
3:54.0,,,46-53,,Defensive rebound by D. Green
3:48.0,,,46-53,,S. Livingston misses 2-pt shot from 5 ft (block by M. Morris)
3:47.0,,,46-53,,Offensive rebound by S. Livingston
3:47.0,,,46-53,,S. Livingston misses 2-pt shot from 3 ft
3:45.0,Defensive rebound by O. Porter,,46-53,,
3:32.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,48-53,,
3:21.0,,,48-53,,Turnover by D. Green (bad pass; steal by M. Morris)
3:14.0,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal),2,50-53,,
3:01.0,,,50-53,,D. Green misses 2-pt shot from 5 ft
3:00.0,Defensive rebound by O. Porter,,50-53,,
2:54.0,Turnover by J. Wall (bad pass),,50-53,,
2:54.0,,,50-53,,K. Thompson enters the game for S. Livingston
2:38.0,,,50-55,2,K. Thompson makes 2-pt shot from 21 ft
2:22.0,,,50-55,,Violation by D. Green (kicked ball)
2:11.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by B. Beal),3,53-55,,
1:52.0,,,53-58,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
1:33.0,Turnover by B. Beal (lost ball; steal by D. Green),,53-58,,
1:25.0,,,53-61,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
1:23.0,Washington full timeout,,53-61,,
1:23.0,K. Oubre enters the game for B. Bogdanovic,,53-61,,
1:18.0,Turnover by J. Wall (bad pass; steal by S. Curry),,53-61,,
1:14.0,Violation by J. Wall (def goaltending),,53-61,,
1:14.0,,,53-63,2,S. Curry makes 2-pt shot from 3 ft
1:00.0,Turnover by M. Morris (bad pass),,53-63,,
0:50.0,,,53-65,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:44.0,,,53-65,,Personal foul by S. Curry (drawn by J. Wall)
0:44.0,J. Wall makes free throw 1 of 2,1,54-65,,
0:44.0,J. Wall makes free throw 2 of 2,1,55-65,,
0:29.0,,,55-65,,S. Curry misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by O. Porter,,55-65,,
0:24.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,57-65,,
0:01.0,,,57-65,,Shooting foul by K. Oubre (drawn by D. Green)
0:01.0,,,57-66,1,D. Green makes free throw 1 of 2
0:01.0,,,57-67,1,D. Green makes free throw 2 of 2
0:01.0,,,57-66,,P. McCaw enters the game for S. Curry
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,57-70,3,K. Thompson makes 3-pt shot from 26 ft
11:23.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,60-70,,
11:10.0,,,60-70,,K. Thompson misses 2-pt shot from 18 ft
11:10.0,,,60-70,,Offensive rebound by Z. Pachulia
11:05.0,,,60-70,,Turnover by K. Thompson (bad pass; steal by O. Porter)
11:01.0,O. Porter makes 2-pt shot from 3 ft,2,62-70,,
11:01.0,Shooting foul by Z. Pachulia (drawn by O. Porter),,62-70,,
11:01.0,O. Porter makes free throw 1 of 1,1,63-70,,
10:43.0,,,63-73,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
10:29.0,Shooting foul by D. Green (drawn by M. Gortat),,63-73,,
