time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (J. Grant gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (J. Grant gains possession)
11:36.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,3-0,,
11:10.0,,,3-2,2,N. Vonleh makes 2-pt shot from 19 ft
10:45.0,S. Adams misses 2-pt shot from 7 ft,,3-2,,
10:44.0,,,3-2,,Defensive rebound by M. Plumlee
10:33.0,Violation by S. Adams (kicked ball),,3-2,,
10:29.0,,,3-2,,D. Lillard misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by D. Sabonis,,3-2,,
10:20.0,S. Adams makes 2-pt shot from 2 ft,2,5-2,,
10:20.0,Shooting foul by M. Plumlee (drawn by S. Adams),,5-2,,
10:20.0,S. Adams makes free throw 1 of 1,1,6-2,,
10:05.0,,,6-2,,Shooting foul by D. Sabonis (drawn by M. Plumlee)
10:05.0,,,6-3,1,M. Plumlee makes free throw 1 of 2
10:05.0,,,6-4,1,M. Plumlee makes free throw 2 of 2
9:50.0,J. Grant misses 2-pt shot from 2 ft (block by M. Harkless),,6-4,,
9:49.0,,,6-4,,Defensive rebound by M. Harkless
9:40.0,,,6-4,,D. Lillard misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by R. Westbrook,,6-4,,
9:32.0,,,6-4,,Personal foul by N. Vonleh (drawn by S. Adams)
9:23.0,R. Westbrook makes 2-pt shot at rim,2,8-4,,
9:07.0,,,8-6,2,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard)
8:43.0,S. Adams misses 2-pt shot from 4 ft,,8-6,,
8:42.0,,,8-6,,Defensive rebound by C. McCollum
8:31.0,,,8-6,,M. Plumlee misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by R. Westbrook,,8-6,,
8:20.0,D. Sabonis makes 3-pt shot from 25 ft (assist by S. Adams),3,11-6,,
8:00.0,,,11-6,,C. McCollum misses 2-pt shot from 20 ft
