time,Indiana,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Turner (T. Young gains possession),,,,Jump ball: K. Koufos vs. M. Turner (T. Young gains possession)
11:45.0,M. Turner misses 2-pt shot from 18 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Cousins
11:26.0,,,0-0,,D. Cousins misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by Team,,0-0,,
11:14.0,T. Young misses 2-pt shot from 20 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by R. Gay
11:02.0,,,0-0,,Turnover by K. Koufos (bad pass; steal by T. Young)
10:47.0,P. George makes 3-pt shot from 25 ft (assist by T. Young),3,3-0,,
10:31.0,,,3-0,,Shooting foul by M. Turner (drawn by K. Koufos)
10:31.0,,,3-0,,K. Koufos misses free throw 1 of 2
10:31.0,,,3-0,,Offensive rebound by Team
10:31.0,,,3-1,1,K. Koufos makes free throw 2 of 2
10:21.0,P. George misses 3-pt shot from 24 ft,,3-1,,
10:20.0,,,3-1,,Defensive rebound by D. Cousins
10:05.0,,,3-1,,Shooting foul by J. Teague (drawn by R. Gay)
10:05.0,,,3-2,1,R. Gay makes free throw 1 of 2
10:05.0,,,3-3,1,R. Gay makes free throw 2 of 2
9:52.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,5-3,,
9:33.0,,,5-5,2,D. Collison makes 2-pt shot from 21 ft (assist by D. Cousins)
9:22.0,G. Robinson misses 2-pt shot from 19 ft,,5-5,,
9:20.0,,,5-5,,Defensive rebound by K. Koufos
9:15.0,,,5-7,2,R. Gay makes 2-pt shot from 3 ft (assist by D. Collison)
9:03.0,J. Teague misses 2-pt shot from 4 ft (block by D. Cousins),,5-7,,
9:01.0,,,5-7,,Defensive rebound by Team
8:41.0,,,5-9,2,D. Cousins makes 2-pt shot from 2 ft (assist by A. Afflalo)
8:22.0,G. Robinson misses 3-pt shot from 24 ft,,5-9,,
8:21.0,,,5-9,,Defensive rebound by D. Cousins
8:07.0,,,5-9,,K. Koufos misses 2-pt shot from 4 ft
8:05.0,Defensive rebound by T. Young,,5-9,,
8:01.0,Offensive foul by P. George,,5-9,,
8:01.0,Turnover by P. George (offensive foul),,5-9,,
8:01.0,Violation by Team (jump ball),,5-9,,
7:46.0,,,5-9,,D. Cousins misses 2-pt shot from 5 ft (block by M. Turner)
7:43.0,Defensive rebound by J. Teague,,5-9,,
7:41.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,7-9,,
7:26.0,,,7-12,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
7:10.0,G. Robinson makes 2-pt shot from 2 ft,2,9-12,,
6:58.0,,,9-14,2,D. Collison makes 2-pt shot from 18 ft
6:45.0,,,9-14,,Personal foul by R. Gay (drawn by M. Turner)
6:36.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,11-14,,
6:15.0,,,11-16,2,D. Cousins makes 2-pt shot from 2 ft
5:57.0,P. George makes 2-pt shot at rim,2,13-16,,
5:37.0,,,13-18,2,K. Koufos makes 2-pt shot from 3 ft (assist by D. Cousins)
5:30.0,Indiana full timeout,,13-18,,
5:30.0,K. Seraphin enters the game for T. Young,,13-18,,
5:30.0,,,13-18,,A. Tolliver enters the game for K. Koufos
5:21.0,P. George misses 3-pt shot from 25 ft,,13-18,,
5:21.0,,,13-18,,Defensive rebound by A. Tolliver
4:57.0,,,13-21,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison)
4:37.0,G. Robinson misses 3-pt shot from 24 ft,,13-21,,
4:37.0,,,13-21,,Defensive rebound by D. Cousins
4:22.0,,,13-21,,A. Afflalo misses 3-pt shot from 23 ft
4:22.0,,,13-21,,Offensive rebound by R. Gay
4:12.0,,,13-21,,A. Afflalo misses 2-pt shot from 20 ft
4:12.0,Defensive rebound by Team,,13-21,,
4:12.0,M. Ellis enters the game for G. Robinson,,13-21,,
4:04.0,,,13-21,,Personal foul by D. Cousins (drawn by M. Turner)
3:50.0,P. George makes 2-pt shot from 21 ft (assist by J. Teague),2,15-21,,
3:43.0,Violation by K. Seraphin (def goaltending),,15-21,,
3:43.0,,,15-23,2,D. Collison makes 2-pt shot from 3 ft
3:33.0,Offensive foul by J. Teague,,15-23,,
3:33.0,Turnover by J. Teague (offensive foul),,15-23,,
3:33.0,A. Brooks enters the game for J. Teague,,15-23,,
3:33.0,,,15-23,,G. Temple enters the game for A. Afflalo
3:23.0,,,15-23,,Turnover by D. Cousins (bad pass; steal by M. Ellis)
3:21.0,Shooting foul by G. Temple (drawn by M. Ellis),,15-23,,
3:21.0,M. Ellis makes 2-pt shot from 2 ft,2,17-23,,
3:21.0,M. Ellis misses free throw 1 of 1,,17-23,,
3:20.0,,,17-23,,Defensive rebound by D. Cousins
3:05.0,,,17-23,,R. Gay misses 2-pt shot from 16 ft
3:04.0,Defensive rebound by M. Ellis,,17-23,,
2:55.0,M. Turner misses 3-pt shot from 26 ft,,17-23,,
2:53.0,,,17-23,,Defensive rebound by A. Tolliver
2:33.0,,,17-25,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
2:18.0,Turnover by A. Brooks (bad pass; steal by D. Collison),,17-25,,
2:10.0,,,17-25,,R. Gay misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by M. Turner,,17-25,,
1:58.0,K. Seraphin misses 2-pt shot from 4 ft (block by R. Gay),,17-25,,
1:57.0,,,17-25,,Defensive rebound by G. Temple
1:53.0,Shooting block foul by A. Brooks (drawn by D. Collison),,17-25,,
1:53.0,,,17-25,,Sacramento full timeout
1:53.0,,,17-25,,Violation by Team (jump ball)
1:53.0,,,17-26,1,D. Collison makes free throw 1 of 2
1:53.0,,,17-26,,D. Collison misses free throw 2 of 2
1:53.0,C. Miles enters the game for M. Turner,,17-25,,
1:53.0,A. Jefferson enters the game for P. George,,17-25,,
1:53.0,,,17-25,,W. Cauley-Stein enters the game for D. Cousins
1:51.0,Defensive rebound by K. Seraphin,,17-26,,
1:39.0,Turnover by M. Ellis (bad pass; steal by A. Tolliver),,17-26,,
1:31.0,,,17-26,,G. Temple misses 3-pt shot from 26 ft
1:30.0,,,17-26,,Offensive rebound by Team
1:29.0,,,17-26,,M. Barnes enters the game for R. Gay
1:16.0,,,17-26,,A. Tolliver misses 3-pt shot from 24 ft
1:15.0,,,17-26,,Offensive rebound by G. Temple
1:08.0,,,17-29,3,M. Barnes makes 3-pt shot from 25 ft (assist by G. Temple)
0:49.0,Shooting foul by W. Cauley-Stein (drawn by A. Jefferson),,17-29,,
0:49.0,A. Jefferson makes free throw 1 of 2,1,18-29,,
0:49.0,A. Jefferson makes free throw 2 of 2,1,19-29,,
0:39.0,,,19-32,3,A. Tolliver makes 3-pt shot from 25 ft (assist by M. Barnes)
0:31.0,C. Miles misses 3-pt shot from 25 ft,,19-32,,
0:30.0,,,19-32,,Defensive rebound by M. Barnes
0:16.0,T. Young enters the game for K. Seraphin,,19-32,,
0:14.0,,,19-32,,Turnover by M. Barnes (bad pass; steal by T. Young)
0:01.0,A. Jefferson makes 2-pt shot from 8 ft (assist by A. Brooks),2,21-32,,
0:00.0,,,21-34,2,G. Temple makes 2-pt shot from 2 ft (assist by M. Barnes)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,21-34,,M. Barnes misses 3-pt shot from 25 ft
11:39.0,,,21-34,,Offensive rebound by W. Cauley-Stein
11:22.0,,,21-34,,G. Temple misses 3-pt shot from 25 ft
11:21.0,,,21-34,,Offensive rebound by B. McLemore
11:08.0,,,21-36,2,G. Temple makes 2-pt shot from 2 ft (assist by M. Barnes)
10:44.0,C. Miles makes 3-pt shot from 25 ft (assist by A. Jefferson),3,24-36,,
10:31.0,,,24-36,,Offensive charge foul by A. Tolliver
10:31.0,,,24-36,,Turnover by A. Tolliver (offensive foul)
10:12.0,A. Brooks misses 2-pt shot from 3 ft,,24-36,,
10:10.0,Offensive rebound by A. Jefferson,,24-36,,
10:10.0,A. Jefferson makes 2-pt shot from 2 ft,2,26-36,,
10:01.0,,,26-36,,Turnover by B. McLemore (step out of bounds)
9:45.0,C. Miles misses 2-pt shot from 3 ft,,26-36,,
9:44.0,Offensive rebound by A. Jefferson,,26-36,,
9:40.0,A. Jefferson makes 2-pt shot from 19 ft,2,28-36,,
9:32.0,,,28-36,,Sacramento full timeout
9:21.0,,,28-36,,Turnover by G. Temple (bad pass)
9:00.0,C. Miles misses 3-pt shot from 23 ft,,28-36,,
8:59.0,,,28-36,,Defensive rebound by G. Temple
