time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. I. Zubac (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. I. Zubac (D. Lillard gains possession)
11:43.0,C. McCollum makes 2-pt shot from 20 ft,2,2-0,,
11:29.0,,,2-0,,Turnover by J. Clarkson (bad pass; steal by M. Harkless)
11:13.0,J. Nurkic misses 2-pt shot from 3 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by J. Randle
11:04.0,,,2-0,,J. Randle misses 2-pt shot from 11 ft
10:57.0,Defensive rebound by D. Lillard,,2-0,,
10:52.0,J. Nurkic misses 2-pt shot from 6 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by J. Randle
10:43.0,,,2-0,,C. Brewer misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by N. Vonleh,,2-0,,
10:31.0,D. Lillard misses 2-pt shot from 3 ft (block by C. Brewer),,2-0,,
10:25.0,,,2-0,,Defensive rebound by C. Brewer
10:22.0,,,2-2,2,D. Russell makes 2-pt shot from 2 ft (assist by C. Brewer)
10:08.0,C. McCollum makes 2-pt shot from 8 ft,2,4-2,,
9:59.0,,,4-2,,J. Clarkson misses 2-pt shot from 8 ft
9:52.0,Defensive rebound by N. Vonleh,,4-2,,
9:46.0,M. Harkless misses 3-pt shot from 26 ft,,4-2,,
9:43.0,,,4-2,,Defensive rebound by J. Clarkson
9:36.0,,,4-2,,I. Zubac misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by N. Vonleh,,4-2,,
9:26.0,D. Lillard makes 3-pt shot from 27 ft,3,7-2,,
9:17.0,,,7-4,2,J. Clarkson makes 2-pt shot from 9 ft
9:02.0,D. Lillard misses 3-pt shot from 26 ft,,7-4,,
8:59.0,,,7-4,,Defensive rebound by J. Clarkson
8:50.0,,,7-4,,I. Zubac misses 2-pt shot from 8 ft
8:47.0,Defensive rebound by N. Vonleh,,7-4,,
8:37.0,C. McCollum misses 2-pt shot from 16 ft,,7-4,,
8:36.0,,,7-4,,Defensive rebound by J. Randle
8:28.0,Personal foul by J. Nurkic (drawn by I. Zubac),,7-4,,
8:23.0,Personal foul by D. Lillard (drawn by D. Russell),,7-4,,
8:23.0,,,7-5,1,D. Russell makes free throw 1 of 2
8:23.0,,,7-6,1,D. Russell makes free throw 2 of 2
8:07.0,J. Nurkic misses 2-pt shot from 1 ft (block by C. Brewer),,7-6,,
8:05.0,Offensive rebound by N. Vonleh,,7-6,,
7:59.0,D. Lillard misses 2-pt shot from 8 ft (block by J. Randle),,7-6,,
7:59.0,Offensive rebound by Team,,7-6,,
7:55.0,J. Nurkic makes 2-pt shot from 2 ft (assist by M. Harkless),2,9-6,,
7:44.0,,,9-6,,D. Russell misses 2-pt shot from 20 ft
7:43.0,Defensive rebound by Team,,9-6,,
