time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (D. Carroll gains possession)
11:40.0,,,0-2,2,K. Lowry makes 2-pt shot from 4 ft
11:23.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,3-2,,
11:12.0,,,3-2,,K. Lowry misses 2-pt shot from 5 ft
11:11.0,Defensive rebound by J. Parker,,3-2,,
11:01.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,5-2,,
10:45.0,,,5-2,,N. Powell misses 2-pt shot from 3 ft
10:45.0,Defensive rebound by Team,,5-2,,
10:35.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,7-2,,
10:10.0,,,7-5,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
9:59.0,J. Parker misses 3-pt shot from 26 ft,,7-5,,
9:59.0,Offensive rebound by Team,,7-5,,
9:59.0,,,7-5,,Loose ball foul by D. Carroll (drawn by G. Antetokounmpo)
9:47.0,M. Plumlee misses 2-pt shot from 6 ft,,7-5,,
9:46.0,,,7-5,,Defensive rebound by J. Valanciunas
9:28.0,,,7-5,,Turnover by J. Valanciunas (traveling)
9:18.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,9-5,,
9:12.0,Personal block foul by G. Antetokounmpo (drawn by K. Lowry),,9-5,,
9:03.0,,,9-5,,D. Carroll misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by J. Parker,,9-5,,
8:51.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,11-5,,
8:27.0,,,11-7,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
8:10.0,J. Parker misses 3-pt shot from 26 ft,,11-7,,
8:10.0,,,11-7,,Defensive rebound by J. Valanciunas
8:03.0,,,11-10,3,K. Lowry makes 3-pt shot from 25 ft
7:51.0,J. Parker makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,13-10,,
7:43.0,,,13-12,2,K. Lowry makes 2-pt shot at rim
