time,Washington,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Harrell (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Harrell (J. Wall gains possession)
11:42.0,M. Morris misses 3-pt shot from 26 ft,,0-0,,
11:41.0,Offensive rebound by M. Gortat,,0-0,,
11:34.0,B. Beal makes 2-pt shot from 23 ft,2,2-0,,
11:10.0,,,2-0,,Turnover by J. Harden (bad pass; steal by J. Wall)
11:05.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,4-0,,
10:50.0,,,4-0,,J. Harden misses 3-pt shot from 26 ft
10:46.0,,,4-0,,Offensive rebound by J. Harden
10:44.0,,,4-2,2,J. Harden makes 2-pt shot from 2 ft
10:27.0,M. Morris makes 2-pt shot from 3 ft,2,6-2,,
10:15.0,,,6-4,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
9:53.0,M. Morris misses 3-pt shot from 26 ft,,6-4,,
9:52.0,Offensive rebound by M. Gortat,,6-4,,
9:50.0,M. Gortat misses 2-pt shot from 2 ft,,6-4,,
9:49.0,,,6-4,,Defensive rebound by R. Anderson
9:45.0,,,6-6,2,C. Brewer makes 2-pt shot at rim (assist by J. Harden)
9:16.0,M. Morris makes 2-pt shot from 19 ft (assist by B. Beal),2,8-6,,
8:57.0,,,8-6,,J. Harden misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by J. Wall,,8-6,,
8:47.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,10-6,,
8:28.0,,,10-6,,Turnover by J. Harden (bad pass; steal by B. Beal)
8:10.0,M. Gortat makes 2-pt shot from 1 ft,2,12-6,,
7:53.0,,,12-6,,Turnover by J. Harden (lost ball; steal by B. Beal)
7:49.0,Turnover by J. Wall (bad pass),,12-6,,
7:42.0,,,12-6,,R. Anderson misses 3-pt shot from 30 ft
7:41.0,Defensive rebound by J. Wall,,12-6,,
7:15.0,O. Porter misses 3-pt shot from 24 ft,,12-6,,
7:14.0,,,12-6,,Defensive rebound by C. Brewer
7:09.0,,,12-6,,T. Ariza misses 2-pt shot from 3 ft
7:06.0,Defensive rebound by O. Porter,,12-6,,
6:58.0,B. Beal makes 3-pt shot from 23 ft (assist by O. Porter),3,15-6,,
6:37.0,,,15-8,2,J. Harden makes 2-pt shot from 3 ft
6:18.0,B. Beal misses 3-pt shot from 25 ft,,15-8,,
6:16.0,,,15-8,,Defensive rebound by T. Ariza
5:59.0,,,15-8,,R. Anderson misses 2-pt shot from 20 ft
5:59.0,,,15-8,,Offensive rebound by Team
5:59.0,,,15-8,,Houston full timeout
5:59.0,,,15-8,,E. Gordon enters the game for C. Brewer
5:57.0,,,15-10,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
5:28.0,M. Morris makes 2-pt shot from 20 ft (assist by B. Beal),2,17-10,,
5:11.0,,,17-10,,Turnover by M. Harrell (bad pass)
4:51.0,Turnover by M. Gortat (lost ball; steal by J. Harden),,17-10,,
4:41.0,,,17-10,,R. Anderson misses 3-pt shot from 27 ft
4:39.0,Defensive rebound by M. Gortat,,17-10,,
4:29.0,O. Porter makes 2-pt shot from 21 ft (assist by M. Morris),2,19-10,,
4:18.0,,,19-10,,J. Harden misses 2-pt shot from 7 ft
4:17.0,Defensive rebound by B. Beal,,19-10,,
4:12.0,J. Wall makes 2-pt shot from 1 ft,2,21-10,,
3:57.0,,,21-10,,J. Harden misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by M. Gortat,,21-10,,
3:45.0,J. Wall makes 2-pt shot from 19 ft,2,23-10,,
3:45.0,,,23-10,,Houston full timeout
3:45.0,,,23-10,,S. Dekker enters the game for R. Anderson
3:45.0,J. Smith enters the game for O. Porter,,23-10,,
3:45.0,K. Oubre enters the game for M. Morris,,23-10,,
3:45.0,,,23-10,,N. Hilario enters the game for M. Harrell
3:30.0,,,23-10,,T. Ariza misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by K. Oubre,,23-10,,
3:08.0,J. Smith misses 2-pt shot from 10 ft (block by S. Dekker),,23-10,,
3:06.0,,,23-10,,Defensive rebound by N. Hilario
2:59.0,,,23-12,2,N. Hilario makes 2-pt shot from 14 ft (assist by E. Gordon)
2:44.0,,,23-12,,Shooting block foul by E. Gordon (drawn by B. Beal)
2:44.0,Washington full timeout,,23-12,,
2:44.0,B. Beal makes free throw 1 of 2,1,24-12,,
2:44.0,B. Beal makes free throw 2 of 2,1,25-12,,
2:29.0,,,25-12,,N. Hilario misses 2-pt shot from 6 ft
2:28.0,Defensive rebound by M. Gortat,,25-12,,
2:13.0,K. Oubre misses 3-pt shot from 24 ft,,25-12,,
2:11.0,Offensive rebound by M. Gortat,,25-12,,
1:58.0,B. Beal misses 2-pt shot from 21 ft,,25-12,,
1:58.0,Offensive rebound by Team,,25-12,,
1:58.0,M. Thornton enters the game for B. Beal,,25-12,,
1:45.0,J. Wall makes 2-pt shot from 3 ft,2,27-12,,
1:30.0,,,27-14,2,E. Gordon makes 2-pt shot from 21 ft (assist by J. Harden)
1:11.0,Turnover by J. Wall (bad pass),,27-14,,
1:00.0,,,27-14,,J. Harden misses 3-pt shot from 25 ft
0:58.0,,,27-14,,Offensive rebound by N. Hilario
0:58.0,,,27-14,,Shooting foul by K. Oubre (drawn by N. Hilario)
0:58.0,,,27-14,,N. Hilario misses free throw 1 of 2
0:58.0,,,27-14,,Offensive rebound by Team
0:58.0,,,27-14,,N. Hilario misses free throw 2 of 2
0:58.0,Defensive rebound by J. Smith,,27-14,,
0:45.0,J. Wall misses 2-pt shot from 2 ft,,27-14,,
0:43.0,,,27-14,,Defensive rebound by Team
0:34.0,,,27-14,,J. Harden misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by K. Oubre,,27-14,,
0:28.0,J. Wall makes 2-pt shot from 1 ft,2,29-14,,
0:06.0,,,29-14,,E. Gordon misses 2-pt shot from 7 ft
0:05.0,Defensive rebound by J. Smith,,29-14,,
0:03.0,Turnover by J. Smith (bad pass; steal by J. Harden),,29-14,,
0:00.0,,,29-14,,T. Ariza misses 3-pt shot from 26 ft
0:00.0,,,29-14,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-17,3,E. Gordon makes 3-pt shot from 27 ft (assist by T. Ennis)
11:31.0,J. Smith makes 2-pt shot from 20 ft (assist by M. Gortat),2,31-17,,
11:15.0,,,31-19,2,T. Ennis makes 2-pt shot from 2 ft
10:55.0,T. Burke misses 3-pt shot from 26 ft,,31-19,,
10:54.0,,,31-19,,Defensive rebound by S. Dekker
10:46.0,,,31-21,2,C. Brewer makes 2-pt shot from 1 ft (assist by E. Gordon)
10:34.0,Turnover by M. Gortat (lost ball; steal by N. Hilario),,31-21,,
10:29.0,,,31-23,2,E. Gordon makes 2-pt shot from 1 ft (assist by C. Brewer)
10:29.0,Washington full timeout,,31-23,,
10:29.0,M. Morris enters the game for M. Gortat,,31-23,,
10:12.0,M. Thornton misses 3-pt shot from 26 ft,,31-23,,
10:11.0,,,31-23,,Defensive rebound by N. Hilario
10:00.0,,,31-23,,Shooting foul by J. Smith (drawn by N. Hilario)
10:00.0,,,31-23,,N. Hilario misses free throw 1 of 2
10:00.0,,,31-23,,Offensive rebound by Team
10:00.0,,,31-24,1,N. Hilario makes free throw 2 of 2
9:43.0,M. Thornton makes 2-pt shot from 2 ft (assist by M. Morris),2,33-24,,
9:35.0,,,33-24,,S. Dekker misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by M. Thornton,,33-24,,
9:27.0,M. Thornton misses 2-pt shot from 3 ft,,33-24,,
9:27.0,Offensive rebound by Team,,33-24,,
9:24.0,Shooting foul by S. Dekker (drawn by M. Morris),,33-24,,
9:24.0,M. Morris makes free throw 1 of 2,1,34-24,,
9:24.0,M. Morris makes free throw 2 of 2,1,35-24,,
9:05.0,,,35-24,,C. Brewer misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by K. Oubre,,35-24,,
8:53.0,T. Burke makes 2-pt shot from 5 ft,2,37-24,,
8:40.0,,,37-24,,E. Gordon misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by M. Morris,,37-24,,
8:31.0,T. Burke misses 2-pt shot from 19 ft,,37-24,,
8:30.0,,,37-24,,Defensive rebound by Team
8:30.0,Loose ball foul by J. Smith (drawn by T. Ennis),,37-24,,
8:30.0,,,37-24,,R. Anderson enters the game for N. Hilario
8:21.0,Personal foul by K. Oubre (drawn by E. Gordon),,37-24,,
8:11.0,,,37-24,,T. Ennis misses 2-pt shot from 10 ft
8:10.0,Defensive rebound by K. Oubre,,37-24,,
7:55.0,M. Morris misses 3-pt shot from 24 ft,,37-24,,
7:53.0,,,37-24,,Defensive rebound by S. Dekker
7:47.0,,,37-24,,Turnover by C. Brewer (bad pass; steal by M. Thornton)
7:39.0,J. Smith makes 2-pt shot at rim (assist by T. Burke),2,39-24,,
7:38.0,,,39-24,,Houston full timeout
7:38.0,,,39-24,,T. Ariza enters the game for C. Brewer
7:38.0,,,39-24,,M. Harrell enters the game for S. Dekker
7:38.0,,,39-24,,J. Harden enters the game for T. Ennis
7:16.0,,,39-27,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
6:57.0,M. Morris misses 2-pt shot from 19 ft,,39-27,,
6:53.0,Offensive rebound by K. Oubre,,39-27,,
6:52.0,K. Oubre misses 2-pt shot from 2 ft,,39-27,,
6:51.0,,,39-27,,Defensive rebound by T. Ariza
6:47.0,,,39-27,,E. Gordon misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by M. Morris,,39-27,,
6:39.0,M. Thornton makes 2-pt shot from 7 ft (assist by T. Burke),2,41-27,,
6:28.0,Personal foul by T. Burke (drawn by E. Gordon),,41-27,,
6:28.0,B. Beal enters the game for K. Oubre,,41-27,,
6:28.0,J. Wall enters the game for J. Smith,,41-27,,
6:28.0,M. Gortat enters the game for M. Thornton,,41-27,,
6:28.0,O. Porter enters the game for T. Burke,,41-27,,
6:14.0,,,41-27,,Turnover by Team (shot clock)
5:57.0,M. Morris misses 3-pt shot from 24 ft,,41-27,,
