time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,T. Young misses 2-pt shot from 6 ft (block by L. James),,0-0,,
12:00.0,Jump ball: T. Thompson vs. M. Turner (T. Young gains possession),,,,Jump ball: T. Thompson vs. M. Turner (T. Young gains possession)
11:34.0,,,0-0,,Defensive rebound by K. Love
11:31.0,,,0-0,,L. James misses 2-pt shot from 1 ft (block by M. Turner)
11:31.0,,,0-0,,Offensive rebound by Team
11:25.0,,,0-0,,J. Smith misses 3-pt shot from 23 ft
11:25.0,,,0-0,,Offensive rebound by T. Thompson
11:20.0,,,0-0,,Turnover by K. Irving (step out of bounds)
11:07.0,P. George misses 3-pt shot from 25 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by K. Love
10:56.0,,,0-0,,Turnover by K. Irving (bad pass; steal by T. Young)
10:52.0,P. George makes 2-pt shot at rim,2,2-0,,
10:33.0,,,2-0,,Turnover by L. James (bad pass; steal by T. Young)
10:29.0,Shooting foul by K. Irving (drawn by T. Young),,2-0,,
10:29.0,T. Young makes free throw 1 of 2,1,3-0,,
10:29.0,T. Young misses free throw 2 of 2,,3-0,,
10:28.0,,,3-0,,Defensive rebound by K. Love
10:26.0,Personal foul by M. Turner (drawn by K. Love),,3-0,,
10:14.0,,,3-2,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
10:00.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,6-2,,
9:45.0,,,6-2,,K. Irving misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by P. George,,6-2,,
9:31.0,M. Turner misses 2-pt shot from 2 ft (block by T. Thompson),,6-2,,
9:30.0,,,6-2,,Defensive rebound by T. Thompson
9:12.0,,,6-4,2,L. James makes 2-pt shot from 8 ft
9:01.0,P. George makes 3-pt shot from 26 ft (assist by T. Young),3,9-4,,
9:01.0,,,9-4,,Cleveland full timeout
8:51.0,,,9-4,,K. Irving misses 2-pt shot from 7 ft
8:50.0,,,9-4,,Offensive rebound by T. Thompson
8:46.0,,,9-7,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
8:23.0,J. Teague makes 2-pt shot from 7 ft,2,11-7,,
8:12.0,,,11-7,,T. Thompson misses 2-pt shot from 1 ft (block by M. Turner)
8:10.0,Defensive rebound by J. Teague,,11-7,,
8:06.0,P. George misses 3-pt shot from 25 ft,,11-7,,
8:05.0,,,11-7,,Defensive rebound by L. James
7:59.0,,,11-10,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
7:42.0,M. Turner misses 2-pt shot from 17 ft,,11-10,,
7:41.0,Offensive rebound by P. George,,11-10,,
7:33.0,J. Teague misses 3-pt shot from 25 ft,,11-10,,
7:32.0,,,11-10,,Defensive rebound by Team
7:19.0,,,11-12,2,T. Thompson makes 2-pt shot from 6 ft (assist by L. James)
7:05.0,M. Ellis misses 2-pt shot from 4 ft (block by T. Thompson),,11-12,,
7:04.0,,,11-12,,Defensive rebound by K. Love
6:52.0,,,11-14,2,K. Irving makes 2-pt shot from 19 ft
6:41.0,T. Young misses 2-pt shot from 1 ft,,11-14,,
6:40.0,Offensive rebound by T. Young,,11-14,,
6:33.0,M. Turner misses 2-pt shot from 2 ft (block by L. James),,11-14,,
6:32.0,Offensive rebound by M. Ellis,,11-14,,
6:30.0,Shooting foul by K. Love (drawn by T. Young),,11-14,,
6:30.0,T. Young makes free throw 1 of 2,1,12-14,,
6:30.0,T. Young misses free throw 2 of 2,,12-14,,
6:29.0,,,12-14,,Defensive rebound by K. Love
6:15.0,Personal foul by P. George (drawn by L. James),,12-14,,
6:02.0,,,12-16,2,L. James makes 2-pt shot from 16 ft
5:41.0,P. George makes 2-pt shot at rim,2,14-16,,
5:29.0,,,14-16,,K. Irving misses 2-pt shot at rim
5:28.0,,,14-16,,Offensive rebound by T. Thompson
5:28.0,,,14-16,,T. Thompson misses 2-pt shot from 1 ft
5:27.0,Defensive rebound by J. Teague,,14-16,,
5:22.0,Turnover by J. Teague (bad pass; steal by L. James),,14-16,,
5:21.0,,,14-16,,Turnover by L. James (bad pass)
5:08.0,T. Young makes 2-pt shot from 19 ft (assist by M. Ellis),2,16-16,,
4:48.0,,,16-19,3,J. Smith makes 3-pt shot from 25 ft
4:36.0,J. Teague makes 3-pt shot from 24 ft,3,19-19,,
4:15.0,,,19-21,2,K. Love makes 2-pt shot from 10 ft (assist by K. Irving)
4:05.0,M. Turner misses 3-pt shot from 25 ft,,19-21,,
4:05.0,,,19-21,,Defensive rebound by L. James
3:57.0,,,19-21,,Turnover by K. Love (step out of bounds)
3:57.0,C. Miles enters the game for M. Ellis,,19-21,,
3:57.0,,,19-21,,R. Jefferson enters the game for K. Love
3:39.0,C. Miles makes 2-pt shot from 6 ft (assist by J. Teague),2,21-21,,
3:30.0,Def 3 sec tech foul by C. Miles,,21-21,,
3:30.0,,,21-22,1,K. Irving makes technical free throw
3:30.0,K. Seraphin enters the game for M. Turner,,21-22,,
3:15.0,,,21-22,,L. James misses 2-pt shot from 12 ft
3:12.0,Defensive rebound by C. Miles,,21-22,,
2:54.0,Turnover by J. Teague (bad pass; steal by K. Irving),,21-22,,
2:49.0,,,21-24,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
2:49.0,Indiana full timeout,,21-24,,
2:49.0,,,21-24,,K. Korver enters the game for L. James
2:49.0,L. Stephenson enters the game for P. George,,21-24,,
2:49.0,G. Robinson enters the game for T. Young,,21-24,,
2:26.0,L. Stephenson misses 2-pt shot from 15 ft,,21-24,,
2:25.0,Offensive rebound by K. Seraphin,,21-24,,
2:16.0,L. Stephenson misses 2-pt shot from 18 ft,,21-24,,
2:16.0,Offensive rebound by L. Stephenson,,21-24,,
2:09.0,G. Robinson makes 3-pt shot from 23 ft (assist by C. Miles),3,24-24,,
1:50.0,,,24-24,,K. Irving misses 2-pt shot from 17 ft
1:50.0,Defensive rebound by G. Robinson,,24-24,,
1:43.0,J. Teague makes 2-pt shot from 11 ft,2,26-24,,
1:43.0,Shooting foul by K. Irving (drawn by J. Teague),,26-24,,
1:43.0,J. Teague makes free throw 1 of 1,1,27-24,,
1:43.0,,,26-24,,K. Love enters the game for T. Thompson
1:43.0,,,26-24,,D. Williams enters the game for K. Irving
1:32.0,,,27-27,3,K. Love makes 3-pt shot from 25 ft (assist by D. Williams)
1:18.0,K. Seraphin misses 2-pt shot from 3 ft,,27-27,,
1:17.0,,,27-27,,Defensive rebound by K. Love
0:55.0,,,27-30,3,D. Williams makes 3-pt shot from 26 ft
0:39.0,L. Stephenson misses 2-pt shot from 6 ft,,27-30,,
0:37.0,,,27-30,,Defensive rebound by K. Love
0:29.0,,,27-30,,Turnover by J. Smith (bad pass; steal by C. Miles)
0:12.0,K. Seraphin makes 2-pt shot from 2 ft (assist by J. Teague),2,29-30,,
0:01.0,,,29-30,,Shooting foul by J. Teague (drawn by K. Love)
0:01.0,,,29-31,1,K. Love makes free throw 1 of 2
0:01.0,,,29-32,1,K. Love makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-34,2,L. James makes 2-pt shot at rim (assist by K. Korver)
11:36.0,Offensive foul by C. Miles,,29-34,,
11:36.0,Turnover by C. Miles (offensive foul),,29-34,,
11:24.0,,,29-34,,K. Korver misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by P. George,,29-34,,
11:13.0,K. Seraphin misses 2-pt shot from 8 ft,,29-34,,
11:12.0,,,29-34,,Defensive rebound by C. Frye
10:56.0,,,29-34,,C. Frye misses 3-pt shot from 25 ft
10:55.0,,,29-34,,Offensive rebound by R. Jefferson
10:44.0,,,29-34,,R. Jefferson misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by G. Robinson,,29-34,,
10:30.0,Turnover by P. George (bad pass),,29-34,,
10:30.0,M. Turner enters the game for K. Seraphin,,29-34,,
10:14.0,,,29-36,2,R. Jefferson makes 2-pt shot from 5 ft (assist by L. James)
9:56.0,C. Miles misses 3-pt shot from 25 ft,,29-36,,
9:56.0,,,29-36,,Defensive rebound by C. Frye
9:35.0,,,29-38,2,L. James makes 2-pt shot from 19 ft
9:20.0,P. George misses 2-pt shot from 13 ft,,29-38,,
9:20.0,,,29-38,,Defensive rebound by L. James
9:13.0,,,29-38,,Turnover by L. James (lost ball; steal by L. Stephenson)
9:12.0,,,29-38,,Personal foul by D. Williams (drawn by P. George)
9:12.0,M. Ellis enters the game for G. Robinson,,29-38,,
9:07.0,,,29-38,,Personal foul by R. Jefferson (drawn by P. George)
9:07.0,,,29-38,,K. Love enters the game for R. Jefferson
9:01.0,L. Stephenson misses 2-pt shot from 6 ft (block by C. Frye),,29-38,,
9:00.0,,,29-38,,Defensive rebound by Team
8:48.0,,,29-40,2,L. James makes 2-pt shot at rim
8:40.0,Indiana full timeout,,29-40,,
8:26.0,Shooting foul by L. James (drawn by P. George),,29-40,,
8:26.0,P. George makes free throw 1 of 2,1,30-40,,
8:26.0,P. George makes free throw 2 of 2,1,31-40,,
8:12.0,,,31-43,3,D. Williams makes 3-pt shot from 23 ft (assist by C. Frye)
8:01.0,L. Stephenson makes 2-pt shot from 15 ft (assist by P. George),2,33-43,,
7:45.0,,,33-46,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Korver)
7:31.0,L. Stephenson makes 2-pt shot from 5 ft,2,35-46,,
7:17.0,,,35-46,,K. Korver misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by L. Stephenson,,35-46,,
7:11.0,L. Stephenson makes 2-pt shot from 15 ft,2,37-46,,
6:51.0,,,37-49,3,D. Williams makes 3-pt shot from 23 ft (assist by L. James)
6:35.0,L. Stephenson misses 2-pt shot from 8 ft,,37-49,,
6:35.0,Offensive rebound by C. Miles,,37-49,,
6:32.0,C. Miles makes 2-pt shot from 3 ft,2,39-49,,
6:21.0,,,39-49,,Shooting foul by P. George (drawn by L. James)
6:21.0,,,39-50,1,L. James makes free throw 1 of 2
6:21.0,,,39-51,1,L. James makes free throw 2 of 2
6:21.0,,,39-50,,J. Smith enters the game for K. Korver
6:21.0,T. Young enters the game for C. Miles,,39-50,,
6:06.0,T. Young makes 2-pt shot from 1 ft (assist by P. George),2,41-51,,
5:55.0,,,41-53,2,L. James makes 2-pt shot from 7 ft
5:43.0,P. George makes 2-pt shot from 20 ft,2,43-53,,
5:32.0,,,43-56,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
5:18.0,M. Turner misses 2-pt shot from 7 ft,,43-56,,
5:16.0,,,43-56,,Defensive rebound by L. James
5:12.0,,,43-56,,Turnover by L. James (lost ball; steal by T. Young)
5:07.0,T. Young makes 2-pt shot at rim (assist by P. George),2,45-56,,
5:07.0,,,45-56,,Cleveland full timeout
5:07.0,,,45-56,,K. Irving enters the game for L. James
5:07.0,J. Teague enters the game for L. Stephenson,,45-56,,
4:51.0,,,45-56,,D. Williams misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by Team,,45-56,,
4:42.0,,,45-56,,Violation by C. Frye (kicked ball)
4:31.0,,,45-56,,Shooting block foul by K. Love (drawn by P. George)
4:31.0,P. George makes free throw 1 of 2,1,46-56,,
4:31.0,P. George makes free throw 2 of 2,1,47-56,,
4:31.0,,,46-56,,T. Thompson enters the game for C. Frye
4:22.0,,,47-56,,Turnover by T. Thompson (lost ball; steal by J. Teague)
4:19.0,P. George makes 2-pt shot at rim (assist by J. Teague),2,49-56,,
3:57.0,,,49-58,2,K. Irving makes 2-pt shot from 7 ft
3:39.0,J. Teague makes 2-pt shot from 7 ft,2,51-58,,
3:25.0,,,51-60,2,K. Irving makes 2-pt shot from 9 ft
3:14.0,Turnover by M. Turner (bad pass),,51-60,,
3:14.0,,,51-60,,L. James enters the game for D. Williams
2:59.0,,,51-62,2,K. Irving makes 2-pt shot at rim
2:36.0,T. Young makes 2-pt shot at rim (assist by M. Ellis),2,53-62,,
2:20.0,,,53-62,,Shooting foul by T. Young (drawn by L. James)
2:20.0,Official timeout,,53-62,,
2:20.0,,,53-62,,L. James misses free throw 1 of 2
2:20.0,,,53-62,,Offensive rebound by Team
2:20.0,,,53-63,1,L. James makes free throw 2 of 2
2:20.0,G. Robinson enters the game for P. George,,53-62,,
2:00.0,M. Ellis makes 2-pt shot from 19 ft,2,55-63,,
1:35.0,,,55-63,,L. James misses 2-pt shot from 9 ft
1:35.0,Defensive rebound by M. Turner,,55-63,,
1:21.0,,,55-63,,R. Jefferson enters the game for K. Love
1:21.0,,,55-63,,D. Williams enters the game for K. Irving
1:11.0,J. Teague makes 2-pt shot from 7 ft,2,57-63,,
0:48.0,,,57-63,,J. Smith misses 2-pt shot from 7 ft
0:46.0,Defensive rebound by M. Turner,,57-63,,
0:36.0,M. Ellis misses 2-pt shot from 15 ft,,57-63,,
0:34.0,,,57-63,,Defensive rebound by L. James
0:30.0,Personal block foul by T. Young (drawn by L. James),,57-63,,
0:13.0,,,57-63,,Turnover by L. James (lost ball; steal by M. Ellis)
0:05.0,Shooting foul by T. Thompson (drawn by G. Robinson),,57-63,,
0:05.0,G. Robinson makes free throw 1 of 2,1,58-63,,
0:05.0,G. Robinson misses free throw 2 of 2,,58-63,,
0:05.0,,,58-63,,Defensive rebound by K. Korver
0:05.0,,,58-63,,K. Korver enters the game for R. Jefferson
0:05.0,,,58-63,,C. Frye enters the game for T. Thompson
0:05.0,C. Miles enters the game for T. Young,,58-63,,
0:01.0,,,58-63,,Turnover by L. James (bad pass; steal by C. Miles)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-65,2,K. Irving makes 2-pt shot from 1 ft (assist by K. Love)
11:31.0,,,58-65,,Personal foul by I. Shumpert (drawn by P. George)
11:17.0,J. Teague misses 2-pt shot from 3 ft (block by L. James),,58-65,,
11:17.0,Offensive rebound by Team,,58-65,,
11:16.0,Turnover by Team (shot clock),,58-65,,
11:05.0,,,58-67,2,K. Irving makes 2-pt shot at rim
10:52.0,P. George misses 2-pt shot from 13 ft,,58-67,,
10:51.0,,,58-67,,Defensive rebound by L. James
10:40.0,,,58-67,,K. Irving misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by P. George,,58-67,,
10:33.0,Turnover by P. George (bad pass; steal by L. James),,58-67,,
10:25.0,,,58-70,3,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Love)
10:25.0,Indiana full timeout,,58-70,,
10:16.0,J. Teague makes 2-pt shot from 16 ft,2,60-70,,
10:09.0,,,60-70,,Shooting foul by J. Teague (drawn by K. Irving)
10:09.0,,,60-71,1,K. Irving makes free throw 1 of 2
10:09.0,,,60-72,1,K. Irving makes free throw 2 of 2
9:59.0,,,60-72,,Shooting block foul by K. Love (drawn by J. Teague)
9:59.0,,,60-72,,Technical foul by L. James
9:59.0,P. George makes technical free throw,1,61-72,,
9:59.0,J. Teague makes free throw 1 of 2,1,62-72,,
9:59.0,J. Teague makes free throw 2 of 2,1,63-72,,
9:45.0,Personal foul by J. Teague (drawn by K. Irving),,63-72,,
9:44.0,,,63-72,,Turnover by T. Thompson (lost ball; steal by T. Young)
9:23.0,Shooting foul by L. James (drawn by T. Young),,63-72,,
9:23.0,T. Young misses free throw 1 of 2,,63-72,,
9:23.0,Offensive rebound by Team,,63-72,,
9:23.0,T. Young misses free throw 2 of 2,,63-72,,
9:18.0,,,63-72,,Defensive rebound by T. Thompson
9:05.0,,,63-72,,K. Love misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by M. Ellis,,63-72,,
8:51.0,M. Ellis misses 3-pt shot from 23 ft,,63-72,,
8:51.0,,,63-72,,Defensive rebound by K. Irving
8:38.0,,,63-74,2,L. James makes 2-pt shot from 1 ft
8:19.0,,,63-74,,Personal foul by K. Irving (drawn by P. George)
8:10.0,P. George misses 3-pt shot from 25 ft,,63-74,,
8:10.0,,,63-74,,Defensive rebound by L. James
8:06.0,,,63-74,,Turnover by L. James (bad pass; steal by P. George)
7:54.0,P. George makes 2-pt shot from 19 ft (assist by M. Ellis),2,65-74,,
7:30.0,,,65-76,2,I. Shumpert makes 2-pt shot from 19 ft
7:03.0,J. Teague misses 2-pt shot from 4 ft,,65-76,,
7:02.0,,,65-76,,Defensive rebound by T. Thompson
6:53.0,,,65-76,,I. Shumpert misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by M. Turner,,65-76,,
6:47.0,Shooting foul by I. Shumpert (drawn by P. George),,65-76,,
6:47.0,P. George misses free throw 1 of 2,,65-76,,
6:47.0,Offensive rebound by Team,,65-76,,
6:47.0,P. George makes free throw 2 of 2,1,66-76,,
6:33.0,,,66-79,3,K. Irving makes 3-pt shot from 25 ft (assist by T. Thompson)
6:17.0,Turnover by P. George (lost ball; steal by I. Shumpert),,66-79,,
