time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Dedmon (T. Parker gains possession),,,,Jump ball: C. Capela vs. D. Dedmon (T. Parker gains possession)
11:35.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by C. Capela,,0-0,,
11:26.0,J. Harden misses 3-pt shot from 25 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by D. Dedmon
11:18.0,,,0-2,2,K. Leonard makes 2-pt shot from 18 ft
11:01.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,2-2,,
10:45.0,,,2-2,,L. Aldridge misses 2-pt shot from 19 ft
10:44.0,Defensive rebound by C. Capela,,2-2,,
10:26.0,J. Harden makes 2-pt shot from 1 ft,2,4-2,,
10:02.0,,,4-5,3,K. Leonard makes 3-pt shot from 26 ft (assist by D. Green)
9:53.0,,,4-5,,Personal foul by D. Green (drawn by P. Beverley)
9:47.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,6-5,,
9:34.0,,,6-7,2,T. Parker makes 2-pt shot from 14 ft
9:18.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,8-7,,
9:01.0,,,8-7,,Turnover by T. Parker (bad pass)
8:54.0,T. Ariza misses 3-pt shot from 25 ft,,8-7,,
8:54.0,,,8-7,,Defensive rebound by T. Parker
8:40.0,,,8-7,,D. Green misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by P. Beverley,,8-7,,
8:25.0,R. Anderson misses 3-pt shot from 25 ft,,8-7,,
8:24.0,,,8-7,,Defensive rebound by D. Dedmon
8:13.0,,,8-7,,T. Parker misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by P. Beverley,,8-7,,
8:03.0,T. Ariza misses 3-pt shot from 25 ft,,8-7,,
8:02.0,Offensive rebound by C. Capela,,8-7,,
8:00.0,C. Capela misses 2-pt shot from 1 ft,,8-7,,
7:58.0,Offensive rebound by R. Anderson,,8-7,,
7:58.0,R. Anderson makes 2-pt shot at rim,2,10-7,,
7:41.0,,,10-7,,Turnover by D. Dedmon (bad pass)
7:33.0,,,10-7,,Violation by D. Green (kicked ball)
7:15.0,C. Capela makes 2-pt shot from 17 ft,2,12-7,,
6:55.0,,,12-7,,T. Parker misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by C. Capela,,12-7,,
6:40.0,P. Beverley makes 2-pt shot from 10 ft (assist by J. Harden),2,14-7,,
6:40.0,,,14-7,,San Antonio full timeout
6:40.0,,,14-7,,P. Mills enters the game for T. Parker
6:20.0,,,14-7,,K. Leonard misses 2-pt shot from 13 ft
6:19.0,Defensive rebound by P. Beverley,,14-7,,
6:08.0,J. Harden makes 3-pt shot from 25 ft,3,17-7,,
5:52.0,,,17-9,2,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Mills)
5:30.0,C. Capela misses 2-pt shot from 1 ft,,17-9,,
5:29.0,,,17-9,,Defensive rebound by D. Dedmon
5:21.0,,,17-12,3,K. Leonard makes 3-pt shot from 23 ft (assist by P. Mills)
4:58.0,Shooting foul by D. Dedmon (drawn by J. Harden),,17-12,,
4:58.0,J. Harden makes free throw 1 of 3,1,18-12,,
4:58.0,J. Harden makes free throw 2 of 3,1,19-12,,
4:58.0,J. Harden makes free throw 3 of 3,1,20-12,,
4:58.0,,,19-12,,P. Gasol enters the game for D. Dedmon
4:58.0,,,19-12,,M. Ginobili enters the game for D. Green
4:58.0,E. Gordon enters the game for P. Beverley,,19-12,,
4:37.0,,,20-12,,Turnover by L. Aldridge (lost ball; steal by C. Capela)
4:29.0,Offensive foul by C. Capela,,20-12,,
4:29.0,Turnover by C. Capela (offensive foul),,20-12,,
4:29.0,N. Hilario enters the game for C. Capela,,20-12,,
4:15.0,,,20-12,,L. Aldridge misses 2-pt shot from 14 ft
4:14.0,Defensive rebound by T. Ariza,,20-12,,
4:06.0,J. Harden makes 2-pt shot at rim,2,22-12,,
3:50.0,,,22-14,2,P. Gasol makes 2-pt shot from 12 ft
3:40.0,J. Harden makes 3-pt shot from 25 ft,3,25-14,,
3:19.0,,,25-16,2,L. Aldridge makes 2-pt shot from 7 ft (assist by M. Ginobili)
2:58.0,R. Anderson makes 2-pt shot from 19 ft,2,27-16,,
2:41.0,,,27-18,2,M. Ginobili makes 2-pt shot from 8 ft (assist by P. Mills)
2:32.0,J. Harden makes 3-pt shot from 24 ft,3,30-18,,
2:17.0,,,30-18,,L. Aldridge misses 2-pt shot from 12 ft
2:15.0,Defensive rebound by T. Ariza,,30-18,,
2:07.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,33-18,,
1:55.0,,,33-18,,P. Mills misses 2-pt shot from 1 ft (block by E. Gordon)
1:54.0,Defensive rebound by E. Gordon,,33-18,,
1:45.0,T. Ariza misses 3-pt shot from 24 ft,,33-18,,
1:45.0,,,33-18,,Defensive rebound by P. Gasol
1:36.0,,,33-21,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
1:36.0,Houston full timeout,,33-21,,
1:36.0,L. Williams enters the game for T. Ariza,,33-21,,
1:36.0,S. Dekker enters the game for R. Anderson,,33-21,,
1:36.0,,,33-21,,J. Simmons enters the game for K. Leonard
1:21.0,N. Hilario makes 2-pt shot at rim (assist by E. Gordon),2,35-21,,
0:57.0,,,35-23,2,J. Simmons makes 2-pt shot from 1 ft (assist by L. Aldridge)
0:44.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,37-23,,
0:33.0,,,37-23,,P. Gasol misses 2-pt shot from 1 ft (block by N. Hilario)
0:32.0,,,37-23,,Offensive rebound by L. Aldridge
0:26.0,Personal foul by N. Hilario (drawn by L. Aldridge),,37-23,,
0:26.0,,,37-23,,D. Lee enters the game for L. Aldridge
0:19.0,,,37-23,,P. Gasol misses 2-pt shot from 9 ft
0:17.0,Defensive rebound by J. Harden,,37-23,,
0:01.0,J. Harden makes 2-pt shot from 12 ft,2,39-23,,
0:00.0,,,39-23,,P. Mills misses 3-pt shot from 27 ft
0:00.0,,,39-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Williams misses 2-pt shot from 17 ft,,39-23,,
11:44.0,,,39-23,,Defensive rebound by P. Gasol
11:34.0,,,39-26,3,P. Gasol makes 3-pt shot from 25 ft (assist by M. Ginobili)
11:23.0,P. Beverley misses 2-pt shot at rim,,39-26,,
11:22.0,,,39-26,,Defensive rebound by P. Gasol
11:07.0,,,39-26,,T. Parker enters the game for P. Mills
11:04.0,,,39-26,,M. Ginobili misses 2-pt shot from 8 ft
11:04.0,,,39-26,,Offensive rebound by J. Simmons
11:04.0,Loose ball foul by E. Gordon (drawn by J. Simmons),,39-26,,
10:57.0,,,39-28,2,P. Gasol makes 2-pt shot at rim (assist by T. Parker)
10:35.0,S. Dekker misses 3-pt shot from 24 ft,,39-28,,
10:34.0,,,39-28,,Defensive rebound by P. Gasol
10:17.0,,,39-28,,M. Ginobili misses 3-pt shot from 23 ft
10:17.0,Defensive rebound by N. Hilario,,39-28,,
10:07.0,L. Williams misses 2-pt shot from 11 ft,,39-28,,
10:07.0,,,39-28,,Defensive rebound by P. Gasol
9:57.0,,,39-30,2,T. Parker makes 2-pt shot from 1 ft
9:34.0,P. Beverley makes 3-pt shot from 24 ft (assist by S. Dekker),3,42-30,,
9:32.0,,,42-30,,San Antonio full timeout
9:32.0,,,42-30,,D. Green enters the game for M. Ginobili
9:17.0,,,42-30,,P. Gasol misses 2-pt shot from 8 ft
9:15.0,Defensive rebound by S. Dekker,,42-30,,
9:08.0,S. Dekker misses 3-pt shot from 25 ft,,42-30,,
9:07.0,,,42-30,,Defensive rebound by T. Parker
9:02.0,,,42-30,,Offensive foul by D. Lee
9:02.0,,,42-30,,Turnover by D. Lee (offensive foul)
8:48.0,L. Williams misses 2-pt shot from 6 ft,,42-30,,
8:46.0,,,42-30,,Defensive rebound by D. Green
8:37.0,,,42-30,,P. Gasol misses 2-pt shot from 7 ft
8:36.0,Defensive rebound by S. Dekker,,42-30,,
8:31.0,S. Dekker misses 2-pt shot from 1 ft,,42-30,,
8:31.0,,,42-30,,Defensive rebound by T. Parker
8:31.0,Loose ball foul by P. Beverley (drawn by T. Parker),,42-30,,
8:31.0,,,42-30,,K. Leonard enters the game for P. Gasol
8:23.0,Loose ball foul by N. Hilario (drawn by D. Lee),,42-30,,
8:10.0,,,42-30,,J. Simmons misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by L. Williams,,42-30,,
8:01.0,P. Beverley misses 3-pt shot from 25 ft,,42-30,,
8:00.0,,,42-30,,Defensive rebound by D. Green
7:53.0,,,42-32,2,K. Leonard makes 2-pt shot from 9 ft (assist by D. Green)
7:44.0,P. Beverley makes 3-pt shot from 24 ft,3,45-32,,
7:31.0,,,45-32,,Offensive foul by T. Parker
7:31.0,,,45-32,,Turnover by T. Parker (offensive foul)
7:31.0,C. Capela enters the game for N. Hilario,,45-32,,
7:31.0,,,45-32,,L. Aldridge enters the game for D. Lee
7:20.0,E. Gordon makes 2-pt shot from 8 ft (assist by P. Beverley),2,47-32,,
7:08.0,Personal block foul by E. Gordon (drawn by J. Simmons),,47-32,,
7:01.0,,,47-32,,K. Leonard misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by P. Beverley,,47-32,,
