time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Gortat (A. Gordon gains possession),,,,Jump ball: B. Biyombo vs. M. Gortat (A. Gordon gains possession)
11:38.0,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Fournier),2,2-0,,
11:24.0,,,2-0,,M. Gortat misses 2-pt shot from 11 ft
11:23.0,Defensive rebound by E. Payton,,2-0,,
11:14.0,A. Gordon makes 2-pt shot from 20 ft,2,4-0,,
10:54.0,,,4-0,,O. Porter misses 2-pt shot from 10 ft
10:53.0,Defensive rebound by B. Biyombo,,4-0,,
10:45.0,A. Gordon makes 3-pt shot from 24 ft (assist by T. Ross),3,7-0,,
10:23.0,,,7-0,,M. Morris misses 2-pt shot from 11 ft
10:22.0,Defensive rebound by E. Payton,,7-0,,
10:09.0,Turnover by E. Payton (bad pass; steal by B. Beal),,7-0,,
10:05.0,,,7-2,2,B. Beal makes 2-pt shot at rim
9:43.0,B. Biyombo misses 2-pt shot from 9 ft,,7-2,,
9:42.0,,,7-2,,Defensive rebound by M. Gortat
9:23.0,,,7-5,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
9:14.0,Shooting foul by O. Porter (drawn by B. Biyombo),,7-5,,
9:14.0,B. Biyombo makes free throw 1 of 2,1,8-5,,
9:14.0,B. Biyombo makes free throw 2 of 2,1,9-5,,
8:58.0,,,9-5,,Turnover by J. Wall (bad pass; steal by T. Ross)
8:49.0,T. Ross misses 3-pt shot from 26 ft,,9-5,,
8:48.0,,,9-5,,Defensive rebound by M. Gortat
8:38.0,,,9-5,,B. Beal misses 2-pt shot from 5 ft (block by T. Ross)
8:37.0,,,9-5,,Offensive rebound by B. Beal
8:25.0,,,9-5,,O. Porter misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by B. Biyombo,,9-5,,
8:06.0,E. Payton makes 2-pt shot from 1 ft,2,11-5,,
7:52.0,,,11-5,,M. Morris misses 2-pt shot from 20 ft
7:50.0,Defensive rebound by B. Biyombo,,11-5,,
7:43.0,A. Gordon misses 3-pt shot from 26 ft,,11-5,,
7:42.0,,,11-5,,Defensive rebound by J. Wall
7:36.0,,,11-5,,J. Wall misses 2-pt shot from 15 ft
7:35.0,Defensive rebound by Team,,11-5,,
7:35.0,,,11-5,,Loose ball foul by M. Gortat (drawn by B. Biyombo)
7:15.0,E. Payton misses 3-pt shot from 26 ft,,11-5,,
7:15.0,,,11-5,,Defensive rebound by B. Beal
7:02.0,Personal foul by T. Ross (drawn by J. Wall),,11-5,,
7:02.0,,,11-5,,J. Wall misses free throw 1 of 2
7:02.0,,,11-5,,Offensive rebound by Team
7:02.0,,,11-6,1,J. Wall makes free throw 2 of 2
6:52.0,E. Fournier misses 2-pt shot from 14 ft,,11-6,,
6:51.0,Offensive rebound by A. Gordon,,11-6,,
6:49.0,A. Gordon misses 2-pt shot from 3 ft (block by M. Morris),,11-6,,
6:48.0,Offensive rebound by A. Gordon,,11-6,,
6:46.0,A. Gordon makes 2-pt shot from 2 ft,2,13-6,,
6:46.0,Shooting foul by M. Gortat (drawn by A. Gordon),,13-6,,
6:46.0,A. Gordon misses free throw 1 of 1,,13-6,,
6:46.0,,,13-6,,I. Mahinmi enters the game for M. Gortat
6:45.0,,,13-6,,Defensive rebound by O. Porter
6:28.0,,,13-9,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
6:19.0,Turnover by E. Payton (traveling),,13-9,,
6:00.0,,,13-11,2,B. Beal makes 2-pt shot from 2 ft
5:35.0,E. Fournier misses 3-pt shot from 26 ft,,13-11,,
5:34.0,,,13-11,,Defensive rebound by I. Mahinmi
5:26.0,,,13-13,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:24.0,Orlando full timeout,,13-13,,
5:10.0,T. Ross misses 2-pt shot from 20 ft,,13-13,,
5:09.0,,,13-13,,Defensive rebound by O. Porter
4:56.0,,,13-15,2,J. Wall makes 2-pt shot from 2 ft
4:41.0,T. Ross misses 2-pt shot from 15 ft,,13-15,,
4:41.0,Offensive rebound by B. Biyombo,,13-15,,
4:40.0,B. Biyombo makes 2-pt shot from 1 ft,2,15-15,,
4:24.0,,,15-17,2,B. Beal makes 2-pt shot from 21 ft
4:14.0,A. Gordon misses 3-pt shot from 23 ft,,15-17,,
4:13.0,Offensive rebound by E. Payton,,15-17,,
4:11.0,E. Payton makes 2-pt shot from 2 ft,2,17-17,,
4:11.0,,,17-17,,Washington full timeout
4:11.0,,,17-17,,B. Jennings enters the game for M. Morris
4:11.0,,,17-17,,B. Bogdanovic enters the game for B. Beal
4:11.0,M. Hezonja enters the game for T. Ross,,17-17,,
4:11.0,D. Augustin enters the game for E. Payton,,17-17,,
3:54.0,,,17-17,,O. Porter misses 2-pt shot from 12 ft
3:53.0,Defensive rebound by A. Gordon,,17-17,,
3:44.0,A. Gordon makes 2-pt shot at rim,2,19-17,,
3:29.0,,,19-17,,I. Mahinmi misses 2-pt shot from 6 ft
3:28.0,Defensive rebound by B. Biyombo,,19-17,,
3:19.0,A. Gordon misses 2-pt shot from 10 ft,,19-17,,
3:18.0,Offensive rebound by B. Biyombo,,19-17,,
3:15.0,B. Biyombo makes 2-pt shot from 5 ft,2,21-17,,
3:01.0,,,21-19,2,O. Porter makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
2:44.0,,,21-19,,Personal foul by J. Wall (drawn by E. Fournier)
2:44.0,,,21-19,,K. Oubre enters the game for O. Porter
2:44.0,J. Green enters the game for A. Gordon,,21-19,,
2:44.0,C. Watson enters the game for E. Fournier,,21-19,,
2:31.0,C. Watson misses 2-pt shot from 2 ft,,21-19,,
