time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Zeller (K. Love gains possession),,,,Jump ball: T. Thompson vs. C. Zeller (K. Love gains possession)
11:49.0,,,0-0,,Turnover by L. James (bad pass; steal by N. Batum)
11:38.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by M. Dunleavy
11:29.0,,,0-0,,L. James misses 2-pt shot from 20 ft
11:28.0,Defensive rebound by Team,,0-0,,
11:18.0,C. Zeller misses 2-pt shot from 3 ft (block by T. Thompson),,0-0,,
11:17.0,Offensive rebound by Team,,0-0,,
11:05.0,M. Kidd-Gilchrist misses 2-pt shot from 12 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by T. Thompson
10:56.0,,,0-2,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
10:39.0,C. Zeller misses 2-pt shot from 9 ft,,0-2,,
10:36.0,,,0-2,,Defensive rebound by L. James
10:32.0,,,0-2,,K. Love misses 2-pt shot from 2 ft (block by N. Batum)
10:31.0,Defensive rebound by C. Zeller,,0-2,,
10:29.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,2-2,,
10:29.0,Shooting foul by K. Irving (drawn by M. Kidd-Gilchrist),,2-2,,
10:29.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,3-2,,
10:12.0,,,3-5,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
9:50.0,K. Walker misses 2-pt shot from 13 ft,,3-5,,
9:49.0,,,3-5,,Defensive rebound by K. Love
9:46.0,,,3-5,,Turnover by K. Love (bad pass; steal by N. Batum)
9:36.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,6-5,,
9:14.0,,,6-7,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
8:59.0,M. Williams misses 3-pt shot from 25 ft,,6-7,,
8:59.0,,,6-7,,Defensive rebound by K. Love
8:44.0,,,6-7,,M. Dunleavy misses 3-pt shot from 24 ft
8:43.0,,,6-7,,Offensive rebound by K. Love
8:42.0,,,6-7,,Shooting foul by C. Zeller (drawn by K. Love)
8:42.0,,,6-8,1,K. Love makes free throw 1 of 2
8:42.0,,,6-9,1,K. Love makes free throw 2 of 2
8:31.0,K. Walker makes 2-pt shot from 21 ft,2,8-9,,
8:12.0,,,8-11,2,K. Love makes 2-pt shot from 4 ft (assist by K. Irving)
7:51.0,K. Walker misses 2-pt shot from 5 ft,,8-11,,
7:48.0,,,8-11,,Defensive rebound by K. Love
7:40.0,,,8-11,,K. Irving misses 3-pt shot from 28 ft
7:40.0,Defensive rebound by N. Batum,,8-11,,
7:36.0,Shooting foul by M. Dunleavy (drawn by N. Batum),,8-11,,
7:36.0,N. Batum makes free throw 1 of 2,1,9-11,,
7:36.0,N. Batum misses free throw 2 of 2,,9-11,,
7:35.0,,,9-11,,Defensive rebound by T. Thompson
7:26.0,Personal foul by M. Williams (drawn by K. Love),,9-11,,
7:15.0,,,9-13,2,K. Irving makes 2-pt shot from 21 ft (assist by L. James)
6:54.0,C. Zeller misses 2-pt shot from 3 ft (block by T. Thompson),,9-13,,
6:52.0,,,9-13,,Defensive rebound by L. James
6:50.0,,,9-13,,Turnover by L. James (bad pass; steal by K. Walker)
6:49.0,,,9-13,,Personal foul by K. Irving (drawn by K. Walker)
6:49.0,,,9-13,,I. Shumpert enters the game for K. Irving
6:39.0,N. Batum misses 3-pt shot from 26 ft,,9-13,,
6:38.0,,,9-13,,Defensive rebound by T. Thompson
6:22.0,,,9-13,,L. James misses 2-pt shot from 8 ft
