time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Plumlee (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. M. Plumlee (D. Green gains possession)
11:42.0,,,0-3,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
11:17.0,M. Plumlee misses 2-pt shot from 9 ft,,0-3,,
11:17.0,Offensive rebound by N. Vonleh,,0-3,,
11:17.0,Shooting foul by S. Curry (drawn by N. Vonleh),,0-3,,
11:17.0,N. Vonleh misses free throw 1 of 2,,0-3,,
11:17.0,Offensive rebound by Team,,0-3,,
11:17.0,N. Vonleh misses free throw 2 of 2,,0-3,,
11:16.0,,,0-3,,Defensive rebound by D. Green
11:06.0,Def 3 sec tech foul by M. Plumlee,,0-3,,
11:06.0,,,0-4,1,S. Curry makes technical free throw
10:54.0,,,0-6,2,K. Durant makes 2-pt shot from 1 ft
10:38.0,N. Vonleh misses 2-pt shot from 20 ft,,0-6,,
10:37.0,Offensive rebound by C. McCollum,,0-6,,
10:31.0,C. McCollum misses 2-pt shot from 17 ft (block by K. Thompson),,0-6,,
10:30.0,Offensive rebound by C. McCollum,,0-6,,
10:29.0,C. McCollum makes 2-pt shot from 17 ft,2,2-6,,
10:17.0,,,2-6,,K. Thompson misses 2-pt shot from 19 ft (block by C. McCollum)
10:16.0,Defensive rebound by M. Plumlee,,2-6,,
10:02.0,M. Plumlee makes 2-pt shot from 16 ft,2,4-6,,
10:02.0,Shooting foul by Z. Pachulia (drawn by M. Plumlee),,4-6,,
10:02.0,M. Plumlee makes free throw 1 of 1,1,5-6,,
9:49.0,,,5-6,,Turnover by K. Durant (bad pass; steal by M. Harkless)
9:32.0,C. McCollum misses 3-pt shot from 26 ft,,5-6,,
9:32.0,,,5-6,,Defensive rebound by Team
9:32.0,Loose ball foul by M. Plumlee (drawn by Z. Pachulia),,5-6,,
9:13.0,,,5-9,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
8:52.0,M. Harkless makes 2-pt shot from 1 ft,2,7-9,,
8:40.0,,,7-12,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
8:24.0,M. Harkless makes 2-pt shot from 15 ft (assist by M. Plumlee),2,9-12,,
8:17.0,,,9-14,2,K. Thompson makes 2-pt shot from 1 ft
8:17.0,,,9-14,,Shooting foul by C. McCollum (drawn by K. Thompson)
8:17.0,,,9-15,1,K. Thompson makes free throw 1 of 1
7:59.0,M. Harkless makes 3-pt shot from 25 ft (assist by M. Plumlee),3,12-15,,
7:37.0,,,12-18,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
7:23.0,D. Lillard misses 2-pt shot from 16 ft,,12-18,,
7:23.0,,,12-18,,Defensive rebound by K. Durant
7:06.0,,,12-20,2,K. Durant makes 2-pt shot at rim
7:05.0,Portland full timeout,,12-20,,
6:46.0,M. Harkless misses 3-pt shot from 27 ft,,12-20,,
6:46.0,,,12-20,,Defensive rebound by Z. Pachulia
6:27.0,,,12-20,,D. Green misses 3-pt shot from 26 ft
6:26.0,,,12-20,,Offensive rebound by Z. Pachulia
6:14.0,,,12-20,,Z. Pachulia misses 2-pt shot from 2 ft
6:13.0,,,12-20,,Offensive rebound by Z. Pachulia
6:13.0,,,12-20,,Z. Pachulia misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by M. Harkless,,12-20,,
5:58.0,M. Harkless misses 2-pt shot from 4 ft,,12-20,,
5:57.0,,,12-20,,Defensive rebound by D. Green
5:39.0,,,12-22,2,K. Thompson makes 2-pt shot from 1 ft (assist by K. Durant)
5:19.0,N. Vonleh misses 2-pt shot from 21 ft,,12-22,,
5:18.0,,,12-22,,Defensive rebound by D. Green
5:09.0,,,12-22,,Shooting foul by N. Vonleh (drawn by K. Durant)
5:09.0,,,12-23,1,K. Durant makes free throw 1 of 2
5:09.0,,,12-24,1,K. Durant makes free throw 2 of 2
5:09.0,,,12-23,,J. McGee enters the game for Z. Pachulia
5:09.0,E. Turner enters the game for C. McCollum,,12-23,,
5:09.0,A. Crabbe enters the game for N. Vonleh,,12-23,,
4:48.0,E. Turner makes 3-pt shot from 23 ft (assist by A. Crabbe),3,15-24,,
4:32.0,,,15-24,,K. Thompson misses 3-pt shot from 30 ft
4:31.0,Defensive rebound by D. Lillard,,15-24,,
4:27.0,,,15-24,,Personal foul by D. Green (drawn by M. Plumlee)
