time,Orlando,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: Z. Pachulia vs. N. Vucevic (A. Gordon gains possession)
11:42.0,Shooting foul by P. McCaw (drawn by A. Gordon),,0-0,,
11:42.0,A. Gordon misses free throw 1 of 2,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:42.0,A. Gordon misses free throw 2 of 2,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Green
11:22.0,,,0-3,3,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia)
11:12.0,N. Vucevic misses 2-pt shot from 17 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by S. Curry
11:04.0,,,0-5,2,Z. Pachulia makes 2-pt shot at rim (assist by S. Curry)
10:50.0,E. Payton misses 2-pt shot from 1 ft,,0-5,,
10:49.0,Offensive rebound by E. Payton,,0-5,,
10:47.0,E. Payton makes 2-pt shot from 2 ft,2,2-5,,
10:39.0,,,2-5,,K. Thompson misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by N. Vucevic,,2-5,,
10:30.0,Turnover by E. Payton (bad pass; steal by D. Green),,2-5,,
10:30.0,Personal foul by E. Payton (drawn by S. Curry),,2-5,,
10:30.0,,,2-5,,I. Clark enters the game for S. Curry
10:15.0,,,2-8,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
9:53.0,E. Fournier misses 3-pt shot from 27 ft,,2-8,,
9:53.0,,,2-8,,Defensive rebound by D. Green
9:44.0,,,2-8,,D. Green misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by E. Payton,,2-8,,
9:32.0,A. Gordon misses 2-pt shot from 15 ft,,2-8,,
9:31.0,,,2-8,,Defensive rebound by Z. Pachulia
9:24.0,,,2-8,,Turnover by D. Green (bad pass)
9:10.0,E. Fournier misses 3-pt shot from 26 ft,,2-8,,
9:09.0,,,2-8,,Defensive rebound by D. Green
8:53.0,,,2-10,2,K. Thompson makes 2-pt shot from 10 ft (assist by D. Green)
8:53.0,Orlando full timeout,,2-10,,
8:37.0,Turnover by E. Payton (bad pass),,2-10,,
8:18.0,,,2-12,2,I. Clark makes 2-pt shot from 19 ft
8:01.0,A. Gordon misses 3-pt shot from 26 ft,,2-12,,
8:00.0,Offensive rebound by N. Vucevic,,2-12,,
7:55.0,E. Payton misses 2-pt shot from 4 ft,,2-12,,
7:53.0,Offensive rebound by Team,,2-12,,
7:43.0,N. Vucevic misses 2-pt shot from 12 ft,,2-12,,
7:42.0,Offensive rebound by A. Gordon,,2-12,,
7:40.0,A. Gordon misses 2-pt shot from 1 ft,,2-12,,
7:38.0,Offensive rebound by A. Gordon,,2-12,,
7:37.0,A. Gordon makes 2-pt shot from 3 ft,2,4-12,,
7:31.0,,,4-12,,S. Curry enters the game for I. Clark
7:28.0,,,4-14,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
7:14.0,Turnover by E. Fournier (bad pass; steal by P. McCaw),,4-14,,
7:14.0,Personal foul by E. Fournier (drawn by P. McCaw),,4-14,,
7:01.0,,,4-14,,Z. Pachulia misses 2-pt shot from 2 ft
7:00.0,,,4-14,,Offensive rebound by Z. Pachulia
6:49.0,,,4-16,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson)
6:36.0,N. Vucevic misses 2-pt shot from 13 ft,,4-16,,
6:35.0,Offensive rebound by E. Payton,,4-16,,
6:35.0,E. Payton makes 2-pt shot from 2 ft,2,6-16,,
6:26.0,Personal foul by E. Payton (drawn by D. Green),,6-16,,
6:24.0,,,6-18,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
6:14.0,N. Vucevic misses 3-pt shot from 27 ft,,6-18,,
6:14.0,,,6-18,,Defensive rebound by D. Green
5:55.0,,,6-21,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry)
5:55.0,Orlando full timeout,,6-21,,
5:55.0,B. Biyombo enters the game for A. Gordon,,6-21,,
5:55.0,D. Augustin enters the game for E. Fournier,,6-21,,
5:55.0,M. Hezonja enters the game for E. Payton,,6-21,,
5:48.0,,,6-21,,A. Iguodala enters the game for P. McCaw
5:48.0,,,6-21,,S. Livingston enters the game for D. Green
5:39.0,Shooting foul by S. Curry (drawn by T. Ross),,6-21,,
5:39.0,T. Ross misses free throw 1 of 2,,6-21,,
5:39.0,Offensive rebound by Team,,6-21,,
5:39.0,T. Ross makes free throw 2 of 2,1,7-21,,
5:26.0,,,7-21,,Turnover by K. Thompson (bad pass; steal by D. Augustin)
5:11.0,,,7-21,,Def 3 sec tech foul by K. Thompson
5:11.0,D. Augustin makes technical free throw,1,8-21,,
5:04.0,M. Hezonja makes 2-pt shot from 4 ft,2,10-21,,
4:49.0,,,10-24,3,K. Thompson makes 3-pt shot from 26 ft (assist by Z. Pachulia)
4:34.0,Turnover by T. Ross (lost ball; steal by Z. Pachulia),,10-24,,
4:26.0,,,10-26,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala)
4:07.0,D. Augustin misses 3-pt shot from 29 ft,,10-26,,
4:07.0,,,10-26,,Defensive rebound by Z. Pachulia
3:53.0,,,10-28,2,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry)
3:29.0,Turnover by B. Biyombo (lost ball; steal by S. Curry),,10-28,,
3:24.0,,,10-31,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
3:24.0,Orlando full timeout,,10-31,,
3:24.0,C. Watson enters the game for T. Ross,,10-31,,
3:24.0,J. Green enters the game for N. Vucevic,,10-31,,
