time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,K. Bazemore misses 2-pt shot from 4 ft
12:00.0,Jump ball: D. Howard vs. M. Turner (D. Schroder gains possession),,,,Jump ball: D. Howard vs. M. Turner (D. Schroder gains possession)
11:40.0,,,0-0,,Offensive rebound by D. Howard
11:40.0,,,0-2,2,D. Howard makes 2-pt shot from 1 ft
11:20.0,T. Young misses 2-pt shot from 1 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by P. Millsap
11:06.0,,,0-2,,Shooting foul by T. Young (drawn by P. Millsap)
11:06.0,,,0-2,,P. Millsap misses free throw 1 of 2
11:06.0,,,0-2,,Offensive rebound by Team
11:06.0,,,0-2,,P. Millsap misses free throw 2 of 2
11:04.0,Defensive rebound by M. Turner,,0-2,,
10:54.0,C. Miles misses 3-pt shot from 24 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by P. Millsap
10:46.0,,,0-4,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
10:46.0,,,0-4,,Shooting foul by M. Turner (drawn by D. Howard)
10:46.0,,,0-5,1,D. Howard makes free throw 1 of 1
10:31.0,C. Miles misses 3-pt shot from 24 ft,,0-5,,
10:30.0,,,0-5,,Defensive rebound by T. Sefolosha
10:15.0,,,0-7,2,K. Bazemore makes 2-pt shot from 21 ft
9:59.0,Turnover by P. George (bad pass),,0-7,,
9:48.0,,,0-9,2,D. Schroder makes 2-pt shot from 16 ft
9:38.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,3-9,,
9:19.0,,,3-9,,T. Sefolosha misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by T. Young,,3-9,,
9:10.0,Turnover by J. Teague (bad pass; steal by T. Sefolosha),,3-9,,
9:05.0,,,3-11,2,T. Sefolosha makes 2-pt shot at rim
8:46.0,,,3-11,,Personal foul by P. Millsap (drawn by P. George)
8:38.0,P. George makes 2-pt shot from 19 ft (assist by T. Young),2,5-11,,
8:21.0,,,5-11,,D. Schroder misses 2-pt shot from 20 ft
8:20.0,Defensive rebound by C. Miles,,5-11,,
8:08.0,P. George makes 3-pt shot from 24 ft (assist by C. Miles),3,8-11,,
7:46.0,,,8-11,,Turnover by D. Howard (3 sec)
7:27.0,T. Young misses 2-pt shot from 6 ft,,8-11,,
7:27.0,Offensive rebound by M. Turner,,8-11,,
7:26.0,M. Turner misses 2-pt shot from 1 ft,,8-11,,
7:25.0,Offensive rebound by T. Young,,8-11,,
7:25.0,T. Young makes 2-pt shot at rim,2,10-11,,
7:13.0,,,10-13,2,P. Millsap makes 2-pt shot from 18 ft
6:51.0,M. Turner misses 2-pt shot from 21 ft,,10-13,,
6:49.0,,,10-13,,Defensive rebound by K. Bazemore
6:30.0,,,10-13,,K. Bazemore misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by C. Miles,,10-13,,
6:23.0,Turnover by P. George (lost ball; steal by D. Schroder),,10-13,,
6:17.0,,,10-13,,T. Sefolosha misses 2-pt shot from 1 ft (block by M. Turner)
6:14.0,Defensive rebound by J. Teague,,10-13,,
6:08.0,T. Young misses 2-pt shot from 12 ft,,10-13,,
6:06.0,,,10-13,,Defensive rebound by D. Howard
5:59.0,,,10-13,,Atlanta full timeout
5:59.0,,,10-13,,T. Hardaway enters the game for K. Bazemore
5:59.0,M. Ellis enters the game for C. Miles,,10-13,,
5:59.0,K. Seraphin enters the game for T. Young,,10-13,,
5:55.0,,,10-13,,Turnover by T. Hardaway (bad pass; steal by P. George)
5:36.0,Turnover by M. Ellis (lost ball; steal by T. Hardaway),,10-13,,
5:31.0,,,10-15,2,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Howard)
5:18.0,P. George makes 2-pt shot from 21 ft,2,12-15,,
5:07.0,,,12-18,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder)
4:51.0,,,12-18,,Personal foul by D. Howard (drawn by M. Turner)
4:39.0,P. George misses 2-pt shot from 20 ft,,12-18,,
4:36.0,,,12-18,,Defensive rebound by Team
4:36.0,Jump ball: P. George vs. P. Millsap (D. Schroder gains possession),,,,Jump ball: P. George vs. P. Millsap (D. Schroder gains possession)
4:21.0,,,12-20,2,P. Millsap makes 2-pt shot from 8 ft
4:04.0,K. Seraphin misses 2-pt shot from 21 ft,,12-20,,
4:03.0,,,12-20,,Defensive rebound by D. Howard
3:48.0,,,12-23,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Schroder)
3:41.0,Indiana full timeout,,12-23,,
3:41.0,,,12-23,,E. Ilyasova enters the game for D. Howard
3:24.0,M. Ellis misses 3-pt shot from 24 ft,,12-23,,
3:22.0,,,12-23,,Defensive rebound by T. Sefolosha
3:09.0,,,12-23,,Turnover by P. Millsap (traveling)
3:09.0,R. Stuckey enters the game for J. Teague,,12-23,,
3:09.0,,,12-23,,T. Waller-Prince enters the game for T. Sefolosha
2:48.0,K. Seraphin makes 2-pt shot from 5 ft (assist by R. Stuckey),2,14-23,,
2:35.0,Personal foul by M. Ellis (drawn by D. Schroder),,14-23,,
2:35.0,,,14-23,,M. Delaney enters the game for D. Schroder
2:35.0,R. Christmas enters the game for M. Turner,,14-23,,
2:26.0,,,14-26,3,T. Hardaway makes 3-pt shot from 25 ft (assist by P. Millsap)
2:14.0,Shooting foul by M. Delaney (drawn by M. Ellis),,14-26,,
2:14.0,M. Ellis misses free throw 1 of 2,,14-26,,
2:14.0,Offensive rebound by Team,,14-26,,
2:14.0,M. Ellis misses free throw 2 of 2,,14-26,,
2:12.0,Offensive rebound by K. Seraphin,,14-26,,
2:12.0,K. Seraphin misses 2-pt shot at rim,,14-26,,
2:11.0,Offensive rebound by R. Christmas,,14-26,,
2:11.0,R. Christmas makes 2-pt shot from 1 ft,2,16-26,,
1:57.0,,,16-26,,P. Millsap misses 2-pt shot from 17 ft
1:53.0,Defensive rebound by R. Stuckey,,16-26,,
1:42.0,K. Seraphin misses 2-pt shot from 11 ft,,16-26,,
1:38.0,,,16-26,,Defensive rebound by P. Millsap
1:32.0,,,16-29,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by P. Millsap)
