time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. M. Turner (T. Young gains possession),,,,Jump ball: T. Maker vs. M. Turner (T. Young gains possession)
11:47.0,,,0-0,,M. Turner misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by M. Dellavedova,,0-0,,
11:24.0,T. Snell misses 2-pt shot from 14 ft,,0-0,,
11:24.0,Offensive rebound by T. Maker,,0-0,,
11:11.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by P. George
10:54.0,,,0-0,,T. Young misses 2-pt shot from 4 ft
10:53.0,Defensive rebound by T. Maker,,0-0,,
10:43.0,T. Snell misses 2-pt shot from 4 ft (block by M. Turner),,0-0,,
10:42.0,,,0-0,,Defensive rebound by J. Teague
10:34.0,,,0-0,,M. Turner misses 2-pt shot from 3 ft (block by T. Maker)
10:32.0,Defensive rebound by M. Dellavedova,,0-0,,
10:18.0,K. Middleton makes 2-pt shot from 7 ft,2,2-0,,
10:07.0,,,2-0,,Shooting foul by T. Maker (drawn by M. Turner)
10:07.0,,,2-1,1,M. Turner makes free throw 1 of 2
10:07.0,,,2-2,1,M. Turner makes free throw 2 of 2
9:43.0,M. Dellavedova misses 2-pt shot at rim,,2-2,,
9:42.0,Offensive rebound by T. Maker,,2-2,,
9:41.0,T. Maker misses 2-pt shot from 1 ft,,2-2,,
9:40.0,,,2-2,,Defensive rebound by M. Turner
9:31.0,,,2-2,,M. Turner misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by M. Dellavedova,,2-2,,
9:24.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,4-2,,
9:12.0,,,4-2,,J. Teague misses 2-pt shot from 5 ft
9:11.0,,,4-2,,Offensive rebound by Team
9:04.0,,,4-2,,Shooting foul by K. Middleton (drawn by M. Ellis)
9:04.0,,,4-2,,M. Ellis misses free throw 1 of 2
9:04.0,,,4-2,,Offensive rebound by Team
9:04.0,,,4-2,,M. Ellis misses free throw 2 of 2
9:04.0,Defensive rebound by G. Antetokounmpo,,4-2,,
8:50.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,6-2,,
8:37.0,,,6-4,2,M. Turner makes 2-pt shot from 3 ft (assist by T. Young)
8:37.0,,,6-4,,Shooting foul by T. Snell (drawn by M. Turner)
8:37.0,,,6-4,,M. Turner misses free throw 1 of 1
8:37.0,Defensive rebound by G. Antetokounmpo,,6-4,,
8:22.0,T. Maker makes 2-pt shot from 4 ft,2,8-4,,
8:08.0,,,8-6,2,M. Turner makes 2-pt shot from 2 ft
7:50.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,10-6,,
7:42.0,,,10-8,2,T. Young makes 2-pt shot from 2 ft (assist by M. Ellis)
7:22.0,T. Maker misses 3-pt shot from 24 ft,,10-8,,
7:22.0,,,10-8,,Defensive rebound by P. George
7:10.0,,,10-8,,M. Ellis misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by K. Middleton,,10-8,,
7:04.0,,,10-8,,Personal foul by P. George (drawn by K. Middleton)
6:51.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,10-8,,
6:50.0,,,10-8,,Defensive rebound by P. George
6:38.0,,,10-8,,J. Teague misses 3-pt shot from 25 ft
6:36.0,,,10-8,,Offensive rebound by M. Turner
6:23.0,,,10-8,,P. George misses 2-pt shot from 13 ft
6:21.0,Defensive rebound by T. Maker,,10-8,,
6:15.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,12-8,,
6:04.0,,,12-8,,Indiana full timeout
6:04.0,G. Monroe enters the game for T. Maker,,12-8,,
5:50.0,,,12-8,,Turnover by P. George (bad pass; steal by G. Monroe)
5:42.0,K. Middleton misses 2-pt shot from 6 ft (block by M. Ellis),,12-8,,
5:41.0,,,12-8,,Defensive rebound by P. George
5:33.0,,,12-10,2,M. Ellis makes 2-pt shot from 5 ft
5:16.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,15-10,,
5:08.0,,,15-10,,Shooting foul by M. Dellavedova (drawn by J. Teague)
5:08.0,,,15-11,1,J. Teague makes free throw 1 of 2
5:08.0,,,15-12,1,J. Teague makes free throw 2 of 2
5:08.0,J. Terry enters the game for K. Middleton,,15-11,,
4:53.0,M. Dellavedova misses 3-pt shot from 26 ft,,15-12,,
4:53.0,,,15-12,,Defensive rebound by M. Turner
4:44.0,,,15-12,,Turnover by P. George (lost ball; steal by T. Snell)
4:40.0,Turnover by T. Snell (bad pass; steal by M. Ellis),,15-12,,
4:35.0,,,15-12,,Turnover by M. Ellis (bad pass)
4:16.0,T. Snell misses 2-pt shot from 7 ft,,15-12,,
