time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (D. Green gains possession)
11:42.0,K. Thompson misses 2-pt shot from 17 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by Team
11:26.0,,,0-2,2,B. Griffin makes 2-pt shot from 18 ft
11:17.0,Shooting foul by J. Redick (drawn by K. Thompson),,0-2,,
11:17.0,K. Thompson makes free throw 1 of 2,1,1-2,,
11:17.0,K. Thompson makes free throw 2 of 2,1,2-2,,
11:05.0,Violation by Z. Pachulia (kicked ball),,2-2,,
10:59.0,,,2-2,,J. Redick misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by K. Durant,,2-2,,
10:52.0,K. Thompson misses 3-pt shot from 23 ft,,2-2,,
10:49.0,Offensive rebound by D. Green,,2-2,,
10:46.0,K. Durant misses 3-pt shot from 28 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by L. Mbah a Moute
10:38.0,,,2-2,,Turnover by C. Paul (lost ball)
10:38.0,,,2-2,,Technical foul by C. Paul
10:38.0,S. Curry makes technical free throw,1,3-2,,
10:23.0,K. Durant misses 3-pt shot from 26 ft,,3-2,,
10:22.0,,,3-2,,Defensive rebound by B. Griffin
10:16.0,,,3-2,,Turnover by B. Griffin (bad pass; steal by S. Curry)
10:11.0,K. Durant misses 2-pt shot at rim,,3-2,,
10:11.0,,,3-2,,Defensive rebound by Team
9:54.0,,,3-2,,C. Paul misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by Z. Pachulia,,3-2,,
9:45.0,,,3-2,,Personal foul by D. Jordan (drawn by K. Thompson)
9:38.0,K. Thompson misses 2-pt shot from 11 ft,,3-2,,
9:37.0,,,3-2,,Defensive rebound by D. Jordan
9:30.0,,,3-2,,B. Griffin misses 2-pt shot from 19 ft
9:30.0,,,3-2,,Offensive rebound by D. Jordan
9:30.0,,,3-2,,Shooting foul by K. Durant (drawn by D. Jordan)
9:30.0,,,3-2,,D. Jordan misses free throw 1 of 2
9:30.0,,,3-2,,Offensive rebound by Team
9:30.0,,,3-2,,D. Jordan misses free throw 2 of 2
9:28.0,,,3-2,,Offensive rebound by B. Griffin
9:22.0,,,3-2,,Turnover by B. Griffin (3 sec)
9:04.0,K. Thompson misses 2-pt shot from 5 ft,,3-2,,
9:03.0,,,3-2,,Defensive rebound by B. Griffin
8:59.0,,,3-2,,Turnover by B. Griffin (bad pass; steal by D. Green)
8:55.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,5-2,,
8:36.0,,,5-2,,L. Mbah a Moute misses 2-pt shot from 21 ft
8:35.0,Defensive rebound by S. Curry,,5-2,,
8:28.0,S. Curry misses 3-pt shot from 32 ft,,5-2,,
8:27.0,,,5-2,,Defensive rebound by C. Paul
8:21.0,,,5-4,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
8:09.0,Turnover by Z. Pachulia (lost ball; steal by J. Redick),,5-4,,
8:03.0,,,5-4,,L. Mbah a Moute misses 2-pt shot from 2 ft
8:00.0,,,5-4,,Offensive rebound by D. Jordan
8:00.0,,,5-6,2,D. Jordan makes 2-pt shot at rim
7:46.0,K. Durant makes 2-pt shot from 9 ft (assist by D. Green),2,7-6,,
7:34.0,Personal foul by D. Green (drawn by D. Jordan),,7-6,,
7:18.0,,,7-8,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
7:06.0,S. Curry makes 2-pt shot from 3 ft (assist by D. Green),2,9-8,,
6:59.0,,,9-8,,L. Mbah a Moute misses 2-pt shot from 20 ft
6:58.0,,,9-8,,Offensive rebound by D. Jordan
6:58.0,,,9-10,2,D. Jordan makes 2-pt shot at rim
6:42.0,Turnover by K. Thompson (lost ball; steal by C. Paul),,9-10,,
6:37.0,,,9-10,,Turnover by B. Griffin (bad pass; steal by K. Durant)
6:31.0,D. Green makes 2-pt shot at rim (assist by K. Durant),2,11-10,,
6:28.0,,,11-10,,LA Clippers full timeout
6:11.0,,,11-10,,Turnover by J. Redick (bad pass; steal by S. Curry)
6:05.0,K. Thompson misses 2-pt shot from 18 ft,,11-10,,
6:03.0,Offensive rebound by D. Green,,11-10,,
6:01.0,Turnover by D. Green (bad pass; steal by B. Griffin),,11-10,,
5:50.0,,,11-10,,B. Griffin misses 2-pt shot from 17 ft
5:49.0,Defensive rebound by K. Thompson,,11-10,,
5:44.0,,,11-10,,Personal foul by B. Griffin (drawn by K. Thompson)
5:44.0,A. Iguodala enters the game for K. Durant,,11-10,,
5:44.0,,,11-10,,J. Crawford enters the game for L. Mbah a Moute
5:37.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,13-10,,
5:21.0,,,13-10,,B. Griffin misses 2-pt shot from 3 ft
