time,Dallas,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. S. Mejri (D. Exum gains possession),,,,Jump ball: R. Gobert vs. S. Mejri (D. Exum gains possession)
11:43.0,,,0-0,,G. Hayward misses 3-pt shot from 24 ft
11:42.0,,,0-0,,Offensive rebound by B. Diaw
11:37.0,,,0-0,,R. Hood misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by S. Mejri,,0-0,,
11:13.0,Turnover by Team (shot clock),,0-0,,
10:59.0,,,0-2,2,D. Exum makes 2-pt shot from 2 ft (assist by R. Gobert)
10:44.0,D. Williams makes 2-pt shot from 17 ft (assist by H. Barnes),2,2-2,,
10:28.0,,,2-5,3,G. Hayward makes 3-pt shot from 25 ft (assist by B. Diaw)
10:09.0,Turnover by W. Matthews (bad pass; steal by R. Hood),,2-5,,
10:06.0,,,2-7,2,D. Exum makes 2-pt shot at rim (assist by R. Hood)
9:45.0,S. Mejri makes 2-pt shot from 2 ft (assist by D. Williams),2,4-7,,
9:45.0,Shooting foul by D. Exum (drawn by S. Mejri),,4-7,,
9:45.0,S. Mejri makes free throw 1 of 1,1,5-7,,
9:33.0,,,5-7,,G. Hayward misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by W. Matthews,,5-7,,
9:23.0,W. Matthews makes 2-pt shot from 15 ft,2,7-7,,
9:00.0,,,7-9,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
8:47.0,H. Barnes misses 3-pt shot from 24 ft,,7-9,,
8:46.0,,,7-9,,Defensive rebound by R. Gobert
8:36.0,,,7-9,,Shooting foul by W. Matthews (drawn by D. Exum)
8:36.0,,,7-10,1,D. Exum makes free throw 1 of 2
8:36.0,,,7-11,1,D. Exum makes free throw 2 of 2
8:27.0,,,7-11,,Personal foul by B. Diaw (drawn by S. Mejri)
8:23.0,,,7-11,,Def 3 sec tech foul by R. Gobert
8:23.0,D. Williams makes technical free throw,1,8-11,,
8:23.0,H. Barnes misses 2-pt shot from 18 ft,,8-11,,
8:09.0,,,8-11,,Defensive rebound by R. Gobert
7:58.0,,,8-13,2,R. Hood makes 2-pt shot from 7 ft
7:54.0,Turnover by W. Matthews (step out of bounds),,8-13,,
7:36.0,Personal foul by W. Matthews (drawn by R. Hood),,8-13,,
7:36.0,S. Curry enters the game for W. Matthews,,8-13,,
7:30.0,,,8-13,,Shooting foul by S. Mejri (drawn by R. Gobert)
7:30.0,,,8-14,1,R. Gobert makes free throw 1 of 2
7:30.0,,,8-15,1,R. Gobert makes free throw 2 of 2
7:14.0,D. Williams makes 3-pt shot from 24 ft (assist by D. Finney-Smith),3,11-15,,
6:47.0,,,11-17,2,R. Hood makes 2-pt shot from 16 ft
6:27.0,H. Barnes misses 3-pt shot from 24 ft,,11-17,,
6:26.0,,,11-17,,Defensive rebound by R. Hood
6:14.0,,,11-17,,Turnover by G. Hayward (bad pass; steal by H. Barnes)
6:03.0,,,11-17,,Personal foul by D. Exum (drawn by S. Mejri)
6:03.0,D. Harris enters the game for D. Williams,,11-17,,
6:03.0,D. Powell enters the game for S. Mejri,,11-17,,
6:03.0,,,11-17,,S. Mack enters the game for D. Exum
6:03.0,,,11-17,,J. Johnson enters the game for G. Hayward
5:53.0,H. Barnes makes 2-pt shot from 1 ft,2,13-17,,
5:42.0,,,13-19,2,B. Diaw makes 2-pt shot from 2 ft
5:20.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by S. Curry),3,16-19,,
5:13.0,,,16-19,,Utah full timeout
5:13.0,W. Matthews enters the game for H. Barnes,,16-19,,
5:05.0,,,16-19,,J. Johnson misses 2-pt shot from 5 ft
5:04.0,,,16-19,,Offensive rebound by J. Johnson
5:04.0,,,16-21,2,J. Johnson makes 2-pt shot from 2 ft
4:46.0,,,16-21,,Def 3 sec tech foul by R. Gobert
4:46.0,S. Curry misses technical free throw,,16-21,,
4:46.0,Offensive rebound by Team,,16-21,,
4:46.0,,,16-21,,T. Lyles enters the game for B. Diaw
4:36.0,S. Curry makes 2-pt shot from 22 ft,2,18-21,,
4:09.0,,,18-21,,S. Mack misses 3-pt shot from 25 ft
4:09.0,,,18-21,,Offensive rebound by R. Gobert
3:45.0,,,18-21,,R. Hood misses 2-pt shot from 10 ft
3:45.0,,,18-21,,Offensive rebound by R. Gobert
3:41.0,,,18-23,2,R. Gobert makes 2-pt shot from 4 ft
3:32.0,Dallas full timeout,,18-23,,
3:22.0,D. Powell misses 2-pt shot from 17 ft,,18-23,,
3:21.0,,,18-23,,Defensive rebound by J. Johnson
3:09.0,,,18-25,2,R. Hood makes 2-pt shot from 18 ft (assist by T. Lyles)
2:52.0,W. Matthews makes 3-pt shot from 24 ft (assist by S. Curry),3,21-25,,
2:30.0,,,21-27,2,J. Johnson makes 2-pt shot from 9 ft
2:06.0,D. Powell misses 2-pt shot from 18 ft,,21-27,,
2:06.0,,,21-27,,Defensive rebound by R. Gobert
1:55.0,Personal foul by D. Harris (drawn by R. Gobert),,21-27,,
1:55.0,J. Anderson enters the game for W. Matthews,,21-27,,
1:55.0,H. Barnes enters the game for D. Finney-Smith,,21-27,,
1:55.0,,,21-27,,J. Ingles enters the game for T. Lyles
1:55.0,,,21-27,,D. Favors enters the game for R. Gobert
1:47.0,,,21-29,2,S. Mack makes 2-pt shot from 2 ft (assist by R. Hood)
1:28.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Powell),3,24-29,,
1:19.0,,,24-29,,Offensive foul by J. Ingles
1:19.0,,,24-29,,Turnover by J. Ingles (offensive foul)
1:19.0,,,24-29,,G. Hayward enters the game for R. Hood
1:05.0,H. Barnes makes 2-pt shot from 19 ft (assist by S. Curry),2,26-29,,
0:47.0,,,26-31,2,S. Mack makes 2-pt shot from 13 ft
0:36.0,S. Curry makes 3-pt shot from 26 ft,3,29-31,,
0:19.0,,,29-33,2,S. Mack makes 2-pt shot from 2 ft (assist by G. Hayward)
0:02.0,D. Powell misses 2-pt shot from 20 ft,,29-33,,
0:01.0,Offensive rebound by D. Harris,,29-33,,
0:01.0,D. Harris misses 2-pt shot from 1 ft,,29-33,,
0:00.0,Offensive rebound by H. Barnes,,29-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by D. Favors (drawn by J. Anderson),,29-33,,
11:49.0,J. Anderson misses free throw 1 of 2,,29-33,,
11:49.0,Offensive rebound by Team,,29-33,,
11:49.0,J. Anderson makes free throw 2 of 2,1,30-33,,
11:31.0,,,30-33,,Turnover by G. Hayward (bad pass; steal by D. Williams)
11:26.0,S. Curry misses 3-pt shot from 25 ft,,30-33,,
11:26.0,,,30-33,,Defensive rebound by Team
11:26.0,Loose ball foul by S. Mejri (drawn by D. Favors),,30-33,,
11:26.0,,,30-33,,T. Lyles enters the game for J. Johnson
11:10.0,,,30-35,2,T. Lyles makes 2-pt shot at rim (assist by G. Hayward)
11:10.0,Dallas full timeout,,30-35,,
11:00.0,,,30-35,,Personal foul by T. Lyles (drawn by H. Barnes)
10:52.0,J. Anderson makes 3-pt shot from 24 ft (assist by H. Barnes),3,33-35,,
10:34.0,,,33-35,,D. Favors misses 2-pt shot from 6 ft
10:33.0,Defensive rebound by S. Mejri,,33-35,,
10:21.0,J. Anderson makes 3-pt shot from 24 ft (assist by S. Mejri),3,36-35,,
9:58.0,,,36-37,2,D. Favors makes 2-pt shot from 17 ft (assist by S. Mack)
9:46.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,38-37,,
9:30.0,,,38-37,,Turnover by G. Hayward (bad pass)
9:19.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,40-37,,
9:11.0,Personal foul by J. Anderson (drawn by T. Lyles),,40-37,,
9:11.0,,,40-37,,Technical foul by T. Lyles
9:11.0,Technical foul by J. Anderson (drawn by T. Lyles),,40-37,,
9:11.0,,,40-37,,R. Gobert enters the game for D. Favors
9:02.0,,,40-39,2,T. Lyles makes 2-pt shot from 8 ft
8:49.0,,,40-39,,Personal foul by J. Ingles (drawn by H. Barnes)
8:49.0,D. Harris enters the game for S. Curry,,40-39,,
8:49.0,,,40-39,,R. Hood enters the game for J. Ingles
8:33.0,J. Anderson misses 2-pt shot from 12 ft,,40-39,,
8:33.0,,,40-39,,Defensive rebound by R. Gobert
8:13.0,,,40-39,,T. Lyles misses 2-pt shot from 12 ft
8:13.0,,,40-39,,Offensive rebound by Team
8:13.0,Loose ball foul by D. Harris (drawn by R. Gobert),,40-39,,
8:13.0,W. Matthews enters the game for J. Anderson,,40-39,,
8:12.0,,,40-39,,Shooting foul by S. Mejri (drawn by R. Gobert)
8:12.0,Technical foul by S. Mejri (drawn by R. Gobert),,40-39,,
8:12.0,,,40-39,,G. Hayward misses technical free throw
8:12.0,,,40-39,,Offensive rebound by Team
