time,Boston,pts.away,score,pts.home,Washington
1:24.0,,,8-30,,T. Burke misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by Team,,8-30,,
1:11.0,J. Mickey misses 2-pt shot from 5 ft,,8-30,,
1:10.0,,,8-30,,Defensive rebound by A. Nicholson
1:00.0,,,8-32,2,J. Smith makes 2-pt shot from 20 ft (assist by T. Satoransky)
0:46.0,T. Rozier misses 2-pt shot from 2 ft (block by A. Nicholson),,8-32,,
0:42.0,Offensive rebound by J. Mickey,,8-32,,
0:39.0,Jump ball: J. Mickey vs. A. Nicholson (M. Smart gains possession),,,,Jump ball: J. Mickey vs. A. Nicholson (M. Smart gains possession)
0:33.0,M. Smart misses 2-pt shot from 15 ft,,8-32,,
0:33.0,,,8-32,,Defensive rebound by J. Smith
0:21.0,,,8-34,2,T. Burke makes 2-pt shot from 8 ft (assist by A. Nicholson)
0:05.0,,,8-34,,Personal foul by J. Smith (drawn by M. Smart)
0:05.0,,,8-34,,O. Porter enters the game for A. Nicholson
0:01.0,K. Olynyk misses 2-pt shot from 15 ft,,8-34,,
0:00.0,Offensive rebound by Team,,8-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,8-34,,J. Smith misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by K. Olynyk,,8-34,,
11:23.0,M. Smart makes 2-pt shot at rim,2,10-34,,
11:13.0,Personal foul by A. Johnson (drawn by A. Nicholson),,10-34,,
11:13.0,,,10-34,,M. Morris enters the game for J. Smith
11:01.0,,,10-34,,M. Thornton misses 3-pt shot from 23 ft
10:59.0,,,10-34,,Offensive rebound by T. Burke
10:43.0,,,10-34,,T. Burke misses 3-pt shot from 26 ft
10:42.0,,,10-34,,Offensive rebound by T. Satoransky
10:41.0,,,10-36,2,T. Satoransky makes 2-pt shot from 1 ft
10:26.0,M. Smart misses 3-pt shot from 27 ft,,10-36,,
10:25.0,,,10-36,,Defensive rebound by M. Morris
10:16.0,,,10-36,,Offensive charge foul by M. Morris
10:16.0,,,10-36,,Turnover by M. Morris (offensive foul)
10:05.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,12-36,,
9:50.0,,,12-36,,Offensive foul by M. Morris
9:50.0,,,12-36,,Turnover by M. Morris (offensive foul)
9:50.0,,,12-36,,Violation by Team (jump ball)
9:50.0,,,12-36,,J. Wall enters the game for M. Morris
9:50.0,,,12-36,,B. Beal enters the game for M. Thornton
9:50.0,,,12-36,,O. Porter enters the game for T. Burke
9:35.0,M. Smart misses 2-pt shot from 1 ft (block by O. Porter),,12-36,,
9:34.0,Offensive rebound by Team,,12-36,,
9:31.0,G. Green misses 2-pt shot from 18 ft,,12-36,,
9:30.0,,,12-36,,Defensive rebound by O. Porter
9:17.0,,,12-36,,O. Porter misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by K. Olynyk,,12-36,,
9:11.0,Shooting foul by T. Satoransky (drawn by I. Thomas),,12-36,,
9:11.0,I. Thomas makes free throw 1 of 2,1,13-36,,
9:11.0,I. Thomas makes free throw 2 of 2,1,14-36,,
9:11.0,J. Jerebko enters the game for K. Olynyk,,13-36,,
8:56.0,,,14-36,,J. Wall misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by A. Johnson,,14-36,,
8:44.0,G. Green misses 3-pt shot from 26 ft,,14-36,,
8:43.0,Offensive rebound by I. Thomas,,14-36,,
8:40.0,I. Thomas makes 3-pt shot from 24 ft,3,17-36,,
8:40.0,,,17-36,,Washington full timeout
8:40.0,,,17-36,,M. Gortat enters the game for A. Nicholson
8:26.0,,,17-36,,O. Porter misses 2-pt shot from 16 ft
8:25.0,Defensive rebound by G. Green,,17-36,,
8:10.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,19-36,,
7:53.0,,,19-38,2,M. Gortat makes 2-pt shot from 6 ft (assist by T. Satoransky)
7:53.0,,,19-38,,Shooting foul by G. Green (drawn by M. Gortat)
7:53.0,,,19-39,1,M. Gortat makes free throw 1 of 1
