time,Utah,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (M. Morris gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (M. Morris gains possession)
11:46.0,,,0-0,,M. Gortat misses 2-pt shot from 16 ft
11:45.0,Defensive rebound by G. Hayward,,0-0,,
11:29.0,G. Hill makes 3-pt shot from 25 ft (assist by G. Hayward),3,3-0,,
11:15.0,,,3-0,,B. Beal misses 2-pt shot from 19 ft
11:14.0,Defensive rebound by R. Gobert,,3-0,,
10:57.0,G. Hayward misses 2-pt shot from 8 ft,,3-0,,
10:56.0,,,3-0,,Defensive rebound by M. Gortat
10:49.0,Personal foul by R. Hood (drawn by B. Beal),,3-0,,
10:39.0,,,3-0,,O. Porter misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by R. Gobert,,3-0,,
10:14.0,R. Hood misses 3-pt shot from 28 ft,,3-0,,
10:13.0,,,3-0,,Defensive rebound by M. Morris
10:06.0,,,3-2,2,J. Wall makes 2-pt shot from 2 ft
9:48.0,,,3-2,,Personal block foul by B. Beal (drawn by G. Hayward)
9:42.0,R. Hood makes 3-pt shot from 28 ft (assist by G. Hill),3,6-2,,
9:14.0,,,6-2,,M. Gortat misses 2-pt shot from 8 ft
9:13.0,Defensive rebound by G. Hayward,,6-2,,
9:01.0,G. Hayward misses 2-pt shot from 20 ft,,6-2,,
9:00.0,,,6-2,,Defensive rebound by M. Morris
8:51.0,,,6-2,,M. Morris misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by G. Hayward,,6-2,,
8:38.0,Turnover by G. Hill (lost ball; steal by J. Wall),,6-2,,
8:33.0,,,6-2,,M. Morris misses 2-pt shot from 2 ft (block by D. Favors)
8:31.0,Defensive rebound by R. Gobert,,6-2,,
8:24.0,Turnover by G. Hayward (bad pass; steal by M. Morris),,6-2,,
8:22.0,Personal foul by R. Hood (drawn by B. Beal),,6-2,,
8:07.0,,,6-2,,M. Morris misses 2-pt shot from 12 ft (block by D. Favors)
8:06.0,Defensive rebound by D. Favors,,6-2,,
7:53.0,G. Hill makes 3-pt shot from 25 ft (assist by R. Hood),3,9-2,,
7:35.0,,,9-5,3,J. Wall makes 3-pt shot from 25 ft
7:19.0,Shooting foul by O. Porter (drawn by G. Hayward),,9-5,,
7:19.0,G. Hayward makes free throw 1 of 2,1,10-5,,
7:19.0,G. Hayward misses free throw 2 of 2,,10-5,,
7:17.0,,,10-5,,Defensive rebound by O. Porter
7:04.0,,,10-7,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall)
6:51.0,Turnover by G. Hill (bad pass; steal by O. Porter),,10-7,,
6:32.0,,,10-7,,M. Morris misses 3-pt shot from 26 ft
6:31.0,,,10-7,,Offensive rebound by O. Porter
6:28.0,,,10-7,,O. Porter misses 2-pt shot from 11 ft
6:27.0,Defensive rebound by R. Gobert,,10-7,,
6:15.0,R. Hood misses 3-pt shot from 27 ft,,10-7,,
6:14.0,,,10-7,,Defensive rebound by M. Gortat
6:02.0,,,10-9,2,J. Wall makes 2-pt shot from 18 ft
5:40.0,Offensive foul by G. Hayward,,10-9,,
5:40.0,Turnover by G. Hayward (offensive foul),,10-9,,
5:40.0,,,10-9,,Washington full timeout
5:39.0,D. Exum enters the game for D. Favors,,10-9,,
5:39.0,J. Johnson enters the game for G. Hill,,10-9,,
5:23.0,,,10-9,,J. Wall misses 2-pt shot from 20 ft
5:22.0,Defensive rebound by R. Gobert,,10-9,,
5:18.0,Turnover by R. Gobert (bad pass; steal by O. Porter),,10-9,,
5:15.0,,,10-11,2,O. Porter makes 2-pt shot at rim
4:57.0,,,10-11,,Personal foul by M. Gortat (drawn by R. Gobert)
4:57.0,,,10-11,,B. Bogdanovic enters the game for M. Morris
4:46.0,Turnover by D. Exum (lost ball; steal by J. Wall),,10-11,,
4:33.0,,,10-14,3,B. Bogdanovic makes 3-pt shot from 29 ft (assist by J. Wall)
4:11.0,Shooting foul by B. Beal (drawn by R. Hood),,10-14,,
4:11.0,R. Hood makes free throw 1 of 3,1,11-14,,
4:11.0,R. Hood makes free throw 2 of 3,1,12-14,,
4:11.0,R. Hood makes free throw 3 of 3,1,13-14,,
4:11.0,,,12-14,,K. Oubre enters the game for B. Beal
4:00.0,,,13-14,,K. Oubre misses 3-pt shot from 23 ft
3:59.0,Defensive rebound by R. Hood,,13-14,,
3:51.0,R. Hood makes 3-pt shot from 30 ft,3,16-14,,
3:36.0,,,16-14,,Turnover by J. Wall (bad pass)
3:36.0,J. Ingles enters the game for R. Hood,,16-14,,
3:36.0,Utah full timeout,,16-14,,
3:36.0,,,16-14,,I. Mahinmi enters the game for M. Gortat
3:21.0,G. Hayward misses 2-pt shot from 5 ft,,16-14,,
3:19.0,,,16-14,,Defensive rebound by Team
3:01.0,,,16-16,2,K. Oubre makes 2-pt shot from 1 ft (assist by I. Mahinmi)
2:48.0,J. Ingles makes 2-pt shot at rim,2,18-16,,
2:39.0,,,18-18,2,O. Porter makes 2-pt shot from 23 ft (assist by J. Wall)
2:14.0,D. Exum misses 3-pt shot from 25 ft,,18-18,,
2:13.0,,,18-18,,Defensive rebound by O. Porter
2:04.0,,,18-20,2,O. Porter makes 2-pt shot from 8 ft (assist by J. Wall)
1:47.0,G. Hayward makes 2-pt shot at rim (assist by R. Gobert),2,20-20,,
1:29.0,,,20-20,,B. Bogdanovic misses 2-pt shot from 14 ft (block by D. Exum)
1:27.0,Defensive rebound by R. Gobert,,20-20,,
1:16.0,Turnover by D. Exum (lost ball; steal by K. Oubre),,20-20,,
1:12.0,,,20-22,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
1:01.0,J. Ingles misses 3-pt shot from 26 ft,,20-22,,
1:00.0,,,20-22,,Defensive rebound by J. Wall
0:56.0,,,20-22,,J. Wall misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by R. Gobert,,20-22,,
0:48.0,R. Gobert misses 2-pt shot at rim,,20-22,,
0:48.0,Offensive rebound by R. Gobert,,20-22,,
0:48.0,Shooting foul by K. Oubre (drawn by R. Gobert),,20-22,,
0:48.0,R. Gobert makes free throw 1 of 2,1,21-22,,
0:48.0,R. Gobert makes free throw 2 of 2,1,22-22,,
0:48.0,,,21-22,,T. Burke enters the game for J. Wall
0:48.0,G. Hill enters the game for G. Hayward,,21-22,,
0:48.0,A. Burks enters the game for D. Exum,,21-22,,
0:39.0,Personal foul by J. Ingles (drawn by O. Porter),,22-22,,
0:39.0,D. Favors enters the game for R. Gobert,,22-22,,
0:27.0,,,22-22,,O. Porter misses 2-pt shot from 10 ft
0:26.0,,,22-22,,Offensive rebound by I. Mahinmi
0:25.0,,,22-24,2,I. Mahinmi makes 2-pt shot from 2 ft
0:06.0,G. Hill makes 2-pt shot from 15 ft,2,24-24,,
0:00.0,,,24-24,,T. Burke misses 2-pt shot from 17 ft
0:00.0,,,24-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Turnover by J. Ingles (bad pass; steal by I. Mahinmi),,24-24,,
11:19.0,,,24-24,,B. Bogdanovic misses 3-pt shot from 27 ft
11:18.0,Defensive rebound by J. Ingles,,24-24,,
11:06.0,D. Favors misses 2-pt shot from 7 ft,,24-24,,
11:05.0,,,24-24,,Defensive rebound by Team
11:05.0,Personal foul by D. Favors (drawn by I. Mahinmi),,24-24,,
10:43.0,,,24-24,,Turnover by I. Mahinmi (3 sec)
10:36.0,Offensive foul by D. Favors,,24-24,,
10:36.0,Turnover by D. Favors (offensive foul),,24-24,,
10:22.0,,,24-24,,T. Burke misses 2-pt shot from 5 ft (block by D. Favors)
10:20.0,Defensive rebound by A. Burks,,24-24,,
10:13.0,A. Burks makes 2-pt shot from 20 ft,2,26-24,,
9:50.0,,,26-24,,K. Oubre misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by J. Ingles,,26-24,,
9:25.0,G. Hill makes 2-pt shot from 17 ft,2,28-24,,
9:03.0,,,28-24,,M. Morris misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by D. Favors,,28-24,,
8:51.0,,,28-24,,Personal foul by M. Morris (drawn by B. Diaw)
8:51.0,Official timeout,,28-24,,
8:51.0,R. Hood enters the game for J. Ingles,,28-24,,
8:46.0,D. Favors makes 2-pt shot at rim (assist by B. Diaw),2,30-24,,
8:26.0,,,30-24,,B. Bogdanovic misses 2-pt shot from 6 ft
8:25.0,,,30-24,,Offensive rebound by I. Mahinmi
8:20.0,,,30-24,,Turnover by B. Bogdanovic (offensive goaltending)
8:15.0,,,30-24,,Personal foul by I. Mahinmi (drawn by G. Hill)
8:15.0,,,30-24,,J. Wall enters the game for T. Burke
8:07.0,Shooting foul by K. Oubre (drawn by R. Hood),,30-24,,
8:07.0,R. Hood makes free throw 1 of 2,1,31-24,,
8:07.0,R. Hood makes free throw 2 of 2,1,32-24,,
8:07.0,,,31-24,,B. Beal enters the game for K. Oubre
8:07.0,D. Exum enters the game for G. Hill,,31-24,,
