time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (M. Harkless gains possession)
11:43.0,Personal foul by J. Randle (drawn by A. Aminu),,0-0,,
11:30.0,,,0-2,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
11:07.0,Turnover by D. Russell (lost ball; steal by M. Plumlee),,0-2,,
11:04.0,,,0-4,2,M. Plumlee makes 2-pt shot at rim
11:01.0,Turnover by J. Randle (lost ball),,0-4,,
10:58.0,,,0-4,,C. McCollum misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by T. Mozgov,,0-4,,
10:46.0,N. Young misses 2-pt shot from 22 ft,,0-4,,
10:45.0,,,0-4,,Defensive rebound by M. Plumlee
10:39.0,,,0-6,2,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum)
10:11.0,J. Randle makes 2-pt shot from 15 ft,2,2-6,,
9:53.0,,,2-6,,C. McCollum misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by T. Mozgov,,2-6,,
9:39.0,J. Randle misses 2-pt shot from 1 ft (block by M. Harkless),,2-6,,
9:38.0,Offensive rebound by J. Randle,,2-6,,
9:32.0,B. Ingram makes 3-pt shot from 23 ft (assist by J. Randle),3,5-6,,
9:18.0,,,5-8,2,D. Lillard makes 2-pt shot from 23 ft (assist by C. McCollum)
9:04.0,Shooting foul by M. Harkless (drawn by B. Ingram),,5-8,,
9:04.0,B. Ingram makes free throw 1 of 2,1,6-8,,
9:04.0,B. Ingram makes free throw 2 of 2,1,7-8,,
8:49.0,,,7-8,,M. Plumlee misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by T. Mozgov,,7-8,,
8:37.0,J. Randle misses 2-pt shot from 19 ft,,7-8,,
8:36.0,,,7-8,,Defensive rebound by M. Harkless
8:29.0,,,7-11,3,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum)
8:10.0,T. Mozgov makes 2-pt shot from 15 ft (assist by J. Randle),2,9-11,,
7:55.0,Shooting block foul by T. Mozgov (drawn by M. Plumlee),,9-11,,
7:55.0,,,9-12,1,M. Plumlee makes free throw 1 of 2
7:55.0,,,9-12,,M. Plumlee misses free throw 2 of 2
7:55.0,Defensive rebound by J. Randle,,9-12,,
7:39.0,Shooting foul by D. Lillard (drawn by D. Russell),,9-12,,
7:39.0,D. Russell makes free throw 1 of 2,1,10-12,,
7:39.0,D. Russell makes free throw 2 of 2,1,11-12,,
7:30.0,Personal foul by B. Ingram (drawn by M. Harkless),,11-12,,
7:19.0,,,11-12,,C. McCollum misses 2-pt shot from 20 ft
7:18.0,Defensive rebound by T. Mozgov,,11-12,,
7:09.0,T. Mozgov misses 2-pt shot from 5 ft,,11-12,,
7:08.0,,,11-12,,Defensive rebound by M. Plumlee
6:59.0,,,11-14,2,C. McCollum makes 2-pt shot from 18 ft (assist by M. Plumlee)
