time,LA Clippers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (J. Green gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (J. Green gains possession)
11:41.0,,,0-0,,M. Gasol misses 2-pt shot from 21 ft
11:40.0,Defensive rebound by C. Paul,,0-0,,
11:21.0,Turnover by D. Jordan (lost ball; steal by M. Conley),,0-0,,
11:13.0,,,0-0,,J. Green misses 2-pt shot from 23 ft
11:10.0,,,0-0,,Offensive rebound by J. Ennis
11:01.0,,,0-0,,T. Allen misses 2-pt shot from 20 ft
11:01.0,Defensive rebound by J. Redick,,0-0,,
10:39.0,Turnover by Team (shot clock),,0-0,,
10:23.0,,,0-0,,M. Gasol misses 2-pt shot from 12 ft
10:19.0,,,0-0,,Offensive rebound by J. Ennis
10:19.0,,,0-0,,J. Ennis misses 2-pt shot from 2 ft
10:18.0,,,0-0,,Offensive rebound by J. Ennis
10:18.0,,,0-0,,J. Ennis misses 2-pt shot from 2 ft
10:17.0,,,0-0,,Offensive rebound by Team
10:13.0,,,0-3,3,M. Conley makes 3-pt shot from 24 ft (assist by T. Allen)
9:55.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,2-3,,
9:39.0,,,2-3,,Turnover by J. Ennis (bad pass; steal by L. Mbah a Moute)
9:23.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,4-3,,
9:12.0,,,4-3,,M. Gasol misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by D. Jordan,,4-3,,
9:04.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Griffin),2,6-3,,
8:49.0,,,6-3,,Turnover by J. Green (bad pass; steal by L. Mbah a Moute)
8:44.0,Shooting foul by T. Allen (drawn by J. Redick),,6-3,,
8:44.0,J. Redick makes free throw 1 of 2,1,7-3,,
8:44.0,J. Redick makes free throw 2 of 2,1,8-3,,
8:23.0,,,8-6,3,M. Conley makes 3-pt shot from 26 ft (assist by J. Green)
8:13.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,10-6,,
8:02.0,,,10-6,,M. Conley misses 2-pt shot from 6 ft (block by D. Jordan)
8:00.0,Defensive rebound by L. Mbah a Moute,,10-6,,
7:58.0,,,10-6,,Personal foul by M. Gasol (drawn by L. Mbah a Moute)
7:42.0,C. Paul makes 3-pt shot from 25 ft,3,13-6,,
7:22.0,,,13-9,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
7:09.0,Turnover by J. Redick (lost ball),,13-9,,
6:56.0,,,13-9,,Turnover by M. Gasol (lost ball; steal by L. Mbah a Moute)
6:46.0,C. Paul makes 2-pt shot from 12 ft,2,15-9,,
6:39.0,,,15-9,,Memphis full timeout
6:32.0,,,15-11,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
6:14.0,J. Redick misses 2-pt shot from 22 ft,,15-11,,
6:11.0,Offensive rebound by D. Jordan,,15-11,,
6:04.0,,,15-11,,Loose ball foul by J. Green (drawn by B. Griffin)
5:59.0,B. Griffin misses 2-pt shot from 22 ft,,15-11,,
5:58.0,,,15-11,,Defensive rebound by M. Gasol
5:41.0,,,15-11,,M. Conley misses 2-pt shot from 14 ft
5:39.0,Defensive rebound by D. Jordan,,15-11,,
5:28.0,Turnover by C. Paul (step out of bounds),,15-11,,
5:17.0,,,15-11,,M. Gasol misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by B. Griffin,,15-11,,
5:07.0,Turnover by B. Griffin (bad pass; steal by M. Gasol),,15-11,,
4:56.0,,,15-11,,Shooting foul by B. Griffin (drawn by M. Gasol)
4:56.0,,,15-12,1,M. Gasol makes free throw 1 of 2
4:56.0,,,15-13,1,M. Gasol makes free throw 2 of 2
4:56.0,,,15-12,,V. Carter enters the game for T. Allen
4:56.0,,,15-12,,W. Baldwin enters the game for M. Conley
4:46.0,,,15-13,,Personal foul by J. Green (drawn by B. Griffin)
4:46.0,J. Crawford enters the game for L. Mbah a Moute,,15-13,,
4:46.0,,,15-13,,Z. Randolph enters the game for J. Green
4:31.0,C. Paul misses 3-pt shot from 25 ft,,15-13,,
4:30.0,,,15-13,,Defensive rebound by M. Gasol
4:21.0,,,15-13,,Turnover by Z. Randolph (lost ball; steal by C. Paul)
4:17.0,C. Paul makes 2-pt shot from 2 ft,2,17-13,,
4:17.0,Shooting foul by V. Carter (drawn by C. Paul),,17-13,,
4:17.0,C. Paul makes free throw 1 of 1,1,18-13,,
4:17.0,A. Rivers enters the game for J. Redick,,17-13,,
4:02.0,Personal foul by A. Rivers (drawn by J. Ennis),,18-13,,
3:55.0,,,18-13,,W. Baldwin misses 2-pt shot from 11 ft (block by D. Jordan)
3:53.0,Defensive rebound by D. Jordan,,18-13,,
3:40.0,A. Rivers misses 3-pt shot from 24 ft,,18-13,,
3:40.0,,,18-13,,Defensive rebound by M. Gasol
3:31.0,,,18-13,,M. Gasol misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by D. Jordan,,18-13,,
3:17.0,C. Paul misses 2-pt shot from 21 ft,,18-13,,
3:16.0,,,18-13,,Defensive rebound by Z. Randolph
3:00.0,,,18-13,,Z. Randolph misses 2-pt shot from 14 ft
2:59.0,,,18-13,,Offensive rebound by J. Ennis
2:59.0,,,18-13,,J. Ennis misses 2-pt shot from 2 ft (block by C. Paul)
2:56.0,Defensive rebound by J. Crawford,,18-13,,
2:49.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Crawford),2,20-13,,
2:30.0,,,20-13,,V. Carter misses 2-pt shot from 2 ft
2:29.0,,,20-13,,Offensive rebound by V. Carter
2:29.0,,,20-13,,V. Carter misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by A. Rivers,,20-13,,
2:17.0,J. Crawford misses 3-pt shot from 25 ft,,20-13,,
2:17.0,,,20-13,,Defensive rebound by M. Gasol
2:12.0,,,20-13,,Shooting foul by D. Jordan (drawn by J. Ennis)
2:12.0,LA Clippers full timeout,,20-13,,
2:12.0,,,20-13,,J. Ennis misses free throw 1 of 2
2:12.0,,,20-13,,Offensive rebound by Team
2:12.0,,,20-14,1,J. Ennis makes free throw 2 of 2
2:12.0,R. Felton enters the game for D. Jordan,,20-13,,
2:12.0,M. Speights enters the game for C. Paul,,20-13,,
2:12.0,,,20-13,,J. Martin enters the game for M. Gasol
1:50.0,R. Felton misses 3-pt shot from 24 ft,,20-14,,
1:49.0,,,20-14,,Defensive rebound by J. Martin
1:31.0,,,20-17,3,V. Carter makes 3-pt shot from 24 ft (assist by W. Baldwin)
1:14.0,B. Griffin makes 2-pt shot from 21 ft (assist by R. Felton),2,22-17,,
