time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Jordan (C. Paul gains possession),,,,Jump ball: N. Jokic vs. D. Jordan (C. Paul gains possession)
11:44.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
11:21.0,D. Gallinari misses 3-pt shot from 25 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by P. Pierce
11:12.0,,,0-2,,Shooting foul by W. Chandler (drawn by P. Pierce)
11:12.0,,,0-2,,P. Pierce misses free throw 1 of 2
11:12.0,,,0-2,,Offensive rebound by Team
11:12.0,,,0-3,1,P. Pierce makes free throw 2 of 2
10:55.0,W. Chandler misses 2-pt shot from 22 ft,,0-3,,
10:54.0,,,0-3,,Defensive rebound by C. Paul
10:47.0,,,0-3,,L. Mbah a Moute misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by D. Gallinari,,0-3,,
10:24.0,W. Chandler misses 2-pt shot from 10 ft,,0-3,,
10:23.0,Offensive rebound by W. Chandler,,0-3,,
10:17.0,G. Harris misses 2-pt shot from 11 ft,,0-3,,
10:15.0,Offensive rebound by G. Harris,,0-3,,
10:12.0,G. Harris misses 2-pt shot from 17 ft,,0-3,,
10:12.0,,,0-3,,Defensive rebound by C. Paul
9:57.0,Violation by D. Gallinari (kicked ball),,0-3,,
9:44.0,,,0-5,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Redick)
9:32.0,N. Jokic makes 2-pt shot from 20 ft,2,2-5,,
9:19.0,,,2-7,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
9:08.0,N. Jokic misses 3-pt shot from 24 ft,,2-7,,
9:07.0,,,2-7,,Defensive rebound by D. Jordan
8:55.0,,,2-10,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan)
8:54.0,Denver full timeout,,2-10,,
8:36.0,Turnover by N. Jokic (bad pass),,2-10,,
8:22.0,,,2-12,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:09.0,D. Gallinari makes 3-pt shot from 26 ft (assist by G. Harris),3,5-12,,
8:02.0,,,5-15,3,J. Redick makes 3-pt shot from 25 ft
7:52.0,Shooting foul by P. Pierce (drawn by N. Jokic),,5-15,,
7:52.0,N. Jokic misses free throw 1 of 2,,5-15,,
7:52.0,Offensive rebound by Team,,5-15,,
7:52.0,N. Jokic makes free throw 2 of 2,1,6-15,,
7:26.0,,,6-15,,C. Paul misses 2-pt shot from 10 ft
7:25.0,Defensive rebound by W. Chandler,,6-15,,
7:18.0,W. Chandler makes 2-pt shot from 11 ft,2,8-15,,
7:00.0,,,8-15,,P. Pierce misses 2-pt shot from 10 ft
7:00.0,,,8-15,,Offensive rebound by Team
6:51.0,,,8-15,,J. Redick misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by E. Mudiay,,8-15,,
6:40.0,D. Gallinari misses 3-pt shot from 23 ft,,8-15,,
6:40.0,,,8-15,,Defensive rebound by D. Jordan
6:29.0,,,8-18,3,J. Redick makes 3-pt shot from 24 ft
6:09.0,W. Chandler misses 3-pt shot from 24 ft,,8-18,,
6:08.0,,,8-18,,Defensive rebound by D. Jordan
5:59.0,,,8-18,,C. Paul misses 2-pt shot from 20 ft
5:58.0,Defensive rebound by N. Jokic,,8-18,,
5:49.0,E. Mudiay misses 3-pt shot from 25 ft,,8-18,,
5:48.0,,,8-18,,Defensive rebound by D. Jordan
5:27.0,,,8-21,3,P. Pierce makes 3-pt shot from 26 ft (assist by C. Paul)
5:26.0,Denver full timeout,,8-21,,
5:26.0,K. Faried enters the game for N. Jokic,,8-21,,
5:26.0,W. Barton enters the game for D. Gallinari,,8-21,,
5:26.0,,,8-21,,W. Johnson enters the game for P. Pierce
5:04.0,E. Mudiay misses 3-pt shot from 24 ft,,8-21,,
5:03.0,,,8-21,,Defensive rebound by D. Jordan
5:03.0,Personal foul by W. Barton (drawn by C. Paul),,8-21,,
4:52.0,,,8-23,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
4:50.0,,,8-23,,Violation by Team (jump ball)
4:33.0,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler),3,11-23,,
4:21.0,,,11-25,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
