time,New York,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. K. Porzingis (L. Thomas gains possession),,,,Jump ball: B. Biyombo vs. K. Porzingis (L. Thomas gains possession)
11:40.0,D. Rose misses 2-pt shot from 8 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by B. Biyombo
11:30.0,,,0-2,2,E. Fournier makes 2-pt shot from 11 ft (assist by E. Payton)
11:09.0,K. Porzingis misses 2-pt shot from 8 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by B. Biyombo
11:00.0,,,0-4,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
10:43.0,L. Thomas misses 2-pt shot from 15 ft,,0-4,,
10:42.0,,,0-4,,Defensive rebound by B. Biyombo
10:30.0,,,0-4,,E. Payton misses 2-pt shot from 6 ft
10:29.0,,,0-4,,Offensive rebound by B. Biyombo
10:29.0,,,0-4,,B. Biyombo misses 2-pt shot from 3 ft
10:29.0,,,0-4,,Offensive rebound by B. Biyombo
10:29.0,Personal foul by K. Porzingis (drawn by B. Biyombo),,0-4,,
10:10.0,,,0-7,3,E. Fournier makes 3-pt shot from 26 ft (assist by A. Gordon)
9:54.0,R. Baker misses 2-pt shot from 10 ft,,0-7,,
9:52.0,,,0-7,,Defensive rebound by A. Gordon
9:46.0,,,0-9,2,A. Gordon makes 2-pt shot at rim
9:46.0,New York full timeout,,0-9,,
9:31.0,K. Porzingis misses 2-pt shot from 22 ft,,0-9,,
9:29.0,,,0-9,,Defensive rebound by E. Payton
9:17.0,,,0-11,2,E. Payton makes 2-pt shot from 8 ft
9:05.0,,,0-11,,Personal foul by T. Ross (drawn by R. Baker)
8:58.0,L. Thomas makes 2-pt shot from 21 ft (assist by D. Rose),2,2-11,,
8:40.0,,,2-11,,E. Fournier misses 2-pt shot from 9 ft
8:38.0,Defensive rebound by L. Thomas,,2-11,,
8:30.0,C. Lee misses 2-pt shot from 6 ft,,2-11,,
8:29.0,,,2-11,,Defensive rebound by E. Fournier
8:18.0,Personal foul by C. Lee (drawn by A. Gordon),,2-11,,
8:10.0,,,2-11,,A. Gordon misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by C. Lee,,2-11,,
7:49.0,C. Lee misses 2-pt shot from 23 ft,,2-11,,
7:48.0,,,2-11,,Defensive rebound by A. Gordon
7:34.0,,,2-14,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
7:21.0,Shooting foul by A. Gordon (drawn by D. Rose),,2-14,,
7:21.0,D. Rose makes free throw 1 of 2,1,3-14,,
7:21.0,D. Rose makes free throw 2 of 2,1,4-14,,
7:21.0,W. Hernangomez enters the game for R. Baker,,3-14,,
7:13.0,,,4-14,,E. Payton misses 2-pt shot from 6 ft
7:12.0,Defensive rebound by W. Hernangomez,,4-14,,
7:02.0,W. Hernangomez makes 2-pt shot from 7 ft (assist by D. Rose),2,6-14,,
6:47.0,,,6-17,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
6:37.0,,,6-17,,Personal foul by E. Fournier (drawn by C. Lee)
6:32.0,Turnover by W. Hernangomez (bad pass; steal by T. Ross),,6-17,,
6:31.0,Personal block foul by W. Hernangomez (drawn by T. Ross),,6-17,,
6:07.0,,,6-19,2,A. Gordon makes 2-pt shot from 10 ft (assist by E. Fournier)
5:54.0,C. Lee misses 3-pt shot from 25 ft,,6-19,,
5:53.0,,,6-19,,Defensive rebound by A. Gordon
5:48.0,,,6-19,,Turnover by A. Gordon (traveling)
5:37.0,D. Rose misses 2-pt shot from 14 ft,,6-19,,
5:36.0,Offensive rebound by W. Hernangomez,,6-19,,
5:36.0,,,6-19,,Personal foul by E. Payton (drawn by W. Hernangomez)
5:33.0,,,6-19,,Personal foul by E. Fournier (drawn by L. Thomas)
5:33.0,L. Thomas makes free throw 1 of 2,1,7-19,,
5:33.0,L. Thomas makes free throw 2 of 2,1,8-19,,
5:33.0,,,7-19,,M. Hezonja enters the game for E. Fournier
5:16.0,,,8-19,,A. Gordon misses 3-pt shot from 27 ft
5:15.0,Defensive rebound by L. Thomas,,8-19,,
4:53.0,W. Hernangomez misses 2-pt shot from 12 ft,,8-19,,
4:52.0,,,8-19,,Defensive rebound by E. Payton
4:45.0,,,8-22,3,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton)
4:27.0,L. Thomas misses 2-pt shot from 23 ft,,8-22,,
4:25.0,,,8-22,,Defensive rebound by T. Ross
4:21.0,,,8-22,,T. Ross misses 2-pt shot from 3 ft
4:20.0,Defensive rebound by D. Rose,,8-22,,
4:12.0,D. Rose misses 2-pt shot from 17 ft,,8-22,,
4:10.0,,,8-22,,Defensive rebound by B. Biyombo
4:01.0,,,8-22,,T. Ross misses 3-pt shot from 25 ft
4:00.0,,,8-22,,Offensive rebound by E. Payton
3:49.0,,,8-22,,B. Biyombo misses 2-pt shot from 6 ft (block by K. Porzingis)
3:47.0,Defensive rebound by K. Porzingis,,8-22,,
3:31.0,,,8-22,,Personal foul by A. Gordon (drawn by K. Porzingis)
3:31.0,K. Porzingis makes free throw 1 of 2,1,9-22,,
3:31.0,,,9-22,,Orlando full timeout
3:31.0,K. Porzingis makes free throw 2 of 2,1,10-22,,
3:31.0,,,9-22,,J. Green enters the game for A. Gordon
3:31.0,J. Holiday enters the game for L. Thomas,,9-22,,
3:31.0,M. Kuzminskas enters the game for C. Lee,,9-22,,
3:11.0,,,10-22,,E. Payton misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by D. Rose,,10-22,,
2:54.0,,,10-22,,D. Augustin enters the game for E. Payton
2:47.0,D. Rose misses 2-pt shot from 2 ft,,10-22,,
2:46.0,Offensive rebound by W. Hernangomez,,10-22,,
2:46.0,W. Hernangomez misses 2-pt shot from 3 ft,,10-22,,
2:45.0,,,10-22,,Defensive rebound by T. Ross
2:34.0,,,10-24,2,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin)
2:20.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Rose),3,13-24,,
1:59.0,,,13-26,2,M. Hezonja makes 2-pt shot from 17 ft (assist by D. Augustin)
1:43.0,W. Hernangomez misses 2-pt shot from 16 ft,,13-26,,
1:41.0,Offensive rebound by K. Porzingis,,13-26,,
1:41.0,K. Porzingis misses 2-pt shot from 1 ft,,13-26,,
1:37.0,,,13-26,,Defensive rebound by J. Green
1:32.0,,,13-26,,J. Green misses 2-pt shot from 2 ft
1:32.0,,,13-26,,Offensive rebound by B. Biyombo
1:32.0,,,13-26,,Shooting foul by J. Holiday (drawn by B. Biyombo)
1:32.0,,,13-26,,B. Biyombo misses free throw 1 of 2
1:32.0,,,13-26,,Offensive rebound by Team
1:32.0,,,13-26,,B. Biyombo misses free throw 2 of 2
1:32.0,C. Randle enters the game for D. Rose,,13-26,,
1:32.0,,,13-26,,C. Watson enters the game for T. Ross
1:32.0,R. Baker enters the game for K. Porzingis,,13-26,,
1:31.0,Defensive rebound by C. Randle,,13-26,,
1:21.0,Turnover by R. Baker (bad pass; steal by M. Hezonja),,13-26,,
1:14.0,,,13-26,,Turnover by J. Green (bad pass)
1:07.0,J. Holiday makes 3-pt shot from 24 ft (assist by W. Hernangomez),3,16-26,,
0:56.0,,,16-26,,Shooting foul by J. Holiday (drawn by M. Hezonja)
0:56.0,,,16-28,2,M. Hezonja makes 2-pt shot from 6 ft (assist by D. Augustin)
0:56.0,,,16-28,,M. Hezonja misses free throw 1 of 1
0:55.0,Defensive rebound by W. Hernangomez,,16-28,,
0:46.0,W. Hernangomez makes 2-pt shot at rim (assist by C. Randle),2,18-28,,
0:22.0,,,18-28,,J. Green misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by J. Holiday,,18-28,,
0:03.0,C. Randle misses 2-pt shot from 2 ft (block by B. Biyombo),,18-28,,
0:03.0,Offensive rebound by W. Hernangomez,,18-28,,
0:03.0,W. Hernangomez makes 2-pt shot at rim,2,20-28,,
0:00.0,,,20-28,,M. Hezonja misses 3-pt shot from 46 ft
0:00.0,,,20-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-30,2,M. Hezonja makes 2-pt shot from 2 ft
11:26.0,C. Randle misses 3-pt shot from 26 ft,,20-30,,
11:24.0,,,20-30,,Defensive rebound by M. Hezonja
11:19.0,,,20-30,,Shooting foul by W. Hernangomez (drawn by J. Green)
11:19.0,,,20-31,1,J. Green makes free throw 1 of 2
11:19.0,,,20-32,1,J. Green makes free throw 2 of 2
11:06.0,M. Kuzminskas misses 2-pt shot from 9 ft,,20-32,,
11:05.0,Offensive rebound by Team,,20-32,,
11:05.0,,,20-32,,Loose ball foul by D. Augustin (drawn by C. Randle)
11:00.0,J. Holiday makes 2-pt shot from 13 ft (assist by W. Hernangomez),2,22-32,,
10:47.0,,,22-32,,D. Rudez misses 3-pt shot from 26 ft
10:45.0,,,22-32,,Offensive rebound by C. Watson
10:24.0,,,22-32,,Shooting foul by J. Holiday (drawn by J. Green)
10:24.0,,,22-33,1,J. Green makes free throw 1 of 2
10:24.0,,,22-34,1,J. Green makes free throw 2 of 2
10:24.0,C. Lee enters the game for J. Holiday,,22-33,,
10:24.0,K. Porzingis enters the game for W. Hernangomez,,22-33,,
10:10.0,C. Lee makes 2-pt shot from 3 ft (assist by R. Baker),2,24-34,,
10:10.0,Shooting foul by C. Watson (drawn by C. Lee),,24-34,,
10:10.0,C. Lee makes free throw 1 of 1,1,25-34,,
9:50.0,,,25-34,,D. Augustin misses 3-pt shot from 27 ft
9:50.0,,,25-34,,Offensive rebound by Team
9:50.0,Loose ball foul by C. Randle (drawn by J. Green),,25-34,,
9:44.0,,,25-34,,C. Watson misses 2-pt shot from 3 ft
