time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. D. Nowitzki (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. D. Nowitzki (T. Parker gains possession)
11:41.0,,,0-2,2,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green)
11:27.0,Y. Ferrell misses 2-pt shot from 19 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by D. Green
11:13.0,,,0-4,2,T. Parker makes 2-pt shot from 2 ft
10:47.0,W. Matthews misses 3-pt shot from 25 ft (block by D. Green),,0-4,,
10:46.0,,,0-4,,Defensive rebound by L. Aldridge
10:40.0,Personal foul by Y. Ferrell (drawn by T. Parker),,0-4,,
10:35.0,,,0-4,,Shooting foul by W. Matthews (drawn by K. Leonard)
10:35.0,,,0-5,1,K. Leonard makes free throw 1 of 2
10:35.0,,,0-6,1,K. Leonard makes free throw 2 of 2
10:19.0,H. Barnes misses 2-pt shot from 3 ft (block by D. Bertans),,0-6,,
10:16.0,Offensive rebound by H. Barnes,,0-6,,
10:11.0,H. Barnes misses 3-pt shot from 24 ft,,0-6,,
10:10.0,,,0-6,,Defensive rebound by L. Aldridge
9:59.0,,,0-6,,L. Aldridge misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by S. Curry,,0-6,,
9:50.0,,,0-6,,Personal foul by D. Bertans (drawn by D. Nowitzki)
9:42.0,S. Curry makes 2-pt shot from 11 ft,2,2-6,,
9:22.0,,,2-6,,T. Parker misses 2-pt shot from 4 ft
9:21.0,Defensive rebound by S. Curry,,2-6,,
9:07.0,,,2-6,,Def 3 sec tech foul by D. Bertans
9:07.0,D. Nowitzki makes technical free throw,1,3-6,,
9:04.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,6-6,,
8:52.0,,,6-6,,K. Leonard misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by S. Curry,,6-6,,
8:37.0,D. Nowitzki misses 2-pt shot from 15 ft,,6-6,,
8:35.0,,,6-6,,Defensive rebound by D. Green
8:29.0,,,6-8,2,T. Parker makes 2-pt shot from 1 ft
8:05.0,W. Matthews misses 2-pt shot from 2 ft,,6-8,,
8:04.0,,,6-8,,Defensive rebound by D. Bertans
7:56.0,,,6-8,,D. Bertans misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by D. Nowitzki,,6-8,,
7:52.0,Turnover by D. Nowitzki (bad pass),,6-8,,
7:52.0,Dallas full timeout,,6-8,,
7:42.0,,,6-8,,Turnover by K. Leonard (traveling)
7:42.0,,,6-8,,Violation by Team (jump ball)
7:31.0,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry),2,8-8,,
7:13.0,,,8-10,2,T. Parker makes 2-pt shot from 3 ft
6:59.0,S. Curry makes 2-pt shot from 19 ft,2,10-10,,
6:43.0,,,10-10,,L. Aldridge misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by D. Nowitzki,,10-10,,
6:35.0,S. Curry misses 2-pt shot from 10 ft,,10-10,,
6:34.0,,,10-10,,Defensive rebound by L. Aldridge
6:17.0,,,10-12,2,D. Green makes 2-pt shot from 5 ft (assist by K. Leonard)
6:01.0,Y. Ferrell makes 3-pt shot from 25 ft,3,13-12,,
5:46.0,,,13-12,,T. Parker misses 2-pt shot from 16 ft
5:44.0,Defensive rebound by W. Matthews,,13-12,,
5:30.0,Y. Ferrell misses 2-pt shot from 3 ft (block by D. Bertans),,13-12,,
5:29.0,Offensive rebound by Y. Ferrell,,13-12,,
5:25.0,S. Curry makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,16-12,,
5:06.0,,,16-12,,Turnover by K. Leonard (bad pass; steal by Y. Ferrell)
5:06.0,,,16-12,,Personal foul by D. Bertans (drawn by Y. Ferrell)
5:06.0,,,16-12,,P. Mills enters the game for T. Parker
5:06.0,,,16-12,,M. Ginobili enters the game for D. Green
5:06.0,,,16-12,,D. Lee enters the game for D. Bertans
5:05.0,D. Harris enters the game for Y. Ferrell,,16-12,,
5:01.0,A. Bogut enters the game for D. Nowitzki,,16-12,,
4:48.0,H. Barnes misses 2-pt shot from 7 ft,,16-12,,
4:46.0,,,16-12,,Defensive rebound by P. Mills
4:37.0,,,16-12,,Shooting foul by H. Barnes (drawn by L. Aldridge)
4:37.0,,,16-13,1,L. Aldridge makes free throw 1 of 2
4:37.0,,,16-13,,L. Aldridge misses free throw 2 of 2
4:36.0,Defensive rebound by A. Bogut,,16-13,,
4:20.0,D. Harris misses 2-pt shot from 17 ft,,16-13,,
4:18.0,,,16-13,,Defensive rebound by D. Lee
4:09.0,,,16-15,2,K. Leonard makes 2-pt shot from 13 ft (assist by L. Aldridge)
3:47.0,W. Matthews makes 2-pt shot from 5 ft,2,18-15,,
3:46.0,,,18-15,,San Antonio full timeout
3:46.0,,,18-15,,D. Dedmon enters the game for L. Aldridge
3:28.0,,,18-15,,M. Ginobili misses 2-pt shot from 9 ft
3:28.0,,,18-15,,Offensive rebound by Team
3:28.0,Loose ball foul by A. Bogut (drawn by D. Dedmon),,18-15,,
3:16.0,,,18-17,2,D. Lee makes 2-pt shot from 12 ft
2:59.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Harris),3,21-17,,
2:46.0,,,21-19,2,P. Mills makes 2-pt shot from 20 ft
2:36.0,,,21-19,,Personal foul by D. Lee (drawn by S. Curry)
2:36.0,D. Finney-Smith enters the game for S. Curry,,21-19,,
2:36.0,Y. Ferrell enters the game for W. Matthews,,21-19,,
2:20.0,H. Barnes misses 2-pt shot from 20 ft,,21-19,,
2:19.0,,,21-19,,Defensive rebound by P. Mills
2:13.0,,,21-19,,Turnover by M. Ginobili (bad pass; steal by D. Harris)
2:07.0,D. Harris misses 2-pt shot from 2 ft,,21-19,,
2:06.0,,,21-19,,Defensive rebound by P. Mills
2:00.0,,,21-21,2,D. Dedmon makes 2-pt shot from 3 ft (assist by D. Lee)
1:59.0,Dallas full timeout,,21-21,,
1:59.0,J. Anderson enters the game for H. Barnes,,21-21,,
1:44.0,D. Harris makes 3-pt shot from 25 ft (assist by A. Bogut),3,24-21,,
1:30.0,,,24-23,2,D. Lee makes 2-pt shot from 6 ft
1:12.0,J. Anderson makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,27-23,,
1:11.0,Violation by Team (jump ball),,27-23,,
1:00.0,Personal foul by D. Finney-Smith (drawn by K. Leonard),,27-23,,
1:00.0,,,27-24,1,K. Leonard makes free throw 1 of 2
1:00.0,,,27-24,,K. Leonard misses free throw 2 of 2
0:59.0,Defensive rebound by J. Anderson,,27-24,,
0:42.0,D. Finney-Smith misses 2-pt shot from 18 ft,,27-24,,
0:40.0,,,27-24,,Defensive rebound by M. Ginobili
0:34.0,,,27-24,,Shooting foul by D. Harris (drawn by M. Ginobili)
0:34.0,,,27-25,1,M. Ginobili makes free throw 1 of 2
0:34.0,,,27-25,,M. Ginobili misses free throw 2 of 2
0:34.0,,,27-25,,K. Anderson enters the game for K. Leonard
0:33.0,Defensive rebound by A. Bogut,,27-25,,
0:15.0,J. Anderson misses 3-pt shot from 25 ft,,27-25,,
0:13.0,,,27-25,,Defensive rebound by D. Dedmon
0:02.0,,,27-28,3,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Lee)
0:00.0,D. Harris misses 3-pt shot from 43 ft,,27-28,,
0:00.0,Offensive rebound by Team,,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Nowitzki misses 2-pt shot from 11 ft,,27-28,,
11:40.0,,,27-28,,Defensive rebound by D. Dedmon
11:30.0,,,27-30,2,D. Lee makes 2-pt shot from 3 ft (assist by P. Mills)
11:15.0,N. Brussino misses 3-pt shot from 24 ft,,27-30,,
11:13.0,,,27-30,,Defensive rebound by K. Anderson
11:04.0,,,27-32,2,D. Lee makes 2-pt shot from 16 ft (assist by M. Ginobili)
10:49.0,,,27-32,,Personal block foul by K. Anderson (drawn by J. Anderson)
10:42.0,Y. Ferrell misses 3-pt shot from 25 ft,,27-32,,
10:41.0,,,27-32,,Defensive rebound by D. Dedmon
10:31.0,,,27-32,,M. Ginobili misses 2-pt shot from 5 ft (block by D. Nowitzki)
10:31.0,Defensive rebound by Team,,27-32,,
10:31.0,,,27-32,,T. Parker enters the game for P. Mills
