time,Oklahoma City,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (J. Winslow gains possession)
11:44.0,,,0-2,2,J. Winslow makes 2-pt shot from 1 ft
11:30.0,S. Adams misses 2-pt shot from 8 ft,,0-2,,
11:29.0,Offensive rebound by S. Adams,,0-2,,
11:09.0,A. Roberson misses 2-pt shot from 19 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by D. Williams
11:00.0,,,0-4,2,J. Richardson makes 2-pt shot from 17 ft
10:40.0,A. Morrow misses 3-pt shot from 25 ft,,0-4,,
10:39.0,Offensive rebound by S. Adams,,0-4,,
10:37.0,S. Adams misses 2-pt shot from 9 ft,,0-4,,
10:36.0,Offensive rebound by S. Adams,,0-4,,
10:34.0,S. Adams makes 2-pt shot from 1 ft,2,2-4,,
10:05.0,,,2-4,,R. McGruder misses 2-pt shot from 9 ft
10:04.0,Defensive rebound by R. Westbrook,,2-4,,
9:51.0,R. Westbrook misses 2-pt shot from 19 ft,,2-4,,
9:50.0,,,2-4,,Defensive rebound by J. Richardson
9:41.0,,,2-4,,Turnover by J. Winslow (step out of bounds)
9:21.0,R. Westbrook misses 2-pt shot from 2 ft,,2-4,,
9:20.0,Offensive rebound by Team,,2-4,,
9:16.0,Shooting foul by J. Richardson (drawn by R. Westbrook),,2-4,,
9:16.0,R. Westbrook makes free throw 1 of 2,1,3-4,,
9:16.0,R. Westbrook makes free throw 2 of 2,1,4-4,,
9:03.0,,,4-6,2,D. Williams makes 2-pt shot from 12 ft (assist by J. Winslow)
8:42.0,Turnover by S. Adams (3 sec),,4-6,,
8:20.0,,,4-6,,J. Richardson misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by A. Roberson,,4-6,,
8:03.0,,,4-6,,Def 3 sec tech foul by H. Whiteside
8:03.0,R. Westbrook misses technical free throw,,4-6,,
8:03.0,Offensive rebound by Team,,4-6,,
7:55.0,Turnover by R. Westbrook (bad pass; steal by H. Whiteside),,4-6,,
7:45.0,,,4-6,,Turnover by H. Whiteside (offensive goaltending)
7:31.0,A. Roberson misses 2-pt shot from 4 ft,,4-6,,
7:30.0,Offensive rebound by Team,,4-6,,
7:24.0,R. Westbrook makes 2-pt shot from 17 ft (assist by A. Roberson),2,6-6,,
7:04.0,,,6-6,,Turnover by J. Winslow (bad pass)
6:54.0,D. Sabonis makes 2-pt shot from 19 ft (assist by R. Westbrook),2,8-6,,
6:31.0,,,8-8,2,D. Williams makes 2-pt shot from 2 ft (assist by J. Richardson)
6:17.0,,,8-8,,Violation by H. Whiteside (def goaltending)
6:17.0,D. Sabonis makes 2-pt shot from 2 ft (assist by A. Morrow),2,10-8,,
5:58.0,,,10-10,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Winslow)
5:48.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,12-10,,
5:26.0,,,12-10,,J. Winslow misses 2-pt shot from 6 ft
5:25.0,Defensive rebound by D. Sabonis,,12-10,,
5:22.0,R. Westbrook makes 2-pt shot from 1 ft,2,14-10,,
5:22.0,Shooting foul by R. McGruder (drawn by R. Westbrook),,14-10,,
5:22.0,,,14-10,,Miami full timeout
5:22.0,R. Westbrook misses free throw 1 of 1,,14-10,,
5:22.0,A. Abrines enters the game for A. Roberson,,14-10,,
5:21.0,Offensive rebound by D. Sabonis,,14-10,,
5:13.0,R. Westbrook makes 2-pt shot from 2 ft,2,16-10,,
4:57.0,,,16-12,2,J. Richardson makes 2-pt shot from 1 ft
4:42.0,A. Abrines misses 3-pt shot from 24 ft,,16-12,,
4:41.0,,,16-12,,Defensive rebound by J. Winslow
4:33.0,,,16-12,,Turnover by D. Williams (bad pass; steal by D. Sabonis)
4:28.0,Turnover by R. Westbrook (lost ball; steal by J. Winslow),,16-12,,
4:20.0,,,16-12,,Shooting foul by A. Abrines (drawn by J. Winslow)
4:20.0,,,16-13,1,J. Winslow makes free throw 1 of 2
4:20.0,,,16-14,1,J. Winslow makes free throw 2 of 2
4:20.0,,,16-13,,W. Reed enters the game for H. Whiteside
4:20.0,,,16-13,,J. Johnson enters the game for D. Williams
4:20.0,,,16-13,,T. Johnson enters the game for J. Richardson
4:09.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,18-14,,
3:52.0,,,18-16,2,J. Johnson makes 2-pt shot from 23 ft (assist by R. McGruder)
3:37.0,A. Morrow misses 3-pt shot from 24 ft,,18-16,,
3:36.0,Offensive rebound by S. Adams,,18-16,,
3:30.0,A. Abrines misses 2-pt shot from 14 ft,,18-16,,
3:29.0,Offensive rebound by A. Abrines,,18-16,,
3:22.0,A. Morrow misses 3-pt shot from 25 ft,,18-16,,
3:21.0,Offensive rebound by S. Adams,,18-16,,
3:19.0,S. Adams makes 2-pt shot at rim,2,20-16,,
2:59.0,Personal foul by A. Abrines (drawn by J. Winslow),,20-16,,
2:59.0,Oklahoma City full timeout,,20-16,,
2:59.0,E. Kanter enters the game for D. Sabonis,,20-16,,
2:59.0,J. Grant enters the game for A. Morrow,,20-16,,
2:50.0,,,20-16,,T. Johnson misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by R. Westbrook,,20-16,,
2:37.0,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook),3,23-16,,
2:20.0,,,23-16,,J. Johnson misses 2-pt shot from 4 ft
2:19.0,Defensive rebound by R. Westbrook,,23-16,,
2:15.0,Shooting foul by J. Johnson (drawn by J. Grant),,23-16,,
2:15.0,J. Grant makes free throw 1 of 2,1,24-16,,
2:15.0,J. Grant makes free throw 2 of 2,1,25-16,,
2:15.0,J. Lauvergne enters the game for S. Adams,,24-16,,
2:15.0,S. Christon enters the game for R. Westbrook,,24-16,,
1:59.0,,,25-16,,Turnover by J. Johnson (bad pass)
1:42.0,E. Kanter makes 2-pt shot from 1 ft,2,27-16,,
1:33.0,,,27-16,,Shooting foul by J. Lauvergne (drawn by J. Johnson)
1:33.0,,,27-16,,J. Johnson misses free throw 1 of 2
1:33.0,,,27-16,,Offensive rebound by Team
1:33.0,,,27-17,1,J. Johnson makes free throw 2 of 2
1:11.0,E. Kanter makes 2-pt shot from 8 ft,2,29-17,,
0:58.0,,,29-17,,J. Johnson misses 2-pt shot from 18 ft
0:56.0,Defensive rebound by J. Lauvergne,,29-17,,
0:40.0,J. Lauvergne makes 2-pt shot at rim (assist by J. Grant),2,31-17,,
0:26.0,,,31-19,2,T. Johnson makes 2-pt shot from 18 ft
0:05.0,E. Kanter makes 2-pt shot from 4 ft,2,33-19,,
0:01.0,,,33-19,,J. Winslow misses 2-pt shot from 2 ft
0:01.0,,,33-19,,Offensive rebound by W. Reed
0:00.0,,,33-19,,W. Reed misses 2-pt shot from 1 ft
0:00.0,,,33-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by S. Christon (bad pass; steal by H. Whiteside),,33-19,,
11:36.0,,,33-21,2,H. Whiteside makes 2-pt shot from 9 ft
11:16.0,J. Lauvergne misses 2-pt shot from 8 ft,,33-21,,
11:15.0,,,33-21,,Defensive rebound by J. Richardson
11:00.0,,,33-21,,Shooting foul by A. Abrines (drawn by J. Richardson)
11:00.0,,,33-22,1,J. Richardson makes free throw 1 of 2
11:00.0,,,33-23,1,J. Richardson makes free throw 2 of 2
10:38.0,J. Grant misses 2-pt shot from 8 ft,,33-23,,
10:37.0,,,33-23,,Defensive rebound by J. Johnson
10:30.0,,,33-26,3,J. Richardson makes 3-pt shot from 25 ft (assist by T. Johnson)
10:13.0,Turnover by E. Kanter (bad pass; steal by W. Ellington),,33-26,,
10:04.0,,,33-26,,W. Ellington misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by J. Lauvergne,,33-26,,
9:58.0,Oklahoma City full timeout,,33-26,,
9:58.0,K. Singler enters the game for A. Abrines,,33-26,,
9:45.0,E. Kanter makes 2-pt shot from 19 ft (assist by S. Christon),2,35-26,,
9:31.0,,,35-26,,Shooting foul by J. Lauvergne (drawn by J. Johnson)
9:31.0,,,35-26,,J. Johnson misses free throw 1 of 2
9:31.0,,,35-26,,Offensive rebound by Team
9:31.0,,,35-27,1,J. Johnson makes free throw 2 of 2
9:15.0,J. Grant makes 2-pt shot at rim,2,37-27,,
9:05.0,,,37-27,,H. Whiteside misses 2-pt shot from 10 ft
9:04.0,,,37-27,,Offensive rebound by J. Johnson
9:01.0,,,37-27,,J. Johnson misses 3-pt shot from 23 ft
8:59.0,,,37-27,,Offensive rebound by H. Whiteside
8:57.0,,,37-27,,Shooting foul by J. Grant (drawn by H. Whiteside)
8:57.0,,,37-28,1,H. Whiteside makes free throw 1 of 2
8:57.0,,,37-28,,H. Whiteside misses free throw 2 of 2
8:56.0,Defensive rebound by E. Kanter,,37-28,,
8:45.0,Shooting foul by H. Whiteside (drawn by J. Lauvergne),,37-28,,
8:45.0,J. Lauvergne misses free throw 1 of 2,,37-28,,
8:45.0,Offensive rebound by Team,,37-28,,
8:45.0,J. Lauvergne makes free throw 2 of 2,1,38-28,,
8:45.0,R. Westbrook enters the game for S. Christon,,37-28,,
8:30.0,,,38-28,,H. Whiteside misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by E. Kanter,,38-28,,
8:24.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,40-28,,
8:24.0,Shooting foul by T. Johnson (drawn by J. Grant),,40-28,,
8:24.0,J. Grant makes free throw 1 of 1,1,41-28,,
8:24.0,S. Adams enters the game for J. Lauvergne,,40-28,,
8:20.0,,,41-28,,Miami full timeout
8:10.0,,,41-28,,J. Johnson misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by R. Westbrook,,41-28,,
7:56.0,E. Kanter misses 3-pt shot from 24 ft,,41-28,,
7:55.0,,,41-28,,Defensive rebound by J. Richardson
7:50.0,,,41-28,,Shooting foul by S. Adams (drawn by J. Johnson)
7:50.0,,,41-28,,J. Johnson misses free throw 1 of 2
7:50.0,,,41-28,,Offensive rebound by Team
7:50.0,,,41-29,1,J. Johnson makes free throw 2 of 2
7:37.0,S. Adams makes 2-pt shot from 14 ft (assist by R. Westbrook),2,43-29,,
7:22.0,Violation by S. Adams (kicked ball),,43-29,,
7:08.0,,,43-29,,H. Whiteside misses 2-pt shot at rim
7:07.0,Defensive rebound by S. Adams,,43-29,,
6:53.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,45-29,,
6:36.0,,,45-29,,T. Johnson misses 2-pt shot from 1 ft (block by J. Grant)
6:35.0,Defensive rebound by R. Westbrook,,45-29,,
6:15.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,47-29,,
6:15.0,Shooting foul by W. Ellington (drawn by S. Adams),,47-29,,
6:15.0,S. Adams makes free throw 1 of 1,1,48-29,,
6:15.0,,,47-29,,J. Winslow enters the game for W. Ellington
6:15.0,,,47-29,,R. McGruder enters the game for J. Johnson
6:12.0,,,48-29,,Miami full timeout
6:03.0,,,48-29,,J. Winslow misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by E. Kanter,,48-29,,
5:57.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,50-29,,
5:57.0,Shooting foul by H. Whiteside (drawn by J. Grant),,50-29,,
5:57.0,J. Grant makes free throw 1 of 1,1,51-29,,
5:39.0,,,51-29,,J. Richardson misses 2-pt shot from 19 ft
5:38.0,,,51-29,,Offensive rebound by H. Whiteside
5:37.0,,,51-29,,Turnover by H. Whiteside (bad pass; steal by K. Singler)
5:32.0,Turnover by R. Westbrook (bad pass; steal by J. Winslow),,51-29,,
5:18.0,,,51-29,,H. Whiteside misses 2-pt shot from 7 ft
5:17.0,Defensive rebound by R. Westbrook,,51-29,,
5:08.0,Offensive foul by S. Adams,,51-29,,
5:08.0,Turnover by S. Adams (offensive foul),,51-29,,
4:58.0,Personal foul by J. Grant (drawn by T. Johnson),,51-29,,
4:58.0,,,51-30,1,T. Johnson makes free throw 1 of 2
4:58.0,,,51-30,,T. Johnson misses free throw 2 of 2
4:57.0,Defensive rebound by R. Westbrook,,51-30,,
4:45.0,S. Adams misses 2-pt shot from 6 ft,,51-30,,
4:44.0,,,51-30,,Defensive rebound by J. Richardson
4:39.0,,,51-30,,T. Johnson misses 2-pt shot from 2 ft
4:38.0,,,51-30,,Offensive rebound by R. McGruder
4:37.0,,,51-32,2,R. McGruder makes 2-pt shot from 13 ft
4:35.0,,,51-32,,Personal foul by H. Whiteside (drawn by S. Adams)
