time,New Orleans,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (P. Millsap gains possession),,,,Jump ball: A. Davis vs. D. Howard (P. Millsap gains possession)
11:42.0,,,0-0,,K. Bazemore misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by T. Frazier,,0-0,,
11:19.0,A. Davis misses 2-pt shot from 18 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by D. Schroder
11:09.0,,,0-3,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
10:59.0,E. Moore makes 3-pt shot from 24 ft (assist by T. Frazier),3,3-3,,
10:44.0,,,3-5,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
10:33.0,T. Frazier makes 2-pt shot from 21 ft,2,5-5,,
10:24.0,,,5-5,,Offensive foul by D. Howard
10:24.0,,,5-5,,Turnover by D. Howard (offensive foul)
10:06.0,T. Frazier makes 3-pt shot from 24 ft,3,8-5,,
9:48.0,,,8-5,,P. Millsap misses 2-pt shot from 16 ft
9:47.0,,,8-5,,Offensive rebound by Team
9:45.0,,,8-7,2,D. Schroder makes 2-pt shot from 14 ft (assist by K. Korver)
9:30.0,T. Frazier misses 2-pt shot from 14 ft,,8-7,,
9:29.0,,,8-7,,Defensive rebound by P. Millsap
9:15.0,,,8-7,,P. Millsap misses 2-pt shot from 14 ft (block by D. Cunningham)
9:12.0,,,8-7,,Offensive rebound by P. Millsap
9:09.0,,,8-7,,K. Bazemore misses 2-pt shot from 20 ft
9:08.0,Defensive rebound by T. Frazier,,8-7,,
9:02.0,Turnover by A. Davis (lost ball; steal by K. Bazemore),,8-7,,
8:53.0,,,8-9,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
8:36.0,E. Moore makes 3-pt shot from 25 ft (assist by O. Asik),3,11-9,,
8:23.0,,,11-9,,Turnover by D. Howard (bad pass; steal by A. Davis)
8:17.0,E. Moore makes 2-pt shot at rim (assist by A. Davis),2,13-9,,
7:57.0,,,13-9,,D. Howard misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by Team,,13-9,,
7:47.0,D. Cunningham misses 2-pt shot from 2 ft (block by D. Howard),,13-9,,
7:45.0,Offensive rebound by D. Cunningham,,13-9,,
7:36.0,E. Moore misses 2-pt shot from 17 ft,,13-9,,
7:35.0,,,13-9,,Defensive rebound by P. Millsap
7:19.0,,,13-9,,K. Korver misses 3-pt shot from 27 ft
7:17.0,Defensive rebound by D. Cunningham,,13-9,,
7:14.0,,,13-9,,Personal foul by K. Korver (drawn by A. Davis)
7:14.0,,,13-9,,M. Muscala enters the game for D. Howard
7:06.0,,,13-9,,Violation by K. Bazemore (kicked ball)
7:00.0,A. Davis makes 2-pt shot from 20 ft (assist by D. Cunningham),2,15-9,,
6:43.0,,,15-9,,P. Millsap misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by O. Asik,,15-9,,
6:37.0,Turnover by A. Davis (bad pass; steal by P. Millsap),,15-9,,
6:30.0,,,15-9,,D. Schroder misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by O. Asik,,15-9,,
6:09.0,T. Frazier makes 2-pt shot from 18 ft (assist by E. Moore),2,17-9,,
6:09.0,Loose ball foul by A. Davis (drawn by D. Schroder),,17-9,,
6:09.0,,,17-9,,Atlanta full timeout
6:09.0,T. Jones enters the game for O. Asik,,17-9,,
5:55.0,,,17-9,,M. Muscala misses 2-pt shot from 2 ft (block by A. Davis)
5:53.0,Defensive rebound by D. Cunningham,,17-9,,
5:49.0,T. Jones makes 2-pt shot from 1 ft (assist by T. Frazier),2,19-9,,
5:36.0,,,19-9,,D. Schroder misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by T. Frazier,,19-9,,
5:29.0,E. Moore misses 3-pt shot from 25 ft,,19-9,,
5:28.0,Offensive rebound by A. Davis,,19-9,,
5:27.0,A. Davis makes 2-pt shot at rim,2,21-9,,
5:13.0,Personal foul by D. Cunningham (drawn by K. Bazemore),,21-9,,
5:13.0,J. Holiday enters the game for E. Moore,,21-9,,
5:13.0,S. Hill enters the game for D. Cunningham,,21-9,,
5:13.0,,,21-9,,T. Hardaway enters the game for K. Bazemore
5:13.0,,,21-9,,T. Sefolosha enters the game for K. Korver
5:10.0,,,21-9,,D. Schroder misses 2-pt shot from 15 ft
5:10.0,,,21-9,,Offensive rebound by M. Muscala
5:10.0,,,21-9,,Shooting foul by T. Jones (drawn by M. Muscala)
5:10.0,,,21-10,1,M. Muscala makes free throw 1 of 2
5:10.0,,,21-10,,M. Muscala misses free throw 2 of 2
5:08.0,Defensive rebound by A. Davis,,21-10,,
4:46.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,23-10,,
4:27.0,,,23-10,,M. Muscala misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by T. Frazier,,23-10,,
4:17.0,,,23-10,,Violation by P. Millsap (kicked ball)
4:17.0,J. Holiday misses 2-pt shot from 1 ft,,23-10,,
4:16.0,,,23-10,,Defensive rebound by T. Sefolosha
3:55.0,,,23-10,,P. Millsap misses 2-pt shot from 12 ft
3:52.0,Defensive rebound by T. Jones,,23-10,,
3:32.0,T. Jones makes 2-pt shot from 11 ft (assist by T. Frazier),2,25-10,,
3:32.0,Shooting foul by M. Muscala (drawn by T. Jones),,25-10,,
3:32.0,T. Jones makes free throw 1 of 1,1,26-10,,
3:32.0,,,25-10,,M. Delaney enters the game for D. Schroder
2:58.0,,,26-12,2,M. Delaney makes 2-pt shot from 17 ft
2:44.0,New Orleans full timeout,,26-12,,
2:44.0,,,26-12,,D. Howard enters the game for P. Millsap
2:44.0,O. Asik enters the game for A. Davis,,26-12,,
2:29.0,Turnover by Team (shot clock),,26-12,,
2:29.0,L. Galloway enters the game for T. Frazier,,26-12,,
2:16.0,,,26-14,2,M. Delaney makes 2-pt shot from 22 ft
2:08.0,,,26-14,,Personal foul by T. Hardaway (drawn by S. Hill)
1:57.0,J. Holiday misses 3-pt shot from 25 ft,,26-14,,
1:56.0,,,26-14,,Defensive rebound by D. Howard
1:49.0,,,26-14,,T. Sefolosha misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by L. Galloway,,26-14,,
1:39.0,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday),3,29-14,,
1:26.0,,,29-14,,Turnover by M. Delaney (traveling)
1:26.0,,,29-14,,K. Humphries enters the game for M. Muscala
1:05.0,O. Asik makes 2-pt shot at rim (assist by T. Jones),2,31-14,,
0:53.0,,,31-14,,K. Humphries misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by L. Galloway,,31-14,,
0:48.0,Shooting foul by K. Humphries (drawn by T. Jones),,31-14,,
0:48.0,T. Jones makes 2-pt shot from 1 ft (assist by L. Galloway),2,33-14,,
0:48.0,T. Jones makes free throw 1 of 1,1,34-14,,
0:34.0,Personal foul by S. Hill (drawn by T. Hardaway),,34-14,,
0:30.0,,,34-14,,M. Delaney misses 2-pt shot from 19 ft (block by T. Jones)
0:28.0,Defensive rebound by O. Asik,,34-14,,
0:08.0,Turnover by J. Holiday (lost ball; steal by D. Howard),,34-14,,
0:03.0,,,34-14,,M. Delaney misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. Holiday,,34-14,,
0:00.0,J. Holiday misses 3-pt shot from 87 ft,,34-14,,
0:00.0,Offensive rebound by Team,,34-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,34-14,,Violation by T. Sefolosha (kicked ball)
11:45.0,Turnover by L. Galloway (bad pass; steal by T. Sefolosha),,34-14,,
11:40.0,,,34-16,2,K. Humphries makes 2-pt shot at rim (assist by M. Delaney)
11:33.0,L. Galloway makes 2-pt shot from 23 ft (assist by J. Holiday),2,36-16,,
11:25.0,,,36-18,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
11:13.0,Turnover by J. Holiday (bad pass; steal by M. Delaney),,36-18,,
11:09.0,,,36-18,,Turnover by M. Delaney (bad pass; steal by J. Holiday)
11:05.0,J. Holiday makes 2-pt shot at rim,2,38-18,,
10:45.0,,,38-18,,Turnover by M. Delaney (bad pass; steal by T. Jones)
