time,Indiana,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. M. Turner (T. Young gains possession),,,,Jump ball: J. Noah vs. M. Turner (T. Young gains possession)
11:44.0,T. Young misses 2-pt shot from 7 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Rose
11:34.0,,,0-2,2,D. Rose makes 2-pt shot from 18 ft
11:24.0,T. Young misses 2-pt shot from 1 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by C. Anthony
11:17.0,,,0-2,,K. Porzingis misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by M. Turner,,0-2,,
11:07.0,P. George misses 3-pt shot at rim,,0-2,,
11:05.0,,,0-2,,Defensive rebound by K. Porzingis
10:55.0,,,0-5,3,C. Anthony makes 3-pt shot from 25 ft
10:42.0,J. Teague makes 2-pt shot from 13 ft,2,2-5,,
10:29.0,,,2-5,,C. Anthony misses 3-pt shot from 25 ft
10:27.0,,,2-5,,Offensive rebound by Team
10:17.0,,,2-5,,D. Rose misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by P. George,,2-5,,
10:08.0,G. Robinson misses 3-pt shot from 23 ft,,2-5,,
10:07.0,,,2-5,,Defensive rebound by C. Anthony
9:48.0,,,2-7,2,C. Anthony makes 2-pt shot from 20 ft
9:30.0,G. Robinson misses 2-pt shot from 1 ft,,2-7,,
9:29.0,,,2-7,,Defensive rebound by J. Noah
9:19.0,,,2-7,,D. Rose misses 2-pt shot from 2 ft (block by J. Teague)
9:18.0,Defensive rebound by J. Teague,,2-7,,
9:13.0,Shooting foul by K. Porzingis (drawn by J. Teague),,2-7,,
9:13.0,J. Teague makes free throw 1 of 2,1,3-7,,
9:13.0,J. Teague makes free throw 2 of 2,1,4-7,,
8:56.0,,,4-7,,C. Lee misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by T. Young,,4-7,,
8:35.0,P. George misses 2-pt shot from 19 ft,,4-7,,
8:34.0,Offensive rebound by G. Robinson,,4-7,,
8:27.0,G. Robinson misses 2-pt shot from 2 ft (block by K. Porzingis),,4-7,,
8:26.0,,,4-7,,Defensive rebound by K. Porzingis
8:18.0,,,4-7,,J. Noah misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by T. Young,,4-7,,
8:10.0,P. George misses 3-pt shot from 26 ft,,4-7,,
8:09.0,,,4-7,,Defensive rebound by J. Noah
8:00.0,,,4-10,3,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Anthony)
7:38.0,P. George makes 2-pt shot from 12 ft (assist by G. Robinson),2,6-10,,
7:21.0,,,6-10,,K. Porzingis misses 2-pt shot from 2 ft (block by M. Turner)
7:20.0,Defensive rebound by J. Teague,,6-10,,
7:15.0,T. Young misses 3-pt shot from 25 ft,,6-10,,
7:14.0,,,6-10,,Defensive rebound by C. Anthony
6:58.0,,,6-10,,Shooting foul by P. George (drawn by C. Lee)
6:58.0,,,6-11,1,C. Lee makes free throw 1 of 2
6:58.0,,,6-12,1,C. Lee makes free throw 2 of 2
6:45.0,T. Young misses 2-pt shot from 19 ft,,6-12,,
6:44.0,,,6-12,,Defensive rebound by C. Lee
6:34.0,,,6-12,,C. Lee misses 2-pt shot from 18 ft
6:33.0,Defensive rebound by P. George,,6-12,,
6:17.0,P. George makes 2-pt shot from 2 ft,2,8-12,,
6:06.0,,,8-14,2,K. Porzingis makes 2-pt shot from 2 ft (assist by D. Rose)
5:56.0,J. Teague misses 3-pt shot from 27 ft,,8-14,,
5:55.0,,,8-14,,Defensive rebound by K. Porzingis
5:46.0,,,8-14,,D. Rose misses 2-pt shot from 2 ft
5:45.0,,,8-14,,Offensive rebound by J. Noah
5:45.0,,,8-14,,J. Noah misses 2-pt shot from 2 ft
5:44.0,,,8-14,,Offensive rebound by J. Noah
5:44.0,,,8-16,2,J. Noah makes 2-pt shot from 2 ft
5:40.0,Indiana full timeout,,8-16,,
5:40.0,C. Miles enters the game for G. Robinson,,8-16,,
5:34.0,Turnover by P. George (bad pass; steal by C. Anthony),,8-16,,
5:19.0,,,8-16,,J. Noah misses 2-pt shot from 2 ft
5:18.0,Defensive rebound by M. Turner,,8-16,,
5:04.0,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague),2,10-16,,
4:42.0,,,10-18,2,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose)
4:32.0,J. Teague misses 2-pt shot from 1 ft,,10-18,,
4:31.0,,,10-18,,Defensive rebound by J. Noah
4:21.0,,,10-18,,Turnover by K. Porzingis (bad pass; steal by P. George)
4:19.0,Turnover by P. George (bad pass; steal by C. Anthony),,10-18,,
4:16.0,,,10-18,,Turnover by J. Noah (bad pass; steal by P. George)
4:12.0,P. George makes 2-pt shot from 1 ft,2,12-18,,
4:07.0,,,12-18,,Turnover by D. Rose (bad pass)
3:54.0,J. Teague makes 2-pt shot from 4 ft,2,14-18,,
3:35.0,,,14-18,,K. Porzingis misses 2-pt shot from 14 ft
3:34.0,Defensive rebound by J. Teague,,14-18,,
3:25.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague),2,16-18,,
3:19.0,,,16-18,,New York full timeout
3:19.0,,,16-18,,L. Thomas enters the game for K. Porzingis
3:19.0,,,16-18,,K. O'Quinn enters the game for J. Noah
3:19.0,L. Allen enters the game for T. Young,,16-18,,
3:19.0,A. Jefferson enters the game for M. Turner,,16-18,,
3:07.0,,,16-18,,C. Anthony misses 2-pt shot from 11 ft
3:06.0,Defensive rebound by L. Allen,,16-18,,
2:49.0,C. Miles misses 2-pt shot from 24 ft,,16-18,,
2:48.0,,,16-18,,Defensive rebound by K. O'Quinn
2:41.0,,,16-18,,Turnover by D. Rose (bad pass)
2:20.0,Turnover by P. George (bad pass; steal by C. Lee),,16-18,,
2:06.0,,,16-18,,K. O'Quinn misses 2-pt shot from 11 ft
2:05.0,Defensive rebound by L. Allen,,16-18,,
1:56.0,C. Miles misses 2-pt shot from 1 ft,,16-18,,
1:55.0,Offensive rebound by A. Jefferson,,16-18,,
1:54.0,A. Jefferson makes 2-pt shot from 1 ft,2,18-18,,
1:41.0,,,18-18,,D. Rose misses 2-pt shot from 17 ft
1:40.0,Defensive rebound by L. Allen,,18-18,,
1:31.0,A. Jefferson makes 2-pt shot from 12 ft (assist by J. Teague),2,20-18,,
1:11.0,,,20-18,,Shooting foul by P. George (drawn by C. Anthony)
1:11.0,,,20-19,1,C. Anthony makes free throw 1 of 2
1:11.0,,,20-20,1,C. Anthony makes free throw 2 of 2
1:11.0,,,20-19,,B. Jennings enters the game for D. Rose
1:11.0,,,20-19,,J. Holiday enters the game for C. Lee
1:11.0,G. Robinson enters the game for P. George,,20-19,,
1:11.0,A. Brooks enters the game for J. Teague,,20-19,,
0:57.0,Shooting foul by K. O'Quinn (drawn by A. Jefferson),,20-20,,
0:57.0,A. Jefferson makes free throw 1 of 2,1,21-20,,
0:57.0,A. Jefferson makes free throw 2 of 2,1,22-20,,
0:43.0,,,22-20,,C. Anthony misses 2-pt shot from 12 ft
0:42.0,Defensive rebound by C. Miles,,22-20,,
0:38.0,,,22-20,,Personal foul by J. Holiday (drawn by G. Robinson)
0:38.0,G. Robinson makes free throw 1 of 2,1,23-20,,
0:38.0,G. Robinson misses free throw 2 of 2,,23-20,,
0:37.0,,,23-20,,Defensive rebound by L. Thomas
0:30.0,,,23-20,,Turnover by B. Jennings (bad pass; steal by C. Miles)
0:26.0,Shooting foul by L. Thomas (drawn by C. Miles),,23-20,,
0:26.0,C. Miles makes free throw 1 of 2,1,24-20,,
0:26.0,C. Miles misses free throw 2 of 2,,24-20,,
0:25.0,,,24-20,,Defensive rebound by B. Jennings
0:04.0,,,24-20,,C. Anthony misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by C. Miles,,24-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-20,,K. O'Quinn misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by A. Jefferson,,24-20,,
11:23.0,A. Jefferson makes 2-pt shot from 5 ft,2,26-20,,
11:11.0,,,26-20,,Turnover by B. Jennings (bad pass)
11:00.0,A. Jefferson makes 2-pt shot from 12 ft (assist by A. Brooks),2,28-20,,
10:47.0,,,28-20,,B. Jennings misses 2-pt shot from 16 ft
10:46.0,,,28-20,,Offensive rebound by K. O'Quinn
10:46.0,,,28-22,2,K. O'Quinn makes 2-pt shot at rim
10:31.0,A. Jefferson makes 2-pt shot from 6 ft,2,30-22,,
10:21.0,,,30-24,2,L. Thomas makes 2-pt shot from 12 ft
10:00.0,L. Allen misses 2-pt shot from 21 ft,,30-24,,
9:59.0,,,30-24,,Defensive rebound by J. Holiday
9:46.0,,,30-24,,Turnover by J. Holiday (lost ball; steal by A. Brooks)
9:38.0,Shooting foul by J. Holiday (drawn by C. Miles),,30-24,,
9:38.0,C. Miles makes free throw 1 of 2,1,31-24,,
9:38.0,C. Miles makes free throw 2 of 2,1,32-24,,
9:38.0,,,31-24,,K. Porzingis enters the game for W. Hernangomez
9:38.0,,,31-24,,C. Lee enters the game for L. Thomas
9:29.0,,,32-26,2,J. Holiday makes 2-pt shot from 16 ft (assist by B. Jennings)
9:11.0,A. Jefferson misses 2-pt shot from 1 ft,,32-26,,
9:10.0,Offensive rebound by A. Jefferson,,32-26,,
9:09.0,A. Jefferson makes 2-pt shot from 3 ft,2,34-26,,
9:08.0,,,34-26,,New York full timeout
8:53.0,,,34-28,2,K. O'Quinn makes 2-pt shot at rim
8:30.0,A. Brooks misses 3-pt shot from 25 ft,,34-28,,
8:29.0,,,34-28,,Defensive rebound by C. Lee
8:20.0,,,34-28,,K. Porzingis misses 2-pt shot from 18 ft
8:19.0,Defensive rebound by C. Miles,,34-28,,
8:07.0,Turnover by C. Miles (lost ball),,34-28,,
7:58.0,,,34-28,,Shooting foul by A. Brooks (drawn by B. Jennings)
7:58.0,,,34-29,1,B. Jennings makes free throw 1 of 2
7:58.0,,,34-29,,B. Jennings misses free throw 2 of 2
7:56.0,,,34-29,,Offensive rebound by Team
7:55.0,Personal foul by L. Allen (drawn by K. Porzingis),,34-29,,
7:50.0,,,34-31,2,B. Jennings makes 2-pt shot from 18 ft
7:25.0,A. Brooks makes 2-pt shot from 6 ft,2,36-31,,
7:19.0,,,36-33,2,B. Jennings makes 2-pt shot from 12 ft
7:15.0,Offensive foul by A. Brooks,,36-33,,
7:15.0,Turnover by A. Brooks (offensive foul),,36-33,,
7:15.0,M. Turner enters the game for A. Jefferson,,36-33,,
7:06.0,,,36-35,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Lee)
6:49.0,G. Robinson misses 2-pt shot from 20 ft,,36-35,,
6:48.0,Offensive rebound by C. Miles,,36-35,,
6:41.0,A. Brooks misses 3-pt shot from 25 ft,,36-35,,
6:40.0,,,36-35,,Defensive rebound by K. Porzingis
6:31.0,,,36-35,,K. Porzingis misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by C. Miles,,36-35,,
6:26.0,Turnover by C. Miles (lost ball; steal by K. O'Quinn),,36-35,,
6:21.0,Personal foul by C. Miles (drawn by B. Jennings),,36-35,,
6:21.0,T. Young enters the game for L. Allen,,36-35,,
6:21.0,P. George enters the game for G. Robinson,,36-35,,
6:09.0,,,36-35,,Turnover by K. O'Quinn (bad pass; steal by C. Miles)
5:56.0,M. Turner misses 2-pt shot from 13 ft,,36-35,,
5:55.0,,,36-35,,Defensive rebound by K. O'Quinn
5:45.0,,,36-37,2,C. Lee makes 2-pt shot from 9 ft (assist by J. Holiday)
5:39.0,Indiana full timeout,,36-37,,
5:39.0,,,36-37,,J. Noah enters the game for K. O'Quinn
5:39.0,,,36-37,,C. Anthony enters the game for J. Holiday
5:39.0,J. Teague enters the game for A. Brooks,,36-37,,
5:30.0,,,36-37,,Personal foul by C. Lee (drawn by P. George)
5:25.0,P. George makes 2-pt shot from 1 ft (assist by T. Young),2,38-37,,
5:12.0,,,38-37,,Shooting foul by M. Turner (drawn by J. Noah)
5:12.0,,,38-37,,J. Noah misses free throw 1 of 2
5:12.0,,,38-37,,Offensive rebound by Team
5:12.0,,,38-38,1,J. Noah makes free throw 2 of 2
5:12.0,G. Robinson enters the game for C. Miles,,38-37,,
4:57.0,P. George misses 2-pt shot from 23 ft,,38-38,,
4:55.0,Offensive rebound by J. Teague,,38-38,,
4:52.0,Shooting foul by J. Noah (drawn by J. Teague),,38-38,,
4:52.0,J. Teague misses free throw 1 of 2,,38-38,,
4:52.0,Offensive rebound by Team,,38-38,,
4:52.0,J. Teague makes free throw 2 of 2,1,39-38,,
4:35.0,,,39-40,2,C. Anthony makes 2-pt shot from 10 ft (assist by K. Porzingis)
4:24.0,J. Teague misses 2-pt shot from 1 ft,,39-40,,
4:23.0,,,39-40,,Defensive rebound by J. Noah
4:15.0,,,39-43,3,C. Lee makes 3-pt shot from 24 ft (assist by B. Jennings)
4:04.0,P. George makes 2-pt shot from 11 ft,2,41-43,,
3:54.0,,,41-43,,Turnover by B. Jennings (bad pass; steal by J. Teague)
3:40.0,Shooting foul by B. Jennings (drawn by J. Teague),,41-43,,
3:40.0,J. Teague misses free throw 1 of 3,,41-43,,
3:40.0,Offensive rebound by Team,,41-43,,
3:40.0,J. Teague makes free throw 2 of 3,1,42-43,,
3:40.0,J. Teague makes free throw 3 of 3,1,43-43,,
3:40.0,,,42-43,,D. Rose enters the game for B. Jennings
3:22.0,,,43-43,,Turnover by D. Rose (bad pass; steal by T. Young)
3:21.0,,,43-43,,Loose ball foul by C. Anthony (drawn by T. Young)
3:21.0,T. Young misses free throw 1 of 2,,43-43,,
3:21.0,Offensive rebound by Team,,43-43,,
3:21.0,T. Young makes free throw 2 of 2,1,44-43,,
3:05.0,,,44-43,,C. Anthony misses 2-pt shot from 12 ft (block by M. Turner)
3:05.0,Jump ball: C. Anthony vs. M. Turner (T. Young gains possession),,,,Jump ball: C. Anthony vs. M. Turner (T. Young gains possession)
3:05.0,Defensive rebound by Team,,44-43,,
2:43.0,T. Young misses 2-pt shot from 12 ft,,44-43,,
2:42.0,Offensive rebound by G. Robinson,,44-43,,
2:41.0,G. Robinson makes 2-pt shot from 1 ft,2,46-43,,
2:28.0,,,46-45,2,D. Rose makes 2-pt shot from 2 ft
2:19.0,M. Turner makes 3-pt shot from 26 ft (assist by G. Robinson),3,49-45,,
2:07.0,,,49-45,,Turnover by K. Porzingis (bad pass; steal by M. Turner)
1:59.0,T. Young makes 2-pt shot from 6 ft (assist by J. Teague),2,51-45,,
1:46.0,,,51-47,2,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose)
1:37.0,T. Young makes 2-pt shot from 6 ft (assist by P. George),2,53-47,,
1:28.0,,,53-47,,C. Lee misses 2-pt shot from 17 ft
1:26.0,Official timeout,,53-47,,
1:26.0,C. Miles enters the game for P. George,,53-47,,
1:26.0,Jump ball: J. Noah vs. M. Turner,,,,Jump ball: J. Noah vs. M. Turner
1:24.0,,,53-47,,Offensive rebound by Team
1:16.0,,,53-47,,Shooting foul by C. Miles (drawn by K. Porzingis)
1:16.0,,,53-48,1,K. Porzingis makes free throw 1 of 2
1:16.0,,,53-49,1,K. Porzingis makes free throw 2 of 2
1:01.0,M. Turner makes 2-pt shot from 14 ft (assist by J. Teague),2,55-49,,
0:49.0,,,55-49,,J. Noah misses 2-pt shot from 2 ft (block by M. Turner)
0:48.0,,,55-49,,Offensive rebound by Team
0:46.0,,,55-51,2,D. Rose makes 2-pt shot from 10 ft (assist by C. Anthony)
0:35.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,57-51,,
0:26.0,,,57-53,2,D. Rose makes 2-pt shot from 1 ft
