time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. K. Towns (J. Martin gains possession),,,,Jump ball: J. Green vs. K. Towns (J. Martin gains possession)
11:43.0,J. Ennis misses 2-pt shot from 19 ft,,0-0,,
11:42.0,Offensive rebound by W. Baldwin,,0-0,,
11:31.0,T. Williams makes 2-pt shot from 20 ft,2,2-0,,
11:08.0,,,2-3,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
10:51.0,J. Martin misses 2-pt shot from 2 ft (block by G. Dieng),,2-3,,
10:49.0,,,2-3,,Defensive rebound by Z. LaVine
10:43.0,,,2-3,,Turnover by Z. LaVine (lost ball; steal by W. Baldwin)
10:36.0,,,2-3,,Violation by K. Towns (def goaltending)
10:36.0,T. Williams makes 2-pt shot from 1 ft,2,4-3,,
10:36.0,Shooting foul by G. Dieng (drawn by T. Williams),,4-3,,
10:36.0,T. Williams makes free throw 1 of 1,1,5-3,,
10:28.0,Personal foul by J. Green (drawn by Z. LaVine),,5-3,,
10:18.0,,,5-5,2,K. Towns makes 2-pt shot from 2 ft
10:05.0,J. Martin makes 2-pt shot at rim (assist by W. Baldwin),2,7-5,,
9:49.0,,,7-5,,A. Wiggins misses 2-pt shot from 14 ft
9:49.0,Defensive rebound by J. Ennis,,7-5,,
9:38.0,Shooting foul by A. Wiggins (drawn by J. Martin),,7-5,,
9:38.0,J. Martin misses free throw 1 of 2,,7-5,,
9:38.0,Offensive rebound by Team,,7-5,,
9:38.0,J. Martin makes free throw 2 of 2,1,8-5,,
9:22.0,,,8-7,2,K. Towns makes 2-pt shot from 4 ft
9:10.0,Turnover by W. Baldwin (bad pass),,8-7,,
9:01.0,,,8-7,,Z. LaVine misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by J. Ennis,,8-7,,
8:53.0,J. Martin misses 3-pt shot from 24 ft,,8-7,,
8:52.0,,,8-7,,Defensive rebound by K. Dunn
8:48.0,,,8-7,,Turnover by K. Dunn (bad pass; steal by W. Baldwin)
8:41.0,Turnover by T. Williams (bad pass; steal by K. Dunn),,8-7,,
8:35.0,,,8-7,,K. Dunn misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by W. Baldwin,,8-7,,
8:28.0,Turnover by J. Green (bad pass; steal by K. Dunn),,8-7,,
8:24.0,,,8-7,,Shooting foul by J. Martin (drawn by Z. LaVine)
8:24.0,,,8-8,1,Z. LaVine makes free throw 1 of 2
8:24.0,,,8-9,1,Z. LaVine makes free throw 2 of 2
8:05.0,Turnover by W. Baldwin (bad pass; steal by G. Dieng),,8-9,,
7:56.0,,,8-9,,Turnover by Z. LaVine (lost ball; steal by J. Ennis)
7:52.0,J. Ennis makes 2-pt shot at rim,2,10-9,,
7:32.0,,,10-9,,K. Towns misses 2-pt shot from 1 ft
7:31.0,,,10-9,,Offensive rebound by K. Towns
7:28.0,,,10-9,,K. Towns misses 2-pt shot from 1 ft
7:27.0,,,10-9,,Offensive rebound by K. Dunn
7:26.0,,,10-11,2,K. Dunn makes 2-pt shot from 2 ft
7:09.0,W. Baldwin makes 2-pt shot from 21 ft,2,12-11,,
6:56.0,,,12-11,,A. Wiggins misses 2-pt shot from 16 ft
6:55.0,Defensive rebound by J. Martin,,12-11,,
6:34.0,J. Martin misses 3-pt shot from 24 ft,,12-11,,
6:33.0,,,12-11,,Defensive rebound by G. Dieng
6:15.0,,,12-14,3,K. Dunn makes 3-pt shot from 25 ft
6:08.0,Memphis full timeout,,12-14,,
6:08.0,Z. Randolph enters the game for J. Ennis,,12-14,,
6:08.0,A. Harrison enters the game for J. Martin,,12-14,,
5:57.0,Turnover by J. Green (bad pass),,12-14,,
5:44.0,,,12-14,,Turnover by K. Dunn (lost ball; steal by J. Green)
5:30.0,J. Green misses 3-pt shot from 23 ft,,12-14,,
5:29.0,,,12-14,,Defensive rebound by Z. LaVine
5:19.0,,,12-17,3,Z. LaVine makes 3-pt shot from 23 ft (assist by G. Dieng)
5:00.0,T. Williams makes 2-pt shot at rim,2,14-17,,
