time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (T. Ariza gains possession),,,,Jump ball: C. Capela vs. P. Gasol (T. Ariza gains possession)
11:45.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,2-0,,
11:30.0,,,2-0,,L. Aldridge misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by C. Brewer,,2-0,,
11:12.0,T. Ariza misses 3-pt shot from 25 ft,,2-0,,
11:12.0,Offensive rebound by C. Capela,,2-0,,
10:59.0,C. Brewer misses 3-pt shot from 23 ft,,2-0,,
10:58.0,,,2-0,,Defensive rebound by P. Gasol
10:47.0,,,2-0,,Turnover by L. Aldridge (bad pass; steal by T. Ariza)
10:41.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,5-0,,
10:22.0,,,5-0,,Shooting foul by T. Ariza (drawn by K. Leonard)
10:22.0,,,5-1,1,K. Leonard makes free throw 1 of 2
10:22.0,,,5-2,1,K. Leonard makes free throw 2 of 2
10:15.0,,,5-2,,Personal foul by P. Mills
10:07.0,Turnover by J. Harden (bad pass; steal by K. Leonard),,5-2,,
9:56.0,,,5-4,2,P. Mills makes 2-pt shot from 1 ft (assist by P. Gasol)
9:40.0,C. Capela makes 2-pt shot from 7 ft (assist by J. Harden),2,7-4,,
9:28.0,,,7-4,,L. Aldridge misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by J. Harden,,7-4,,
9:19.0,J. Harden makes 2-pt shot from 7 ft,2,9-4,,
9:05.0,,,9-6,2,P. Gasol makes 2-pt shot from 17 ft (assist by P. Mills)
8:50.0,Shooting foul by D. Green (drawn by R. Anderson),,9-6,,
8:50.0,R. Anderson makes free throw 1 of 2,1,10-6,,
8:50.0,R. Anderson misses free throw 2 of 2,,10-6,,
8:49.0,,,10-6,,Defensive rebound by L. Aldridge
8:32.0,,,10-8,2,P. Mills makes 2-pt shot from 15 ft (assist by L. Aldridge)
8:25.0,C. Brewer misses 2-pt shot from 7 ft,,10-8,,
8:24.0,,,10-8,,Defensive rebound by P. Gasol
