time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Harrell (J. Harden gains possession),,,,Jump ball: M. Gasol vs. M. Harrell (J. Harden gains possession)
11:43.0,M. Harrell misses 2-pt shot from 1 ft (block by T. Allen),,0-0,,
11:41.0,Offensive rebound by M. Harrell,,0-0,,
11:41.0,M. Harrell makes 2-pt shot at rim,2,2-0,,
11:19.0,,,2-2,2,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley)
11:01.0,Turnover by R. Anderson (traveling),,2-2,,
10:46.0,,,2-2,,T. Allen misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by M. Harrell,,2-2,,
10:35.0,J. Harden misses 2-pt shot from 9 ft,,2-2,,
10:33.0,Offensive rebound by M. Harrell,,2-2,,
10:29.0,P. Beverley makes 3-pt shot from 23 ft (assist by M. Harrell),3,5-2,,
10:12.0,,,5-2,,M. Gasol misses 2-pt shot from 8 ft
10:11.0,Defensive rebound by P. Beverley,,5-2,,
10:05.0,J. Harden makes 3-pt shot from 28 ft,3,8-2,,
10:05.0,Shooting foul by T. Allen (drawn by J. Harden),,8-2,,
10:05.0,J. Harden makes free throw 1 of 1,1,9-2,,
9:50.0,,,9-2,,C. Parsons misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by M. Harrell,,9-2,,
9:46.0,Offensive charge foul by J. Harden,,9-2,,
9:46.0,Turnover by J. Harden (offensive foul),,9-2,,
9:38.0,Personal foul by P. Beverley (drawn by M. Conley),,9-2,,
9:31.0,,,9-4,2,T. Allen makes 2-pt shot at rim (assist by C. Parsons)
9:11.0,M. Harrell makes 2-pt shot from 16 ft (assist by J. Harden),2,11-4,,
8:51.0,,,11-4,,M. Conley misses 3-pt shot from 26 ft
8:51.0,Defensive rebound by R. Anderson,,11-4,,
8:39.0,P. Beverley misses 3-pt shot from 26 ft,,11-4,,
8:38.0,Offensive rebound by J. Harden,,11-4,,
8:35.0,R. Anderson misses 3-pt shot from 25 ft,,11-4,,
8:34.0,,,11-4,,Defensive rebound by T. Allen
8:22.0,,,11-4,,Offensive charge foul by M. Gasol
8:22.0,,,11-4,,Turnover by M. Gasol (offensive foul)
8:17.0,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden),2,13-4,,
8:05.0,,,13-4,,Memphis full timeout
7:55.0,,,13-6,2,M. Conley makes 2-pt shot from 21 ft
7:39.0,,,13-6,,Violation by M. Conley (kicked ball)
7:25.0,J. Harden misses 2-pt shot from 16 ft,,13-6,,
7:23.0,,,13-6,,Defensive rebound by C. Parsons
7:00.0,,,13-6,,M. Gasol misses 2-pt shot from 20 ft
6:57.0,,,13-6,,Offensive rebound by T. Allen
6:57.0,,,13-8,2,T. Allen makes 2-pt shot from 1 ft
6:44.0,Turnover by J. Harden (bad pass),,13-8,,
6:44.0,,,13-8,,J. Ennis enters the game for C. Parsons
6:34.0,,,13-8,,Turnover by T. Allen (traveling)
6:22.0,T. Ariza misses 3-pt shot from 25 ft,,13-8,,
6:21.0,Offensive rebound by R. Anderson,,13-8,,
6:19.0,R. Anderson makes 2-pt shot at rim,2,15-8,,
6:19.0,Shooting foul by J. Green (drawn by R. Anderson),,15-8,,
6:19.0,R. Anderson makes free throw 1 of 1,1,16-8,,
6:19.0,E. Gordon enters the game for P. Beverley,,15-8,,
5:59.0,,,16-8,,J. Ennis misses 3-pt shot from 25 ft
5:59.0,,,16-8,,Offensive rebound by Team
5:59.0,Loose ball foul by J. Harden (drawn by T. Allen),,16-8,,
5:45.0,,,16-10,2,M. Conley makes 2-pt shot from 1 ft
5:32.0,Turnover by J. Harden (bad pass; steal by M. Gasol),,16-10,,
5:24.0,,,16-10,,M. Gasol misses 2-pt shot from 9 ft
5:22.0,Defensive rebound by R. Anderson,,16-10,,
5:16.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,19-10,,
4:58.0,,,19-12,2,M. Conley makes 2-pt shot from 1 ft
4:42.0,J. Harden misses 3-pt shot from 25 ft,,19-12,,
4:42.0,,,19-12,,Defensive rebound by Team
4:42.0,,,19-12,,Z. Randolph enters the game for J. Green
4:32.0,,,19-15,3,M. Conley makes 3-pt shot from 25 ft
4:19.0,M. Harrell makes 2-pt shot at rim (assist by E. Gordon),2,21-15,,
4:01.0,N. Hilario enters the game for M. Harrell,,21-15,,
4:01.0,S. Dekker enters the game for R. Anderson,,21-15,,
3:50.0,,,21-17,2,J. Ennis makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:29.0,S. Dekker misses 2-pt shot from 1 ft,,21-17,,
3:29.0,,,21-17,,Defensive rebound by Z. Randolph
3:20.0,,,21-19,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Allen)
3:04.0,Turnover by J. Harden (bad pass),,21-19,,
2:55.0,,,21-19,,Turnover by J. Ennis (bad pass; steal by J. Harden)
2:52.0,,,21-19,,Violation by M. Gasol (kicked ball)
2:52.0,Houston full timeout,,21-19,,
2:52.0,,,21-19,,A. Harrison enters the game for M. Conley
2:35.0,J. Harden makes 3-pt shot from 24 ft (assist by N. Hilario),3,24-19,,
2:15.0,,,24-19,,Z. Randolph misses 2-pt shot from 17 ft
2:14.0,,,24-19,,Offensive rebound by T. Allen
2:14.0,,,24-19,,T. Allen misses 2-pt shot from 1 ft
