time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. I. Zubac (G. Dieng gains possession),,,,Jump ball: K. Towns vs. I. Zubac (G. Dieng gains possession)
11:43.0,G. Dieng makes 2-pt shot from 14 ft (assist by A. Wiggins),2,2-0,,
11:24.0,,,2-0,,I. Zubac misses 2-pt shot from 10 ft
11:19.0,Defensive rebound by R. Rubio,,2-0,,
11:10.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,4-0,,
10:52.0,,,4-2,2,J. Randle makes 2-pt shot from 11 ft
10:24.0,A. Wiggins makes 3-pt shot from 25 ft (assist by B. Rush),3,7-2,,
10:10.0,,,7-5,3,J. Clarkson makes 3-pt shot from 25 ft (assist by I. Zubac)
9:55.0,G. Dieng misses 2-pt shot from 18 ft,,7-5,,
9:54.0,,,7-5,,Defensive rebound by J. Randle
9:51.0,,,7-5,,Shooting foul by G. Dieng (drawn by J. Randle)
9:51.0,,,7-5,,J. Randle misses free throw 1 of 2
9:51.0,,,7-5,,Offensive rebound by Team
9:51.0,,,7-6,1,J. Randle makes free throw 2 of 2
9:33.0,A. Wiggins makes 2-pt shot from 2 ft,2,9-6,,
9:23.0,,,9-6,,J. Randle misses 2-pt shot from 8 ft
9:20.0,Defensive rebound by K. Towns,,9-6,,
9:16.0,Turnover by R. Rubio (bad pass; steal by I. Zubac),,9-6,,
9:10.0,,,9-6,,J. Randle misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by B. Rush,,9-6,,
9:03.0,Shooting foul by I. Zubac (drawn by R. Rubio),,9-6,,
9:03.0,R. Rubio makes free throw 1 of 2,1,10-6,,
9:03.0,R. Rubio makes free throw 2 of 2,1,11-6,,
8:49.0,,,11-8,2,B. Ingram makes 2-pt shot from 2 ft
8:36.0,R. Rubio misses 2-pt shot from 18 ft,,11-8,,
8:34.0,,,11-8,,Defensive rebound by I. Zubac
8:24.0,,,11-11,3,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Randle)
8:02.0,G. Dieng misses 2-pt shot from 8 ft,,11-11,,
8:00.0,Offensive rebound by G. Dieng,,11-11,,
7:58.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,13-11,,
7:44.0,,,13-13,2,I. Zubac makes 2-pt shot at rim (assist by D. Russell)
7:44.0,,,13-13,,Shooting foul by R. Rubio (drawn by I. Zubac)
7:44.0,,,13-14,1,I. Zubac makes free throw 1 of 1
7:35.0,B. Rush misses 2-pt shot from 2 ft,,13-14,,
7:34.0,Offensive rebound by K. Towns,,13-14,,
7:34.0,K. Towns misses 2-pt shot from 2 ft,,13-14,,
7:32.0,Offensive rebound by G. Dieng,,13-14,,
7:31.0,G. Dieng misses 2-pt shot from 4 ft,,13-14,,
7:28.0,,,13-14,,Defensive rebound by I. Zubac
7:24.0,,,13-14,,B. Ingram misses 2-pt shot from 1 ft
7:21.0,,,13-14,,Offensive rebound by J. Randle
7:20.0,,,13-14,,J. Randle misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by R. Rubio,,13-14,,
7:16.0,Turnover by A. Wiggins (bad pass),,13-14,,
6:58.0,,,13-14,,Turnover by B. Ingram (bad pass; steal by R. Rubio)
6:57.0,,,13-14,,Personal take foul by D. Russell (drawn by R. Rubio)
6:46.0,Shooting foul by J. Randle (drawn by A. Wiggins),,13-14,,
6:46.0,A. Wiggins makes free throw 1 of 2,1,14-14,,
6:46.0,,,14-14,,LA Lakers full timeout
6:46.0,A. Wiggins misses free throw 2 of 2,,14-14,,
6:44.0,,,14-14,,Defensive rebound by I. Zubac
6:26.0,,,14-14,,D. Russell misses 2-pt shot from 3 ft (block by G. Dieng)
6:25.0,Defensive rebound by K. Towns,,14-14,,
6:11.0,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio),2,16-14,,
6:11.0,Shooting foul by D. Russell (drawn by K. Towns),,16-14,,
6:11.0,K. Towns makes free throw 1 of 1,1,17-14,,
5:50.0,,,17-14,,J. Clarkson misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by K. Towns,,17-14,,
5:28.0,K. Towns misses 2-pt shot from 17 ft,,17-14,,
5:25.0,,,17-14,,Defensive rebound by J. Randle
5:24.0,,,17-14,,Offensive charge foul by J. Randle
5:24.0,,,17-14,,Turnover by J. Randle (offensive foul)
5:24.0,,,17-14,,L. Nance enters the game for J. Randle
5:02.0,Turnover by B. Rush (bad pass; steal by D. Russell),,17-14,,
4:57.0,,,17-16,2,D. Russell makes 2-pt shot from 2 ft
4:48.0,Minnesota full timeout,,17-16,,
4:48.0,K. Dunn enters the game for B. Rush,,17-16,,
4:33.0,K. Dunn misses 2-pt shot from 17 ft,,17-16,,
4:31.0,,,17-16,,Defensive rebound by D. Russell
4:25.0,,,17-18,2,B. Ingram makes 2-pt shot from 2 ft
4:04.0,A. Wiggins misses 2-pt shot from 12 ft,,17-18,,
3:59.0,,,17-18,,Defensive rebound by J. Clarkson
3:54.0,Personal foul by A. Wiggins (drawn by B. Ingram),,17-18,,
3:54.0,O. Casspi enters the game for K. Towns,,17-18,,
3:51.0,,,17-18,,Offensive foul by I. Zubac
3:51.0,,,17-18,,Turnover by I. Zubac (offensive foul)
3:39.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,19-18,,
3:23.0,,,19-20,2,I. Zubac makes 2-pt shot at rim (assist by L. Nance)
3:08.0,Turnover by R. Rubio (bad pass),,19-20,,
3:08.0,,,19-20,,T. Black enters the game for I. Zubac
3:08.0,,,19-20,,T. Ennis enters the game for D. Russell
2:49.0,,,19-20,,B. Ingram misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by A. Wiggins,,19-20,,
2:36.0,Shooting foul by J. Clarkson (drawn by R. Rubio),,19-20,,
2:36.0,R. Rubio makes free throw 1 of 2,1,20-20,,
2:36.0,R. Rubio makes free throw 2 of 2,1,21-20,,
2:18.0,,,21-20,,J. Clarkson misses 2-pt shot from 9 ft
2:16.0,Defensive rebound by K. Dunn,,21-20,,
2:12.0,Shooting foul by T. Black (drawn by O. Casspi),,21-20,,
2:12.0,O. Casspi makes free throw 1 of 2,1,22-20,,
2:12.0,O. Casspi makes free throw 2 of 2,1,23-20,,
2:12.0,S. Muhammad enters the game for R. Rubio,,22-20,,
1:50.0,,,23-22,2,J. Clarkson makes 2-pt shot from 10 ft
1:25.0,Turnover by A. Wiggins (bad pass; steal by T. Ennis),,23-22,,
1:20.0,,,23-24,2,T. Ennis makes 2-pt shot from 1 ft
1:00.0,A. Wiggins makes 2-pt shot from 4 ft (assist by K. Dunn),2,25-24,,
0:48.0,,,25-24,,T. Black misses 2-pt shot from 7 ft
0:44.0,Defensive rebound by K. Dunn,,25-24,,
0:31.0,A. Wiggins makes 2-pt shot from 11 ft (assist by O. Casspi),2,27-24,,
0:13.0,,,27-26,2,J. Clarkson makes 2-pt shot from 7 ft
0:06.0,K. Dunn misses 2-pt shot from 18 ft,,27-26,,
0:03.0,,,27-26,,Defensive rebound by L. Nance
0:01.0,Personal foul by A. Wiggins (drawn by B. Ingram),,27-26,,
0:01.0,,,27-26,,LA Lakers full timeout
0:01.0,,,27-26,,Turnover by B. Ingram (bad pass; steal by G. Dieng)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,27-26,,Turnover by T. Black (bad pass)
11:41.0,,,27-26,,Personal foul by T. Black (drawn by K. Towns)
11:41.0,,,27-26,,D. Nwaba enters the game for T. Black
11:31.0,S. Muhammad misses 2-pt shot from 6 ft,,27-26,,
11:29.0,,,27-26,,Defensive rebound by D. Nwaba
11:26.0,,,27-26,,Turnover by T. Ennis (bad pass)
11:08.0,K. Towns misses 2-pt shot from 5 ft,,27-26,,
11:05.0,,,27-26,,Defensive rebound by D. Nwaba
10:57.0,,,27-28,2,L. Nance makes 2-pt shot at rim (assist by D. Nwaba)
10:31.0,K. Towns makes 2-pt shot from 8 ft,2,29-28,,
10:19.0,,,29-28,,Turnover by L. Nance (bad pass; steal by K. Dunn)
10:16.0,Shooting foul by D. Nwaba (drawn by K. Towns),,29-28,,
10:16.0,,,29-28,,LA Lakers full timeout
10:16.0,K. Towns makes free throw 1 of 2,1,30-28,,
10:16.0,K. Towns makes free throw 2 of 2,1,31-28,,
10:01.0,,,31-30,2,C. Brewer makes 2-pt shot from 4 ft (assist by L. Nance)
9:41.0,K. Dunn misses 2-pt shot from 14 ft,,31-30,,
9:39.0,,,31-30,,Defensive rebound by D. Russell
9:37.0,,,31-30,,J. Randle enters the game for T. Ennis
9:31.0,,,31-30,,L. Nance misses 2-pt shot from 11 ft
9:28.0,,,31-30,,Offensive rebound by D. Nwaba
9:28.0,,,31-32,2,D. Nwaba makes 2-pt shot from 1 ft
9:15.0,S. Muhammad misses 2-pt shot from 10 ft,,31-32,,
9:13.0,,,31-32,,Defensive rebound by C. Brewer
9:09.0,,,31-34,2,L. Nance makes 2-pt shot at rim (assist by C. Brewer)
8:49.0,K. Towns misses 3-pt shot from 25 ft,,31-34,,
8:48.0,,,31-34,,Defensive rebound by D. Russell
8:46.0,,,31-36,2,D. Nwaba makes 2-pt shot from 1 ft (assist by D. Russell)
8:46.0,,,31-36,,Shooting foul by K. Dunn (drawn by D. Nwaba)
8:46.0,,,31-37,1,D. Nwaba makes free throw 1 of 1
8:46.0,G. Dieng enters the game for O. Casspi,,31-36,,
8:46.0,R. Rubio enters the game for S. Muhammad,,31-36,,
8:33.0,K. Dunn makes 3-pt shot from 28 ft,3,34-37,,
8:20.0,,,34-37,,C. Brewer misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by K. Dunn,,34-37,,
8:11.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,36-37,,
8:05.0,,,36-37,,Shooting foul by T. Jones (drawn by D. Russell)
8:05.0,,,36-38,1,D. Russell makes free throw 1 of 2
8:05.0,,,36-39,1,D. Russell makes free throw 2 of 2
