time,San Antonio,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Johnson (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. A. Johnson (L. Aldridge gains possession)
11:38.0,L. Aldridge misses 2-pt shot from 16 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Bradley
11:11.0,,,0-0,,A. Johnson misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by D. Green,,0-0,,
10:54.0,P. Gasol misses 2-pt shot from 16 ft (block by A. Horford),,0-0,,
10:53.0,,,0-0,,Defensive rebound by A. Bradley
10:45.0,,,0-0,,A. Horford misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by T. Parker,,0-0,,
10:33.0,P. Gasol misses 2-pt shot from 21 ft (block by A. Horford),,0-0,,
10:31.0,,,0-0,,Defensive rebound by A. Bradley
10:22.0,,,0-2,2,A. Bradley makes 2-pt shot from 2 ft
9:59.0,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker),3,3-2,,
9:35.0,,,3-4,2,A. Horford makes 2-pt shot at rim (assist by J. Crowder)
9:12.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,6-4,,
8:52.0,,,6-6,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
8:34.0,T. Parker makes 2-pt shot from 6 ft,2,8-6,,
8:18.0,,,8-6,,A. Horford misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by P. Gasol,,8-6,,
8:13.0,Turnover by K. Leonard (lost ball; steal by J. Crowder),,8-6,,
7:58.0,,,8-9,3,A. Bradley makes 3-pt shot from 23 ft
7:42.0,L. Aldridge misses 2-pt shot from 6 ft,,8-9,,
7:41.0,,,8-9,,Defensive rebound by A. Horford
7:34.0,,,8-9,,A. Bradley misses 2-pt shot from 2 ft (block by D. Green)
7:33.0,,,8-9,,Offensive rebound by A. Bradley
7:29.0,,,8-12,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Bradley)
7:13.0,T. Parker misses 2-pt shot from 19 ft,,8-12,,
7:12.0,,,8-12,,Defensive rebound by I. Thomas
7:05.0,,,8-12,,Shooting foul by K. Leonard (drawn by I. Thomas)
7:05.0,,,8-12,,I. Thomas misses free throw 1 of 2
7:05.0,,,8-12,,Offensive rebound by Team
7:05.0,,,8-13,1,I. Thomas makes free throw 2 of 2
6:50.0,Turnover by T. Parker (traveling),,8-13,,
6:40.0,,,8-15,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
6:40.0,San Antonio full timeout,,8-15,,
6:40.0,P. Mills enters the game for L. Aldridge,,8-15,,
6:40.0,D. Lee enters the game for P. Gasol,,8-15,,
6:40.0,D. Bertans enters the game for T. Parker,,8-15,,
6:24.0,P. Mills makes 2-pt shot from 21 ft (assist by D. Lee),2,10-15,,
6:09.0,,,10-18,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
5:54.0,K. Leonard misses 2-pt shot from 11 ft,,10-18,,
5:52.0,Offensive rebound by K. Leonard,,10-18,,
5:48.0,K. Leonard misses 2-pt shot from 7 ft,,10-18,,
5:47.0,,,10-18,,Defensive rebound by A. Horford
5:36.0,,,10-20,2,J. Crowder makes 2-pt shot from 16 ft (assist by A. Horford)
5:18.0,D. Lee misses 2-pt shot from 1 ft (block by A. Johnson),,10-20,,
5:17.0,,,10-20,,Defensive rebound by A. Bradley
5:08.0,,,10-22,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
4:51.0,Turnover by P. Mills (bad pass; steal by A. Johnson),,10-22,,
4:45.0,,,10-22,,A. Bradley misses 2-pt shot from 5 ft (block by D. Green)
4:45.0,,,10-22,,Offensive rebound by Team
4:45.0,,,10-22,,J. Jerebko enters the game for A. Johnson
4:45.0,,,10-22,,M. Smart enters the game for J. Crowder
4:45.0,J. Simmons enters the game for D. Green,,10-22,,
4:45.0,M. Ginobili enters the game for K. Leonard,,10-22,,
4:42.0,,,10-24,2,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart)
4:25.0,Turnover by P. Mills (bad pass),,10-24,,
4:12.0,,,10-24,,Turnover by I. Thomas (discontinued dribble)
3:59.0,Turnover by D. Lee (lost ball),,10-24,,
3:50.0,,,10-24,,I. Thomas misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by D. Lee,,10-24,,
3:39.0,D. Lee makes 2-pt shot at rim (assist by J. Simmons),2,12-24,,
3:22.0,,,12-24,,Turnover by A. Horford (bad pass; steal by P. Mills)
3:16.0,M. Ginobili misses 3-pt shot from 26 ft,,12-24,,
3:15.0,Offensive rebound by D. Lee,,12-24,,
3:13.0,D. Lee makes 2-pt shot from 1 ft,2,14-24,,
3:11.0,,,14-24,,Boston full timeout
3:11.0,,,14-24,,T. Rozier enters the game for A. Horford
3:11.0,,,14-24,,K. Olynyk enters the game for A. Bradley
2:50.0,,,14-24,,I. Thomas misses 3-pt shot from 25 ft
2:49.0,,,14-24,,Offensive rebound by M. Smart
2:44.0,,,14-26,2,M. Smart makes 2-pt shot from 5 ft
2:44.0,P. Mills misses 3-pt shot from 25 ft,,14-26,,
2:44.0,Offensive rebound by Team,,14-26,,
2:37.0,,,14-26,,Personal foul by M. Smart (drawn by M. Ginobili)
2:30.0,M. Ginobili misses 2-pt shot from 12 ft,,14-26,,
2:28.0,Offensive rebound by D. Lee,,14-26,,
2:27.0,D. Lee misses 2-pt shot from 1 ft,,14-26,,
2:25.0,,,14-26,,Defensive rebound by J. Jerebko
2:10.0,,,14-28,2,J. Jerebko makes 2-pt shot from 22 ft (assist by I. Thomas)
1:54.0,D. Bertans makes 2-pt shot from 21 ft (assist by M. Ginobili),2,16-28,,
1:44.0,,,16-28,,Turnover by M. Smart (bad pass; steal by D. Bertans)
1:41.0,D. Bertans makes 2-pt shot at rim,2,18-28,,
1:15.0,,,18-28,,Turnover by T. Rozier (bad pass; steal by J. Simmons)
1:09.0,J. Simmons misses 2-pt shot at rim,,18-28,,
1:08.0,Offensive rebound by D. Lee,,18-28,,
1:08.0,D. Lee makes 2-pt shot at rim,2,20-28,,
0:55.0,,,20-30,2,I. Thomas makes 2-pt shot from 18 ft (assist by M. Smart)
0:45.0,P. Mills makes 2-pt shot from 19 ft,2,22-30,,
0:28.0,,,22-30,,Shooting foul by J. Simmons (drawn by I. Thomas)
0:28.0,,,22-31,1,I. Thomas makes free throw 1 of 2
0:28.0,,,22-32,1,I. Thomas makes free throw 2 of 2
0:05.0,M. Ginobili misses 3-pt shot from 25 ft,,22-32,,
0:05.0,,,22-32,,Defensive rebound by T. Rozier
0:01.0,,,22-32,,T. Rozier misses 3-pt shot from 30 ft
0:00.0,,,22-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,22-32,,Shooting foul by D. Green (drawn by M. Smart)
11:51.0,,,22-33,1,M. Smart makes free throw 1 of 2
11:51.0,,,22-34,1,M. Smart makes free throw 2 of 2
11:51.0,,,22-33,,A. Johnson enters the game for J. Jerebko
11:33.0,L. Aldridge misses 2-pt shot from 20 ft,,22-34,,
11:32.0,,,22-34,,Defensive rebound by J. Brown
11:19.0,,,22-34,,M. Smart misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by P. Gasol,,22-34,,
10:57.0,,,22-34,,Personal foul by T. Rozier (drawn by L. Aldridge)
10:48.0,D. Green makes 3-pt shot from 24 ft (assist by P. Gasol),3,25-34,,
10:31.0,,,25-36,2,J. Brown makes 2-pt shot from 5 ft
10:31.0,,,25-36,,Shooting foul by L. Aldridge (drawn by J. Brown)
10:31.0,,,25-36,,J. Brown misses free throw 1 of 1
10:30.0,,,25-36,,Offensive rebound by K. Olynyk
10:12.0,,,25-38,2,K. Olynyk makes 2-pt shot from 5 ft (assist by M. Smart)
9:57.0,P. Gasol misses 2-pt shot from 21 ft,,25-38,,
9:56.0,Offensive rebound by L. Aldridge,,25-38,,
9:49.0,Shooting foul by A. Johnson (drawn by L. Aldridge),,25-38,,
9:49.0,L. Aldridge misses free throw 1 of 2,,25-38,,
9:49.0,Offensive rebound by Team,,25-38,,
9:49.0,L. Aldridge misses free throw 2 of 2,,25-38,,
9:49.0,,,25-38,,Defensive rebound by A. Johnson
9:49.0,,,25-38,,A. Bradley enters the game for M. Smart
9:34.0,,,25-38,,J. Brown misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by P. Gasol,,25-38,,
9:19.0,K. Leonard misses 2-pt shot from 18 ft,,25-38,,
9:17.0,,,25-38,,Defensive rebound by A. Bradley
9:07.0,,,25-38,,A. Johnson misses 2-pt shot from 3 ft (block by D. Green)
9:06.0,Defensive rebound by Team,,25-38,,
9:06.0,,,25-38,,Loose ball foul by A. Johnson (drawn by D. Green)
8:56.0,Official timeout,,25-38,,
8:52.0,T. Parker misses 2-pt shot from 7 ft,,25-38,,
8:51.0,,,25-38,,Defensive rebound by T. Rozier
8:34.0,,,25-38,,K. Olynyk misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by K. Leonard,,25-38,,
8:16.0,D. Green misses 3-pt shot from 25 ft,,25-38,,
8:15.0,,,25-38,,Defensive rebound by J. Brown
7:58.0,,,25-38,,A. Bradley misses 2-pt shot from 7 ft
7:57.0,Defensive rebound by L. Aldridge,,25-38,,
7:49.0,Shooting foul by J. Brown (drawn by K. Leonard),,25-38,,
7:49.0,K. Leonard makes free throw 1 of 2,1,26-38,,
7:49.0,K. Leonard makes free throw 2 of 2,1,27-38,,
7:49.0,,,26-38,,A. Horford enters the game for K. Olynyk
7:49.0,D. Bertans enters the game for P. Gasol,,26-38,,
7:38.0,,,27-38,,Turnover by A. Johnson (bad pass)
7:27.0,Turnover by K. Leonard (traveling),,27-38,,
7:27.0,Violation by Team (delay of game),,27-38,,
7:14.0,,,27-38,,Turnover by A. Horford (bad pass; steal by T. Parker)
6:58.0,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker),3,30-38,,
6:32.0,,,30-38,,J. Brown misses 2-pt shot from 18 ft
6:32.0,Defensive rebound by D. Bertans,,30-38,,
6:25.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker),3,33-38,,
6:24.0,,,33-38,,Boston full timeout
6:24.0,,,33-38,,I. Thomas enters the game for A. Johnson
6:24.0,,,33-38,,J. Jerebko enters the game for T. Rozier
6:24.0,,,33-38,,J. Crowder enters the game for J. Brown
6:09.0,,,33-38,,A. Horford misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by D. Green,,33-38,,
5:51.0,K. Leonard misses 3-pt shot from 26 ft,,33-38,,
5:50.0,,,33-38,,Defensive rebound by J. Crowder
5:29.0,,,33-38,,A. Bradley misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by Team,,33-38,,
5:11.0,L. Aldridge makes 2-pt shot from 14 ft,2,35-38,,
4:51.0,,,35-38,,I. Thomas misses 2-pt shot from 7 ft
4:50.0,Defensive rebound by D. Green,,35-38,,
4:33.0,K. Leonard makes 2-pt shot from 18 ft (assist by L. Aldridge),2,37-38,,
4:21.0,,,37-40,2,J. Jerebko makes 2-pt shot from 7 ft (assist by I. Thomas)
4:21.0,San Antonio full timeout,,37-40,,
4:21.0,,,37-40,,M. Smart enters the game for J. Jerebko
4:21.0,P. Mills enters the game for D. Green,,37-40,,
4:21.0,M. Ginobili enters the game for T. Parker,,37-40,,
4:03.0,D. Bertans makes 2-pt shot at rim (assist by K. Leonard),2,39-40,,
3:44.0,,,39-40,,J. Crowder misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by K. Leonard,,39-40,,
3:24.0,K. Leonard misses 2-pt shot from 14 ft,,39-40,,
3:23.0,,,39-40,,Defensive rebound by A. Horford
3:04.0,,,39-40,,Offensive foul by A. Horford
3:04.0,,,39-40,,Turnover by A. Horford (offensive foul)
2:49.0,L. Aldridge misses 2-pt shot from 16 ft,,39-40,,
2:48.0,,,39-40,,Defensive rebound by J. Crowder
2:38.0,,,39-40,,J. Crowder misses 3-pt shot from 25 ft
2:37.0,,,39-40,,Offensive rebound by M. Smart
2:35.0,,,39-42,2,M. Smart makes 2-pt shot from 6 ft
2:21.0,Offensive charge foul by M. Ginobili,,39-42,,
2:21.0,Turnover by M. Ginobili (offensive foul),,39-42,,
2:13.0,,,39-44,2,I. Thomas makes 2-pt shot from 19 ft (assist by J. Crowder)
2:12.0,San Antonio full timeout,,39-44,,
1:59.0,K. Leonard misses 2-pt shot from 10 ft,,39-44,,
1:58.0,,,39-44,,Defensive rebound by A. Horford
1:45.0,,,39-46,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
1:27.0,Shooting foul by I. Thomas,,39-46,,
1:27.0,P. Mills makes free throw 1 of 2,1,40-46,,
1:27.0,P. Mills makes free throw 2 of 2,1,41-46,,
1:27.0,J. Simmons enters the game for K. Leonard,,40-46,,
1:27.0,D. Lee enters the game for L. Aldridge,,40-46,,
1:27.0,D. Green enters the game for D. Bertans,,40-46,,
1:16.0,,,41-46,,I. Thomas misses 3-pt shot from 25 ft
1:15.0,,,41-46,,Offensive rebound by A. Horford
1:15.0,,,41-48,2,A. Horford makes 2-pt shot from 2 ft
0:59.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Green),2,43-48,,
0:44.0,,,43-48,,A. Horford misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by D. Green,,43-48,,
0:28.0,Shooting foul by J. Crowder (drawn by M. Ginobili),,43-48,,
0:28.0,M. Ginobili makes free throw 1 of 2,1,44-48,,
0:28.0,M. Ginobili misses free throw 2 of 2,,44-48,,
0:28.0,,,44-48,,Defensive rebound by J. Crowder
0:04.0,,,44-48,,J. Crowder misses 3-pt shot from 26 ft
0:02.0,,,44-48,,Offensive rebound by A. Horford
0:02.0,,,44-48,,A. Horford misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by M. Ginobili,,44-48,,
0:01.0,,,44-48,,Personal block foul by J. Crowder (drawn by M. Ginobili)
0:01.0,M. Ginobili makes free throw 1 of 2,1,45-48,,
0:01.0,M. Ginobili makes free throw 2 of 2,1,46-48,,
0:01.0,,,46-48,,Boston full timeout
0:01.0,P. Gasol enters the game for D. Lee,,45-48,,
0:01.0,,,46-48,,J. Jerebko enters the game for A. Bradley
0:01.0,,,46-48,,J. Brown enters the game for I. Thomas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,,,46-48,,I. Thomas misses 2-pt shot from 8 ft
11:33.0,,,46-48,,Offensive rebound by A. Johnson
11:33.0,,,46-48,,A. Johnson misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by P. Gasol,,46-48,,
11:20.0,L. Aldridge misses 2-pt shot from 13 ft,,46-48,,
11:19.0,Offensive rebound by Team,,46-48,,
11:19.0,,,46-48,,Personal foul by A. Horford (drawn by P. Gasol)
11:04.0,T. Parker makes 2-pt shot from 2 ft (assist by L. Aldridge),2,48-48,,
10:52.0,,,48-48,,A. Bradley misses 2-pt shot from 1 ft (block by P. Gasol)
10:51.0,Defensive rebound by P. Gasol,,48-48,,
10:37.0,L. Aldridge misses 2-pt shot from 5 ft,,48-48,,
10:36.0,,,48-48,,Defensive rebound by A. Horford
10:26.0,,,48-48,,Turnover by J. Crowder (bad pass)
10:12.0,T. Parker makes 2-pt shot at rim,2,50-48,,
10:12.0,Shooting foul by I. Thomas (drawn by T. Parker),,50-48,,
10:12.0,T. Parker makes free throw 1 of 1,1,51-48,,
9:52.0,,,51-48,,A. Johnson misses 2-pt shot from 2 ft (block by K. Leonard)
9:50.0,Defensive rebound by K. Leonard,,51-48,,
9:38.0,K. Leonard makes 2-pt shot from 2 ft (assist by P. Gasol),2,53-48,,
9:22.0,,,53-51,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
9:08.0,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker),2,55-51,,
8:51.0,,,55-51,,A. Johnson misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by K. Leonard,,55-51,,
8:37.0,Shooting foul by A. Johnson (drawn by D. Green),,55-51,,
8:37.0,D. Green makes free throw 1 of 2,1,56-51,,
8:37.0,D. Green makes free throw 2 of 2,1,57-51,,
8:37.0,,,56-51,,K. Olynyk enters the game for A. Johnson
8:25.0,,,57-53,2,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas)
8:09.0,L. Aldridge misses 2-pt shot from 20 ft,,57-53,,
8:08.0,,,57-53,,Defensive rebound by A. Bradley
7:45.0,,,57-53,,J. Crowder misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by D. Green,,57-53,,
7:25.0,K. Leonard makes 2-pt shot at rim (assist by L. Aldridge),2,59-53,,
7:25.0,,,59-53,,Boston full timeout
7:10.0,,,59-56,3,J. Crowder makes 3-pt shot from 23 ft (assist by K. Olynyk)
6:43.0,P. Gasol misses 2-pt shot from 9 ft,,59-56,,
6:42.0,Offensive rebound by Team,,59-56,,
6:40.0,P. Gasol misses 3-pt shot from 27 ft,,59-56,,
6:40.0,Offensive rebound by Team,,59-56,,
6:40.0,Turnover by Team (shot clock),,59-56,,
6:30.0,,,59-56,,I. Thomas misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by K. Leonard,,59-56,,
6:14.0,K. Leonard makes 2-pt shot from 16 ft,2,61-56,,
5:57.0,,,61-56,,A. Horford misses 3-pt shot from 26 ft
5:57.0,Defensive rebound by T. Parker,,61-56,,
5:46.0,T. Parker misses 2-pt shot from 1 ft,,61-56,,
5:45.0,,,61-56,,Defensive rebound by A. Horford
5:42.0,,,61-58,2,A. Bradley makes 2-pt shot at rim (assist by A. Horford)
5:27.0,Turnover by P. Gasol (offensive foul),,61-58,,
5:27.0,Offensive charge foul by P. Gasol,,61-58,,
5:27.0,P. Mills enters the game for L. Aldridge,,61-58,,
5:27.0,D. Lee enters the game for D. Green,,61-58,,
5:27.0,M. Ginobili enters the game for T. Parker,,61-58,,
5:07.0,,,61-61,3,A. Bradley makes 3-pt shot from 23 ft (assist by J. Crowder)
4:52.0,Turnover by P. Gasol (bad pass; steal by K. Olynyk),,61-61,,
4:47.0,,,61-61,,Turnover by A. Bradley (bad pass)
4:30.0,K. Leonard misses 3-pt shot from 26 ft,,61-61,,
4:29.0,,,61-61,,Defensive rebound by A. Horford
4:19.0,,,61-64,3,K. Olynyk makes 3-pt shot from 26 ft (assist by I. Thomas)
4:17.0,San Antonio full timeout,,61-64,,
4:17.0,,,61-64,,J. Jerebko enters the game for J. Crowder
4:17.0,,,61-64,,T. Rozier enters the game for A. Horford
4:17.0,,,61-64,,M. Smart enters the game for A. Bradley
4:17.0,D. Bertans enters the game for P. Gasol,,61-64,,
4:06.0,P. Mills makes 2-pt shot from 2 ft,2,63-64,,
3:44.0,,,63-64,,J. Jerebko misses 2-pt shot from 19 ft
3:43.0,Defensive rebound by D. Lee,,63-64,,
3:38.0,,,63-64,,Personal foul by M. Smart (drawn by K. Leonard)
3:38.0,J. Simmons enters the game for K. Leonard,,63-64,,
3:32.0,Turnover by M. Ginobili (bad pass; steal by M. Smart),,63-64,,
3:26.0,,,63-67,3,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas)
3:16.0,M. Ginobili misses 2-pt shot from 2 ft,,63-67,,
3:16.0,Offensive rebound by D. Lee,,63-67,,
3:15.0,Shooting foul by M. Smart (drawn by D. Lee),,63-67,,
3:15.0,D. Lee makes free throw 1 of 2,1,64-67,,
3:15.0,D. Lee makes free throw 2 of 2,1,65-67,,
3:03.0,,,65-69,2,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas)
2:48.0,J. Simmons makes 2-pt shot from 8 ft (assist by P. Mills),2,67-69,,
2:39.0,,,67-69,,I. Thomas misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by Team,,67-69,,
2:24.0,D. Lee makes 2-pt shot at rim (assist by J. Simmons),2,69-69,,
2:17.0,Personal block foul by P. Mills,,69-69,,
2:17.0,,,69-69,,T. Zeller enters the game for K. Olynyk
2:10.0,,,69-72,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Smart)
2:00.0,Turnover by P. Mills (bad pass; steal by T. Rozier),,69-72,,
2:00.0,Personal foul by M. Ginobili (drawn by T. Rozier),,69-72,,
1:46.0,,,69-72,,I. Thomas misses 2-pt shot from 2 ft
1:45.0,,,69-72,,Offensive rebound by M. Smart
1:45.0,,,69-72,,M. Smart misses 2-pt shot from 1 ft
1:44.0,Defensive rebound by D. Bertans,,69-72,,
1:39.0,J. Simmons misses 2-pt shot from 2 ft,,69-72,,
1:38.0,Offensive rebound by D. Lee,,69-72,,
1:37.0,D. Lee misses 2-pt shot from 1 ft,,69-72,,
1:36.0,,,69-72,,Defensive rebound by J. Jerebko
1:31.0,,,69-74,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Jerebko)
1:12.0,D. Bertans misses 3-pt shot from 27 ft,,69-74,,
1:10.0,Offensive rebound by D. Lee,,69-74,,
0:58.0,M. Ginobili misses 3-pt shot from 23 ft,,69-74,,
0:57.0,,,69-74,,Defensive rebound by J. Jerebko
0:39.0,,,69-74,,I. Thomas misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by P. Mills,,69-74,,
0:24.0,D. Bertans makes 3-pt shot from 25 ft (assist by D. Lee),3,72-74,,
0:06.0,,,72-74,,Turnover by I. Thomas (lost ball)
0:05.0,,,72-74,,A. Bradley enters the game for I. Thomas
0:00.0,P. Mills makes 3-pt shot from 34 ft,3,75-74,,
0:00.0,,,75-74,,M. Smart misses 3-pt shot from 74 ft
0:00.0,,,75-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,75-74,,Personal foul by A. Bradley (drawn by J. Simmons)
11:38.0,D. Bertans makes 3-pt shot from 26 ft (assist by M. Ginobili),3,78-74,,
11:21.0,,,78-76,2,A. Bradley makes 2-pt shot from 8 ft (assist by M. Smart)
11:08.0,Turnover by J. Simmons (lost ball; steal by K. Olynyk),,78-76,,
11:02.0,,,78-79,3,A. Bradley makes 3-pt shot from 23 ft (assist by M. Smart)
10:51.0,Shooting foul by T. Rozier,,78-79,,
10:51.0,P. Mills makes free throw 1 of 2,1,79-79,,
10:51.0,P. Mills makes free throw 2 of 2,1,80-79,,
10:38.0,,,80-81,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
10:24.0,P. Mills misses 2-pt shot from 18 ft,,80-81,,
10:23.0,,,80-81,,Defensive rebound by A. Bradley
10:11.0,,,80-81,,M. Smart misses 2-pt shot from 11 ft
10:10.0,Defensive rebound by D. Lee,,80-81,,
9:57.0,J. Simmons makes 2-pt shot from 12 ft (assist by D. Lee),2,82-81,,
9:41.0,,,82-81,,T. Rozier misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by D. Lee,,82-81,,
9:31.0,Turnover by P. Mills (bad pass),,82-81,,
9:31.0,,,82-81,,Technical foul by M. Smart
9:31.0,P. Mills makes technical free throw,1,83-81,,
9:31.0,T. Parker enters the game for P. Mills,,83-81,,
9:31.0,D. Green enters the game for M. Ginobili,,83-81,,
9:31.0,L. Aldridge enters the game for D. Lee,,83-81,,
9:21.0,,,83-81,,K. Olynyk misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by Team,,83-81,,
9:08.0,Turnover by T. Parker (bad pass; steal by K. Olynyk),,83-81,,
8:51.0,,,83-81,,A. Bradley misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by Team,,83-81,,
8:51.0,Official timeout,,83-81,,
