time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: J. Henson vs. R. Lopez (T. Gibson gains possession)
11:32.0,,,0-2,2,R. Lopez makes 2-pt shot from 20 ft
11:15.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by D. Wade
11:03.0,,,0-2,,R. Lopez misses 2-pt shot from 8 ft
11:02.0,,,0-2,,Offensive rebound by T. Gibson
11:01.0,,,0-2,,T. Gibson misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
10:59.0,,,0-2,,Offensive rebound by R. Lopez
10:58.0,,,0-2,,R. Lopez misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
10:56.0,Defensive rebound by M. Brogdon,,0-2,,
10:47.0,Turnover by M. Brogdon (bad pass; steal by M. Carter-Williams),,0-2,,
10:41.0,,,0-5,3,J. Butler makes 3-pt shot from 26 ft (assist by D. Wade)
10:15.0,J. Henson misses 2-pt shot from 2 ft (block by T. Gibson),,0-5,,
10:13.0,,,0-5,,Defensive rebound by R. Lopez
9:49.0,,,0-5,,M. Carter-Williams misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by M. Brogdon,,0-5,,
9:47.0,Shooting foul by R. Lopez (drawn by G. Antetokounmpo),,0-5,,
9:47.0,G. Antetokounmpo misses free throw 1 of 2,,0-5,,
9:47.0,Offensive rebound by Team,,0-5,,
9:47.0,G. Antetokounmpo makes free throw 2 of 2,1,1-5,,
9:32.0,,,1-7,2,T. Gibson makes 2-pt shot from 3 ft
9:32.0,,,1-7,,Shooting foul by J. Henson (drawn by T. Gibson)
9:32.0,,,1-8,1,T. Gibson makes free throw 1 of 1
9:17.0,Turnover by T. Snell (lost ball; steal by D. Wade),,1-8,,
9:16.0,,,1-8,,Shooting foul by M. Brogdon (drawn by D. Wade)
9:16.0,,,1-9,1,D. Wade makes free throw 1 of 2
9:16.0,,,1-9,,D. Wade misses free throw 2 of 2
9:13.0,Defensive rebound by M. Brogdon,,1-9,,
8:47.0,J. Henson misses 2-pt shot from 23 ft,,1-9,,
8:46.0,,,1-9,,Defensive rebound by R. Lopez
8:43.0,,,1-9,,Turnover by D. Wade (bad pass; steal by G. Antetokounmpo)
8:41.0,Offensive foul by G. Antetokounmpo,,1-9,,
8:41.0,Turnover by G. Antetokounmpo (bad pass),,1-9,,
8:31.0,,,1-9,,T. Gibson misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
8:30.0,,,1-9,,Offensive rebound by T. Gibson
8:27.0,,,1-9,,T. Gibson misses 2-pt shot from 3 ft
8:26.0,,,1-9,,Offensive rebound by T. Gibson
8:26.0,,,1-9,,T. Gibson misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by J. Parker,,1-9,,
8:14.0,Turnover by M. Brogdon (lost ball; steal by M. Carter-Williams),,1-9,,
8:11.0,,,1-11,2,D. Wade makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
8:11.0,Milwaukee full timeout,,1-11,,
8:11.0,G. Monroe enters the game for J. Henson,,1-11,,
8:11.0,M. Teletovic enters the game for J. Parker,,1-11,,
7:53.0,M. Brogdon misses 2-pt shot from 2 ft,,1-11,,
7:51.0,Offensive rebound by G. Monroe,,1-11,,
7:51.0,G. Monroe misses 2-pt shot from 1 ft (block by D. Wade),,1-11,,
7:50.0,Offensive rebound by G. Monroe,,1-11,,
7:48.0,G. Monroe makes 2-pt shot from 3 ft,2,3-11,,
7:23.0,,,3-11,,T. Gibson misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by G. Monroe,,3-11,,
7:15.0,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,6-11,,
6:50.0,,,6-11,,M. Carter-Williams misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by G. Monroe,,6-11,,
6:32.0,T. Snell misses 2-pt shot from 21 ft,,6-11,,
6:31.0,,,6-11,,Defensive rebound by M. Carter-Williams
6:23.0,,,6-11,,Turnover by J. Butler (bad pass; steal by T. Snell)
6:15.0,M. Brogdon misses 3-pt shot from 25 ft,,6-11,,
6:15.0,,,6-11,,Defensive rebound by D. Wade
6:06.0,,,6-11,,Offensive charge foul by D. Wade
6:06.0,,,6-11,,Turnover by D. Wade (offensive foul)
6:06.0,,,6-11,,D. McDermott enters the game for D. Wade
5:52.0,M. Teletovic misses 2-pt shot from 7 ft,,6-11,,
5:48.0,Offensive rebound by G. Antetokounmpo,,6-11,,
5:48.0,G. Antetokounmpo makes 2-pt shot at rim,2,8-11,,
5:31.0,,,8-14,3,M. Carter-Williams makes 3-pt shot from 23 ft (assist by J. Butler)
5:04.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,8-14,,
5:03.0,,,8-14,,Defensive rebound by R. Lopez
4:52.0,,,8-14,,Shooting foul by T. Snell (drawn by J. Butler)
4:52.0,,,8-15,1,J. Butler makes free throw 1 of 2
4:52.0,,,8-16,1,J. Butler makes free throw 2 of 2
4:52.0,,,8-15,,N. Mirotic enters the game for T. Gibson
4:52.0,J. Terry enters the game for T. Snell,,8-15,,
4:34.0,G. Monroe misses 2-pt shot from 2 ft,,8-16,,
4:33.0,Offensive rebound by Team,,8-16,,
4:31.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by J. Terry),2,10-16,,
4:02.0,,,10-18,2,R. Lopez makes 2-pt shot from 22 ft (assist by J. Butler)
3:41.0,Shooting foul by D. McDermott (drawn by G. Monroe),,10-18,,
3:41.0,G. Monroe makes free throw 1 of 2,1,11-18,,
3:41.0,G. Monroe makes free throw 2 of 2,1,12-18,,
3:41.0,J. Parker enters the game for G. Antetokounmpo,,11-18,,
3:16.0,,,12-18,,M. Carter-Williams misses 2-pt shot from 12 ft
3:15.0,Defensive rebound by J. Parker,,12-18,,
3:01.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Brogdon),3,15-18,,
2:59.0,,,15-18,,Chicago full timeout
2:59.0,,,15-18,,J. Grant enters the game for M. Carter-Williams
2:38.0,,,15-21,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. McDermott)
2:22.0,J. Parker makes 2-pt shot from 3 ft (assist by G. Monroe),2,17-21,,
2:22.0,Shooting foul by J. Grant (drawn by J. Parker),,17-21,,
2:22.0,J. Parker makes free throw 1 of 1,1,18-21,,
2:08.0,,,18-21,,Turnover by J. Butler (traveling)
1:53.0,G. Monroe misses 2-pt shot from 2 ft,,18-21,,
1:52.0,,,18-21,,Defensive rebound by R. Lopez
1:44.0,Def 3 sec tech foul by G. Monroe,,18-21,,
1:44.0,,,18-21,,J. Butler misses technical free throw
1:44.0,,,18-21,,Offensive rebound by Team
1:36.0,,,18-23,2,N. Mirotic makes 2-pt shot from 16 ft (assist by J. Butler)
1:13.0,J. Parker makes 2-pt shot from 21 ft (assist by M. Brogdon),2,20-23,,
0:54.0,,,20-25,2,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler)
0:43.0,G. Monroe makes 2-pt shot from 2 ft,2,22-25,,
0:28.0,,,22-27,2,N. Mirotic makes 2-pt shot from 2 ft (assist by R. Lopez)
