time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (T. Parker gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (T. Parker gains possession)
11:46.0,,,0-2,2,P. Gasol makes 2-pt shot from 5 ft (assist by T. Parker)
11:29.0,Shooting foul by P. Gasol (drawn by J. Randle),,0-2,,
11:29.0,J. Randle makes free throw 1 of 2,1,1-2,,
11:29.0,J. Randle makes free throw 2 of 2,1,2-2,,
11:16.0,,,2-4,2,T. Parker makes 2-pt shot from 5 ft (assist by P. Gasol)
10:58.0,N. Young misses 3-pt shot from 24 ft,,2-4,,
10:57.0,,,2-4,,Defensive rebound by L. Aldridge
10:51.0,,,2-6,2,K. Leonard makes 2-pt shot from 13 ft
10:26.0,T. Mozgov misses 2-pt shot from 2 ft (block by L. Aldridge),,2-6,,
10:19.0,Offensive rebound by T. Mozgov,,2-6,,
10:19.0,T. Mozgov misses 2-pt shot from 2 ft,,2-6,,
10:17.0,,,2-6,,Defensive rebound by P. Gasol
10:11.0,,,2-6,,L. Aldridge misses 2-pt shot from 13 ft
10:09.0,,,2-6,,Offensive rebound by P. Gasol
10:03.0,,,2-8,2,P. Gasol makes 2-pt shot from 10 ft
10:00.0,Offensive foul by T. Mozgov,,2-8,,
10:00.0,Turnover by T. Mozgov (offensive foul),,2-8,,
9:52.0,,,2-8,,L. Aldridge misses 2-pt shot from 19 ft
9:50.0,Defensive rebound by D. Russell,,2-8,,
9:37.0,L. Deng makes 3-pt shot from 22 ft (assist by J. Randle),3,5-8,,
9:22.0,Violation by T. Mozgov (def goaltending),,5-8,,
9:22.0,,,5-10,2,T. Parker makes 2-pt shot from 3 ft (assist by P. Gasol)
9:10.0,D. Russell misses 2-pt shot from 3 ft (block by P. Gasol),,5-10,,
9:09.0,,,5-10,,Defensive rebound by P. Gasol
9:06.0,,,5-10,,T. Parker misses 2-pt shot from 2 ft (block by T. Mozgov)
9:05.0,,,5-10,,Offensive rebound by L. Aldridge
9:04.0,,,5-12,2,L. Aldridge makes 2-pt shot from 3 ft
8:41.0,J. Randle makes 2-pt shot from 19 ft (assist by N. Young),2,7-12,,
8:17.0,,,7-12,,L. Aldridge misses 2-pt shot from 4 ft
8:15.0,Defensive rebound by J. Randle,,7-12,,
8:07.0,D. Russell makes 2-pt shot from 16 ft (assist by J. Randle),2,9-12,,
7:51.0,Def 3 sec tech foul by T. Mozgov,,9-12,,
7:51.0,,,9-12,,K. Leonard misses technical free throw
7:51.0,,,9-12,,Offensive rebound by Team
7:44.0,,,9-15,3,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green)
7:19.0,N. Young misses 2-pt shot from 3 ft,,9-15,,
7:18.0,,,9-15,,Defensive rebound by T. Parker
7:03.0,,,9-17,2,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker)
6:50.0,D. Russell makes 2-pt shot from 17 ft,2,11-17,,
6:38.0,,,11-20,3,K. Leonard makes 3-pt shot from 24 ft (assist by P. Gasol)
6:25.0,D. Russell makes 2-pt shot from 5 ft,2,13-20,,
6:25.0,,,13-20,,San Antonio full timeout
6:00.0,,,13-22,2,P. Gasol makes 2-pt shot from 10 ft (assist by T. Parker)
5:46.0,Offensive foul by T. Mozgov,,13-22,,
5:46.0,Turnover by T. Mozgov (offensive foul),,13-22,,
5:46.0,T. Black enters the game for T. Mozgov,,13-22,,
5:27.0,,,13-25,3,K. Leonard makes 3-pt shot from 25 ft
5:16.0,D. Russell misses 2-pt shot from 14 ft,,13-25,,
5:16.0,,,13-25,,Defensive rebound by Team
5:16.0,Loose ball foul by T. Black (drawn by P. Gasol),,13-25,,
5:16.0,J. Clarkson enters the game for N. Young,,13-25,,
5:16.0,B. Ingram enters the game for L. Deng,,13-25,,
5:16.0,,,13-25,,D. Lee enters the game for L. Aldridge
5:03.0,,,13-25,,T. Parker misses 2-pt shot from 5 ft
5:02.0,Defensive rebound by J. Randle,,13-25,,
4:50.0,J. Clarkson misses 2-pt shot from 10 ft,,13-25,,
4:49.0,,,13-25,,Defensive rebound by K. Leonard
4:43.0,,,13-27,2,T. Parker makes 2-pt shot from 5 ft
4:24.0,D. Russell misses 2-pt shot from 17 ft,,13-27,,
4:22.0,,,13-27,,Defensive rebound by D. Lee
4:09.0,,,13-27,,T. Parker misses 2-pt shot from 17 ft
4:08.0,,,13-27,,Offensive rebound by P. Gasol
4:05.0,,,13-27,,Turnover by P. Gasol (bad pass; steal by D. Russell)
4:05.0,,,13-27,,Personal foul by T. Parker (drawn by D. Russell)
4:05.0,,,13-27,,P. Mills enters the game for T. Parker
4:05.0,,,13-27,,M. Ginobili enters the game for D. Green
3:55.0,J. Randle makes 2-pt shot from 11 ft,2,15-27,,
3:44.0,,,15-29,2,K. Leonard makes 2-pt shot from 6 ft
3:44.0,,,15-29,,Shooting foul by B. Ingram (drawn by K. Leonard)
3:44.0,,,15-30,1,K. Leonard makes free throw 1 of 1
3:44.0,L. Williams enters the game for D. Russell,,15-29,,
3:28.0,B. Ingram makes 3-pt shot from 25 ft (assist by L. Williams),3,18-30,,
3:12.0,,,18-30,,Shooting foul by J. Clarkson (drawn by D. Lee)
3:12.0,,,18-31,1,D. Lee makes free throw 1 of 2
3:12.0,LA Lakers full timeout,,18-31,,
3:12.0,,,18-32,1,D. Lee makes free throw 2 of 2
3:12.0,,,18-31,,J. Simmons enters the game for K. Leonard
3:12.0,,,18-31,,D. Dedmon enters the game for P. Gasol
3:12.0,L. Deng enters the game for J. Randle,,18-31,,
3:02.0,L. Williams misses 3-pt shot from 25 ft,,18-32,,
3:00.0,,,18-32,,Defensive rebound by D. Dedmon
2:48.0,,,18-34,2,J. Simmons makes 2-pt shot from 2 ft
2:28.0,Shooting foul by J. Simmons (drawn by B. Ingram),,18-34,,
2:28.0,B. Ingram misses free throw 1 of 2,,18-34,,
2:28.0,Offensive rebound by Team,,18-34,,
2:28.0,B. Ingram makes free throw 2 of 2,1,19-34,,
2:12.0,,,19-34,,Turnover by D. Lee (bad pass; steal by L. Deng)
2:10.0,Turnover by L. Williams (bad pass),,19-34,,
1:51.0,,,19-34,,M. Ginobili misses 2-pt shot from 6 ft
1:50.0,,,19-34,,Offensive rebound by D. Dedmon
1:50.0,,,19-34,,Shooting foul by L. Deng (drawn by D. Dedmon)
1:50.0,,,19-35,1,D. Dedmon makes free throw 1 of 2
1:50.0,,,19-36,1,D. Dedmon makes free throw 2 of 2
1:34.0,J. Clarkson misses 2-pt shot from 15 ft,,19-36,,
1:32.0,,,19-36,,Defensive rebound by D. Lee
1:23.0,,,19-36,,Turnover by M. Ginobili (bad pass; steal by T. Black)
1:10.0,Shooting foul by D. Dedmon (drawn by T. Black),,19-36,,
1:10.0,T. Black makes free throw 1 of 2,1,20-36,,
1:10.0,T. Black misses free throw 2 of 2,,20-36,,
1:09.0,,,20-36,,Defensive rebound by D. Lee
0:52.0,,,20-36,,D. Lee misses 2-pt shot from 11 ft
