time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (R. Felton gains possession),,,,Jump ball: D. Jordan vs. K. Towns (R. Felton gains possession)
11:41.0,,,0-0,,A. Rivers misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by K. Towns,,0-0,,
11:25.0,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins),2,2-0,,
11:10.0,,,2-0,,R. Felton misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by Z. LaVine,,2-0,,
10:58.0,G. Dieng makes 2-pt shot from 9 ft (assist by K. Towns),2,4-0,,
10:44.0,,,4-0,,J. Redick misses 2-pt shot from 19 ft
10:44.0,Defensive rebound by R. Rubio,,4-0,,
10:39.0,Z. LaVine misses 2-pt shot from 2 ft,,4-0,,
10:39.0,Jump ball: D. Jordan vs. K. Towns (G. Dieng gains possession),,,,Jump ball: D. Jordan vs. K. Towns (G. Dieng gains possession)
10:39.0,Offensive rebound by Team,,4-0,,
10:32.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,6-0,,
10:16.0,,,6-0,,Shooting foul by K. Towns (drawn by L. Mbah a Moute)
10:16.0,,,6-1,1,L. Mbah a Moute makes free throw 1 of 2
10:16.0,,,6-2,1,L. Mbah a Moute makes free throw 2 of 2
10:09.0,Turnover by R. Rubio (bad pass; steal by L. Mbah a Moute),,6-2,,
10:03.0,,,6-4,2,L. Mbah a Moute makes 2-pt shot at rim (assist by R. Felton)
9:47.0,A. Wiggins makes 2-pt shot from 21 ft,2,8-4,,
9:29.0,,,8-6,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
9:12.0,G. Dieng makes 2-pt shot from 2 ft (assist by K. Towns),2,10-6,,
9:00.0,,,10-6,,R. Felton misses 2-pt shot from 1 ft
9:00.0,Defensive rebound by R. Rubio,,10-6,,
8:52.0,Turnover by R. Rubio (bad pass; steal by L. Mbah a Moute),,10-6,,
8:48.0,,,10-6,,J. Redick misses 2-pt shot from 1 ft
8:45.0,Defensive rebound by G. Dieng,,10-6,,
8:41.0,Z. LaVine misses 3-pt shot from 25 ft,,10-6,,
8:40.0,,,10-6,,Defensive rebound by D. Jordan
8:29.0,,,10-6,,A. Rivers misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by Z. LaVine,,10-6,,
8:14.0,Shooting foul by A. Rivers (drawn by A. Wiggins),,10-6,,
8:14.0,A. Wiggins misses free throw 1 of 2,,10-6,,
8:14.0,Offensive rebound by Team,,10-6,,
8:14.0,A. Wiggins makes free throw 2 of 2,1,11-6,,
8:02.0,,,11-8,2,A. Rivers makes 2-pt shot from 2 ft
7:53.0,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio),2,13-8,,
7:39.0,,,13-8,,D. Jordan misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by G. Dieng,,13-8,,
7:32.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,15-8,,
7:13.0,,,15-8,,Turnover by L. Mbah a Moute (lost ball)
7:13.0,,,15-8,,M. Speights enters the game for A. Rivers
6:56.0,Z. LaVine misses 2-pt shot from 18 ft,,15-8,,
6:54.0,,,15-8,,Defensive rebound by R. Felton
6:46.0,,,15-11,3,J. Redick makes 3-pt shot from 25 ft (assist by R. Felton)
6:29.0,K. Towns misses 2-pt shot from 10 ft,,15-11,,
6:27.0,,,15-11,,Defensive rebound by D. Jordan
6:17.0,,,15-11,,L. Mbah a Moute misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by R. Rubio,,15-11,,
6:12.0,Shooting foul by L. Mbah a Moute (drawn by A. Wiggins),,15-11,,
6:12.0,A. Wiggins makes free throw 1 of 2,1,16-11,,
6:12.0,A. Wiggins makes free throw 2 of 2,1,17-11,,
5:59.0,,,17-13,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
5:47.0,Turnover by R. Rubio (bad pass; steal by M. Speights),,17-13,,
5:37.0,,,17-15,2,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by M. Speights)
5:24.0,Turnover by K. Towns (bad pass),,17-15,,
5:24.0,,,17-15,,LA Clippers full timeout
5:09.0,,,17-15,,M. Speights misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by Team,,17-15,,
4:45.0,G. Dieng makes 2-pt shot from 13 ft (assist by Z. LaVine),2,19-15,,
4:29.0,,,19-18,3,M. Speights makes 3-pt shot from 24 ft (assist by R. Felton)
4:13.0,,,19-18,,Personal foul by D. Jordan (drawn by G. Dieng)
4:13.0,S. Muhammad enters the game for Z. LaVine,,19-18,,
4:06.0,K. Towns makes 2-pt shot from 21 ft (assist by A. Wiggins),2,21-18,,
3:57.0,,,21-18,,J. Redick misses 2-pt shot from 18 ft
3:56.0,,,21-18,,Offensive rebound by D. Jordan
3:54.0,,,21-20,2,D. Jordan makes 2-pt shot at rim
3:39.0,R. Rubio misses 2-pt shot from 17 ft,,21-20,,
3:37.0,Offensive rebound by R. Rubio,,21-20,,
3:32.0,G. Dieng misses 2-pt shot from 17 ft,,21-20,,
3:32.0,,,21-20,,Defensive rebound by Team
3:32.0,,,21-20,,J. Crawford enters the game for J. Redick
3:22.0,,,21-22,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
