time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession),,,,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession)
11:42.0,,,0-0,,J. Harden misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by J. Hernangomez,,0-0,,
11:30.0,G. Harris makes 2-pt shot from 2 ft,2,2-0,,
11:18.0,,,2-2,2,P. Beverley makes 2-pt shot from 2 ft
11:07.0,J. Nelson misses 2-pt shot from 22 ft,,2-2,,
11:06.0,,,2-2,,Defensive rebound by C. Capela
10:49.0,,,2-2,,J. Harden misses 2-pt shot from 11 ft
10:48.0,Defensive rebound by N. Jokic,,2-2,,
10:42.0,J. Hernangomez makes 2-pt shot from 1 ft (assist by N. Jokic),2,4-2,,
10:26.0,,,4-4,2,T. Ariza makes 2-pt shot at rim
10:04.0,G. Harris misses 3-pt shot from 26 ft,,4-4,,
10:03.0,,,4-4,,Defensive rebound by C. Capela
9:55.0,,,4-4,,C. Capela misses 2-pt shot from 2 ft (block by N. Jokic)
9:52.0,Defensive rebound by G. Harris,,4-4,,
9:44.0,,,4-4,,Personal foul by C. Capela (drawn by N. Jokic)
9:36.0,M. Plumlee misses 2-pt shot from 18 ft,,4-4,,
9:35.0,,,4-4,,Defensive rebound by J. Harden
9:24.0,,,4-4,,Turnover by J. Harden (bad pass; steal by J. Hernangomez)
9:11.0,N. Jokic misses 3-pt shot from 25 ft,,4-4,,
9:10.0,,,4-4,,Defensive rebound by J. Harden
9:01.0,,,4-7,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
8:45.0,G. Harris makes 2-pt shot from 1 ft (assist by J. Nelson),2,6-7,,
8:35.0,,,6-10,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
8:21.0,J. Hernangomez misses 3-pt shot from 26 ft,,6-10,,
8:18.0,,,6-10,,Defensive rebound by C. Capela
8:12.0,,,6-10,,R. Anderson misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by J. Hernangomez,,6-10,,
7:59.0,Turnover by G. Harris (bad pass; steal by J. Harden),,6-10,,
7:56.0,,,6-12,2,J. Harden makes 2-pt shot at rim
7:55.0,Denver full timeout,,6-12,,
7:55.0,W. Barton enters the game for J. Hernangomez,,6-12,,
7:39.0,M. Plumlee makes 2-pt shot at rim (assist by G. Harris),2,8-12,,
7:21.0,,,8-14,2,C. Capela makes 2-pt shot from 2 ft (assist by R. Anderson)
