time,Oklahoma City,pts.away,score,pts.home,Denver
1:34.0,,,21-22,,E. Mudiay misses 2-pt shot from 17 ft
1:34.0,Defensive rebound by D. Sabonis,,21-22,,
1:17.0,V. Oladipo misses 3-pt shot from 25 ft,,21-22,,
1:14.0,Offensive rebound by E. Kanter,,21-22,,
1:14.0,E. Kanter makes 2-pt shot from 1 ft,2,23-22,,
1:01.0,,,23-22,,Turnover by E. Mudiay (bad pass)
0:56.0,,,23-22,,J. Hernangomez enters the game for D. Gallinari
0:53.0,E. Kanter makes 2-pt shot from 4 ft (assist by K. Singler),2,25-22,,
0:43.0,,,25-24,2,M. Plumlee makes 2-pt shot from 3 ft
0:31.0,V. Oladipo misses 2-pt shot from 15 ft,,25-24,,
0:31.0,,,25-24,,Defensive rebound by W. Chandler
0:10.0,,,25-26,2,E. Mudiay makes 2-pt shot from 2 ft
0:02.0,,,25-26,,Personal block foul by M. Plumlee (drawn by V. Oladipo)
0:02.0,V. Oladipo makes free throw 1 of 2,1,26-26,,
0:02.0,V. Oladipo makes free throw 2 of 2,1,27-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-26,,E. Mudiay misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by V. Oladipo,,27-26,,
11:30.0,E. Kanter misses 2-pt shot from 5 ft,,27-26,,
11:29.0,Offensive rebound by D. Sabonis,,27-26,,
11:26.0,D. Sabonis misses 2-pt shot from 1 ft,,27-26,,
11:25.0,,,27-26,,Defensive rebound by J. Murray
11:13.0,,,27-26,,E. Mudiay misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by V. Oladipo,,27-26,,
11:08.0,Offensive charge foul by V. Oladipo,,27-26,,
11:08.0,Turnover by V. Oladipo (offensive foul),,27-26,,
10:51.0,,,27-26,,W. Chandler misses 3-pt shot from 26 ft
10:51.0,Defensive rebound by D. Sabonis,,27-26,,
10:37.0,V. Oladipo misses 3-pt shot from 23 ft,,27-26,,
10:36.0,,,27-26,,Defensive rebound by W. Chandler
10:16.0,,,27-26,,M. Plumlee misses 2-pt shot from 15 ft (block by D. Sabonis)
10:15.0,,,27-26,,Offensive rebound by Team
10:13.0,,,27-26,,M. Plumlee misses 2-pt shot from 14 ft
10:12.0,Defensive rebound by E. Kanter,,27-26,,
10:03.0,S. Christon misses 2-pt shot from 1 ft,,27-26,,
10:02.0,,,27-26,,Defensive rebound by E. Mudiay
9:56.0,,,27-29,3,W. Chandler makes 3-pt shot from 26 ft (assist by E. Mudiay)
9:56.0,Oklahoma City full timeout,,27-29,,
9:44.0,E. Kanter misses 2-pt shot from 5 ft,,27-29,,
9:44.0,,,27-29,,Defensive rebound by E. Mudiay
9:21.0,,,27-31,2,E. Mudiay makes 2-pt shot from 3 ft (assist by J. Murray)
9:07.0,Turnover by D. Sabonis (lost ball; steal by M. Plumlee),,27-31,,
9:02.0,,,27-33,2,E. Mudiay makes 2-pt shot from 2 ft
8:51.0,Turnover by V. Oladipo (lost ball; steal by E. Mudiay),,27-33,,
8:35.0,,,27-33,,Shooting foul by D. Sabonis (drawn by M. Plumlee)
8:35.0,,,27-34,1,M. Plumlee makes free throw 1 of 2
8:35.0,,,27-35,1,M. Plumlee makes free throw 2 of 2
8:35.0,R. Westbrook enters the game for V. Oladipo,,27-34,,
8:25.0,K. Singler misses 3-pt shot from 26 ft,,27-35,,
8:23.0,,,27-35,,Defensive rebound by J. Murray
8:13.0,,,27-35,,Turnover by E. Mudiay (traveling)
8:00.0,R. Westbrook makes 2-pt shot from 17 ft,2,29-35,,
7:47.0,,,29-35,,W. Chandler misses 3-pt shot from 26 ft
7:45.0,,,29-35,,Offensive rebound by E. Mudiay
7:33.0,,,29-37,2,J. Murray makes 2-pt shot at rim
7:20.0,D. Sabonis misses 3-pt shot from 26 ft,,29-37,,
7:18.0,,,29-37,,Defensive rebound by J. Hernangomez
7:10.0,,,29-37,,Turnover by J. Murray (bad pass; steal by K. Singler)
7:06.0,K. Singler makes 2-pt shot from 2 ft,2,31-37,,
7:05.0,,,31-37,,Denver full timeout
7:05.0,S. Adams enters the game for E. Kanter,,31-37,,
7:05.0,,,31-37,,N. Jokic enters the game for W. Chandler
7:05.0,,,31-37,,D. Gallinari enters the game for J. Murray
7:05.0,,,31-37,,G. Harris enters the game for M. Plumlee
6:48.0,,,31-40,3,J. Hernangomez makes 3-pt shot from 25 ft (assist by D. Gallinari)
6:36.0,Shooting foul by N. Jokic (drawn by R. Westbrook),,31-40,,
6:36.0,R. Westbrook makes free throw 1 of 2,1,32-40,,
6:36.0,R. Westbrook makes free throw 2 of 2,1,33-40,,
6:36.0,J. Grant enters the game for D. Sabonis,,32-40,,
6:22.0,,,33-40,,G. Harris misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by R. Westbrook,,33-40,,
6:15.0,Turnover by R. Westbrook (bad pass; steal by N. Jokic),,33-40,,
