time,Milwaukee,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: J. Henson vs. B. Lopez (I. Whitehead gains possession)
11:39.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:21.0,T. Snell makes 3-pt shot from 23 ft (assist by J. Parker),3,3-0,,
11:15.0,,,3-0,,Turnover by I. Whitehead (bad pass)
10:57.0,J. Henson misses 2-pt shot at rim,,3-0,,
10:56.0,Offensive rebound by T. Snell,,3-0,,
10:42.0,Shooting foul by B. Lopez (drawn by J. Henson),,3-0,,
10:42.0,J. Henson makes free throw 1 of 2,1,4-0,,
10:42.0,J. Henson makes free throw 2 of 2,1,5-0,,
10:31.0,,,5-0,,B. Lopez misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by G. Antetokounmpo,,5-0,,
10:25.0,Turnover by J. Henson (3 sec),,5-0,,
10:06.0,,,5-0,,I. Whitehead misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by J. Henson,,5-0,,
9:58.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,5-0,,
9:57.0,Offensive rebound by J. Henson,,5-0,,
9:56.0,J. Henson misses 2-pt shot at rim,,5-0,,
9:55.0,,,5-0,,Defensive rebound by S. Kilpatrick
9:49.0,,,5-2,2,T. Booker makes 2-pt shot from 2 ft (assist by I. Whitehead)
9:39.0,T. Snell misses 3-pt shot from 24 ft,,5-2,,
9:38.0,,,5-2,,Defensive rebound by S. Kilpatrick
9:34.0,,,5-2,,Shooting foul by M. Dellavedova (drawn by I. Whitehead)
9:34.0,,,5-3,1,I. Whitehead makes free throw 1 of 2
9:34.0,,,5-4,1,I. Whitehead makes free throw 2 of 2
9:15.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,8-4,,
9:06.0,Personal foul by G. Antetokounmpo (drawn by S. Kilpatrick),,8-4,,
8:51.0,,,8-7,3,S. Kilpatrick makes 3-pt shot from 26 ft
8:41.0,Shooting foul by I. Whitehead (drawn by J. Parker),,8-7,,
8:41.0,J. Parker misses free throw 1 of 2,,8-7,,
8:41.0,Offensive rebound by Team,,8-7,,
8:41.0,J. Parker makes free throw 2 of 2,1,9-7,,
8:17.0,,,9-7,,B. Bogdanovic misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by J. Henson,,9-7,,
8:10.0,J. Parker misses 2-pt shot from 2 ft,,9-7,,
8:09.0,,,9-7,,Defensive rebound by T. Booker
7:53.0,,,9-9,2,B. Lopez makes 2-pt shot from 9 ft (assist by S. Kilpatrick)
7:37.0,Turnover by M. Dellavedova (bad pass; steal by T. Booker),,9-9,,
7:35.0,,,9-9,,Shooting foul by T. Snell (drawn by S. Kilpatrick)
7:35.0,,,9-10,1,S. Kilpatrick makes free throw 1 of 2
7:35.0,,,9-11,1,S. Kilpatrick makes free throw 2 of 2
7:24.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,11-11,,
7:16.0,,,11-11,,Turnover by S. Kilpatrick (bad pass; steal by G. Antetokounmpo)
7:10.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,14-11,,
7:10.0,,,14-11,,Brooklyn full timeout
7:10.0,M. Brogdon enters the game for M. Dellavedova,,14-11,,
7:10.0,M. Beasley enters the game for G. Antetokounmpo,,14-11,,
7:10.0,,,14-11,,J. Hamilton enters the game for B. Lopez
7:10.0,,,14-11,,J. Harris enters the game for B. Bogdanovic
6:52.0,,,14-11,,J. Hamilton misses 2-pt shot from 2 ft (block by J. Henson)
6:50.0,Defensive rebound by M. Brogdon,,14-11,,
6:41.0,J. Parker makes 2-pt shot at rim (assist by M. Beasley),2,16-11,,
6:23.0,,,16-13,2,T. Booker makes 2-pt shot from 2 ft (assist by I. Whitehead)
6:07.0,Turnover by J. Henson (lost ball; steal by S. Kilpatrick),,16-13,,
5:56.0,,,16-13,,T. Booker misses 2-pt shot from 16 ft
5:55.0,Defensive rebound by M. Beasley,,16-13,,
5:41.0,J. Henson makes 2-pt shot at rim (assist by M. Brogdon),2,18-13,,
5:23.0,,,18-16,3,J. Hamilton makes 3-pt shot from 24 ft (assist by J. Harris)
5:15.0,Turnover by M. Brogdon (offensive foul),,18-16,,
5:15.0,Offensive charge foul by M. Brogdon,,18-16,,
5:15.0,G. Monroe enters the game for J. Henson,,18-16,,
5:15.0,M. Teletovic enters the game for J. Parker,,18-16,,
5:15.0,,,18-16,,R. Foye enters the game for S. Kilpatrick
4:56.0,,,18-16,,Turnover by T. Booker (bad pass)
4:42.0,G. Monroe makes 2-pt shot from 2 ft,2,20-16,,
4:27.0,,,20-16,,J. Hamilton misses 3-pt shot from 25 ft
4:26.0,,,20-16,,Offensive rebound by T. Booker
4:25.0,,,20-16,,Brooklyn full timeout
4:18.0,,,20-19,3,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker)
4:02.0,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Monroe),3,23-19,,
3:47.0,,,23-19,,I. Whitehead misses 2-pt shot from 3 ft
3:46.0,Defensive rebound by G. Monroe,,23-19,,
3:36.0,M. Teletovic misses 3-pt shot from 26 ft,,23-19,,
3:35.0,,,23-19,,Defensive rebound by R. Foye
3:32.0,,,23-19,,Shooting foul by T. Snell (drawn by R. Foye)
3:32.0,,,23-20,1,R. Foye makes free throw 1 of 2
3:32.0,,,23-21,1,R. Foye makes free throw 2 of 2
3:32.0,,,23-20,,B. Lopez enters the game for T. Booker
3:32.0,J. Terry enters the game for T. Snell,,23-20,,
3:20.0,M. Beasley misses 2-pt shot from 5 ft (block by R. Foye),,23-21,,
3:18.0,,,23-21,,Defensive rebound by B. Lopez
3:05.0,,,23-21,,J. Harris misses 2-pt shot from 2 ft
3:04.0,Defensive rebound by G. Monroe,,23-21,,
2:59.0,M. Teletovic misses 3-pt shot from 24 ft,,23-21,,
2:58.0,Offensive rebound by G. Monroe,,23-21,,
2:52.0,,,23-21,,Personal foul by J. Hamilton (drawn by M. Brogdon)
2:52.0,Milwaukee full timeout,,23-21,,
2:52.0,,,23-21,,B. Bogdanovic enters the game for J. Hamilton
2:52.0,,,23-21,,R. Hollis-Jefferson enters the game for I. Whitehead
2:47.0,G. Monroe misses 2-pt shot from 3 ft (block by B. Lopez),,23-21,,
2:44.0,,,23-21,,Defensive rebound by R. Foye
2:41.0,,,23-23,2,R. Foye makes 2-pt shot from 4 ft
2:32.0,,,23-23,,Personal foul by R. Foye (drawn by M. Brogdon)
2:21.0,M. Beasley makes 2-pt shot from 10 ft,2,25-23,,
2:04.0,,,25-23,,B. Bogdanovic misses 2-pt shot from 3 ft (block by J. Terry)
2:02.0,Defensive rebound by M. Teletovic,,25-23,,
1:51.0,M. Brogdon misses 2-pt shot at rim,,25-23,,
1:50.0,,,25-23,,Defensive rebound by B. Bogdanovic
1:42.0,,,25-23,,J. Harris misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by M. Beasley,,25-23,,
1:35.0,J. Terry misses 3-pt shot from 23 ft,,25-23,,
1:34.0,,,25-23,,Defensive rebound by R. Foye
1:26.0,,,25-23,,B. Lopez misses 2-pt shot from 14 ft
1:25.0,Defensive rebound by M. Beasley,,25-23,,
1:18.0,M. Beasley misses 2-pt shot from 8 ft,,25-23,,
1:16.0,,,25-23,,Defensive rebound by R. Foye
1:03.0,,,25-26,3,R. Foye makes 3-pt shot from 25 ft (assist by J. Harris)
0:53.0,,,25-26,,Personal foul by R. Hollis-Jefferson (drawn by M. Brogdon)
0:53.0,M. Brogdon makes free throw 1 of 2,1,26-26,,
0:53.0,M. Brogdon makes free throw 2 of 2,1,27-26,,
0:53.0,G. Antetokounmpo enters the game for M. Beasley,,26-26,,
0:37.0,,,27-26,,Turnover by R. Foye (bad pass)
0:28.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,27-26,,
0:27.0,,,27-26,,Defensive rebound by J. Harris
0:03.0,,,27-26,,B. Lopez misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by G. Monroe,,27-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,M. Dellavedova misses 3-pt shot from 25 ft,,27-26,,
11:37.0,,,27-26,,Defensive rebound by R. Hollis-Jefferson
11:30.0,,,27-26,,Turnover by R. Hollis-Jefferson (bad pass; steal by M. Dellavedova)
11:18.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,30-26,,
11:03.0,,,30-26,,B. Bogdanovic misses 3-pt shot from 27 ft
11:02.0,Defensive rebound by Team,,30-26,,
10:41.0,Turnover by M. Dellavedova (bad pass; steal by J. Hamilton),,30-26,,
10:26.0,,,30-26,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by G. Antetokounmpo,,30-26,,
10:18.0,J. Terry misses 3-pt shot from 23 ft,,30-26,,
10:17.0,,,30-26,,Defensive rebound by J. Hamilton
10:13.0,,,30-28,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by I. Whitehead)
10:13.0,,,30-28,,Shooting foul by J. Terry (drawn by B. Bogdanovic)
10:13.0,,,30-29,1,B. Bogdanovic makes free throw 1 of 1
10:13.0,J. Henson enters the game for G. Monroe,,30-28,,
10:04.0,J. Henson misses 2-pt shot from 1 ft,,30-29,,
10:03.0,Offensive rebound by J. Henson,,30-29,,
10:02.0,J. Henson makes 2-pt shot from 2 ft,2,32-29,,
9:41.0,,,32-29,,B. Bogdanovic misses 3-pt shot from 24 ft
9:40.0,,,32-29,,Offensive rebound by L. Scola
9:32.0,,,32-29,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by Team,,32-29,,
9:15.0,Turnover by M. Teletovic (bad pass; steal by I. Whitehead),,32-29,,
8:59.0,Official timeout,,32-29,,
8:59.0,J. Parker enters the game for J. Terry,,32-29,,
8:51.0,,,32-29,,J. Hamilton misses 3-pt shot from 24 ft (block by J. Henson)
8:50.0,,,32-29,,Offensive rebound by L. Scola
8:50.0,,,32-29,,Turnover by Team (shot clock)
8:38.0,J. Parker misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,32-29,,
8:36.0,,,32-29,,Defensive rebound by B. Bogdanovic
8:20.0,,,32-29,,B. Bogdanovic misses 2-pt shot from 3 ft
8:19.0,,,32-29,,Offensive rebound by L. Scola
8:17.0,,,32-31,2,L. Scola makes 2-pt shot from 1 ft
8:02.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by L. Scola),,32-31,,
8:00.0,Offensive rebound by G. Antetokounmpo,,32-31,,
7:56.0,,,32-31,,Personal foul by L. Scola (drawn by G. Antetokounmpo)
7:56.0,,,32-31,,S. Kilpatrick enters the game for R. Hollis-Jefferson
7:48.0,M. Dellavedova misses 2-pt shot from 16 ft,,32-31,,
7:46.0,,,32-31,,Defensive rebound by L. Scola
7:35.0,,,32-34,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by S. Kilpatrick)
7:24.0,J. Henson misses 2-pt shot from 10 ft,,32-34,,
7:23.0,,,32-34,,Defensive rebound by S. Kilpatrick
7:17.0,,,32-36,2,I. Whitehead makes 2-pt shot from 2 ft
7:15.0,Milwaukee full timeout,,32-36,,
7:15.0,T. Snell enters the game for M. Teletovic,,32-36,,
7:00.0,J. Parker makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,34-36,,
6:45.0,,,34-36,,T. Booker enters the game for J. Hamilton
6:34.0,,,34-36,,B. Bogdanovic misses 3-pt shot from 29 ft (block by G. Antetokounmpo)
6:33.0,Defensive rebound by J. Henson,,34-36,,
6:31.0,Shooting foul by B. Bogdanovic (drawn by G. Antetokounmpo),,34-36,,
6:31.0,G. Antetokounmpo makes free throw 1 of 2,1,35-36,,
