time,Dallas,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Nowitzki (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. D. Nowitzki (M. Chriss gains possession)
11:38.0,,,0-0,,D. Booker misses 2-pt shot from 16 ft (block by S. Curry)
11:36.0,Defensive rebound by S. Curry,,0-0,,
11:23.0,D. Nowitzki misses 2-pt shot from 21 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by E. Bledsoe
11:17.0,,,0-0,,T. Warren misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by D. Nowitzki,,0-0,,
11:10.0,D. Williams makes 2-pt shot from 3 ft,2,2-0,,
10:59.0,,,2-0,,T. Warren misses 3-pt shot from 26 ft
10:57.0,,,2-0,,Offensive rebound by T. Chandler
10:56.0,,,2-0,,Shooting foul by D. Williams (drawn by M. Chriss)
10:56.0,,,2-1,1,M. Chriss makes free throw 1 of 2
10:56.0,,,2-2,1,M. Chriss makes free throw 2 of 2
10:45.0,H. Barnes makes 2-pt shot at rim (assist by D. Williams),2,4-2,,
10:33.0,,,4-5,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:21.0,D. Williams makes 3-pt shot from 24 ft,3,7-5,,
10:03.0,,,7-8,3,M. Chriss makes 3-pt shot from 25 ft (assist by T. Warren)
9:43.0,H. Barnes makes 2-pt shot from 14 ft,2,9-8,,
9:23.0,,,9-11,3,M. Chriss makes 3-pt shot from 22 ft (assist by T. Warren)
9:08.0,W. Matthews makes 2-pt shot from 6 ft,2,11-11,,
8:49.0,,,11-14,3,M. Chriss makes 3-pt shot from 23 ft (assist by D. Booker)
8:35.0,S. Curry makes 2-pt shot from 1 ft,2,13-14,,
8:35.0,Shooting foul by M. Chriss (drawn by S. Curry),,13-14,,
8:35.0,S. Curry makes free throw 1 of 1,1,14-14,,
8:35.0,S. Mejri enters the game for D. Nowitzki,,13-14,,
8:29.0,Shooting block foul by S. Mejri (drawn by T. Chandler),,14-14,,
8:29.0,,,14-14,,T. Chandler misses free throw 1 of 2
8:29.0,,,14-14,,Offensive rebound by Team
8:29.0,,,14-15,1,T. Chandler makes free throw 2 of 2
8:09.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,17-15,,
7:49.0,,,17-17,2,T. Warren makes 2-pt shot from 3 ft (assist by D. Booker)
7:39.0,,,17-17,,Personal foul by T. Warren
7:33.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams),3,20-17,,
7:14.0,,,20-17,,Turnover by D. Booker (bad pass; steal by S. Mejri)
7:04.0,D. Williams makes 2-pt shot from 19 ft,2,22-17,,
7:04.0,,,22-17,,Phoenix full timeout
