time,Chicago,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (M. Chriss gains possession)
11:36.0,,,0-0,,T. Chandler misses 2-pt shot from 3 ft
11:34.0,,,0-0,,Offensive rebound by T. Chandler
11:34.0,,,0-2,2,T. Chandler makes 2-pt shot from 2 ft
11:13.0,T. Gibson misses 2-pt shot from 5 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by T. Chandler
11:06.0,,,0-2,,E. Bledsoe misses 2-pt shot from 19 ft
11:04.0,Defensive rebound by T. Gibson,,0-2,,
10:52.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler),2,2-2,,
10:37.0,,,2-4,2,E. Bledsoe makes 2-pt shot from 3 ft (assist by T. Chandler)
10:14.0,Shooting foul by D. Booker (drawn by J. Butler),,2-4,,
10:14.0,J. Butler makes free throw 1 of 2,1,3-4,,
10:14.0,J. Butler makes free throw 2 of 2,1,4-4,,
10:01.0,,,4-4,,D. Booker misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by D. Wade,,4-4,,
9:43.0,T. Gibson makes 2-pt shot at rim (assist by D. Wade),2,6-4,,
9:24.0,,,6-4,,D. Booker misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by T. Gibson,,6-4,,
9:13.0,D. Wade misses 3-pt shot from 24 ft,,6-4,,
9:13.0,Offensive rebound by R. Lopez,,6-4,,
9:02.0,D. Wade misses 2-pt shot from 2 ft (block by T. Warren),,6-4,,
9:01.0,,,6-4,,Defensive rebound by E. Bledsoe
8:47.0,,,6-4,,T. Warren misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by T. Gibson,,6-4,,
8:36.0,J. Grant misses 2-pt shot from 11 ft,,6-4,,
8:34.0,,,6-4,,Defensive rebound by T. Chandler
8:30.0,,,6-6,2,E. Bledsoe makes 2-pt shot from 1 ft
8:08.0,T. Gibson misses 2-pt shot from 17 ft,,6-6,,
8:07.0,Offensive rebound by R. Lopez,,6-6,,
7:54.0,D. Wade misses 2-pt shot from 8 ft,,6-6,,
7:51.0,,,6-6,,Defensive rebound by T. Warren
7:48.0,,,6-8,2,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe)
7:26.0,J. Butler misses 2-pt shot from 2 ft,,6-8,,
7:25.0,,,6-8,,Defensive rebound by T. Chandler
7:23.0,,,6-10,2,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe)
7:23.0,Chicago full timeout,,6-10,,
7:09.0,J. Butler misses 2-pt shot at rim (block by M. Chriss),,6-10,,
7:08.0,,,6-10,,Defensive rebound by D. Booker
7:02.0,,,6-10,,E. Bledsoe misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by J. Grant,,6-10,,
6:51.0,J. Butler makes 2-pt shot from 21 ft,2,8-10,,
6:36.0,,,8-12,2,D. Booker makes 2-pt shot from 20 ft (assist by T. Chandler)
6:12.0,T. Gibson makes 2-pt shot at rim,2,10-12,,
5:56.0,,,10-12,,D. Booker misses 2-pt shot from 22 ft
5:54.0,Defensive rebound by D. Wade,,10-12,,
5:45.0,D. Wade makes 2-pt shot at rim,2,12-12,,
5:42.0,,,12-12,,Turnover by T. Chandler (bad pass; steal by J. Grant)
5:37.0,Shooting foul by T. Chandler (drawn by J. Butler),,12-12,,
5:37.0,J. Butler makes free throw 1 of 2,1,13-12,,
5:37.0,J. Butler makes free throw 2 of 2,1,14-12,,
5:37.0,D. McDermott enters the game for D. Wade,,13-12,,
5:20.0,,,14-12,,T. Warren misses 2-pt shot from 9 ft
5:19.0,Defensive rebound by R. Lopez,,14-12,,
5:07.0,R. Lopez makes 2-pt shot from 6 ft,2,16-12,,
4:50.0,,,16-14,2,E. Bledsoe makes 2-pt shot from 18 ft
4:35.0,J. Butler misses 2-pt shot from 20 ft,,16-14,,
4:34.0,,,16-14,,Defensive rebound by T. Chandler
4:31.0,,,16-14,,Turnover by E. Bledsoe (lost ball; steal by J. Butler)
4:25.0,J. Butler makes 2-pt shot from 13 ft (assist by J. Grant),2,18-14,,
4:24.0,,,18-14,,Phoenix full timeout
4:24.0,,,18-14,,P. Tucker enters the game for T. Warren
4:24.0,N. Mirotic enters the game for T. Gibson,,18-14,,
4:24.0,R. Rondo enters the game for J. Grant,,18-14,,
4:08.0,,,18-14,,Turnover by E. Bledsoe (bad pass; steal by N. Mirotic)
4:08.0,,,18-14,,Personal foul by M. Chriss (drawn by N. Mirotic)
3:48.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler),2,20-14,,
3:29.0,,,20-16,2,T. Chandler makes 2-pt shot from 2 ft (assist by M. Chriss)
3:05.0,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Butler),3,23-16,,
2:48.0,,,23-16,,P. Tucker misses 2-pt shot from 16 ft
2:46.0,Defensive rebound by N. Mirotic,,23-16,,
2:34.0,Turnover by J. Butler (bad pass),,23-16,,
2:34.0,,,23-16,,J. Dudley enters the game for M. Chriss
2:34.0,,,23-16,,B. Knight enters the game for E. Bledsoe
2:10.0,,,23-16,,B. Knight misses 2-pt shot from 11 ft
2:10.0,,,23-16,,Offensive rebound by B. Knight
2:10.0,,,23-16,,Turnover by Team (shot clock)
