time,LA Clippers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Thompson (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Thompson (C. Paul gains possession)
11:45.0,B. Griffin misses 2-pt shot from 1 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by J. Smith
11:31.0,,,0-3,3,J. Smith makes 3-pt shot from 29 ft (assist by L. James)
11:11.0,J. Redick misses 2-pt shot from 6 ft,,0-3,,
11:09.0,,,0-3,,Defensive rebound by J. Smith
11:09.0,Personal foul by C. Paul (drawn by K. Irving),,0-3,,
10:52.0,,,0-3,,K. Irving misses 2-pt shot from 13 ft
10:52.0,,,0-3,,Offensive rebound by Team
10:49.0,,,0-3,,K. Love misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by D. Jordan,,0-3,,
10:36.0,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin),2,2-3,,
10:22.0,,,2-5,2,K. Love makes 2-pt shot from 16 ft (assist by L. James)
9:58.0,B. Griffin misses 2-pt shot from 18 ft,,2-5,,
9:58.0,,,2-5,,Defensive rebound by K. Irving
9:50.0,,,2-7,2,K. Irving makes 2-pt shot from 17 ft
9:36.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,5-7,,
9:24.0,Personal foul by J. Redick (drawn by K. Irving),,5-7,,
9:13.0,,,5-7,,L. James misses 2-pt shot from 14 ft
9:13.0,,,5-7,,Offensive rebound by Team
9:13.0,Loose ball foul by L. Mbah a Moute (drawn by T. Thompson),,5-7,,
9:10.0,,,5-7,,K. Irving misses 2-pt shot from 1 ft
9:08.0,,,5-7,,Offensive rebound by L. James
9:08.0,,,5-7,,L. James misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by B. Griffin,,5-7,,
9:04.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,7-7,,
8:55.0,,,7-9,2,K. Irving makes 2-pt shot from 10 ft
8:39.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,9-9,,
8:23.0,,,9-9,,Shooting foul by D. Jordan (drawn by L. James)
8:23.0,,,9-10,1,L. James makes free throw 1 of 2
8:23.0,,,9-11,1,L. James makes free throw 2 of 2
8:05.0,C. Paul misses 3-pt shot from 25 ft,,9-11,,
8:04.0,,,9-11,,Defensive rebound by L. James
7:56.0,,,9-14,3,K. Irving makes 3-pt shot from 23 ft (assist by J. Smith)
7:56.0,LA Clippers full timeout,,9-14,,
7:41.0,B. Griffin misses 2-pt shot from 7 ft (block by T. Thompson),,9-14,,
7:40.0,Offensive rebound by B. Griffin,,9-14,,
7:32.0,B. Griffin misses 2-pt shot from 6 ft,,9-14,,
7:31.0,,,9-14,,Defensive rebound by L. James
7:28.0,Personal foul by C. Paul (drawn by L. James),,9-14,,
7:28.0,,,9-15,1,L. James makes free throw 1 of 2
7:28.0,,,9-15,,L. James misses free throw 2 of 2
7:28.0,A. Rivers enters the game for C. Paul,,9-15,,
7:27.0,Defensive rebound by D. Jordan,,9-15,,
7:09.0,B. Griffin misses 2-pt shot from 15 ft,,9-15,,
7:06.0,Offensive rebound by D. Jordan,,9-15,,
7:04.0,D. Jordan makes 2-pt shot at rim,2,11-15,,
6:46.0,,,11-15,,Offensive foul by T. Thompson
6:46.0,,,11-15,,Turnover by T. Thompson (offensive foul)
6:31.0,J. Redick makes 2-pt shot from 7 ft (assist by A. Rivers),2,13-15,,
6:20.0,,,13-15,,Turnover by L. James (dbl dribble)
6:08.0,B. Griffin makes 2-pt shot at rim (assist by A. Rivers),2,15-15,,
5:52.0,,,15-18,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
5:40.0,,,15-18,,Personal foul by J. Smith (drawn by J. Redick)
5:30.0,Shooting foul by K. Love (drawn by B. Griffin),,15-18,,
5:30.0,B. Griffin makes free throw 1 of 2,1,16-18,,
5:30.0,B. Griffin makes free throw 2 of 2,1,17-18,,
5:18.0,,,17-20,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:07.0,Turnover by L. Mbah a Moute (lost ball),,17-20,,
4:53.0,,,17-20,,Turnover by L. James (bad pass; steal by L. Mbah a Moute)
4:49.0,Shooting foul by K. Irving (drawn by B. Griffin),,17-20,,
4:49.0,B. Griffin makes free throw 1 of 2,1,18-20,,
4:49.0,B. Griffin makes free throw 2 of 2,1,19-20,,
4:49.0,,,18-20,,C. Frye enters the game for T. Thompson
4:33.0,,,19-20,,K. Irving misses 2-pt shot from 4 ft
4:30.0,Defensive rebound by D. Jordan,,19-20,,
4:23.0,,,19-20,,Personal foul by C. Frye (drawn by B. Griffin)
4:16.0,Turnover by B. Griffin (lost ball; steal by J. Smith),,19-20,,
4:08.0,,,19-20,,C. Frye misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by A. Rivers,,19-20,,
3:54.0,A. Rivers misses 2-pt shot from 9 ft,,19-20,,
3:51.0,,,19-20,,Defensive rebound by C. Frye
3:47.0,,,19-22,2,L. James makes 2-pt shot from 1 ft
3:24.0,J. Redick misses 3-pt shot from 25 ft,,19-22,,
3:24.0,,,19-22,,Defensive rebound by C. Frye
3:09.0,,,19-22,,Turnover by K. Love (lost ball; steal by L. Mbah a Moute)
2:58.0,Turnover by B. Griffin (back court),,19-22,,
2:58.0,,,19-22,,Cleveland full timeout
2:58.0,J. Crawford enters the game for J. Redick,,19-22,,
2:41.0,,,19-24,2,K. Irving makes 2-pt shot from 6 ft
2:23.0,Shooting foul by C. Frye (drawn by J. Crawford),,19-24,,
2:23.0,J. Crawford makes free throw 1 of 2,1,20-24,,
2:23.0,J. Crawford misses free throw 2 of 2,,20-24,,
2:23.0,,,20-24,,I. Shumpert enters the game for J. Smith
2:23.0,,,20-24,,R. Jefferson enters the game for L. James
2:23.0,R. Felton enters the game for L. Mbah a Moute,,20-24,,
2:22.0,,,20-24,,Defensive rebound by R. Jefferson
2:03.0,,,20-26,2,K. Love makes 2-pt shot from 20 ft (assist by K. Irving)
1:49.0,J. Crawford makes 3-pt shot from 26 ft (assist by B. Griffin),3,23-26,,
1:31.0,,,23-26,,R. Jefferson misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by R. Felton,,23-26,,
1:11.0,J. Crawford misses 2-pt shot from 19 ft,,23-26,,
1:11.0,,,23-26,,Defensive rebound by I. Shumpert
1:02.0,,,23-26,,Offensive foul by C. Frye
1:02.0,,,23-26,,Turnover by C. Frye (offensive foul)
1:02.0,P. Pierce enters the game for B. Griffin,,23-26,,
1:02.0,,,23-26,,T. Thompson enters the game for C. Frye
0:49.0,A. Rivers misses 3-pt shot from 26 ft,,23-26,,
0:48.0,,,23-26,,Defensive rebound by K. Irving
0:44.0,,,23-26,,Shooting foul by R. Felton (drawn by K. Irving)
0:44.0,,,23-27,1,K. Irving makes free throw 1 of 2
0:44.0,,,23-28,1,K. Irving makes free throw 2 of 2
0:39.0,,,23-28,,Personal block foul by K. Love (drawn by J. Crawford)
0:39.0,J. Crawford misses free throw 1 of 2,,23-28,,
0:39.0,Offensive rebound by Team,,23-28,,
0:39.0,J. Crawford makes free throw 2 of 2,1,24-28,,
0:39.0,,,23-28,,J. Smith enters the game for K. Love
0:39.0,L. Mbah a Moute enters the game for P. Pierce,,23-28,,
0:28.0,,,24-28,,K. Irving misses 2-pt shot from 6 ft
0:28.0,,,24-28,,Offensive rebound by Team
0:07.0,,,24-28,,K. Irving misses 2-pt shot from 7 ft
0:03.0,Defensive rebound by D. Jordan,,24-28,,
0:00.0,J. Crawford misses 3-pt shot from 25 ft,,24-28,,
0:00.0,Offensive rebound by Team,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,24-28,,L. James misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by A. Rivers,,24-28,,
11:32.0,Turnover by M. Speights (bad pass; steal by T. Thompson),,24-28,,
11:18.0,,,24-30,2,I. Shumpert makes 2-pt shot from 19 ft
10:53.0,R. Felton misses 3-pt shot from 26 ft,,24-30,,
10:53.0,,,24-30,,Defensive rebound by Team
10:53.0,Loose ball foul by M. Speights (drawn by L. James),,24-30,,
10:53.0,C. Paul enters the game for A. Rivers,,24-30,,
10:53.0,L. Mbah a Moute enters the game for P. Pierce,,24-30,,
10:37.0,,,24-30,,L. James misses 2-pt shot from 3 ft
10:35.0,Defensive rebound by L. Mbah a Moute,,24-30,,
