time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. T. Chandler (D. Russell gains possession),,,,Jump ball: T. Black vs. T. Chandler (D. Russell gains possession)
11:39.0,D. Russell misses 3-pt shot from 25 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Team
11:25.0,Personal foul by J. Randle (drawn by E. Bledsoe),,0-0,,
11:11.0,,,0-0,,M. Chriss misses 2-pt shot from 13 ft
11:09.0,Defensive rebound by J. Randle,,0-0,,
10:51.0,B. Ingram misses 2-pt shot from 20 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by T. Chandler
10:36.0,,,0-0,,Shooting foul by T. Black (drawn by M. Chriss)
10:36.0,,,0-1,1,M. Chriss makes free throw 1 of 2
10:36.0,,,0-2,1,M. Chriss makes free throw 2 of 2
10:27.0,Turnover by B. Ingram (lost ball; steal by E. Bledsoe),,0-2,,
10:23.0,,,0-4,2,D. Booker makes 2-pt shot at rim (assist by T. Warren)
10:10.0,Turnover by T. Black (bad pass; steal by M. Chriss),,0-4,,
10:03.0,,,0-4,,E. Bledsoe misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by N. Young,,0-4,,
9:54.0,N. Young misses 3-pt shot from 26 ft,,0-4,,
9:51.0,,,0-4,,Defensive rebound by T. Chandler
9:30.0,,,0-4,,D. Booker misses 3-pt shot from 24 ft
9:25.0,,,0-4,,Offensive rebound by E. Bledsoe
9:21.0,,,0-7,3,D. Booker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
9:20.0,LA Lakers full timeout,,0-7,,
9:00.0,T. Black misses 2-pt shot from 7 ft,,0-7,,
8:58.0,Offensive rebound by J. Randle,,0-7,,
8:58.0,J. Randle misses 2-pt shot from 2 ft,,0-7,,
8:56.0,Offensive rebound by J. Randle,,0-7,,
8:56.0,Shooting foul by T. Warren (drawn by J. Randle),,0-7,,
8:56.0,J. Randle makes free throw 1 of 2,1,1-7,,
8:56.0,J. Randle makes free throw 2 of 2,1,2-7,,
8:46.0,,,2-7,,M. Chriss misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by T. Black,,2-7,,
8:34.0,Turnover by D. Russell (lost ball; steal by T. Chandler),,2-7,,
8:30.0,,,2-9,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
8:30.0,,,2-9,,Shooting foul by T. Black (drawn by M. Chriss)
8:30.0,,,2-10,1,M. Chriss makes free throw 1 of 1
8:16.0,,,2-10,,Personal foul by D. Booker (drawn by B. Ingram)
