time,Charlotte,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. F. Kaminsky (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. F. Kaminsky (B. Griffin gains possession)
11:38.0,,,0-2,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
11:16.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by D. Jordan
10:57.0,,,0-2,,B. Griffin misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by M. Kidd-Gilchrist,,0-2,,
10:48.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,3-2,,
10:34.0,,,3-4,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
10:18.0,,,3-4,,Personal foul by B. Griffin (drawn by M. Williams)
10:09.0,Turnover by N. Batum (bad pass; steal by L. Mbah a Moute),,3-4,,
10:01.0,,,3-4,,C. Paul misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by F. Kaminsky,,3-4,,
9:50.0,K. Walker makes 2-pt shot from 19 ft,2,5-4,,
9:42.0,,,5-7,3,C. Paul makes 3-pt shot from 25 ft
9:19.0,F. Kaminsky misses 2-pt shot from 14 ft,,5-7,,
9:16.0,,,5-7,,Defensive rebound by D. Jordan
9:10.0,,,5-9,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
8:53.0,K. Walker misses 2-pt shot from 1 ft (block by D. Jordan),,5-9,,
8:52.0,,,5-9,,Defensive rebound by C. Paul
8:48.0,Personal foul by F. Kaminsky (drawn by C. Paul),,5-9,,
8:41.0,,,5-11,2,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin)
8:25.0,N. Batum misses 3-pt shot from 24 ft,,5-11,,
8:24.0,,,5-11,,Defensive rebound by C. Paul
8:17.0,,,5-13,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
