time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (T. Parker gains possession),,,,Jump ball: C. Capela vs. P. Gasol (T. Parker gains possession)
11:33.0,,,0-0,,L. Aldridge misses 3-pt shot from 23 ft
11:33.0,,,0-0,,Offensive rebound by P. Gasol
11:15.0,,,0-3,3,K. Leonard makes 3-pt shot from 26 ft (assist by D. Green)
11:01.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,2-3,,
10:45.0,,,2-5,2,D. Green makes 2-pt shot at rim
10:32.0,P. Beverley makes 2-pt shot from 10 ft,2,4-5,,
10:24.0,Personal foul by P. Beverley (drawn by T. Parker),,4-5,,
10:16.0,,,4-7,2,K. Leonard makes 2-pt shot from 17 ft (assist by T. Parker)
9:58.0,J. Harden misses 2-pt shot from 1 ft (block by P. Gasol),,4-7,,
9:56.0,,,4-7,,Defensive rebound by T. Parker
9:51.0,,,4-10,3,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker)
9:37.0,T. Ariza misses 3-pt shot from 25 ft,,4-10,,
9:36.0,Offensive rebound by R. Anderson,,4-10,,
9:36.0,R. Anderson makes 2-pt shot from 2 ft,2,6-10,,
9:20.0,,,6-10,,P. Gasol misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by R. Anderson,,6-10,,
9:12.0,J. Harden makes 3-pt shot from 26 ft,3,9-10,,
8:52.0,,,9-10,,P. Gasol misses 2-pt shot from 1 ft
8:52.0,,,9-10,,Offensive rebound by P. Gasol
8:49.0,,,9-10,,P. Gasol misses 2-pt shot from 2 ft (block by C. Capela)
8:48.0,Defensive rebound by R. Anderson,,9-10,,
8:41.0,R. Anderson makes 3-pt shot from 30 ft (assist by C. Capela),3,12-10,,
8:17.0,,,12-12,2,D. Green makes 2-pt shot from 1 ft (assist by K. Leonard)
7:54.0,P. Beverley misses 2-pt shot from 5 ft,,12-12,,
7:53.0,,,12-12,,Defensive rebound by P. Gasol
7:43.0,,,12-14,2,P. Gasol makes 2-pt shot from 17 ft (assist by T. Parker)
7:24.0,T. Ariza misses 3-pt shot from 25 ft,,12-14,,
7:23.0,Offensive rebound by R. Anderson,,12-14,,
7:18.0,R. Anderson makes 2-pt shot from 1 ft,2,14-14,,
7:01.0,,,14-16,2,L. Aldridge makes 2-pt shot at rim (assist by D. Green)
6:50.0,J. Harden misses 2-pt shot from 1 ft,,14-16,,
6:47.0,Offensive rebound by C. Capela,,14-16,,
6:47.0,C. Capela makes 2-pt shot from 1 ft,2,16-16,,
6:38.0,,,16-16,,P. Gasol misses 2-pt shot from 1 ft (block by C. Capela)
6:37.0,,,16-16,,Offensive rebound by P. Gasol
6:32.0,,,16-19,3,D. Green makes 3-pt shot from 24 ft (assist by P. Gasol)
6:23.0,Houston full timeout,,16-19,,
6:23.0,N. Hilario enters the game for C. Capela,,16-19,,
6:23.0,E. Gordon enters the game for P. Beverley,,16-19,,
6:07.0,Turnover by N. Hilario (step out of bounds),,16-19,,
5:44.0,,,16-21,2,T. Parker makes 2-pt shot from 16 ft
5:30.0,E. Gordon misses 2-pt shot from 12 ft,,16-21,,
5:29.0,,,16-21,,Defensive rebound by L. Aldridge
5:21.0,,,16-21,,T. Parker misses 2-pt shot from 8 ft
5:18.0,Defensive rebound by J. Harden,,16-21,,
5:15.0,J. Harden misses 2-pt shot from 2 ft (block by K. Leonard),,16-21,,
5:15.0,Offensive rebound by N. Hilario,,16-21,,
5:15.0,Shooting foul by D. Green (drawn by N. Hilario),,16-21,,
5:15.0,N. Hilario misses free throw 1 of 2,,16-21,,
5:15.0,Offensive rebound by Team,,16-21,,
5:15.0,N. Hilario misses free throw 2 of 2,,16-21,,
5:15.0,,,16-21,,D. Lee enters the game for P. Gasol
5:14.0,,,16-21,,Defensive rebound by K. Leonard
4:56.0,,,16-23,2,T. Parker makes 2-pt shot from 22 ft (assist by D. Green)
4:33.0,Turnover by E. Gordon (lost ball; steal by T. Parker),,16-23,,
4:15.0,,,16-25,2,D. Green makes 2-pt shot from 16 ft (assist by K. Leonard)
3:59.0,J. Harden misses 3-pt shot from 26 ft,,16-25,,
3:58.0,,,16-25,,Defensive rebound by L. Aldridge
3:41.0,,,16-25,,Turnover by K. Leonard (bad pass; steal by T. Ariza)
3:34.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Ariza),3,19-25,,
3:33.0,,,19-25,,San Antonio full timeout
3:33.0,,,19-25,,P. Mills enters the game for T. Parker
3:33.0,,,19-25,,M. Ginobili enters the game for D. Green
3:33.0,L. Williams enters the game for R. Anderson,,19-25,,
3:20.0,,,19-27,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Lee)
2:57.0,N. Hilario makes 2-pt shot from 15 ft (assist by E. Gordon),2,21-27,,
2:37.0,,,21-27,,L. Aldridge misses 2-pt shot from 14 ft
2:36.0,,,21-27,,Offensive rebound by D. Lee
2:33.0,,,21-27,,D. Lee misses 2-pt shot from 3 ft
2:33.0,Defensive rebound by J. Harden,,21-27,,
2:23.0,N. Hilario misses 2-pt shot from 5 ft (block by L. Aldridge),,21-27,,
2:23.0,Offensive rebound by Team,,21-27,,
2:23.0,,,21-27,,J. Simmons enters the game for K. Leonard
2:18.0,T. Ariza misses 3-pt shot from 23 ft,,21-27,,
2:17.0,,,21-27,,Defensive rebound by P. Mills
2:08.0,,,21-27,,P. Mills misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by T. Ariza,,21-27,,
1:57.0,J. Harden misses 2-pt shot from 1 ft,,21-27,,
1:57.0,Offensive rebound by Team,,21-27,,
1:57.0,,,21-27,,Loose ball foul by D. Lee (drawn by N. Hilario)
1:46.0,N. Hilario makes 2-pt shot from 4 ft (assist by J. Harden),2,23-27,,
1:29.0,,,23-27,,J. Simmons misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by E. Gordon,,23-27,,
1:18.0,E. Gordon makes 2-pt shot from 1 ft,2,25-27,,
0:54.0,,,25-29,2,D. Lee makes 2-pt shot at rim
0:39.0,Shooting foul by L. Aldridge (drawn by N. Hilario),,25-29,,
0:39.0,N. Hilario makes free throw 1 of 2,1,26-29,,
0:39.0,N. Hilario makes free throw 2 of 2,1,27-29,,
0:29.0,,,27-29,,M. Ginobili misses 2-pt shot at rim
0:28.0,,,27-29,,Offensive rebound by D. Lee
0:28.0,,,27-31,2,D. Lee makes 2-pt shot from 1 ft
0:09.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,30-31,,
0:00.0,,,30-33,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lee)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,P. Beverley makes 2-pt shot from 1 ft,2,32-33,,
11:48.0,Shooting foul by M. Ginobili (drawn by P. Beverley),,32-33,,
11:48.0,P. Beverley makes free throw 1 of 1,1,33-33,,
11:37.0,,,33-35,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
11:21.0,L. Williams misses 2-pt shot from 8 ft,,33-35,,
11:19.0,,,33-35,,Defensive rebound by M. Ginobili
11:04.0,,,33-35,,K. Leonard misses 2-pt shot from 13 ft
11:03.0,Defensive rebound by E. Gordon,,33-35,,
10:53.0,C. Capela misses 2-pt shot from 2 ft (block by P. Gasol),,33-35,,
10:52.0,,,33-35,,Defensive rebound by P. Mills
10:48.0,,,33-37,2,K. Leonard makes 2-pt shot from 9 ft (assist by P. Mills)
10:32.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,35-37,,
10:04.0,,,35-39,2,P. Mills makes 2-pt shot from 1 ft (assist by J. Simmons)
9:54.0,Turnover by P. Beverley (lost ball),,35-39,,
9:54.0,,,35-39,,D. Green enters the game for J. Simmons
9:31.0,,,35-39,,M. Ginobili misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by E. Gordon,,35-39,,
9:20.0,E. Gordon makes 2-pt shot from 13 ft,2,37-39,,
9:20.0,,,37-39,,San Antonio full timeout
9:06.0,,,37-41,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Gasol)
8:44.0,E. Gordon makes 2-pt shot from 17 ft,2,39-41,,
8:25.0,,,39-43,2,K. Leonard makes 2-pt shot from 19 ft
8:13.0,E. Gordon misses 3-pt shot from 27 ft,,39-43,,
