time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. C. Capela (V. Oladipo gains possession)
11:45.0,,,0-0,,S. Adams misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by Team,,0-0,,
11:27.0,C. Capela makes 2-pt shot from 6 ft (assist by T. Ariza),2,2-0,,
11:24.0,,,2-0,,Offensive charge foul by R. Westbrook
11:24.0,,,2-0,,Turnover by R. Westbrook (offensive foul)
11:17.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,4-0,,
11:17.0,Shooting foul by V. Oladipo (drawn by C. Capela),,4-0,,
11:17.0,C. Capela makes free throw 1 of 1,1,5-0,,
11:07.0,,,5-0,,Turnover by V. Oladipo (lost ball; steal by T. Ariza)
10:57.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,7-0,,
10:46.0,,,7-0,,Turnover by R. Westbrook (bad pass; steal by P. Beverley)
10:40.0,C. Capela misses 2-pt shot from 1 ft,,7-0,,
10:40.0,Offensive rebound by P. Beverley,,7-0,,
10:38.0,P. Beverley misses 2-pt shot from 1 ft,,7-0,,
10:37.0,,,7-0,,Defensive rebound by D. Sabonis
10:28.0,,,7-2,2,R. Westbrook makes 2-pt shot from 1 ft
10:05.0,R. Anderson misses 2-pt shot from 2 ft,,7-2,,
10:05.0,Offensive rebound by R. Anderson,,7-2,,
10:03.0,R. Anderson misses 2-pt shot from 1 ft,,7-2,,
10:02.0,,,7-2,,Defensive rebound by S. Adams
9:56.0,,,7-2,,D. Sabonis misses 3-pt shot from 22 ft
9:55.0,Defensive rebound by J. Harden,,7-2,,
9:46.0,Turnover by J. Harden (bad pass),,7-2,,
9:28.0,,,7-5,3,V. Oladipo makes 3-pt shot from 23 ft (assist by A. Roberson)
9:01.0,C. Capela misses 2-pt shot from 2 ft,,7-5,,
9:01.0,,,7-5,,Defensive rebound by R. Westbrook
8:55.0,,,7-5,,V. Oladipo misses 3-pt shot from 25 ft
8:54.0,,,7-5,,Offensive rebound by S. Adams
8:48.0,,,7-7,2,S. Adams makes 2-pt shot from 1 ft
8:38.0,R. Anderson misses 3-pt shot from 29 ft,,7-7,,
8:37.0,,,7-7,,Defensive rebound by R. Westbrook
8:28.0,,,7-7,,A. Roberson misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by C. Capela,,7-7,,
8:20.0,Shooting foul by D. Sabonis (drawn by J. Harden),,7-7,,
8:20.0,J. Harden makes free throw 1 of 2,1,8-7,,
8:20.0,J. Harden makes free throw 2 of 2,1,9-7,,
8:07.0,,,9-7,,D. Sabonis misses 2-pt shot from 3 ft
8:07.0,Defensive rebound by T. Ariza,,9-7,,
8:03.0,Shooting foul by A. Roberson (drawn by C. Capela),,9-7,,
8:03.0,C. Capela misses free throw 1 of 2,,9-7,,
8:03.0,Offensive rebound by Team,,9-7,,
8:03.0,C. Capela makes free throw 2 of 2,1,10-7,,
7:53.0,,,10-7,,D. Sabonis misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Harden,,10-7,,
7:41.0,T. Ariza misses 3-pt shot from 24 ft,,10-7,,
7:41.0,Offensive rebound by P. Beverley,,10-7,,
7:29.0,Turnover by J. Harden (bad pass; steal by S. Adams),,10-7,,
7:25.0,,,10-9,2,R. Westbrook makes 2-pt shot at rim (assist by S. Adams)
7:12.0,J. Harden misses 2-pt shot from 4 ft,,10-9,,
7:11.0,,,10-9,,Defensive rebound by A. Roberson
7:01.0,,,10-11,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
6:42.0,R. Anderson makes 3-pt shot from 25 ft (assist by P. Beverley),3,13-11,,
6:26.0,,,13-11,,Shooting foul by C. Capela (drawn by S. Adams)
6:26.0,,,13-12,1,S. Adams makes free throw 1 of 2
6:26.0,Violation by J. Harden (lane),,13-12,,
6:26.0,,,13-13,1,S. Adams makes free throw 2 of 2
6:26.0,,,13-12,,A. Morrow enters the game for V. Oladipo
6:26.0,E. Gordon enters the game for P. Beverley,,13-12,,
6:26.0,N. Hilario enters the game for C. Capela,,13-12,,
6:15.0,J. Harden misses 2-pt shot from 1 ft,,13-13,,
6:14.0,,,13-13,,Defensive rebound by R. Westbrook
6:10.0,,,13-13,,Turnover by R. Westbrook (discontinued dribble)
6:01.0,E. Gordon misses 3-pt shot from 24 ft,,13-13,,
6:00.0,Offensive rebound by R. Anderson,,13-13,,
5:58.0,R. Anderson misses 2-pt shot from 1 ft,,13-13,,
5:57.0,,,13-13,,Defensive rebound by Team
5:57.0,,,13-13,,Oklahoma City full timeout
5:46.0,,,13-13,,Turnover by S. Adams (3 sec)
5:35.0,Turnover by N. Hilario (lost ball; steal by A. Morrow),,13-13,,
5:30.0,,,13-13,,A. Morrow misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by Team,,13-13,,
5:15.0,T. Ariza misses 3-pt shot from 23 ft,,13-13,,
5:14.0,,,13-13,,Defensive rebound by S. Adams
5:06.0,,,13-13,,R. Westbrook misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by N. Hilario,,13-13,,
4:54.0,N. Hilario makes 2-pt shot from 19 ft,2,15-13,,
4:40.0,Violation by N. Hilario (kicked ball),,15-13,,
4:31.0,,,15-13,,R. Westbrook misses 2-pt shot from 18 ft
4:31.0,,,15-13,,Offensive rebound by R. Westbrook
4:29.0,,,15-15,2,R. Westbrook makes 2-pt shot from 2 ft
4:16.0,J. Harden misses 3-pt shot from 28 ft,,15-15,,
4:16.0,,,15-15,,Defensive rebound by R. Westbrook
4:07.0,,,15-17,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
3:51.0,,,15-17,,J. Grant enters the game for D. Sabonis
3:51.0,S. Dekker enters the game for R. Anderson,,15-17,,
3:40.0,S. Dekker misses 3-pt shot from 22 ft,,15-17,,
3:39.0,,,15-17,,Defensive rebound by R. Westbrook
3:31.0,,,15-17,,Turnover by S. Adams (lost ball; steal by J. Harden)
3:28.0,S. Dekker makes 2-pt shot from 8 ft,2,17-17,,
3:28.0,Shooting foul by R. Westbrook (drawn by S. Dekker),,17-17,,
3:28.0,S. Dekker misses free throw 1 of 1,,17-17,,
3:28.0,,,17-17,,Defensive rebound by A. Roberson
3:28.0,,,17-17,,S. Christon enters the game for R. Westbrook
3:12.0,,,17-19,2,S. Adams makes 2-pt shot from 5 ft
2:56.0,N. Hilario misses 2-pt shot from 2 ft,,17-19,,
2:56.0,,,17-19,,Defensive rebound by S. Adams
2:46.0,,,17-19,,Turnover by A. Morrow (bad pass)
2:46.0,Houston full timeout,,17-19,,
2:46.0,P. Beverley enters the game for T. Ariza,,17-19,,
2:46.0,,,17-19,,E. Kanter enters the game for S. Adams
2:32.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,20-19,,
2:08.0,,,20-19,,S. Christon misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by P. Beverley,,20-19,,
1:50.0,J. Harden misses 3-pt shot from 25 ft,,20-19,,
1:50.0,Offensive rebound by P. Beverley,,20-19,,
1:46.0,E. Gordon misses 3-pt shot from 25 ft,,20-19,,
1:46.0,Offensive rebound by Team,,20-19,,
1:46.0,,,20-19,,Loose ball foul by A. Morrow (drawn by S. Dekker)
1:46.0,S. Dekker makes free throw 1 of 2,1,21-19,,
1:46.0,,,21-19,,Oklahoma City full timeout
1:46.0,S. Dekker misses free throw 2 of 2,,21-19,,
1:46.0,C. Brewer enters the game for J. Harden,,21-19,,
1:45.0,,,21-19,,Defensive rebound by A. Roberson
1:22.0,,,21-19,,E. Kanter misses 3-pt shot from 22 ft
1:22.0,Defensive rebound by P. Beverley,,21-19,,
1:17.0,S. Dekker makes 2-pt shot at rim (assist by P. Beverley),2,23-19,,
1:17.0,Shooting foul by E. Kanter (drawn by S. Dekker),,23-19,,
1:17.0,S. Dekker misses free throw 1 of 1,,23-19,,
1:17.0,,,23-19,,V. Oladipo enters the game for A. Roberson
1:16.0,,,23-19,,Defensive rebound by E. Kanter
1:05.0,Personal foul by N. Hilario (drawn by E. Kanter),,23-19,,
1:05.0,,,23-19,,Violation by Team (jump ball)
0:59.0,,,23-21,2,V. Oladipo makes 2-pt shot at rim
0:44.0,C. Brewer misses 3-pt shot from 23 ft,,23-21,,
0:43.0,,,23-21,,Defensive rebound by V. Oladipo
0:38.0,Violation by C. Brewer (def goaltending),,23-21,,
0:38.0,,,23-23,2,A. Morrow makes 2-pt shot from 2 ft (assist by V. Oladipo)
0:24.0,N. Hilario makes 2-pt shot at rim (assist by E. Gordon),2,25-23,,
0:02.0,,,25-23,,S. Christon misses 2-pt shot from 7 ft (block by N. Hilario)
0:01.0,Defensive rebound by S. Dekker,,25-23,,
0:00.0,S. Dekker misses 3-pt shot from 47 ft,,25-23,,
0:00.0,Offensive rebound by Team,,25-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-23,,Personal foul by J. Grant (drawn by S. Dekker)
11:42.0,P. Beverley misses 2-pt shot from 5 ft,,25-23,,
11:42.0,,,25-23,,Defensive rebound by Team
11:42.0,Loose ball foul by C. Capela (drawn by A. Morrow),,25-23,,
11:24.0,,,25-23,,J. Grant misses 2-pt shot from 2 ft
11:23.0,,,25-23,,Offensive rebound by S. Christon
11:06.0,,,25-25,2,E. Kanter makes 2-pt shot at rim
11:00.0,Turnover by C. Capela (bad pass; steal by S. Christon),,25-25,,
10:50.0,,,25-28,3,A. Morrow makes 3-pt shot from 25 ft (assist by S. Christon)
10:37.0,E. Gordon misses 2-pt shot from 2 ft,,25-28,,
10:36.0,Offensive rebound by C. Capela,,25-28,,
10:35.0,C. Capela misses 2-pt shot from 2 ft,,25-28,,
10:34.0,,,25-28,,Defensive rebound by E. Kanter
10:27.0,,,25-28,,Turnover by V. Oladipo (bad pass)
10:27.0,M. Harrell enters the game for C. Capela,,25-28,,
10:16.0,S. Dekker makes 2-pt shot from 2 ft (assist by P. Beverley),2,27-28,,
10:03.0,,,27-28,,A. Morrow misses 2-pt shot from 6 ft
10:03.0,Defensive rebound by P. Beverley,,27-28,,
9:54.0,Shooting foul by A. Morrow (drawn by M. Harrell),,27-28,,
9:54.0,M. Harrell makes free throw 1 of 2,1,28-28,,
9:54.0,M. Harrell misses free throw 2 of 2,,28-28,,
9:54.0,,,28-28,,S. Adams enters the game for E. Kanter
9:53.0,,,28-28,,Defensive rebound by A. Morrow
9:29.0,,,28-28,,V. Oladipo misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by C. Brewer,,28-28,,
9:22.0,E. Gordon makes 3-pt shot from 24 ft (assist by C. Brewer),3,31-28,,
9:00.0,,,31-28,,V. Oladipo misses 2-pt shot from 14 ft
8:59.0,,,31-28,,Offensive rebound by S. Adams
8:58.0,,,31-28,,Shooting foul by M. Harrell (drawn by S. Adams)
8:58.0,Official timeout,,31-28,,
8:58.0,,,31-29,1,S. Adams makes free throw 1 of 2
8:58.0,,,31-30,1,S. Adams makes free throw 2 of 2
8:58.0,,,31-28,,R. Westbrook enters the game for S. Christon
8:34.0,E. Gordon makes 3-pt shot from 25 ft,3,34-30,,
8:21.0,,,34-30,,Turnover by V. Oladipo (traveling)
8:21.0,T. Ariza enters the game for P. Beverley,,34-30,,
8:21.0,J. Harden enters the game for S. Dekker,,34-30,,
8:21.0,R. Anderson enters the game for C. Brewer,,34-30,,
8:10.0,Turnover by M. Harrell (lost ball),,34-30,,
8:10.0,,,34-30,,A. Roberson enters the game for A. Morrow
7:57.0,,,34-32,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:42.0,Turnover by J. Harden (bad pass),,34-32,,
7:33.0,,,34-32,,Turnover by R. Westbrook (bad pass; steal by E. Gordon)
7:20.0,Turnover by R. Anderson (discontinued dribble),,34-32,,
7:10.0,,,34-32,,Turnover by R. Westbrook (lost ball; steal by R. Anderson)
7:06.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,36-32,,
6:44.0,,,36-32,,Offensive foul by S. Adams
6:44.0,,,36-32,,Turnover by S. Adams (offensive foul)
6:44.0,,,36-32,,D. Sabonis enters the game for J. Grant
6:35.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,38-32,,
6:35.0,Shooting foul by S. Adams (drawn by M. Harrell),,38-32,,
6:35.0,M. Harrell misses free throw 1 of 1,,38-32,,
6:35.0,,,38-32,,Defensive rebound by S. Adams
6:27.0,,,38-34,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
6:05.0,J. Harden misses 2-pt shot from 5 ft,,38-34,,
6:04.0,,,38-34,,Defensive rebound by D. Sabonis
5:54.0,Personal foul by E. Gordon (drawn by R. Westbrook),,38-34,,
5:54.0,,,38-34,,Oklahoma City full timeout
5:54.0,P. Beverley enters the game for E. Gordon,,38-34,,
5:47.0,,,38-34,,R. Westbrook misses 2-pt shot from 9 ft
5:46.0,Defensive rebound by R. Anderson,,38-34,,
5:32.0,P. Beverley misses 3-pt shot from 25 ft,,38-34,,
5:32.0,,,38-34,,Defensive rebound by V. Oladipo
5:16.0,,,38-34,,R. Westbrook misses 2-pt shot from 12 ft
5:16.0,Defensive rebound by J. Harden,,38-34,,
5:10.0,J. Harden makes 2-pt shot from 3 ft,2,40-34,,
5:06.0,,,40-34,,Technical foul by Team
5:06.0,J. Harden misses technical free throw,,40-34,,
5:06.0,,,40-34,,Offensive rebound by Team
5:06.0,N. Hilario enters the game for M. Harrell,,40-34,,
4:56.0,,,40-34,,R. Westbrook misses 2-pt shot from 1 ft
4:56.0,Defensive rebound by J. Harden,,40-34,,
4:47.0,J. Harden misses 3-pt shot from 24 ft,,40-34,,
4:47.0,,,40-34,,Defensive rebound by R. Westbrook
4:44.0,,,40-34,,Shooting foul by J. Harden (drawn by A. Roberson)
