time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Mozgov (J. Green gains possession),,,,Jump ball: M. Gasol vs. T. Mozgov (J. Green gains possession)
11:42.0,Personal foul by J. Randle (drawn by M. Gasol),,0-0,,
11:29.0,,,0-0,,M. Gasol misses 2-pt shot from 16 ft
11:25.0,,,0-0,,Offensive rebound by J. Green
11:25.0,,,0-0,,J. Green misses 2-pt shot from 1 ft (block by B. Ingram)
11:23.0,Defensive rebound by L. Deng,,0-0,,
11:07.0,J. Calderon misses 3-pt shot from 24 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by T. Allen
10:59.0,,,0-0,,T. Allen misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by J. Calderon,,0-0,,
10:54.0,,,0-0,,Personal foul by T. Allen (drawn by L. Deng)
10:43.0,J. Randle makes 2-pt shot from 17 ft,2,2-0,,
10:27.0,,,2-0,,T. Williams misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by J. Calderon,,2-0,,
10:18.0,J. Randle makes 2-pt shot from 19 ft,2,4-0,,
9:59.0,,,4-0,,T. Allen misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by J. Randle,,4-0,,
9:52.0,J. Randle misses 2-pt shot from 1 ft (block by J. Green),,4-0,,
9:52.0,Offensive rebound by Team,,4-0,,
9:44.0,L. Deng makes 2-pt shot from 6 ft (assist by J. Calderon),2,6-0,,
9:41.0,Personal foul by J. Calderon (drawn by T. Williams),,6-0,,
9:31.0,,,6-2,2,A. Harrison makes 2-pt shot from 1 ft
9:10.0,Shooting foul by T. Allen (drawn by B. Ingram),,6-2,,
9:10.0,B. Ingram makes free throw 1 of 2,1,7-2,,
9:10.0,B. Ingram makes free throw 2 of 2,1,8-2,,
9:10.0,,,7-2,,T. Daniels enters the game for T. Allen
8:49.0,,,8-4,2,T. Daniels makes 2-pt shot from 19 ft (assist by M. Gasol)
8:36.0,J. Calderon misses 2-pt shot from 17 ft,,8-4,,
8:34.0,,,8-4,,Defensive rebound by A. Harrison
8:20.0,,,8-7,3,T. Daniels makes 3-pt shot from 25 ft (assist by M. Gasol)
7:56.0,Shooting foul by T. Daniels (drawn by B. Ingram),,8-7,,
7:56.0,B. Ingram makes free throw 1 of 2,1,9-7,,
7:56.0,B. Ingram makes free throw 2 of 2,1,10-7,,
7:41.0,,,10-7,,T. Daniels misses 2-pt shot from 22 ft
7:41.0,Defensive rebound by J. Randle,,10-7,,
7:29.0,Turnover by B. Ingram (bad pass; steal by A. Harrison),,10-7,,
7:24.0,,,10-9,2,J. Green makes 2-pt shot at rim (assist by A. Harrison)
7:06.0,J. Randle misses 3-pt shot from 25 ft,,10-9,,
7:06.0,,,10-9,,Defensive rebound by A. Harrison
6:54.0,,,10-11,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
6:53.0,LA Lakers full timeout,,10-11,,
6:35.0,L. Deng makes 3-pt shot from 26 ft (assist by T. Mozgov),3,13-11,,
6:17.0,,,13-11,,T. Daniels misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by J. Calderon,,13-11,,
6:07.0,,,13-11,,D. Davis enters the game for M. Gasol
6:01.0,L. Deng misses 2-pt shot from 19 ft,,13-11,,
6:00.0,Offensive rebound by B. Ingram,,13-11,,
5:52.0,B. Ingram makes 2-pt shot from 22 ft (assist by J. Randle),2,15-11,,
5:35.0,,,15-11,,J. Green misses 3-pt shot from 25 ft
5:35.0,,,15-11,,Offensive rebound by D. Davis
5:23.0,,,15-13,2,T. Williams makes 2-pt shot from 9 ft
5:07.0,Shooting foul by J. Green (drawn by T. Mozgov),,15-13,,
5:07.0,T. Mozgov misses free throw 1 of 2,,15-13,,
5:07.0,Offensive rebound by Team,,15-13,,
5:07.0,T. Mozgov makes free throw 2 of 2,1,16-13,,
5:07.0,J. Clarkson enters the game for L. Deng,,15-13,,
4:56.0,T. Black enters the game for T. Mozgov,,16-13,,
4:52.0,,,16-13,,T. Daniels misses 2-pt shot from 21 ft
4:52.0,Defensive rebound by J. Calderon,,16-13,,
4:33.0,T. Black misses 2-pt shot from 7 ft,,16-13,,
4:33.0,Offensive rebound by Team,,16-13,,
4:31.0,Turnover by J. Calderon (bad pass; steal by T. Williams),,16-13,,
4:26.0,,,16-13,,J. Green misses 2-pt shot from 1 ft (block by B. Ingram)
4:23.0,,,16-13,,Offensive rebound by T. Williams
4:23.0,,,16-13,,T. Williams misses 2-pt shot from 1 ft
4:20.0,,,16-13,,Offensive rebound by T. Daniels
4:14.0,,,16-13,,A. Harrison misses 2-pt shot from 1 ft (block by B. Ingram)
4:12.0,,,16-13,,Offensive rebound by J. Green
4:05.0,,,16-13,,T. Daniels misses 3-pt shot from 28 ft
4:05.0,,,16-13,,Offensive rebound by A. Harrison
4:00.0,,,16-13,,T. Daniels misses 3-pt shot from 28 ft
4:00.0,Defensive rebound by J. Calderon,,16-13,,
3:56.0,LA Lakers full timeout,,16-13,,
3:56.0,,,16-13,,T. Allen enters the game for T. Williams
3:56.0,L. Williams enters the game for J. Calderon,,16-13,,
3:38.0,L. Williams makes 2-pt shot from 18 ft,2,18-13,,
3:20.0,,,18-13,,D. Davis misses 2-pt shot from 12 ft
3:18.0,Defensive rebound by T. Black,,18-13,,
3:13.0,Shooting foul by A. Harrison,,18-13,,
3:13.0,L. Williams makes free throw 1 of 2,1,19-13,,
3:13.0,L. Williams makes free throw 2 of 2,1,20-13,,
3:13.0,,,19-13,,W. Baldwin enters the game for A. Harrison
3:13.0,,,19-13,,M. Gasol enters the game for D. Davis
3:13.0,,,19-13,,J. Martin enters the game for J. Green
2:54.0,,,20-15,2,M. Gasol makes 2-pt shot from 12 ft
2:45.0,Turnover by J. Randle (traveling),,20-15,,
2:45.0,,,20-15,,Memphis full timeout
2:32.0,,,20-17,2,T. Daniels makes 2-pt shot from 23 ft (assist by M. Gasol)
2:17.0,J. Clarkson misses 2-pt shot from 10 ft,,20-17,,
2:15.0,,,20-17,,Defensive rebound by W. Baldwin
2:10.0,,,20-20,3,T. Daniels makes 3-pt shot from 25 ft (assist by W. Baldwin)
1:53.0,J. Clarkson misses 2-pt shot from 20 ft,,20-20,,
1:51.0,,,20-20,,Defensive rebound by J. Martin
1:29.0,,,20-23,3,M. Gasol makes 3-pt shot from 25 ft (assist by W. Baldwin)
1:26.0,LA Lakers full timeout,,20-23,,
1:14.0,L. Williams misses 3-pt shot from 25 ft,,20-23,,
1:13.0,Offensive rebound by J. Randle,,20-23,,
