time,Chicago,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (J. Lin gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (J. Lin gains possession)
11:39.0,,,0-0,,B. Lopez misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by R. Lopez,,0-0,,
11:24.0,Shooting foul by B. Lopez (drawn by R. Lopez),,0-0,,
11:24.0,R. Lopez makes free throw 1 of 2,1,1-0,,
11:24.0,R. Lopez makes free throw 2 of 2,1,2-0,,
11:03.0,,,2-2,2,J. Lin makes 2-pt shot from 12 ft
10:54.0,R. Lopez misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,2-2,,
10:52.0,Offensive rebound by R. Lopez,,2-2,,
10:46.0,J. Butler makes 3-pt shot from 24 ft (assist by R. Lopez),3,5-2,,
10:31.0,,,5-5,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
10:21.0,J. Butler makes 2-pt shot from 4 ft,2,7-5,,
10:11.0,,,7-5,,Shooting foul by R. Lopez (drawn by B. Lopez)
10:11.0,,,7-6,1,B. Lopez makes free throw 1 of 2
10:11.0,,,7-7,1,B. Lopez makes free throw 2 of 2
9:57.0,D. Wade misses 2-pt shot from 16 ft,,7-7,,
9:56.0,,,7-7,,Defensive rebound by J. Lin
9:41.0,,,7-7,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Gibson)
9:26.0,R. Lopez misses 2-pt shot from 19 ft,,7-7,,
9:25.0,,,7-7,,Defensive rebound by B. Bogdanovic
9:11.0,,,7-7,,B. Lopez misses 2-pt shot from 7 ft
9:10.0,Defensive rebound by T. Gibson,,7-7,,
9:05.0,T. Gibson makes 2-pt shot from 1 ft (assist by D. Wade),2,9-7,,
8:49.0,,,9-7,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
8:48.0,Defensive rebound by T. Gibson,,9-7,,
8:38.0,R. Rondo makes 2-pt shot from 18 ft,2,11-7,,
8:29.0,,,11-7,,Turnover by J. Lin (bad pass; steal by R. Rondo)
8:24.0,T. Gibson makes 2-pt shot from 3 ft (assist by R. Rondo),2,13-7,,
7:59.0,,,13-7,,B. Bogdanovic misses 2-pt shot from 9 ft
7:58.0,,,13-7,,Offensive rebound by R. Hollis-Jefferson
7:50.0,,,13-9,2,J. Lin makes 2-pt shot from 5 ft
7:36.0,T. Gibson makes 2-pt shot from 16 ft (assist by D. Wade),2,15-9,,
7:22.0,,,15-9,,Turnover by J. Lin (bad pass)
7:08.0,J. Butler makes 3-pt shot from 24 ft (assist by R. Lopez),3,18-9,,
7:07.0,,,18-9,,Brooklyn full timeout
7:07.0,,,18-9,,J. Harris enters the game for T. Booker
7:07.0,,,18-9,,J. Hamilton enters the game for B. Bogdanovic
6:44.0,,,18-9,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
6:43.0,Defensive rebound by D. Wade,,18-9,,
6:37.0,Turnover by D. Wade (lost ball; steal by J. Lin),,18-9,,
6:34.0,,,18-11,2,J. Harris makes 2-pt shot from 2 ft (assist by J. Lin)
6:34.0,,,18-11,,Shooting foul by J. Butler (drawn by J. Harris)
6:34.0,,,18-11,,J. Harris misses free throw 1 of 1
6:33.0,Defensive rebound by T. Gibson,,18-11,,
6:11.0,R. Rondo misses 3-pt shot from 25 ft,,18-11,,
6:10.0,,,18-11,,Defensive rebound by J. Hamilton
5:56.0,,,18-11,,B. Lopez misses 2-pt shot from 4 ft
5:55.0,Defensive rebound by J. Butler,,18-11,,
5:49.0,D. Wade makes 2-pt shot from 5 ft (assist by J. Butler),2,20-11,,
5:36.0,,,20-11,,J. Hamilton misses 2-pt shot from 8 ft
5:35.0,Defensive rebound by T. Gibson,,20-11,,
