time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (J. Green gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (J. Green gains possession)
11:40.0,M. Gasol misses 2-pt shot from 14 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by S. Curry
11:20.0,,,0-0,,D. Finney-Smith misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by M. Conley,,0-0,,
11:00.0,J. Green misses 2-pt shot from 4 ft (block by A. Bogut),,0-0,,
10:58.0,,,0-0,,Defensive rebound by A. Bogut
10:48.0,Personal foul by J. Ennis (drawn by D. Finney-Smith),,0-0,,
10:40.0,,,0-0,,H. Barnes misses 2-pt shot from 18 ft
10:40.0,,,0-0,,Offensive rebound by A. Bogut
10:33.0,,,0-0,,W. Matthews misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by J. Green,,0-0,,
10:21.0,C. Parsons misses 2-pt shot from 18 ft,,0-0,,
10:20.0,,,0-0,,Defensive rebound by A. Bogut
9:58.0,,,0-2,2,A. Bogut makes 2-pt shot from 11 ft
9:43.0,M. Conley misses 2-pt shot from 18 ft,,0-2,,
9:42.0,,,0-2,,Defensive rebound by W. Matthews
9:33.0,,,0-4,2,W. Matthews makes 2-pt shot at rim (assist by A. Bogut)
9:12.0,M. Gasol misses 2-pt shot from 20 ft,,0-4,,
9:12.0,,,0-4,,Defensive rebound by H. Barnes
9:04.0,,,0-4,,S. Curry misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by M. Gasol,,0-4,,
8:38.0,C. Parsons makes 3-pt shot from 26 ft,3,3-4,,
8:16.0,,,3-6,2,H. Barnes makes 2-pt shot from 16 ft
7:58.0,M. Gasol misses 2-pt shot from 16 ft,,3-6,,
7:57.0,,,3-6,,Defensive rebound by S. Curry
7:38.0,,,3-6,,H. Barnes misses 2-pt shot from 3 ft
7:36.0,Defensive rebound by J. Green,,3-6,,
7:24.0,,,3-6,,Def 3 sec tech foul by H. Barnes
7:24.0,M. Conley makes technical free throw,1,4-6,,
7:24.0,,,4-6,,D. Powell enters the game for A. Bogut
7:13.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol),3,7-6,,
6:51.0,,,7-9,3,W. Matthews makes 3-pt shot from 27 ft
6:31.0,C. Parsons makes 2-pt shot from 13 ft,2,9-9,,
6:16.0,,,9-9,,S. Curry misses 2-pt shot from 5 ft (block by M. Conley)
6:15.0,,,9-9,,Offensive rebound by S. Curry
6:11.0,,,9-9,,W. Matthews misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by J. Green,,9-9,,
5:58.0,J. Green misses 3-pt shot from 24 ft,,9-9,,
5:58.0,Offensive rebound by J. Ennis,,9-9,,
5:55.0,J. Ennis misses 2-pt shot from 2 ft (block by D. Powell),,9-9,,
5:54.0,,,9-9,,Defensive rebound by D. Powell
5:39.0,,,9-9,,H. Barnes misses 2-pt shot from 17 ft
5:38.0,Defensive rebound by J. Ennis,,9-9,,
5:25.0,,,9-9,,Personal foul by D. Powell (drawn by M. Conley)
5:25.0,,,9-9,,Dallas full timeout
5:25.0,A. Harrison enters the game for M. Gasol,,9-9,,
5:25.0,Z. Randolph enters the game for M. Conley,,9-9,,
5:24.0,,,9-9,,J. Anderson enters the game for H. Barnes
5:24.0,,,9-9,,A. Bogut enters the game for D. Finney-Smith
5:17.0,Z. Randolph misses 2-pt shot from 22 ft,,9-9,,
5:16.0,,,9-9,,Defensive rebound by W. Matthews
4:52.0,,,9-9,,S. Curry misses 2-pt shot from 20 ft
4:52.0,,,9-9,,Offensive rebound by A. Bogut
4:41.0,,,9-9,,J. Anderson misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by Z. Randolph,,9-9,,
4:24.0,Turnover by C. Parsons (lost ball; steal by J. Anderson),,9-9,,
4:19.0,,,9-9,,Turnover by J. Anderson (bad pass)
4:19.0,V. Carter enters the game for C. Parsons,,9-9,,
4:04.0,J. Ennis misses 3-pt shot from 25 ft,,9-9,,
4:03.0,,,9-9,,Defensive rebound by J. Anderson
3:56.0,,,9-9,,Dallas full timeout
3:56.0,,,9-9,,J. Gibson enters the game for S. Curry
3:40.0,,,9-9,,A. Bogut misses 2-pt shot from 11 ft
3:38.0,Defensive rebound by Z. Randolph,,9-9,,
3:25.0,V. Carter misses 3-pt shot from 25 ft,,9-9,,
3:22.0,,,9-9,,Defensive rebound by A. Bogut
3:14.0,,,9-9,,D. Powell misses 2-pt shot from 19 ft
3:13.0,Defensive rebound by J. Ennis,,9-9,,
3:09.0,Shooting foul by J. Gibson (drawn by A. Harrison),,9-9,,
3:09.0,A. Harrison makes free throw 1 of 2,1,10-9,,
3:09.0,A. Harrison misses free throw 2 of 2,,10-9,,
3:09.0,T. Allen enters the game for J. Ennis,,10-9,,
3:09.0,M. Conley enters the game for J. Green,,10-9,,
3:07.0,,,10-9,,Defensive rebound by A. Bogut
2:50.0,Memphis full timeout,,10-9,,
2:50.0,Inbound foul by A. Harrison,,10-9,,
2:50.0,,,10-10,1,W. Matthews makes free throw 1 of 1
2:50.0,,,10-9,,H. Barnes enters the game for A. Bogut
2:44.0,,,10-10,,H. Barnes misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by Z. Randolph,,10-10,,
2:28.0,M. Conley misses 3-pt shot from 27 ft,,10-10,,
2:28.0,,,10-10,,Defensive rebound by J. Anderson
2:20.0,,,10-10,,J. Gibson misses 3-pt shot from 27 ft
2:19.0,Defensive rebound by Team,,10-10,,
2:00.0,A. Harrison misses 2-pt shot from 3 ft,,10-10,,
1:58.0,,,10-10,,Defensive rebound by H. Barnes
1:56.0,,,10-10,,Turnover by H. Barnes (bad pass; steal by M. Conley)
1:51.0,T. Allen misses 2-pt shot from 1 ft (block by D. Powell),,10-10,,
1:50.0,,,10-10,,Defensive rebound by H. Barnes
1:45.0,,,10-13,3,W. Matthews makes 3-pt shot from 26 ft
