time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (T. Harris gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (T. Harris gains possession)
11:38.0,,,0-0,,R. Jackson misses 2-pt shot from 7 ft
11:37.0,Defensive rebound by D. DeRozan,,0-0,,
11:26.0,J. Valanciunas misses 2-pt shot from 17 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by A. Drummond
11:16.0,,,0-0,,Turnover by T. Harris (bad pass; steal by J. Valanciunas)
11:12.0,D. Carroll misses 2-pt shot from 5 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by A. Drummond
11:00.0,,,0-0,,M. Morris misses 2-pt shot from 12 ft
10:59.0,Defensive rebound by D. DeRozan,,0-0,,
10:46.0,C. Joseph makes 3-pt shot from 23 ft (assist by D. DeRozan),3,3-0,,
10:38.0,,,3-0,,Detroit full timeout
10:26.0,,,3-0,,Turnover by R. Jackson (bad pass; steal by D. Carroll)
10:21.0,Shooting foul by M. Morris (drawn by D. Carroll),,3-0,,
10:21.0,D. Carroll misses free throw 1 of 2,,3-0,,
10:21.0,Offensive rebound by Team,,3-0,,
10:21.0,D. Carroll makes free throw 2 of 2,1,4-0,,
10:00.0,,,4-2,2,T. Harris makes 2-pt shot from 16 ft (assist by R. Jackson)
9:40.0,S. Ibaka makes 2-pt shot from 15 ft (assist by C. Joseph),2,6-2,,
9:20.0,,,6-2,,T. Harris misses 2-pt shot from 15 ft
9:17.0,Defensive rebound by S. Ibaka,,6-2,,
9:00.0,S. Ibaka misses 2-pt shot from 18 ft,,6-2,,
8:58.0,Offensive rebound by J. Valanciunas,,6-2,,
8:55.0,J. Valanciunas makes 2-pt shot from 1 ft,2,8-2,,
8:41.0,,,8-2,,Shooting foul by S. Ibaka (drawn by R. Jackson)
8:41.0,,,8-3,1,R. Jackson makes free throw 1 of 2
8:41.0,,,8-3,,R. Jackson misses free throw 2 of 2
8:39.0,Defensive rebound by J. Valanciunas,,8-3,,
8:15.0,D. DeRozan misses 2-pt shot from 18 ft,,8-3,,
8:11.0,,,8-3,,Defensive rebound by A. Drummond
8:06.0,,,8-3,,K. Caldwell-Pope misses 2-pt shot from 5 ft
8:05.0,,,8-3,,Offensive rebound by A. Drummond
8:04.0,,,8-3,,A. Drummond misses 2-pt shot from 2 ft (block by J. Valanciunas)
7:58.0,Defensive rebound by C. Joseph,,8-3,,
7:53.0,D. Carroll makes 2-pt shot from 1 ft (assist by C. Joseph),2,10-3,,
7:33.0,,,10-3,,M. Morris misses 2-pt shot from 14 ft
7:32.0,,,10-3,,Offensive rebound by A. Drummond
7:32.0,,,10-3,,Shooting foul by D. Carroll (drawn by A. Drummond)
7:32.0,,,10-3,,A. Drummond misses free throw 1 of 2
7:32.0,,,10-3,,Offensive rebound by Team
