time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. R. Gobert (D. Exum gains possession),,,,Jump ball: D. Dedmon vs. R. Gobert (D. Exum gains possession)
11:48.0,B. Diaw makes 2-pt shot from 8 ft (assist by R. Hood),2,2-0,,
11:30.0,,,2-2,2,D. Dedmon makes 2-pt shot at rim (assist by K. Anderson)
11:07.0,B. Diaw makes 2-pt shot from 2 ft,2,4-2,,
10:53.0,,,4-4,2,K. Leonard makes 2-pt shot from 17 ft
10:30.0,D. Exum misses 2-pt shot from 2 ft,,4-4,,
10:28.0,,,4-4,,Defensive rebound by D. Bertans
10:23.0,,,4-6,2,D. Dedmon makes 2-pt shot at rim (assist by K. Anderson)
10:01.0,R. Hood misses 2-pt shot from 18 ft,,4-6,,
10:00.0,Offensive rebound by B. Diaw,,4-6,,
9:57.0,Turnover by B. Diaw (lost ball; steal by K. Anderson),,4-6,,
9:38.0,,,4-8,2,T. Parker makes 2-pt shot from 21 ft (assist by K. Leonard)
9:20.0,D. Exum misses 2-pt shot from 7 ft,,4-8,,
9:19.0,,,4-8,,Defensive rebound by K. Anderson
9:15.0,,,4-8,,Turnover by K. Anderson (discontinued dribble)
8:55.0,D. Exum makes 3-pt shot from 23 ft (assist by B. Diaw),3,7-8,,
8:43.0,,,7-8,,T. Parker misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by R. Hood,,7-8,,
8:35.0,R. Hood misses 3-pt shot from 25 ft,,7-8,,
8:33.0,,,7-8,,Defensive rebound by D. Dedmon
8:16.0,,,7-11,3,D. Bertans makes 3-pt shot from 26 ft (assist by K. Leonard)
7:59.0,,,7-11,,Personal foul by K. Anderson (drawn by R. Gobert)
7:51.0,R. Hood misses 3-pt shot from 23 ft,,7-11,,
7:49.0,,,7-11,,Defensive rebound by D. Dedmon
7:27.0,,,7-11,,D. Bertans misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by G. Hayward,,7-11,,
7:16.0,G. Hayward makes 2-pt shot from 1 ft,2,9-11,,
7:03.0,,,9-13,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard)
7:03.0,,,9-13,,Shooting foul by D. Exum (drawn by T. Parker)
7:03.0,,,9-13,,T. Parker misses free throw 1 of 1
7:03.0,J. Johnson enters the game for D. Exum,,9-13,,
7:03.0,S. Mack enters the game for B. Diaw,,9-13,,
7:02.0,Defensive rebound by R. Gobert,,9-13,,
6:52.0,G. Hayward makes 2-pt shot from 16 ft,2,11-13,,
6:39.0,,,11-15,2,T. Parker makes 2-pt shot from 7 ft
6:23.0,R. Gobert misses 2-pt shot at rim (block by D. Dedmon),,11-15,,
6:22.0,,,11-15,,Defensive rebound by K. Anderson
6:17.0,,,11-15,,T. Parker misses 2-pt shot from 13 ft
6:15.0,Defensive rebound by J. Johnson,,11-15,,
6:04.0,G. Hayward misses 2-pt shot from 11 ft (block by D. Dedmon),,11-15,,
6:03.0,,,11-15,,Defensive rebound by K. Anderson
6:02.0,Personal foul by J. Johnson (drawn by K. Leonard),,11-15,,
6:02.0,,,11-15,,P. Gasol enters the game for D. Dedmon
6:02.0,,,11-15,,J. Simmons enters the game for K. Anderson
5:57.0,,,11-17,2,K. Leonard makes 2-pt shot from 19 ft (assist by T. Parker)
5:35.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,13-17,,
5:22.0,,,13-19,2,T. Parker makes 2-pt shot from 18 ft
5:13.0,S. Mack makes 2-pt shot from 17 ft,2,15-19,,
5:13.0,Shooting foul by T. Parker (drawn by S. Mack),,15-19,,
5:13.0,,,15-19,,San Antonio full timeout
5:13.0,S. Mack makes free throw 1 of 1,1,16-19,,
5:13.0,,,15-19,,B. Forbes enters the game for T. Parker
4:51.0,,,16-19,,K. Leonard misses 2-pt shot from 9 ft
4:49.0,Defensive rebound by R. Gobert,,16-19,,
4:33.0,G. Hayward misses 2-pt shot from 12 ft,,16-19,,
4:32.0,,,16-19,,Defensive rebound by P. Gasol
4:24.0,,,16-19,,Shooting foul by R. Hood (drawn by J. Simmons)
4:24.0,,,16-20,1,J. Simmons makes free throw 1 of 2
4:24.0,,,16-21,1,J. Simmons makes free throw 2 of 2
