time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Okafor (R. Covington gains possession),,,,Jump ball: M. Gortat vs. J. Okafor (R. Covington gains possession)
11:44.0,,,0-0,,R. Covington misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by J. Wall,,0-0,,
11:27.0,Offensive foul by M. Morris,,0-0,,
11:27.0,Turnover by M. Morris (offensive foul),,0-0,,
11:11.0,,,0-0,,E. Ilyasova misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by O. Porter,,0-0,,
11:06.0,Offensive foul by M. Morris,,0-0,,
11:06.0,Turnover by M. Morris (offensive foul),,0-0,,
11:06.0,A. Nicholson enters the game for M. Morris,,0-0,,
10:55.0,,,0-0,,G. Henderson misses 2-pt shot from 17 ft
10:54.0,Defensive rebound by Team,,0-0,,
10:54.0,,,0-0,,Loose ball foul by J. Okafor (drawn by M. Gortat)
10:49.0,,,0-0,,Personal foul by S. Rodriguez (drawn by S. Mac)
10:40.0,S. Mac makes 2-pt shot from 18 ft,2,2-0,,
10:13.0,,,2-2,2,S. Rodriguez makes 2-pt shot from 18 ft (assist by G. Henderson)
9:58.0,S. Mac makes 2-pt shot from 14 ft,2,4-2,,
9:40.0,,,4-2,,J. Okafor misses 2-pt shot from 10 ft
9:39.0,,,4-2,,Offensive rebound by Team
9:36.0,,,4-2,,R. Covington misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by M. Gortat,,4-2,,
9:24.0,J. Wall misses 2-pt shot from 17 ft,,4-2,,
9:23.0,,,4-2,,Defensive rebound by E. Ilyasova
9:13.0,,,4-2,,Turnover by R. Covington (bad pass)
8:57.0,M. Gortat misses 2-pt shot from 7 ft,,4-2,,
8:56.0,,,4-2,,Defensive rebound by E. Ilyasova
8:44.0,,,4-4,2,J. Okafor makes 2-pt shot from 1 ft
8:33.0,,,4-4,,Personal foul by J. Okafor (drawn by M. Gortat)
8:33.0,,,4-4,,R. Holmes enters the game for J. Okafor
8:17.0,J. Wall misses 2-pt shot from 17 ft,,4-4,,
8:16.0,Offensive rebound by Team,,4-4,,
