time,Memphis,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Johnson (A. Harrison gains possession),,,,Jump ball: M. Gasol vs. A. Johnson (A. Harrison gains possession)
11:35.0,J. Ennis misses 2-pt shot from 20 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by Team
11:34.0,Loose ball foul by J. Green (drawn by A. Johnson),,0-0,,
11:22.0,,,0-2,2,J. Crowder makes 2-pt shot from 7 ft (assist by A. Johnson)
11:12.0,,,0-2,,Def 3 sec tech foul by A. Johnson
11:12.0,M. Gasol misses technical free throw,,0-2,,
11:12.0,Offensive rebound by Team,,0-2,,
11:01.0,A. Harrison makes 2-pt shot at rim (assist by M. Gasol),2,2-2,,
10:43.0,,,2-5,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Bradley)
10:31.0,,,2-5,,Personal block foul by A. Horford (drawn by M. Gasol)
10:19.0,A. Harrison misses 2-pt shot from 12 ft,,2-5,,
10:18.0,,,2-5,,Defensive rebound by A. Johnson
10:10.0,,,2-5,,Turnover by A. Bradley (lost ball)
9:57.0,M. Gasol makes 2-pt shot from 19 ft,2,4-5,,
9:46.0,,,4-5,,A. Johnson misses 2-pt shot from 2 ft
9:45.0,Defensive rebound by J. Green,,4-5,,
9:36.0,Turnover by J. Green (lost ball),,4-5,,
9:20.0,,,4-5,,Turnover by A. Horford (bad pass)
9:10.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Green),3,7-5,,
8:53.0,,,7-5,,Turnover by A. Horford (bad pass; steal by J. Green)
8:41.0,T. Allen misses 2-pt shot from 6 ft,,7-5,,
8:40.0,,,7-5,,Defensive rebound by A. Johnson
8:35.0,,,7-7,2,I. Thomas makes 2-pt shot from 4 ft
8:04.0,M. Gasol makes 2-pt shot from 5 ft,2,9-7,,
7:44.0,,,9-7,,Turnover by A. Horford (bad pass; steal by T. Allen)
7:38.0,J. Green misses 2-pt shot from 1 ft (block by A. Horford),,9-7,,
7:36.0,,,9-7,,Defensive rebound by A. Bradley
7:32.0,,,9-9,2,A. Johnson makes 2-pt shot at rim (assist by A. Bradley)
7:20.0,Technical foul by J. Green,,9-9,,
7:20.0,,,9-10,1,I. Thomas makes technical free throw
7:20.0,J. Martin enters the game for J. Green,,9-10,,
7:11.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Ennis),3,12-10,,
6:54.0,,,12-13,3,J. Crowder makes 3-pt shot from 24 ft (assist by A. Horford)
6:36.0,J. Ennis makes 3-pt shot from 25 ft,3,15-13,,
6:18.0,,,15-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
6:14.0,Memphis full timeout,,15-15,,
6:13.0,Turnover by J. Ennis (bad pass; steal by A. Bradley),,15-15,,
6:09.0,,,15-15,,A. Bradley misses 2-pt shot from 1 ft
6:08.0,,,15-15,,Offensive rebound by A. Horford
6:08.0,,,15-17,2,A. Horford makes 2-pt shot at rim
5:51.0,J. Martin misses 3-pt shot from 26 ft,,15-17,,
5:50.0,,,15-17,,Defensive rebound by J. Crowder
5:37.0,,,15-17,,J. Crowder misses 2-pt shot from 19 ft
5:35.0,,,15-17,,Offensive rebound by A. Johnson
5:31.0,,,15-17,,I. Thomas misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by T. Allen,,15-17,,
5:15.0,M. Gasol makes 2-pt shot from 12 ft,2,17-17,,
4:57.0,,,17-17,,Turnover by J. Crowder (bad pass; steal by T. Allen)
4:54.0,T. Allen makes 2-pt shot at rim,2,19-17,,
4:53.0,Violation by Team (jump ball),,19-17,,
4:41.0,,,19-17,,A. Horford misses 2-pt shot from 8 ft
4:39.0,,,19-17,,Offensive rebound by A. Bradley
4:38.0,,,19-19,2,A. Bradley makes 2-pt shot from 2 ft
4:14.0,M. Gasol misses 2-pt shot from 10 ft,,19-19,,
4:13.0,,,19-19,,Defensive rebound by A. Johnson
4:07.0,,,19-21,2,A. Bradley makes 2-pt shot from 2 ft
3:53.0,,,19-21,,Personal foul by A. Horford (drawn by M. Gasol)
3:53.0,V. Carter enters the game for T. Allen,,19-21,,
3:53.0,,,19-21,,M. Smart enters the game for I. Thomas
3:53.0,,,19-21,,K. Olynyk enters the game for A. Horford
3:48.0,Shooting foul by K. Olynyk (drawn by A. Harrison),,19-21,,
3:48.0,A. Harrison misses free throw 1 of 2,,19-21,,
3:48.0,Offensive rebound by Team,,19-21,,
3:48.0,A. Harrison misses free throw 2 of 2,,19-21,,
3:48.0,Z. Randolph enters the game for M. Gasol,,19-21,,
3:47.0,Offensive rebound by A. Harrison,,19-21,,
3:41.0,V. Carter misses 3-pt shot from 26 ft,,19-21,,
3:40.0,,,19-21,,Defensive rebound by J. Crowder
3:17.0,,,19-21,,M. Smart misses 3-pt shot from 25 ft
3:16.0,,,19-21,,Offensive rebound by A. Johnson
3:14.0,,,19-21,,Turnover by A. Johnson (bad pass; steal by J. Ennis)
3:13.0,,,19-21,,Personal foul by J. Crowder (drawn by J. Ennis)
3:13.0,T. Daniels enters the game for J. Ennis,,19-21,,
3:01.0,V. Carter misses 2-pt shot from 9 ft,,19-21,,
3:00.0,,,19-21,,Defensive rebound by K. Olynyk
2:47.0,,,19-21,,A. Bradley misses 2-pt shot from 16 ft
