time,Indiana,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. B. Wright (V. Carter gains possession),,,,Jump ball: M. Turner vs. B. Wright (V. Carter gains possession)
11:41.0,,,0-2,2,M. Conley makes 2-pt shot from 2 ft
11:23.0,M. Turner misses 2-pt shot from 9 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by J. Ennis
11:14.0,,,0-2,,B. Wright misses 2-pt shot from 11 ft
11:13.0,Defensive rebound by T. Young,,0-2,,
11:06.0,,,0-2,,Personal foul by V. Carter (drawn by T. Young)
10:59.0,J. Teague misses 3-pt shot from 26 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by J. Ennis
10:40.0,,,0-5,3,V. Carter makes 3-pt shot from 28 ft (assist by M. Conley)
10:28.0,P. George misses 2-pt shot from 20 ft,,0-5,,
10:28.0,,,0-5,,Defensive rebound by V. Carter
10:11.0,,,0-5,,J. Ennis misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by P. George,,0-5,,
9:47.0,P. George misses 2-pt shot from 22 ft,,0-5,,
9:45.0,,,0-5,,Defensive rebound by V. Carter
9:27.0,,,0-5,,M. Conley misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by P. George,,0-5,,
9:17.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,2-5,,
8:53.0,,,2-7,2,B. Wright makes 2-pt shot from 6 ft (assist by M. Conley)
8:41.0,Shooting foul by J. Ennis (drawn by P. George),,2-7,,
8:41.0,P. George misses free throw 1 of 2,,2-7,,
8:41.0,Offensive rebound by Team,,2-7,,
8:41.0,P. George makes free throw 2 of 2,1,3-7,,
8:28.0,,,3-10,3,M. Conley makes 3-pt shot from 25 ft (assist by J. Ennis)
8:18.0,J. Teague misses 3-pt shot from 26 ft,,3-10,,
8:18.0,,,3-10,,Defensive rebound by B. Wright
8:06.0,,,3-12,2,M. Conley makes 2-pt shot from 2 ft
8:00.0,Indiana full timeout,,3-12,,
7:47.0,,,3-12,,Violation by J. Ennis (kicked ball)
7:39.0,Shooting foul by J. Ennis (drawn by P. George),,3-12,,
7:39.0,P. George makes free throw 1 of 2,1,4-12,,
7:39.0,P. George makes free throw 2 of 2,1,5-12,,
7:27.0,,,5-12,,Shooting foul by P. George (drawn by V. Carter)
7:27.0,,,5-13,1,V. Carter makes free throw 1 of 2
7:27.0,,,5-14,1,V. Carter makes free throw 2 of 2
7:27.0,,,5-13,,A. Harrison enters the game for J. Ennis
7:14.0,M. Turner makes 2-pt shot from 16 ft (assist by J. Teague),2,7-14,,
6:56.0,,,7-16,2,B. Wright makes 2-pt shot from 7 ft (assist by A. Harrison)
6:37.0,Turnover by P. George (bad pass; steal by M. Conley),,7-16,,
6:32.0,,,7-18,2,B. Wright makes 2-pt shot at rim (assist by T. Allen)
