time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. H. Whiteside (J. McRoberts gains possession),,,,Jump ball: T. Thompson vs. H. Whiteside (J. McRoberts gains possession)
11:46.0,Turnover by H. Whiteside (lost ball; steal by D. Liggins),,0-0,,
11:38.0,,,0-0,,K. Love misses 3-pt shot from 26 ft
11:37.0,Defensive rebound by G. Dragic,,0-0,,
11:28.0,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic),2,2-0,,
11:12.0,,,2-2,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
10:53.0,J. McRoberts misses 2-pt shot from 14 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by K. Irving
10:45.0,,,2-4,2,D. Liggins makes 2-pt shot from 1 ft (assist by K. Irving)
10:27.0,J. McRoberts makes 2-pt shot at rim (assist by G. Dragic),2,4-4,,
10:12.0,,,4-6,2,K. Irving makes 2-pt shot from 16 ft
9:52.0,H. Whiteside misses 2-pt shot from 7 ft,,4-6,,
9:50.0,Offensive rebound by J. McRoberts,,4-6,,
9:49.0,J. McRoberts makes 2-pt shot from 1 ft,2,6-6,,
9:37.0,,,6-6,,L. James misses 2-pt shot at rim
9:36.0,,,6-6,,Offensive rebound by T. Thompson
9:33.0,,,6-6,,Shooting foul by G. Dragic (drawn by K. Love)
9:33.0,,,6-6,,K. Love misses free throw 1 of 2
9:33.0,,,6-6,,Offensive rebound by Team
9:33.0,,,6-7,1,K. Love makes free throw 2 of 2
9:26.0,W. Ellington misses 3-pt shot from 25 ft,,6-7,,
9:24.0,,,6-7,,Defensive rebound by K. Love
9:18.0,,,6-9,2,D. Liggins makes 2-pt shot from 1 ft (assist by K. Love)
9:00.0,J. McRoberts misses 2-pt shot from 17 ft,,6-9,,
9:00.0,,,6-9,,Defensive rebound by T. Thompson
8:54.0,,,6-11,2,L. James makes 2-pt shot at rim
8:41.0,J. McRoberts misses 2-pt shot from 9 ft,,6-11,,
8:41.0,,,6-11,,Defensive rebound by T. Thompson
8:28.0,,,6-11,,T. Thompson misses 2-pt shot from 9 ft
8:25.0,,,6-11,,Offensive rebound by K. Love
8:21.0,,,6-11,,K. Love misses 3-pt shot from 23 ft
8:20.0,,,6-11,,Offensive rebound by T. Thompson
8:20.0,,,6-11,,Turnover by T. Thompson (step out of bounds)
8:10.0,Shooting foul by D. Liggins (drawn by G. Dragic),,6-11,,
8:10.0,G. Dragic misses free throw 1 of 2,,6-11,,
8:10.0,Offensive rebound by Team,,6-11,,
8:10.0,G. Dragic makes free throw 2 of 2,1,7-11,,
7:56.0,,,7-13,2,L. James makes 2-pt shot from 14 ft
7:38.0,W. Ellington misses 3-pt shot from 25 ft,,7-13,,
7:37.0,Offensive rebound by J. McRoberts,,7-13,,
7:35.0,J. McRoberts makes 2-pt shot from 2 ft,2,9-13,,
7:16.0,,,9-15,2,K. Irving makes 2-pt shot from 15 ft
7:01.0,G. Dragic makes 3-pt shot from 25 ft (assist by J. McRoberts),3,12-15,,
6:50.0,,,12-15,,Shooting foul by W. Ellington (drawn by D. Liggins)
6:50.0,,,12-15,,D. Liggins misses free throw 1 of 2
6:50.0,,,12-15,,Offensive rebound by Team
6:50.0,,,12-16,1,D. Liggins makes free throw 2 of 2
6:50.0,T. Johnson enters the game for W. Ellington,,12-15,,
6:33.0,T. Johnson makes 2-pt shot from 13 ft (assist by J. McRoberts),2,14-16,,
6:16.0,,,14-18,2,K. Love makes 2-pt shot from 17 ft (assist by K. Irving)
5:58.0,T. Johnson makes 2-pt shot at rim,2,16-18,,
5:36.0,,,16-18,,K. Love misses 2-pt shot from 15 ft
5:35.0,Defensive rebound by T. Johnson,,16-18,,
5:22.0,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,19-18,,
5:21.0,,,19-18,,Cleveland full timeout
5:12.0,Personal foul by R. McGruder (drawn by L. James),,19-18,,
4:56.0,,,19-20,2,L. James makes 2-pt shot from 13 ft (assist by D. Liggins)
4:34.0,H. Whiteside makes 2-pt shot from 8 ft,2,21-20,,
4:24.0,,,21-22,2,K. Irving makes 2-pt shot from 1 ft
4:15.0,G. Dragic misses 2-pt shot from 6 ft (block by D. Liggins),,21-22,,
4:13.0,Offensive rebound by R. McGruder,,21-22,,
4:09.0,R. McGruder misses 3-pt shot from 23 ft,,21-22,,
4:05.0,,,21-22,,Defensive rebound by K. Love
3:53.0,,,21-22,,L. James misses 2-pt shot from 17 ft
3:53.0,Defensive rebound by H. Whiteside,,21-22,,
3:33.0,G. Dragic misses 2-pt shot from 8 ft,,21-22,,
3:33.0,Offensive rebound by H. Whiteside,,21-22,,
3:27.0,H. Whiteside misses 2-pt shot from 5 ft,,21-22,,
3:27.0,Offensive rebound by H. Whiteside,,21-22,,
3:27.0,,,21-22,,Personal foul by T. Thompson (drawn by H. Whiteside)
3:27.0,,,21-22,,I. Shumpert enters the game for D. Liggins
