time,Miami,pts.away,score,pts.home,Atlanta
3:05.0,,,18-19,,T. Sefolosha misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by Team,,18-19,,
2:59.0,Shooting foul by P. Millsap (drawn by J. Johnson),,18-19,,
2:59.0,J. Johnson makes free throw 1 of 2,1,19-19,,
2:59.0,J. Johnson makes free throw 2 of 2,1,20-19,,
2:59.0,W. Ellington enters the game for R. McGruder,,19-19,,
2:47.0,,,20-21,2,P. Millsap makes 2-pt shot at rim (assist by M. Delaney)
2:32.0,Turnover by J. Johnson (bad pass; steal by T. Sefolosha),,20-21,,
2:23.0,,,20-21,,T. Sefolosha misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by G. Dragic,,20-21,,
2:14.0,G. Dragic misses 2-pt shot from 18 ft,,20-21,,
2:13.0,,,20-21,,Defensive rebound by P. Millsap
2:04.0,,,20-21,,T. Sefolosha misses 2-pt shot from 1 ft
2:01.0,Defensive rebound by W. Reed,,20-21,,
1:56.0,W. Reed makes 2-pt shot from 5 ft (assist by J. Johnson),2,22-21,,
1:41.0,,,22-21,,M. Delaney misses 2-pt shot from 13 ft
1:39.0,,,22-21,,Offensive rebound by M. Delaney
1:31.0,,,22-21,,M. Delaney misses 2-pt shot from 7 ft (block by G. Dragic)
1:29.0,Defensive rebound by T. Johnson,,22-21,,
1:22.0,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson),3,25-21,,
1:01.0,,,25-21,,P. Millsap misses 2-pt shot from 15 ft
1:01.0,,,25-21,,Offensive rebound by Team
1:01.0,Loose ball foul by W. Reed (drawn by M. Muscala),,25-21,,
1:01.0,,,25-22,1,M. Muscala makes free throw 1 of 2
1:01.0,,,25-23,1,M. Muscala makes free throw 2 of 2
1:01.0,,,25-22,,T. Waller-Prince enters the game for T. Sefolosha
1:01.0,,,25-22,,E. Ilyasova enters the game for P. Millsap
0:51.0,J. Johnson misses 2-pt shot from 18 ft,,25-23,,
0:50.0,,,25-23,,Defensive rebound by T. Waller-Prince
0:36.0,,,25-23,,M. Delaney misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by G. Dragic,,25-23,,
0:26.0,T. Johnson misses 3-pt shot from 25 ft,,25-23,,
0:24.0,Offensive rebound by J. Johnson,,25-23,,
0:24.0,J. Johnson misses 2-pt shot from 2 ft,,25-23,,
