time,Miami,pts.away,score,pts.home,Atlanta
7:52.0,,,94-72,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by M. Dunleavy)
7:38.0,G. Dragic misses 3-pt shot from 25 ft,,94-72,,
7:37.0,,,94-72,,Defensive rebound by M. Dunleavy
7:23.0,,,94-72,,D. Bembry misses 3-pt shot from 23 ft
7:21.0,,,94-72,,Offensive rebound by E. Ilyasova
7:21.0,,,94-74,2,E. Ilyasova makes 2-pt shot from 1 ft
7:21.0,,,94-74,,Shooting foul by W. Reed (drawn by E. Ilyasova)
7:21.0,,,94-75,1,E. Ilyasova makes free throw 1 of 1
7:19.0,Miami full timeout,,94-75,,
7:10.0,Turnover by W. Ellington (bad pass; steal by E. Ilyasova),,94-75,,
7:00.0,,,94-75,,Shooting foul by J. Richardson (drawn by E. Ilyasova)
7:00.0,,,94-76,1,E. Ilyasova makes free throw 1 of 2
7:00.0,,,94-77,1,E. Ilyasova makes free throw 2 of 2
7:00.0,D. Waiters enters the game for G. Dragic,,94-76,,
7:00.0,,,94-76,,T. Waller-Prince enters the game for M. Dunleavy
6:42.0,D. Waiters makes 2-pt shot from 2 ft,2,96-77,,
6:17.0,,,96-77,,L. Patterson misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by D. Waiters,,96-77,,
5:59.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Waiters),3,99-77,,
5:45.0,,,99-77,,K. Humphries misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by W. Reed,,99-77,,
5:32.0,J. Richardson misses 3-pt shot from 23 ft,,99-77,,
5:30.0,,,99-77,,Defensive rebound by E. Ilyasova
5:20.0,,,99-79,2,T. Waller-Prince makes 2-pt shot from 18 ft
5:03.0,W. Ellington misses 3-pt shot from 23 ft,,99-79,,
5:00.0,Offensive rebound by O. White,,99-79,,
4:57.0,W. Ellington makes 3-pt shot from 24 ft (assist by O. White),3,102-79,,
4:33.0,,,102-79,,T. Waller-Prince misses 2-pt shot from 2 ft
4:31.0,,,102-79,,Offensive rebound by K. Humphries
4:31.0,,,102-81,2,K. Humphries makes 2-pt shot at rim
4:21.0,D. Waiters misses 2-pt shot from 2 ft,,102-81,,
4:19.0,Offensive rebound by W. Reed,,102-81,,
4:19.0,W. Reed makes 2-pt shot at rim,2,104-81,,
4:06.0,,,104-83,2,E. Ilyasova makes 2-pt shot from 22 ft
3:58.0,,,104-83,,Personal take foul by D. Bembry
3:58.0,,,104-83,,M. Muscala enters the game for E. Ilyasova
3:41.0,W. Ellington misses 3-pt shot from 25 ft,,104-83,,
3:40.0,,,104-83,,Defensive rebound by K. Humphries
3:23.0,,,104-83,,Offensive charge foul by T. Waller-Prince
3:23.0,,,104-83,,Turnover by T. Waller-Prince (offensive foul)
3:23.0,R. McGruder enters the game for D. Waiters,,104-83,,
2:59.0,W. Reed makes 2-pt shot from 15 ft (assist by J. Richardson),2,106-83,,
2:43.0,,,106-83,,L. Patterson misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by W. Ellington,,106-83,,
2:36.0,O. White misses 2-pt shot from 4 ft,,106-83,,
2:34.0,Offensive rebound by O. White,,106-83,,
2:34.0,O. White misses 2-pt shot from 1 ft,,106-83,,
2:33.0,,,106-83,,Defensive rebound by M. Muscala
2:29.0,,,106-83,,T. Waller-Prince misses 2-pt shot from 7 ft
2:27.0,,,106-83,,Offensive rebound by M. Muscala
2:25.0,,,106-83,,M. Muscala misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by O. White,,106-83,,
2:10.0,W. Ellington misses 2-pt shot from 20 ft,,106-83,,
2:08.0,,,106-83,,Defensive rebound by K. Humphries
1:56.0,,,106-85,2,T. Waller-Prince makes 2-pt shot from 1 ft
1:38.0,W. Ellington misses 2-pt shot from 20 ft,,106-85,,
1:37.0,Offensive rebound by W. Reed,,106-85,,
1:37.0,W. Reed makes 2-pt shot at rim,2,108-85,,
1:31.0,,,108-87,2,K. Humphries makes 2-pt shot from 2 ft (assist by L. Patterson)
1:17.0,W. Ellington misses 3-pt shot from 25 ft,,108-87,,
1:16.0,,,108-87,,Defensive rebound by K. Humphries
1:00.0,,,108-89,2,D. Bembry makes 2-pt shot at rim (assist by L. Patterson)
0:49.0,J. Richardson misses 2-pt shot from 2 ft,,108-89,,
0:46.0,Offensive rebound by W. Reed,,108-89,,
0:41.0,J. Richardson misses 3-pt shot from 25 ft,,108-89,,
0:40.0,,,108-89,,Defensive rebound by M. Muscala
0:32.0,,,108-89,,Shooting foul by W. Reed (drawn by M. Muscala)
0:32.0,Official timeout,,108-89,,
0:32.0,,,108-89,,M. Muscala misses free throw 1 of 2
0:32.0,,,108-89,,Offensive rebound by Team
0:32.0,,,108-90,1,M. Muscala makes free throw 2 of 2
0:08.0,J. Richardson misses 3-pt shot from 26 ft,,108-90,,
0:03.0,,,108-90,,Defensive rebound by M. Muscala
0:00.0,End of 4th quarter,,,,End of 4th quarter
