time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Mozgov (T. Frazier gains possession),,,,Jump ball: A. Davis vs. T. Mozgov (T. Frazier gains possession)
11:45.0,,,0-0,,Turnover by A. Davis (bad pass; steal by L. Deng)
11:27.0,J. Calderon misses 3-pt shot from 26 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by O. Asik
11:17.0,,,0-2,2,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday)
11:04.0,,,0-2,,Violation by O. Asik (kicked ball)
10:58.0,T. Mozgov makes 2-pt shot at rim (assist by J. Calderon),2,2-2,,
10:41.0,,,2-4,2,O. Asik makes 2-pt shot from 2 ft (assist by A. Davis)
10:21.0,Turnover by J. Randle (bad pass; steal by O. Asik),,2-4,,
10:18.0,,,2-6,2,T. Frazier makes 2-pt shot from 1 ft (assist by O. Asik)
10:10.0,LA Lakers full timeout,,2-6,,
10:10.0,J. Clarkson enters the game for N. Young,,2-6,,
9:58.0,J. Calderon misses 3-pt shot from 23 ft,,2-6,,
9:56.0,,,2-6,,Defensive rebound by A. Davis
9:42.0,,,2-8,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
9:28.0,Turnover by J. Calderon (bad pass; steal by A. Davis),,2-8,,
9:22.0,,,2-10,2,T. Frazier makes 2-pt shot from 2 ft (assist by A. Davis)
9:06.0,J. Randle makes 2-pt shot from 22 ft (assist by L. Deng),2,4-10,,
8:58.0,,,4-10,,O. Asik misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by T. Mozgov,,4-10,,
8:48.0,J. Calderon misses 3-pt shot from 25 ft,,4-10,,
8:47.0,,,4-10,,Defensive rebound by O. Asik
8:39.0,,,4-10,,Turnover by J. Holiday (bad pass; steal by J. Clarkson)
8:38.0,J. Clarkson makes 2-pt shot from 2 ft,2,6-10,,
8:28.0,,,6-13,3,J. Holiday makes 3-pt shot from 25 ft (assist by T. Frazier)
8:03.0,J. Randle makes 2-pt shot from 20 ft (assist by J. Calderon),2,8-13,,
7:48.0,,,8-13,,A. Davis misses 2-pt shot from 20 ft
7:47.0,,,8-13,,Offensive rebound by O. Asik
7:44.0,,,8-13,,Shooting foul by J. Randle (drawn by A. Davis)
7:44.0,,,8-14,1,A. Davis makes free throw 1 of 2
7:44.0,,,8-15,1,A. Davis makes free throw 2 of 2
7:27.0,T. Mozgov misses 2-pt shot from 3 ft,,8-15,,
7:26.0,,,8-15,,Defensive rebound by O. Asik
7:13.0,,,8-18,3,J. Holiday makes 3-pt shot from 27 ft (assist by T. Frazier)
7:00.0,J. Randle misses 3-pt shot from 25 ft,,8-18,,
6:59.0,,,8-18,,Defensive rebound by J. Holiday
6:46.0,,,8-18,,S. Hill misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by J. Clarkson,,8-18,,
6:37.0,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Randle),3,11-18,,
6:28.0,,,11-18,,Shooting foul by T. Mozgov (drawn by A. Davis)
6:28.0,,,11-18,,A. Davis misses free throw 1 of 2
6:28.0,,,11-18,,Offensive rebound by Team
6:28.0,,,11-19,1,A. Davis makes free throw 2 of 2
6:11.0,J. Clarkson misses 3-pt shot from 26 ft,,11-19,,
6:10.0,,,11-19,,Defensive rebound by J. Holiday
6:04.0,,,11-19,,J. Holiday misses 2-pt shot from 3 ft (block by T. Mozgov)
5:59.0,Defensive rebound by T. Mozgov,,11-19,,
5:57.0,,,11-19,,Shooting block foul by A. Davis (drawn by J. Randle)
5:57.0,,,11-19,,New Orleans full timeout
5:57.0,J. Randle misses free throw 1 of 2,,11-19,,
5:57.0,Offensive rebound by Team,,11-19,,
5:57.0,J. Randle misses free throw 2 of 2,,11-19,,
5:57.0,B. Ingram enters the game for J. Calderon,,11-19,,
5:57.0,,,11-19,,E. Moore enters the game for J. Holiday
