time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (M. Morris gains possession),,,,Jump ball: M. Gortat vs. A. Horford (M. Morris gains possession)
11:44.0,,,0-0,,B. Beal misses 2-pt shot from 15 ft
11:43.0,,,0-0,,Offensive rebound by M. Gortat
11:41.0,,,0-0,,M. Gortat misses 2-pt shot from 3 ft
11:40.0,,,0-0,,Offensive rebound by B. Beal
11:37.0,,,0-2,2,B. Beal makes 2-pt shot from 2 ft
11:14.0,A. Bradley makes 2-pt shot from 22 ft,2,2-2,,
10:56.0,,,2-2,,Shooting foul by A. Horford (drawn by B. Beal)
10:56.0,,,2-3,1,B. Beal makes free throw 1 of 2
10:56.0,,,2-4,1,B. Beal makes free throw 2 of 2
10:42.0,J. Crowder misses 2-pt shot from 24 ft,,2-4,,
10:41.0,,,2-4,,Defensive rebound by M. Gortat
10:32.0,Personal foul by J. Crowder (drawn by J. Wall),,2-4,,
10:22.0,,,2-4,,J. Wall misses 2-pt shot from 9 ft
10:21.0,,,2-4,,Offensive rebound by J. Wall
10:15.0,,,2-7,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
10:14.0,Boston full timeout,,2-7,,
9:56.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Horford),2,4-7,,
9:38.0,,,4-9,2,O. Porter makes 2-pt shot from 18 ft
9:21.0,J. Crowder makes 3-pt shot from 26 ft (assist by A. Horford),3,7-9,,
9:01.0,,,7-11,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
8:41.0,A. Bradley misses 3-pt shot from 26 ft,,7-11,,
8:40.0,,,7-11,,Defensive rebound by O. Porter
8:30.0,,,7-11,,M. Gortat misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by G. Green,,7-11,,
8:29.0,,,7-11,,Personal foul by B. Beal (drawn by G. Green)
8:12.0,I. Thomas misses 3-pt shot from 23 ft,,7-11,,
8:11.0,,,7-11,,Defensive rebound by M. Morris
7:58.0,,,7-11,,M. Gortat misses 2-pt shot from 1 ft
7:57.0,,,7-11,,Offensive rebound by Team
7:51.0,,,7-11,,Turnover by M. Morris (bad pass)
7:41.0,Turnover by I. Thomas (bad pass; steal by M. Morris),,7-11,,
7:38.0,,,7-11,,Shooting foul by I. Thomas (drawn by J. Wall)
7:38.0,,,7-11,,J. Wall misses free throw 1 of 2
7:38.0,,,7-11,,Offensive rebound by Team
7:38.0,,,7-12,1,J. Wall makes free throw 2 of 2
7:19.0,J. Crowder makes 3-pt shot from 27 ft (assist by A. Bradley),3,10-12,,
6:57.0,,,10-12,,M. Morris misses 2-pt shot from 7 ft
6:56.0,Defensive rebound by J. Crowder,,10-12,,
6:47.0,,,10-12,,Personal foul by M. Morris (drawn by J. Crowder)
6:39.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford),2,12-12,,
6:18.0,,,12-12,,Shooting foul by G. Green (drawn by M. Morris)
6:18.0,,,12-13,1,M. Morris makes free throw 1 of 2
6:18.0,,,12-14,1,M. Morris makes free throw 2 of 2
