time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Jokic (D. Cousins gains possession),,,,Jump ball: A. Davis vs. N. Jokic (D. Cousins gains possession)
11:48.0,,,0-0,,Turnover by D. Cousins (bad pass; steal by J. Murray)
11:39.0,Turnover by J. Murray (bad pass; steal by T. Frazier),,0-0,,
11:34.0,,,0-2,2,A. Davis makes 2-pt shot at rim (assist by T. Frazier)
11:17.0,D. Gallinari makes 2-pt shot from 15 ft,2,2-2,,
10:53.0,,,2-4,2,D. Cousins makes 2-pt shot from 5 ft
10:42.0,Turnover by J. Murray (bad pass),,2-4,,
10:36.0,,,2-4,,J. Holiday misses 2-pt shot from 16 ft
10:34.0,,,2-4,,Offensive rebound by Team
10:34.0,Loose ball foul by N. Jokic (drawn by A. Davis),,2-4,,
10:28.0,,,2-4,,A. Davis misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by K. Faried,,2-4,,
10:11.0,D. Gallinari makes 2-pt shot from 20 ft,2,4-4,,
9:59.0,,,4-4,,A. Davis misses 2-pt shot from 6 ft
9:58.0,Defensive rebound by D. Gallinari,,4-4,,
9:48.0,N. Jokic misses 2-pt shot from 2 ft,,4-4,,
9:47.0,Offensive rebound by N. Jokic,,4-4,,
9:46.0,N. Jokic makes 2-pt shot from 3 ft,2,6-4,,
9:34.0,,,6-6,2,D. Cousins makes 2-pt shot from 2 ft
9:10.0,G. Harris makes 2-pt shot from 15 ft (assist by J. Murray),2,8-6,,
8:56.0,,,8-8,2,J. Holiday makes 2-pt shot from 2 ft (assist by D. Cousins)
8:45.0,N. Jokic makes 2-pt shot from 18 ft (assist by G. Harris),2,10-8,,
8:32.0,,,10-11,3,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday)
8:09.0,J. Murray makes 3-pt shot from 23 ft (assist by K. Faried),3,13-11,,
7:55.0,,,13-13,2,T. Frazier makes 2-pt shot from 3 ft
7:53.0,Denver full timeout,,13-13,,
7:41.0,Shooting foul by S. Hill (drawn by D. Gallinari),,13-13,,
7:41.0,D. Gallinari makes free throw 1 of 2,1,14-13,,
7:41.0,D. Gallinari makes free throw 2 of 2,1,15-13,,
